Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,14/08/2004,Ankaragucu,Istanbulspor,0.0,0.0,D,0.0,0.0,1.72,3.4,4.0,1.85,3.3,3.7,1.85,3.2,3.5,1.75,3.3,4.0,2004/5,€32.76m,€27.55m,1.7925,0.058470077817632554,1.9992315084641727,0.032619290274829876,0.017085076708507785,0.2502678032621252,3.3,0.07071067811865465,1.9996687520844425,0.02142747821777414,0.011363636363636465,0.250114942431724,3.8,0.21213203435596426,1.9977371995466517,0.055824219567359015,0.029605263157894912,0.2508096347369231,H
T1,14/08/2004,Ankaraspor,Malatyaspor,1.0,3.0,A,1.0,2.0,2.25,3.2,2.75,2.3,3.35,2.6,2.2,3.0,2.9,2.15,3.25,2.85,2004/5,€32.75m,€33.95m,2.2249999999999996,0.05590169943749469,1.999544582732189,0.025124359297750427,0.014044943820224587,0.2501579998176322,3.2,0.12747548783981966,1.9988464088123774,0.03983608994994364,0.021484375,0.2504158617355713,2.775,0.11456439237389596,1.9987614604402748,0.04128446572032287,0.022522522522522515,0.2504453956188571,H
T1,14/08/2004,Diyarbakirspor,Kayserispor,2.0,1.0,H,1.0,0.0,1.72,3.4,4.0,1.75,3.15,4.45,1.7,3.3,4.0,1.55,3.6,5.0,2004/5,€22.93m,€30.03m,1.68,0.07713624310270754,1.9984554817961198,0.0459144304182783,0.023065476190476275,0.25057831286795546,3.3625,0.16345871038277532,1.9982998333111888,0.04861225587591831,0.02695167286245348,0.25058235379093013,4.3625,0.41136206679760834,1.993689559976243,0.09429502963842025,0.04942693409742116,0.252014161507923,H
T1,14/08/2004,Fenerbahce,Samsunspor,2.0,1.0,H,0.0,0.0,1.2,5.0,11.0,1.3,4.5,8.25,1.3,4.2,8.0,1.25,4.5,10.0,2004/5,€90.60m,€34.65m,1.2625,0.04145780987944254,1.9992177193358278,0.032837869211439635,0.017326732673267342,0.2502788907630464,4.55,0.28722813232690136,1.9971522230826804,0.06312706204986844,0.03296703296703307,0.250944568086538,9.3125,1.242162932146987,1.9872415341912588,0.13338662358625364,0.07214765100671139,0.254255411814531,H
T1,15/08/2004,Genclerbirligi,Besiktas,1.0,1.0,D,0.0,0.0,3.0,3.2,2.1,2.95,3.4,2.1,2.9,3.0,2.2,3.75,3.3,1.8,2004/5,€46.95m,€76.25m,3.15,0.34820970692960296,1.9915113713036863,0.11054276410463586,0.051587301587301404,0.2524241175616002,3.2249999999999996,0.14790199457749034,1.998471748372122,0.04586108358991949,0.025193798449612448,0.2505497067211904,2.05,0.15000000000000005,1.9960461827560096,0.07317073170731711,0.03658536585365857,0.2515408737024221,A
T1,15/08/2004,Konyaspor,Rizespor,0.0,0.0,D,0.0,0.0,1.9,3.2,3.5,2.0,3.0,3.6,1.85,3.2,3.5,1.95,3.25,3.3,2004/5,€37.25m,€22.85m,1.9249999999999998,0.05590169943749472,1.9993915382906833,0.029039843863633622,0.016233766233766156,0.2502111699777606,3.1624999999999996,0.09601432184835763,1.9993281850367581,0.030360259872998466,0.014822134387351804,0.25024515302034933,3.4749999999999996,0.10897247358851693,1.9992855534652352,0.031358985205328614,0.01618705035971235,0.25025672352944184,H
T1,15/08/2004,Sakaryaspor,Denizlispor,1.0,2.0,A,1.0,1.0,2.6,3.2,2.37,2.75,3.4,2.2,2.8,3.1,2.2,2.65,3.2,2.3,2004/5,€14.85m,€27.24m,2.7,0.07905694150420942,1.9993814405233368,0.029280348705262745,0.016203703703703942,0.25021453344705274,3.225,0.10897247358851676,1.9991821218999624,0.03378991429101295,0.017441860465116532,0.2502738984992825,2.2675,0.07189401922274197,1.9992772238174488,0.03170629293174949,0.016813671444321887,0.25024631654913243,A
T1,15/08/2004,Trabzonspor,A. Sebatspor,3.0,1.0,H,1.0,0.0,1.22,5.0,9.0,1.3,4.5,8.25,1.3,4.2,8.0,1.3,4.3,8.0,2004/5,€63.60m,€26.73m,1.28,0.03464101615137758,1.9994660112035756,0.027063293868263734,0.01171875,0.2501951092611863,4.5,0.3082207001484488,1.996670235038176,0.06849348892187751,0.03611111111111098,0.25106448688733357,8.3125,0.409839907768875,1.9982726160218498,0.04930404905490226,0.02443609022556381,0.25055508346810673,H
T1,21/08/2004,Denizlispor,Besiktas,3.0,1.0,H,1.0,0.0,3.0,3.25,2.1,3.1,3.2,2.1,2.9,3.0,2.2,3.0,3.2,2.1,2004/5,€27.24m,€76.25m,3.0,0.07071067811865482,1.99959917713182,0.023570226039551608,0.012499999999999956,0.25013912058487187,3.1625,0.09601432184835763,1.9993281850367586,0.03036025987299846,0.014822134387351804,0.25024515302034933,2.125,0.043301270189221974,1.9997027803132028,0.02037706832433975,0.008823529411764675,0.2500990883868411,A
T1,21/08/2004,Genclerbirligi,Ankaraspor,1.0,1.0,D,0.0,1.0,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.4,4.6,1.7,3.4,4.15,2004/5,€46.95m,€32.75m,1.61625,0.05401099425117071,1.9991983163052849,0.03341747517473826,0.017981438515081383,0.2502714499861057,3.45,0.050000000000000044,1.9998484829291059,0.014492753623188418,0.007246376811594457,0.25005250997689554,4.6875,0.4979646071760522,1.9920472656061148,0.10623244953089113,0.055333333333333456,0.25246273322147383,H
T1,21/08/2004,Istanbulspor,Fenerbahce,0.0,3.0,A,0.0,0.0,6.0,3.75,1.444,6.75,3.65,1.45,4.8,3.5,1.55,6.5,3.6,1.44,2004/5,€27.55m,€90.60m,6.0125,0.7503124349229461,1.988352142319284,0.12479208896847335,0.06600831600831603,0.2548366664351468,3.625,0.09013878188659973,1.99955389734105,0.02486587086526889,0.01379310344827589,0.25015482245137083,1.4709999999999999,0.045749316934791534,1.999310217369953,0.03110082728401872,0.014276002719238567,0.25022564183182194,A
T1,21/08/2004,Malatyaspor,Trabzonspor,3.0,4.0,A,1.0,2.0,3.25,3.25,2.0,3.55,3.3,1.9,2.9,3.0,2.2,3.0,3.2,2.1,2004/5,€33.95m,€63.60m,3.1750000000000003,0.25124689052802224,1.99552607738007,0.07913287890646369,0.04330708661417315,0.2514779171356063,3.1875,0.1138804197393037,1.9990696899529026,0.035727190506448216,0.018627450980392313,0.25033951522789333,2.05,0.11180339887498958,1.9978526614284515,0.05453824335365346,0.030487804878048586,0.2507478727808443,A
T1,21/08/2004,Samsunspor,Konyaspor,1.0,1.0,D,1.0,0.0,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.1,3.8,1.8,3.3,3.75,2004/5,€34.65m,€37.25m,1.8332499999999998,0.04082508420077043,1.999644396139796,0.022269239984055878,0.01135278876312551,0.2501196172975422,3.2624999999999997,0.10825317547305476,1.9992026855602418,0.033181049953426744,0.01819923371647514,0.25028200993120986,3.675,0.16007810593582122,1.998608508778141,0.04355866828185612,0.020408163265305923,0.250523411770841,H
T1,22/08/2004,A. Sebatspor,Diyarbakirspor,2.0,2.0,D,2.0,2.0,2.25,3.25,2.75,2.4,3.3,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€26.73m,€22.93m,2.4125,0.10231690964840563,1.9986891183721043,0.042411154258406476,0.022020725388600892,0.2504781825706648,3.2,0.1172603939955857,1.9990185027036405,0.03664387312362053,0.017578125,0.2503632498638897,2.55,0.12747548783981966,1.9982121742864254,0.049990387388164574,0.026960784313725394,0.25059531437701016,H
T1,22/08/2004,Galatasaray,Rizespor,2.0,1.0,H,2.0,1.0,1.25,5.0,8.5,1.3,4.5,8.25,1.3,4.2,8.0,1.33,4.0,8.0,2004/5,€79.65m,€22.85m,1.295,0.02872281323269017,1.9996437492853625,0.022179778558061906,0.011583011583011782,0.25012594420041445,4.425,0.37666297933298404,1.9948334914628056,0.08512157725039188,0.04661016949152552,0.2516925621518247,8.1875,0.2072890493972125,1.9995394706875227,0.025317746491262595,0.013358778625954137,0.25015643060671805,H
T1,22/08/2004,Gaziantepspor,Sakaryaspor,1.0,0.0,H,0.0,0.0,1.4,3.75,7.0,1.55,3.5,5.5,1.5,3.7,5.0,1.4,3.75,7.0,2004/5,€38.60m,€14.85m,1.4625,0.06495190528383296,1.9985811373143916,0.0444115591684328,0.02350427350427342,0.250484500995395,3.675,0.10307764064044152,1.9994268896762553,0.028048337589235788,0.013605442176870985,0.25020860059819683,6.125,0.8926785535678563,1.9845268528601716,0.14574343731720102,0.07653061224489788,0.2555526957259005,H
T1,22/08/2004,Kayserispor,Ankaragucu,1.0,1.0,D,1.0,0.0,2.4,3.4,2.4,2.6,3.3,2.35,2.3,3.0,2.7,2.55,3.25,2.35,2004/5,€30.03m,€32.76m,2.4625,0.11924240017711828,1.998302541298401,0.04842330971659626,0.026649746192893398,0.25059850328675803,3.2375,0.1473728265318949,1.9984884858871652,0.04552056417973588,0.02413127413127425,0.2505542862538922,2.45,0.14577379737113255,1.997498225701225,0.059499509131074504,0.028061224489795755,0.2507813039558948,A
T1,28/08/2004,Ankaraspor,Denizlispor,3.0,2.0,H,1.0,1.0,2.75,3.2,2.2,3.0,3.3,2.1,2.7,3.0,2.3,2.9,3.15,2.15,2004/5,€32.75m,€27.24m,2.8375000000000004,0.11924240017711814,1.9987289154204577,0.04202375336638524,0.02312775330396466,0.25043546960360286,3.1625,0.1082531754730548,1.9991513502094733,0.03423025311400942,0.018774703557312478,0.25030038471124894,2.1875,0.07395099728874513,1.9991793552176897,0.03380617018914063,0.01857142857142846,0.25027812229497026,A
T1,28/08/2004,Kayserispor,Fenerbahce,0.0,2.0,A,0.0,1.0,7.0,3.75,1.4,8.25,4.5,1.3,6.0,3.9,1.4,7.0,3.75,1.4,2004/5,€30.03m,€90.60m,7.0625,0.7979465834252315,1.990833992580121,0.1129835870336611,0.05973451327433632,0.2531434674261303,3.975,0.30923292192132457,1.995741586368292,0.07779444576637096,0.03773584905660399,0.2513011322132944,1.375,0.04330127018922188,1.9992756578473223,0.03149183286488864,0.013636363636363669,0.2502669989320042,A
T1,28/08/2004,Konyaspor,Istanbulspor,2.0,1.0,H,0.0,0.0,1.83,3.2,3.75,1.85,3.4,3.6,1.9,3.1,3.5,1.85,3.3,3.6,2004/5,€37.25m,€27.55m,1.8575,0.025860201081971432,1.9998606934324117,0.013922046342918671,0.0070659488559892125,0.2500474124598354,3.2499999999999996,0.11180339887498938,1.999146057925888,0.034401045807689046,0.019230769230769384,0.25029653156166315,3.6125,0.08926785535678562,1.9995609310092197,0.024710825012258998,0.012975778546712835,0.25014983456621864,H
