Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
B1,14/08/2004,Anderlecht,St Truiden,H,1.22,5.5,8.5,1.3,4.5,8.25,1.33,4.0,7.5,1.25,4.5,10.0,2004/5,€63.60m,€12.10m,1.275,0.04272001872658769,1.999189965523975,0.03350589704046094,0.01862745098039209,0.2502810707296488,4.625,0.5448623679425842,1.990199370197277,0.11780807955515335,0.060810810810810745,0.2530790887724339,8.5625,0.9078649403958718,1.9920278186897928,0.10602802223601424,0.0565693430656935,0.25255440167668
B1,14/08/2004,Genk,Mouscron,D,1.8,3.25,4.0,1.85,3.35,3.65,1.75,3.2,4.0,1.72,3.2,4.33,2004/5,€30.45m,€15.60m,1.78,0.049497474683058366,1.999443248502525,0.027807570046662004,0.015449438202247201,0.2501911770975406,3.25,0.061237243569579415,1.9997451837687612,0.01884222879063982,0.009615384615384581,0.25008611841527,3.995,0.24046829312822102,1.9973800268318906,0.060192313674147936,0.031914893617021045,0.2509225573056166
B1,14/08/2004,Lokeren,FC Brussels,H,1.72,3.25,4.33,1.7,3.45,4.3,1.7,3.2,4.2,1.7,3.3,4.33,2004/5,€18.73m,€10.22m,1.705,0.008660254037844393,1.999981425741198,0.005079327881433662,0.0021994134897360684,0.25000637489481425,3.3,0.09354143466934856,1.999424016168298,0.028345889293741988,0.01515151515151536,0.25019351431806786,4.29,0.0533853912601565,1.9998878312661055,0.012444147146889626,0.006118881118881259,0.25003968569809765
B1,14/08/2004,Louvieroise,Cercle Brugge,H,1.66,3.4,4.33,1.75,3.4,4.05,1.8,3.1,3.8,1.72,3.4,4.0,2004/5,€17.80m,€10.98m,1.7325,0.05068283733178328,1.999381693187215,0.029254162962068272,0.016233766233766156,0.2502161018474304,3.3249999999999997,0.12990381056766573,1.9988817179859433,0.03906881520832052,0.016917293233082775,0.2504185008370018,4.045,0.18927493230747708,1.9984270490121923,0.04679231948268902,0.02533992583436362,0.2505350786062852
B1,14/08/2004,Westerlo,Lierse,H,1.83,3.25,3.75,1.9,3.3,3.5,2.0,3.1,3.2,2.05,3.3,3.0,2004/5,€13.40m,€14.83m,1.9449999999999998,0.08558621384311839,1.9986002597131571,0.044003194777952906,0.024421593830334265,0.25049023804388504,3.2375,0.0819679815537749,1.9995337593230342,0.025318295460625452,0.01254826254826269,0.250168392051111,3.3625,0.2858649156507318,1.9947908060144315,0.08501558829761541,0.047397769516728694,0.25179823447640015
B1,15/08/2004,Bergen,Beveren,D,2.2,3.25,2.75,2.0,3.25,3.25,1.85,3.2,3.5,2.1,3.2,3.0,2004/5,€15.63m,€14.30m,2.0375,0.12930100540985756,1.9970764898107425,0.06346061615207733,0.03527607361963181,0.25104744123236994,3.2249999999999996,0.02499999999999991,1.9999566519593044,0.007751937984496097,0.003875968992248069,0.25001502313562884,3.125,0.2795084971874737,1.9942165286086289,0.08944271909999159,0.050000000000000044,0.2520311342351717
B1,15/08/2004,Club Brugge,Gent,H,1.33,4.33,8.0,1.4,4.0,6.75,1.4,3.9,6.0,1.33,4.0,8.0,2004/5,€53.03m,€26.63m,1.3650000000000002,0.03499999999999992,1.9995256892936493,0.025641025641025578,0.012820512820512775,0.25016436554898097,4.0575,0.16253845698787722,1.998856140888822,0.040058769436322174,0.019870609981515575,0.250373537661326,7.1875,0.854674645698584,1.989654724198972,0.11891125505371603,0.06304347826086953,0.25382961569470575
B1,15/08/2004,Germinal,Oostende,H,1.61,3.5,4.5,1.7,3.45,4.3,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€15.67m,€8.60m,1.6425,0.03699662146737179,1.9996356193072984,0.02252457927998282,0.011796042617960412,0.25012354275367416,3.3875,0.08926785535678575,1.9994995119842878,0.026352134422667376,0.013837638376383854,0.2501726067789733,4.550000000000001,0.2692582403567252,1.9975167583536253,0.0591776352432363,0.030219780219780112,0.25078980715546784
B1,21/08/2004,Beveren,Anderlecht,A,4.5,3.5,1.61,4.3,3.45,1.7,4.2,3.2,1.7,4.5,3.3,1.66,2004/5,€14.30m,€63.60m,4.375,0.12990381056766576,1.9993625696690782,0.0296922995583236,0.01571428571428557,0.2502233769716445,3.3625,0.11924240017711821,1.9990905760082998,0.035462423844496126,0.019516728624535462,0.25031904140753897,1.6675,0.0369966214673718,1.9996432791203254,0.02218687944070273,0.01161919040479753,0.2501264920979059
B1,21/08/2004,Charleroi,Westerlo,A,2.5,3.1,2.5,2.45,3.2,2.55,2.4,3.0,2.6,2.4,3.1,2.6,2004/5,€12.15m,€13.40m,2.4375,0.04145780987944255,1.9997918936490338,0.017008332258232842,0.008974358974358942,0.250071145571654,3.1,0.07071067811865482,1.9996246239978286,0.022809896167308007,0.012096774193548487,0.25013027604430177,2.5625,0.04145780987944255,1.9998106721105386,0.0161786575139288,0.008536585365853666,0.2500665149339838
B1,21/08/2004,Gent,Bergen,H,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.8,3.1,4.0,2004/5,€26.63m,€15.63m,1.78,0.03464101615137758,1.9997247092995647,0.01946124502886381,0.008426966292134797,0.25009908838684103,3.25,0.1499999999999999,1.9984628557283826,0.04615384615384613,0.023076923076923217,0.25053254437869826,3.9000000000000004,0.10000000000000009,1.9995256892936493,0.02564102564102566,0.012820512820512775,0.25016436554898097
B1,21/08/2004,Lierse,Germinal,H,2.2,3.25,2.75,2.05,3.25,3.15,2.2,2.9,3.0,2.1,3.1,3.1,2004/5,€14.83m,€15.67m,2.1375,0.06495190528383303,1.9993323605810356,0.03038685627313826,0.016081871345029253,0.25023402676007817,3.125,0.14361406616345074,1.998460746041749,0.04595650117230424,0.02400000000000002,0.2505615588363599,3.0,0.1541103500742244,1.998069652254984,0.05137011669140814,0.027083333333333348,0.25071742430636923
B1,21/08/2004,Mouscron,St Truiden,H,1.57,3.5,5.0,1.65,3.5,4.55,1.75,3.2,4.0,1.7,3.5,4.0,2004/5,€15.60m,€12.10m,1.6675,0.06647367900154164,1.9988487583200998,0.039864275263293336,0.022113943028485572,0.2504078514359895,3.425,0.12990381056766573,1.9989465590246038,0.03792811987377102,0.01642335766423364,0.25039333372181105,4.3875,0.418889902002901,1.9934940966078893,0.09547348193798313,0.05056980056980054,0.25213290910674035
