Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,21/08/2004,PSV Eindhoven,AZ Alkmaar,H,1.44,3.75,6.0,1.45,3.8,6.0,1.45,3.8,5.4,1.4,3.75,7.0,2004/5,€86.85m,€50.00m,1.4349999999999998,0.020615528128088322,1.9998503784451662,0.014366221692047614,0.006968641114982521,0.2500531596973917,3.7750000000000004,0.02499999999999991,1.999968363107175,0.0066225165562913664,0.0033112582781456013,0.2500109644313846,6.1,0.5744562646538027,1.9936856663497833,0.09417315813996767,0.04918032786885229,0.25206399999999995,H
N1,21/08/2004,Waalwijk,Twente,H,2.2,3.25,2.75,2.2,3.25,2.85,2.1,3.0,3.1,2.25,3.3,2.62,2004/5,€19.33m,€13.25m,2.1875,0.0544862367942584,1.999549948794469,0.024907993963089556,0.012857142857142678,0.25016046532456293,3.2,0.1172603939955857,1.9990185027036402,0.03664387312362053,0.017578125,0.2503632498638897,2.8299999999999996,0.17592612085759182,1.9972353625925,0.06216470701681691,0.0340106007067138,0.25092105699985856,H
N1,22/08/2004,Ajax,NAC Breda,H,1.22,5.0,9.0,1.2,6.0,9.0,1.25,4.5,9.0,1.25,5.0,8.0,2004/5,€114.50m,€17.45m,1.23,0.021213203435596444,1.999785038222947,0.017246506858208492,0.009146341463414531,0.25007519426278013,5.125,0.5448623679425842,1.9920047626819388,0.10631460837904083,0.054878048780487854,0.2525292600674469,8.75,0.4330127018922193,1.9981980158323258,0.04948716593053935,0.021428571428571352,0.2506887052341598,H
N1,22/08/2004,Graafschap,Den Bosch,D,2.3,3.4,2.5,2.1,3.3,3.0,2.2,3.0,2.9,2.2,3.3,2.7,2004/5,€12.28m,€8.35m,2.2,0.07071067811865465,1.999254549458816,0.032141217326661205,0.017045454545454586,0.2502590662493088,3.25,0.14999999999999994,1.9984411488098004,0.046153846153846136,0.023076923076923217,0.2505805406127836,2.775,0.19202864369671518,1.9965191633795032,0.06919951124205953,0.03828828828828823,0.25125374526888655,H
N1,22/08/2004,Utrecht,Roosendaal,H,1.66,3.4,4.33,1.65,3.4,4.6,1.7,3.2,4.2,1.61,3.3,5.0,2004/5,€20.30m,€10.70m,1.655,0.032015621187164195,1.9997300239159614,0.019344786215809182,0.010574018126888296,0.2500936552207209,3.325,0.08291561975888491,1.9995495096075653,0.024937028498912755,0.013157894736842035,0.25015947807254124,4.5325,0.3060535083935486,1.9967438301733362,0.0675242158617868,0.03681742967457269,0.25107376985262003,H
N1,22/08/2004,Willem II,Feyenoord,A,3.5,3.2,1.9,3.4,3.4,1.9,3.5,3.1,1.9,3.3,3.3,1.9,2004/5,€13.98m,€66.43m,3.425,0.08291561975888508,1.999575486409518,0.024208940075586886,0.012773722627737127,0.2501501857573805,3.2499999999999996,0.11180339887498938,1.999146057925888,0.034401045807689046,0.019230769230769384,0.25029653156166315,1.9,0.0,2.0,0.0,0.0,0.25,A
N1,27/08/2004,Den Bosch,Willem II,A,2.5,3.1,2.5,2.3,3.25,2.7,2.3,3.0,2.7,2.5,3.3,2.37,2004/5,€8.35m,€13.98m,2.4,0.10000000000000009,1.9987472979361682,0.041666666666666706,0.02083333333333326,0.2504340277777778,3.1624999999999996,0.11924240017711814,1.9989717300104966,0.03770510677537333,0.02075098814229248,0.2503610406936079,2.5675,0.14024532077755755,1.9978342505812352,0.05462329923176536,0.028967867575462547,0.2507735830854092,H
N1,28/08/2004,NAC Breda,PSV Eindhoven,D,4.5,3.5,1.61,4.5,3.55,1.65,4.6,3.4,1.6,4.33,3.4,1.66,2004/5,€17.45m,€86.85m,4.4825,0.09705024471890823,1.9996605271871601,0.0216509190672411,0.011293920803123081,0.2501200249083402,3.4625,0.06495190528383288,1.9997464870563142,0.01875867300616112,0.00992779783393516,0.25008729154292847,1.63,0.025495097567963837,1.9998235169418437,0.015641164152125055,0.008435582822085896,0.25006116814706525,A
N1,28/08/2004,Nijmegen,AZ Alkmaar,A,2.37,3.1,2.62,2.3,3.25,2.7,2.6,3.0,2.4,2.37,3.3,2.5,2004/5,€16.88m,€50.00m,2.41,0.11335784048754641,1.9984260135303982,0.04703644833508149,0.02334024896265574,0.25050903312757217,3.1624999999999996,0.11924240017711814,1.9989717300104966,0.03770510677537333,0.02075098814229248,0.2503610406936079,2.555,0.11434596626029282,1.9985524244619828,0.04475380284160189,0.024951076320939514,0.2505065978249126,H
N1,28/08/2004,Roda,Graafschap,H,1.44,3.75,6.0,1.45,3.8,6.2,1.4,3.9,6.0,1.4,3.75,7.0,2004/5,€20.93m,€12.28m,1.4224999999999999,0.022776083947860768,1.9998151357961267,0.016011306817476815,0.008347978910369314,0.2500639484894991,3.8000000000000003,0.061237243569579415,1.9998134750641445,0.01611506409725774,0.008223684210526327,0.25006326472530427,6.3,0.412310562561766,1.9969749476937415,0.06544612104155016,0.03174603174603163,0.2509420815793294,H
N1,28/08/2004,Twente,Heerenveen,H,2.25,3.2,2.75,2.2,3.25,2.85,2.3,3.0,2.7,2.37,3.3,2.5,2004/5,€13.25m,€31.20m,2.2800000000000002,0.06284902544988265,1.9994527699702767,0.02756536203942221,0.015350877192982448,0.250188183402124,3.1875,0.1138804197393037,1.9990696899529026,0.035727190506448216,0.018627450980392313,0.25033951522789333,2.7,0.12747548783981966,1.998377087085644,0.04721314364437765,0.02546296296296302,0.2505897606406494,H
N1,29/08/2004,Ajax,Utrecht,D,1.25,5.0,8.0,1.2,6.0,9.0,1.25,4.5,9.0,1.28,4.5,8.0,2004/5,€114.50m,€20.30m,1.245,0.02872281323269017,1.9996144970509242,0.023070532717020215,0.012048192771084265,0.25013640092252803,5.0,0.6123724356957945,1.9894910703001345,0.1224744871391589,0.0625,0.25314317883280163,8.5,0.5,1.9975025463691152,0.058823529411764705,0.02941176470588225,0.2508650519031142,H
N1,29/08/2004,Roosendaal,Groningen,D,2.1,3.2,3.0,2.1,3.3,3.0,2.0,3.0,3.3,2.1,3.3,2.87,2004/5,€10.70m,€12.95m,2.075,0.043301270189221974,1.9996832923974175,0.020868082018902154,0.009036144578313143,0.25011431184270694,3.2,0.12247448713915883,1.998931798860051,0.038273277230987134,0.01953125,0.25039080291402804,3.0425000000000004,0.1578567388488688,1.998081543958946,0.05188389115821488,0.026499589153656578,0.25062646031200614,H
N1,29/08/2004,Vitesse,Feyenoord,D,4.0,3.4,1.72,4.5,3.55,1.65,4.0,3.2,1.75,3.75,3.3,1.8,2004/5,€21.40m,€66.43m,4.0625,0.2724311839712921,1.9967984444116944,0.0670599837467796,0.034615384615384714,0.25104153515970207,3.3625,0.1293010054098574,1.9989362266179125,0.038453830605162054,0.021375464684014966,0.25036393540487306,1.73,0.05431390245600113,1.9992868908313495,0.03139531933872898,0.01734104046242746,0.25025097375406447,A
N1,29/08/2004,Waalwijk,Den Haag,A,1.66,3.4,4.33,1.7,3.5,4.2,1.8,3.1,3.8,1.7,3.4,4.2,2004/5,€19.33m,€9.92m,1.7149999999999999,0.051720402163943045,1.9993489917854224,0.03015766890025834,0.015306122448979664,0.2502171291524963,3.35,0.14999999999999994,1.9985334858302353,0.04477611940298506,0.022388059701492713,0.2505449255355689,4.1325,0.19917015338649527,1.9982987056129584,0.048196044376647366,0.02404718693284935,0.2506362426582405,H
N1,10/09/2004,AZ Alkmaar,Den Bosch,H,1.4,3.75,7.0,1.4,3.9,7.0,1.5,3.7,5.0,1.35,4.2,7.0,2004/5,€50.00m,€8.35m,1.4125,0.0544862367942584,1.9989351034603646,0.03857432693398825,0.019911504424778848,0.2503550345288483,3.8875,0.19485571585149872,1.9982081095891087,0.05012365681067491,0.026527331189710734,0.25058683646161056,6.5,0.8660254037844386,1.986436109000842,0.13323467750529824,0.05769230769230771,0.25619834710743805,H
N1,11/09/2004,Heerenveen,Graafschap,H,1.444,3.75,6.0,1.5,3.75,5.6,1.5,3.7,5.0,1.35,4.2,7.0,2004/5,€31.20m,€12.28m,1.4485000000000001,0.06129233231000429,1.9986941592787975,0.0423143474697993,0.021832930617880608,0.2504780468331461,3.8499999999999996,0.20310096011589907,1.9980299947717186,0.05275349613399976,0.024350649350649345,0.25062062646776584,5.9,0.7280109889280518,1.9891348627236176,0.12339169303865284,0.06779661016949157,0.25360089079393205,H
