Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Poland,Ekstraklasa,2020/2021,26/09/2020,16:30,Lechia Gdansk,Podbeskidzie,4,0,H,1.67,4.25,5.07,1.72,4.26,5.25,1.64,4.01,4.81
Poland,Ekstraklasa,2020/2021,26/09/2020,19:00,Jagiellonia,Zaglebie,0,1,A,2.48,3.64,2.85,2.59,3.64,3.14,2.39,3.44,2.78
Poland,Ekstraklasa,2020/2021,28/09/2020,17:00,Stal Mielec,Piast Gliwice,3,2,H,3.67,3.75,2.04,3.8,3.75,2.26,3.47,3.46,2.03
Poland,Ekstraklasa,2020/2021,02/10/2020,17:00,Rakow,Wisla Plock,3,0,H,1.71,3.82,5.41,1.74,3.9,5.41,1.66,3.74,4.96
Poland,Ekstraklasa,2020/2021,02/10/2020,19:30,Slask Wroclaw,Cracovia,3,1,H,2.33,3.63,3.09,2.4,3.63,3.3,2.25,3.38,3.05
Poland,Ekstraklasa,2020/2021,03/10/2020,14:00,Podbeskidzie,Stal Mielec,1,0,H,2.33,3.55,3.16,2.41,3.7,3.16,2.31,3.44,2.89
Poland,Ekstraklasa,2020/2021,03/10/2020,19:00,Zaglebie,Gornik Z.,2,0,H,2.23,3.49,3.41,2.34,3.62,3.41,2.18,3.36,3.19
Poland,Ekstraklasa,2020/2021,04/10/2020,16:30,Piast Gliwice,Lech Poznan,1,4,A,3.03,3.56,2.4,3.03,3.56,2.47,2.9,3.39,2.33
Poland,Ekstraklasa,2020/2021,17/10/2020,14:00,Cracovia,Piast Gliwice,1,0,H,2.58,3.43,2.87,2.61,3.44,2.91,2.5,3.25,2.78
Poland,Ekstraklasa,2020/2021,17/10/2020,16:30,Gornik Z.,Rakow,1,3,A,2.9,3.58,2.48,2.95,3.58,2.5,2.78,3.39,2.42
Poland,Ekstraklasa,2020/2021,17/10/2020,19:00,Jagiellonia,Lech Poznan,2,1,H,5.4,4.52,1.6,5.75,4.53,1.67,5.15,4.17,1.58
Poland,Ekstraklasa,2020/2021,18/10/2020,11:30,Wisla Plock,Slask Wroclaw,1,0,H,3.32,3.36,2.33,3.35,3.38,2.41,3.08,3.21,2.32
Poland,Ekstraklasa,2020/2021,18/10/2020,14:00,Stal Mielec,Wisla,0,6,A,3.17,3.49,2.35,3.2,3.6,2.35,3.03,3.4,2.25
Poland,Ekstraklasa,2020/2021,18/10/2020,16:30,Legia,Zaglebie,2,1,H,1.72,3.93,5.11,1.74,4.1,5.25,1.67,3.84,4.74
Poland,Ekstraklasa,2020/2021,19/10/2020,17:00,Podbeskidzie,Warta Poznan,1,2,A,2.69,3.29,2.84,2.71,3.34,2.85,2.58,3.16,2.75
Poland,Ekstraklasa,2020/2021,19/10/2020,19:30,Lechia Gdansk,Pogon Szczecin,0,1,A,2.45,3.2,3.26,2.45,3.35,3.26,2.36,3.21,3.0
Poland,Ekstraklasa,2020/2021,21/10/2020,17:00,Legia,Slask Wroclaw,2,1,H,1.72,3.88,5.18,1.78,3.96,5.18,1.7,3.74,4.75
Poland,Ekstraklasa,2020/2021,23/10/2020,17:00,Piast Gliwice,Wisla Plock,2,2,D,1.93,3.42,4.57,1.98,3.45,4.57,1.91,3.34,4.09
Poland,Ekstraklasa,2020/2021,23/10/2020,19:30,Zaglebie,Lechia Gdansk,1,1,D,2.39,3.63,3.0,2.42,3.63,3.1,2.3,3.41,2.95
Poland,Ekstraklasa,2020/2021,24/10/2020,14:00,Wisla,Podbeskidzie,3,0,H,1.65,4.13,5.46,1.67,4.29,5.46,1.63,4.02,4.84
Poland,Ekstraklasa,2020/2021,24/10/2020,16:30,Slask Wroclaw,Jagiellonia,1,0,H,2.27,3.54,3.29,2.35,3.54,3.31,2.22,3.4,3.09
Poland,Ekstraklasa,2020/2021,24/10/2020,19:00,Pogon Szczecin,Legia,0,0,D,4.2,3.54,1.96,4.21,3.54,2.06,3.86,3.3,1.97
Poland,Ekstraklasa,2020/2021,25/10/2020,14:00,Rakow,Stal Mielec,2,1,H,1.37,5.35,8.62,1.42,5.35,9.5,1.34,5.01,8.12
