Season,Date,PSCH,PSCD,PSCA
2012/13,08/12/2012,2.42,3.12,3.44
2012/13,08/12/2012,2.17,3.31,3.84
2012/13,09/12/2012,2.85,3.17,2.79
2012/13,09/12/2012,2.89,3.27,2.68
2012/13,10/12/2012,1.71,3.75,5.55
2012/13,22/02/2013,2.04,3.47,4.05
2012/13,22/02/2013,3.14,3.21,2.52
2012/13,23/02/2013,3.24,3.29,2.43
2012/13,23/02/2013,1.95,3.52,4.38
2012/13,23/02/2013,3.94,3.35,2.11
2012/13,24/02/2013,4.59,3.34,1.97
2012/13,24/02/2013,3.15,3.09,2.61
2012/13,25/02/2013,1.76,3.68,5.38
2012/13,01/03/2013,2.16,3.25,3.92
2012/13,01/03/2013,1.78,3.76,5.09
2012/13,02/03/2013,2.6,3.27,2.99
2012/13,02/03/2013,3.06,3.31,2.52
2012/13,02/03/2013,1.23,6.54,17.32
2012/13,03/03/2013,2.68,3.22,2.93
2012/13,03/03/2013,1.79,3.58,5.33
2012/13,04/03/2013,2.06,3.34,4.18
2012/13,08/03/2013,2.04,3.31,4.28
2012/13,08/03/2013,5.56,3.87,1.7
2012/13,09/03/2013,2.96,3.13,2.73
2012/13,09/03/2013,2.98,3.25,2.61
2012/13,09/03/2013,2.33,3.26,3.45
2012/13,10/03/2013,2.14,3.34,3.89
2012/13,10/03/2013,2.87,3.04,2.87
2012/13,11/03/2013,2.4,3.05,3.56
2012/13,15/03/2013,2.58,3.18,3.09
2012/13,15/03/2013,1.61,3.9,6.76
2012/13,16/03/2013,2.23,3.24,3.76
2012/13,16/03/2013,2.83,3.14,2.83
2012/13,16/03/2013,1.43,4.51,9.75
2012/13,17/03/2013,1.65,3.94,6.06
2012/13,17/03/2013,1.89,3.44,4.84
2012/13,18/03/2013,2.49,3.03,3.33
2012/13,28/03/2013,2.91,3.2,2.71
2012/13,28/03/2013,1.84,3.49,5.05
2012/13,30/03/2013,2.13,3.33,3.81
2012/13,30/03/2013,3.87,3.24,2.16
2012/13,30/03/2013,3.54,3.31,2.25
2012/13,01/04/2013,1.96,3.54,4.32
2012/13,01/04/2013,2.86,3.07,2.86
2012/13,01/04/2013,3.86,3.13,2.24
2012/13,05/04/2013,2.24,3.32,3.62
2012/13,05/04/2013,1.67,3.65,6.55
2012/13,06/04/2013,2.27,3.09,3.8
2012/13,06/04/2013,2.29,3.19,3.61
2012/13,06/04/2013,1.47,4.48,8.19
2012/13,07/04/2013,1.98,3.35,4.5
2012/13,07/04/2013,1.94,3.47,4.47
2012/13,08/04/2013,2.91,3.08,2.76
2012/13,12/04/2013,2.45,3.16,3.31
2012/13,12/04/2013,2.15,3.35,3.81
2012/13,13/04/2013,2.66,3.16,2.99
2012/13,13/04/2013,2.75,3.22,2.85
2012/13,13/04/2013,4.38,3.27,2.02
2012/13,14/04/2013,1.72,3.7,5.7
2012/13,14/04/2013,2.04,3.36,4.17
2012/13,15/04/2013,4.29,3.45,1.99
2012/13,19/04/2013,2.41,3.31,3.26
2012/13,19/04/2013,2.22,3.35,3.61
2012/13,20/04/2013,1.83,3.48,5.2
2012/13,20/04/2013,2.16,3.45,3.64
2012/13,20/04/2013,1.33,5.25,12.19
2012/13,21/04/2013,2.09,3.4,3.96
2012/13,21/04/2013,1.67,3.82,6.1
2012/13,22/04/2013,2.31,3.28,3.39
2012/13,26/04/2013,2.29,3.22,3.6
2012/13,26/04/2013,2.04,3.47,4.05
2012/13,27/04/2013,1.86,3.67,4.63
2012/13,27/04/2013,2.27,3.37,3.45
2012/13,27/04/2013,5.85,3.86,1.68
2012/13,28/04/2013,2.77,3.21,2.83
2012/13,28/04/2013,2.31,3.36,3.39
2012/13,29/04/2013,4.5,3.53,1.9
2012/13,03/05/2013,2.83,3.31,2.69
2012/13,03/05/2013,1.96,3.48,4.38
2012/13,04/05/2013,2.5,3.3,3.1
