Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,21/08/2005,Lokeren,FC Brussels,1.0,0.0,H,1.0,0.0,1.61,3.3,5.0,1.7,3.45,4.3,1.75,3.2,4.0,1.66,3.4,4.33,1.7,3.4,4.2,2005/6,€23.40m,€14.25m,1.55,3.5,5.0
B1,21/08/2005,Standard,St Truiden,2.0,0.0,H,0.0,0.0,1.28,4.5,8.5,1.2,5.5,10.5,1.35,4.0,7.0,1.33,4.0,8.0,1.28,4.5,8.0,2005/6,€52.10m,€13.90m,1.28,4.5,8.5
B1,26/08/2005,St Truiden,Beveren,1.0,0.0,H,1.0,0.0,1.9,3.25,3.5,1.95,3.2,3.5,1.9,3.1,3.5,1.75,3.5,3.75,1.9,3.35,3.3,2005/6,€13.90m,€16.75m,1.9,3.4,3.3
B1,27/08/2005,Cercle Brugge,Waregem,2.0,4.0,A,0.0,2.0,2.0,3.25,3.25,2.15,3.2,3.0,2.0,3.1,3.2,1.91,3.4,3.25,2.05,3.25,3.0,2005/6,€12.00m,€10.88m,1.9,3.4,3.3
B1,27/08/2005,FC Brussels,Charleroi,2.0,2.0,D,1.0,1.0,2.37,3.2,2.62,2.5,3.2,2.5,2.5,3.0,2.5,2.38,3.2,2.6,2.45,3.25,2.45,2005/6,€14.25m,€15.10m,2.4,3.4,2.5
B1,27/08/2005,Germinal,Gent,2.0,1.0,H,1.0,0.0,2.25,3.25,2.75,2.5,3.2,2.5,2.5,3.0,2.5,2.1,3.4,2.8,2.3,3.4,2.5,2005/6,€23.18m,€22.35m,2.25,3.4,2.6
B1,27/08/2005,Lierse,Club Brugge,1.0,1.0,D,0.0,1.0,4.5,3.4,1.66,4.5,3.35,1.7,4.4,3.3,1.65,4.5,3.25,1.67,4.2,3.55,1.65,2005/6,€16.65m,€50.60m,4.35,3.6,1.6
B1,27/08/2005,Louvieroise,Standard,2.0,3.0,A,0.0,2.0,4.0,3.25,1.8,3.6,3.4,1.85,4.0,3.2,1.75,3.75,3.25,1.8,4.0,3.5,1.7,2005/6,€11.80m,€52.10m,3.6,3.4,1.8
B1,27/08/2005,Mouscron,Westerlo,1.0,0.0,H,0.0,0.0,2.3,3.2,2.7,2.5,3.3,2.45,2.3,3.0,2.7,2.3,3.25,2.6,2.35,3.3,2.5,2005/6,€14.65m,€17.55m,2.3,3.45,2.5
B1,28/08/2005,Roeselare,Lokeren,4.0,0.0,H,1.0,0.0,2.5,3.2,2.5,2.75,3.2,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.45,3.3,2.4,2005/6,€9.28m,€23.40m,2.5,3.4,2.3
