Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
P1,18/09/2005,Maritimo,Penafiel,D,1.66,3.4,4.5,1.8,3.25,4.0,1.7,3.2,4.2,1.66,3.25,4.5,1.6,3.4,4.75,2005/6,€13.55m,€9.55m,1.75,3.2,4.5
P1,18/09/2005,Pacos Ferreira,Academica,H,2.1,3.2,3.1,2.1,3.1,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.1,3.1,2005/6,€7.50m,€13.25m,2.1,3.1,3.1
P1,18/09/2005,Sp Braga,Porto,D,2.87,3.2,2.2,3.0,3.1,2.2,3.2,2.9,2.1,2.8,3.2,2.2,3.1,3.1,2.1,2005/6,€40.35m,€116.00m,2.9,3.1,2.2
P1,19/09/2005,Belenenses,Guimaraes,H,1.72,3.25,4.33,1.8,3.25,4.0,1.8,3.1,3.8,1.75,3.25,4.0,1.65,3.4,4.5,2005/6,€21.85m,€24.55m,1.84,3.2,3.75
P1,19/09/2005,Nacional,Sp Lisbon,H,3.75,3.3,1.83,3.65,3.2,1.9,3.3,3.0,2.0,3.6,3.25,1.85,3.3,3.25,1.95,2005/6,€15.75m,€102.40m,3.5,3.2,1.9
P1,23/09/2005,Penafiel,Benfica,A,3.75,3.3,1.8,4.0,3.3,1.8,3.8,3.1,1.8,4.0,3.4,1.72,3.75,3.2,1.83,2005/6,€9.55m,€121.05m,4.0,3.4,1.75
P1,24/09/2005,Guimaraes,Maritimo,H,2.2,3.2,2.8,2.15,3.1,3.15,2.3,3.0,2.7,2.1,3.2,3.0,2.1,3.1,3.1,2005/6,€24.55m,€13.55m,2.0,3.2,3.4
P1,24/09/2005,Porto,Belenenses,H,1.28,4.5,8.0,1.27,4.8,8.5,1.33,4.0,7.5,1.28,4.5,8.0,1.33,4.0,8.0,2005/6,€116.00m,€21.85m,1.3,4.5,8.0
P1,25/09/2005,Est Amadora,Sp Braga,D,2.8,3.2,2.2,3.1,3.1,2.15,2.9,3.0,2.2,3.0,3.2,2.1,3.3,3.1,2.0,2005/6,€9.70m,€40.35m,3.0,3.25,2.1
P1,25/09/2005,Gil Vicente,Pacos Ferreira,H,1.8,3.3,3.75,1.7,3.3,4.5,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.2,3.9,2005/6,€11.90m,€7.50m,1.85,3.25,3.75
P1,25/09/2005,Leiria,Nacional,D,2.5,3.1,2.5,2.7,3.05,2.4,2.4,3.0,2.6,2.4,3.1,2.6,2.35,3.1,2.65,2005/6,€17.95m,€15.75m,2.4,3.2,2.6
P1,25/09/2005,Naval,Rio Ave,H,2.4,3.2,2.5,2.6,3.05,2.5,2.4,3.0,2.6,2.4,3.1,2.6,2.35,3.1,2.65,2005/6,€5.30m,€10.38m,2.4,3.2,2.6
P1,25/09/2005,Sp Lisbon,Setubal,H,1.3,4.33,8.0,1.35,4.05,8.0,1.35,4.0,7.0,1.3,4.5,7.5,1.33,4.0,8.0,2005/6,€102.40m,€11.67m,1.3,4.5,7.5
P1,26/09/2005,Boavista,Academica,H,1.57,3.5,5.0,1.45,3.75,6.5,1.55,3.5,4.8,1.57,3.5,5.0,1.55,3.5,5.2,2005/6,€16.55m,€13.25m,1.55,3.5,5.0
P1,30/09/2005,Belenenses,Est Amadora,A,1.53,3.5,5.5,1.5,3.6,6.0,1.6,3.4,4.6,1.53,3.4,5.5,1.5,3.4,6.0,2005/6,€21.85m,€9.70m,1.53,3.6,5.5
P1,02/10/2005,Academica,Gil Vicente,H,2.3,3.2,2.7,2.3,3.1,2.8,2.3,3.0,2.7,2.2,3.2,2.8,2.3,3.1,2.7,2005/6,€13.25m,€11.90m,2.2,3.25,2.8
P1,02/10/2005,Maritimo,Porto,D,4.33,3.25,1.72,5.0,3.5,1.6,4.6,3.2,1.7,4.5,3.25,1.66,4.33,3.4,1.66,2005/6,€13.55m,€116.00m,4.35,3.4,1.65
P1,02/10/2005,Nacional,Penafiel,H,1.61,3.4,5.0,1.65,3.25,5.0,1.55,3.5,4.8,1.57,3.5,5.0,1.65,3.3,4.6,2005/6,€15.75m,€9.55m,1.6,3.5,4.6
P1,02/10/2005,Pacos Ferreira,Sp Lisbon,H,4.0,3.25,1.8,4.2,3.3,1.75,4.6,3.2,1.7,4.33,3.25,1.7,4.33,3.3,1.7,2005/6,€7.50m,€102.40m,4.35,3.2,1.75
P1,02/10/2005,Setubal,Leiria,H,1.8,3.25,4.0,1.7,3.4,4.35,1.8,3.1,3.8,1.72,3.2,4.33,1.7,3.3,4.25,2005/6,€11.67m,€17.95m,1.75,3.3,4.0
P1,03/10/2005,Benfica,Guimaraes,H,1.4,3.75,7.5,1.3,4.25,9.25,1.33,4.0,7.5,1.33,4.33,7.0,1.33,4.0,8.0,2005/6,€121.05m,€24.55m,1.3,4.5,7.5
P1,04/10/2005,Sp Braga,Naval,H,1.44,3.75,6.5,1.4,4.0,6.65,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€40.35m,€5.30m,1.4,4.0,6.5
P1,14/10/2005,Rio Ave,Sp Braga,A,2.4,3.2,2.62,2.4,2.95,2.8,2.6,2.8,2.6,2.4,3.1,2.6,2.6,3.1,2.4,2005/6,€10.38m,€40.35m,2.5,3.1,2.5
P1,15/10/2005,Guimaraes,Nacional,D,2.0,3.2,3.4,2.05,3.2,3.2,2.0,3.1,3.2,1.9,3.25,3.4,2.0,3.2,3.2,2005/6,€24.55m,€15.75m,1.9,3.2,3.5
P1,15/10/2005,Porto,Benfica,A,1.9,3.25,3.6,1.85,3.3,3.7,1.85,3.1,4.0,1.9,3.2,3.5,1.95,3.1,3.5,2005/6,€116.00m,€121.05m,1.9,3.2,3.5
P1,16/10/2005,Est Amadora,Maritimo,D,2.1,3.2,3.2,2.1,3.0,3.3,2.0,3.1,3.2,2.1,3.2,3.0,2.25,3.1,2.8,2005/6,€9.70m,€13.55m,2.1,3.0,3.2
P1,16/10/2005,Leiria,Pacos Ferreira,H,2.25,3.25,2.8,2.3,3.2,2.75,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.1,2.75,2005/6,€17.95m,€7.50m,2.2,3.2,2.8
