Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SP1,18/09/2005,Espanol,Real Madrid,H,4.0,3.3,1.9,4.15,3.2,1.8,3.5,3.1,1.9,3.75,3.25,1.8,3.75,3.3,1.8,2005/6,€58.98m,€281.60m,3.6,3.4,1.84
SP1,18/09/2005,Osasuna,Sevilla,H,2.5,3.2,2.75,2.7,3.0,2.5,2.4,3.0,2.6,2.5,3.2,2.5,2.37,3.1,2.62,2005/6,€40.70m,€96.85m,2.4,3.25,2.5
SP1,21/09/2005,Barcelona,Valencia,D,1.57,3.6,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.53,3.5,5.5,1.61,3.3,5.0,2005/6,€327.50m,€213.55m,1.5,3.5,6.0
SP1,21/09/2005,Getafe,Mallorca,D,1.9,3.25,4.0,1.8,3.4,3.95,1.9,3.1,3.5,1.8,3.25,3.75,1.9,3.25,3.4,2005/6,€36.38m,€42.15m,1.85,3.25,3.75
SP1,21/09/2005,La Coruna,Betis,D,2.0,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.2,2.1,3.0,3.2,1.95,3.1,3.5,2005/6,€133.80m,€85.95m,2.0,3.1,3.4
SP1,21/09/2005,Malaga,Alaves,D,1.83,3.3,4.33,2.0,3.15,3.5,1.9,3.1,3.5,1.91,3.2,3.5,1.72,3.3,4.2,2005/6,€28.03m,€34.83m,1.85,3.25,3.75
SP1,21/09/2005,Santander,Espanol,H,2.3,3.25,2.87,2.4,3.05,2.8,2.4,3.0,2.6,2.38,3.2,2.6,2.3,3.2,2.62,2005/6,€30.35m,€58.98m,2.4,3.1,2.6
SP1,21/09/2005,Sevilla,Cadiz,D,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.4,4.6,1.5,3.4,6.0,1.5,3.4,6.0,2005/6,€96.85m,€22.15m,1.55,3.3,5.5
SP1,21/09/2005,Sociedad,Ath Madrid,H,2.37,3.2,2.8,2.7,3.0,2.5,2.5,3.0,2.5,2.25,3.2,2.75,2.25,3.2,2.75,2005/6,€53.83m,€134.15m,2.4,3.2,2.65
SP1,21/09/2005,Villarreal,Celta,A,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.2,4.0,1.73,3.2,4.33,1.66,3.3,4.5,2005/6,€82.00m,€48.30m,1.65,3.25,5.0
SP1,21/09/2005,Zaragoza,Osasuna,H,1.8,3.25,4.33,1.8,3.2,4.25,1.9,3.1,3.5,1.91,3.2,3.5,1.72,3.25,4.2,2005/6,€66.55m,€40.70m,1.85,3.2,3.75
SP1,22/09/2005,Real Madrid,Ath Bilbao,H,1.44,4.0,7.5,1.4,4.0,7.5,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€281.60m,€47.23m,1.4,3.75,7.0
SP1,24/09/2005,Ath Madrid,Getafe,A,1.66,3.4,5.5,1.65,3.35,5.0,1.75,3.2,4.0,1.67,3.2,5.0,1.61,3.3,5.0,2005/6,€134.15m,€36.38m,1.7,3.25,4.5
SP1,24/09/2005,Betis,Barcelona,A,3.4,3.25,2.1,3.65,3.15,1.95,3.1,3.0,2.1,3.0,3.2,2.1,3.0,3.2,2.1,2005/6,€85.95m,€327.50m,3.25,3.2,2.0
SP1,24/09/2005,Espanol,Villarreal,A,2.3,3.2,3.0,2.4,3.0,2.85,2.3,3.0,2.7,2.2,3.2,2.8,2.25,3.2,2.75,2005/6,€58.98m,€82.00m,2.1,3.2,3.0
SP1,24/09/2005,Valencia,Sociedad,H,1.5,3.75,7.0,1.55,3.5,5.85,1.55,3.5,4.8,1.5,3.4,6.0,1.44,3.5,7.0,2005/6,€213.55m,€53.83m,1.5,3.5,6.5
SP1,24/09/2005,Zaragoza,La Coruna,D,2.4,3.25,2.8,2.35,3.05,2.9,2.4,3.0,2.6,2.5,3.2,2.5,2.3,3.2,2.62,2005/6,€66.55m,€133.80m,2.4,3.2,2.6
SP1,25/09/2005,Alaves,Real Madrid,A,6.0,3.4,1.61,6.0,3.45,1.55,4.4,3.3,1.65,6.0,3.4,1.5,5.0,3.3,1.61,2005/6,€34.83m,€281.60m,4.5,3.4,1.65
SP1,25/09/2005,Ath Bilbao,Santander,D,1.72,3.3,5.0,1.65,3.35,5.0,1.75,3.2,4.0,1.67,3.25,4.5,1.7,3.3,4.33,2005/6,€47.23m,€30.35m,1.75,3.4,4.0
SP1,25/09/2005,Celta,Sevilla,H,2.2,3.2,3.25,2.4,3.0,2.85,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.1,2.8,2005/6,€48.30m,€96.85m,2.1,3.2,3.0
SP1,25/09/2005,Mallorca,Malaga,A,2.1,3.25,3.4,2.2,3.2,3.0,2.0,3.1,3.2,2.2,3.2,2.8,2.0,3.2,3.2,2005/6,€42.15m,€28.03m,2.1,3.2,3.0
SP1,25/09/2005,Osasuna,Cadiz,H,1.9,3.25,4.0,1.8,3.25,4.15,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,2005/6,€40.70m,€22.15m,1.85,3.2,3.75
SP1,01/10/2005,Barcelona,Zaragoza,D,1.33,4.5,9.5,1.25,5.0,9.75,1.3,4.2,8.0,1.36,3.75,8.0,1.33,4.0,8.0,2005/6,€327.50m,€66.55m,1.3,4.35,8.5
SP1,01/10/2005,Getafe,Valencia,H,2.6,3.2,2.62,2.6,3.0,2.6,2.7,3.0,2.5,2.6,3.2,2.38,2.62,3.1,2.37,2005/6,€36.38m,€213.55m,2.6,3.2,2.4
SP1,02/10/2005,Cadiz,Celta,D,2.5,3.2,2.75,2.5,3.15,2.6,2.5,3.0,2.5,2.62,2.88,2.5,2.4,3.1,2.6,2005/6,€22.15m,€48.30m,2.5,3.1,2.5
SP1,02/10/2005,La Coruna,Osasuna,A,1.66,3.4,5.5,1.6,3.6,5.0,1.6,3.4,4.6,1.67,3.2,5.0,1.66,3.3,4.5,2005/6,€133.80m,€40.70m,1.55,3.5,5.0
SP1,02/10/2005,Malaga,Ath Madrid,A,2.4,3.25,2.8,2.5,3.0,2.7,2.5,3.0,2.7,2.2,3.2,2.8,2.25,3.2,2.75,2005/6,€28.03m,€134.15m,2.1,3.2,3.0
SP1,02/10/2005,Real Madrid,Mallorca,H,1.25,5.0,13.0,1.2,5.5,11.5,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.0,11.0,2005/6,€281.60m,€42.15m,1.22,5.0,10.0
SP1,02/10/2005,Santander,Alaves,A,1.9,3.25,4.0,1.95,3.15,3.65,1.85,3.1,3.6,1.73,3.2,4.33,1.83,3.2,3.75,2005/6,€30.35m,€34.83m,1.84,3.25,3.75
SP1,02/10/2005,Sevilla,Espanol,D,1.9,3.25,4.0,1.9,3.2,3.8,1.9,3.1,3.5,1.8,3.2,4.0,1.8,3.3,3.75,2005/6,€96.85m,€58.98m,1.8,3.25,4.0
SP1,02/10/2005,Sociedad,Betis,D,2.5,3.2,2.75,2.45,3.0,2.8,2.3,3.0,2.7,2.2,3.25,2.75,2.05,3.2,3.1,2005/6,€53.83m,€85.95m,2.2,3.2,2.8
