Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HY,AY,HR,AR,VCH,VCD,VCA,HC,AC,HF,AF,PSCH,PSCD,PSCA
F1,18/08/2012,Valenciennes,Nice,0.0,0.0,D,0.0,0.0,D,1.91,3.25,4.33,1.9,3.2,4.33,1.9,3.2,4.33,1.91,3.0,3.8,2012/13,€49.75m,€59.15m,8.0,11.0,6.0,4.0,1.0,3.0,0.0,0.0,1.98,3.3,4.6,8.0,6.0,10.0,16.0,1.79,3.42,5.86
F1,19/08/2012,Ajaccio,Paris SG,0.0,0.0,D,0.0,0.0,D,6.0,3.6,1.62,6.25,3.9,1.53,6.25,3.9,1.53,5.0,3.25,1.62,2012/13,€34.10m,€313.60m,10.0,7.0,2.0,3.0,3.0,2.0,0.0,1.0,6.5,3.8,1.62,7.0,4.0,7.0,9.0,5.94,3.84,1.69
F1,19/08/2012,Bordeaux,Stade Rennais FC,1.0,0.0,H,0.0,0.0,D,2.1,3.1,3.75,2.1,3.1,4.0,2.1,3.1,4.0,2.0,3.0,3.5,2012/13,€80.95m,€97.80m,10.0,11.0,4.0,3.0,1.0,1.0,0.0,0.0,2.1,3.25,4.1,8.0,5.0,11.0,13.0,2.29,3.32,3.52
F1,19/08/2012,Marseille,Sochaux,2.0,0.0,H,0.0,0.0,D,1.44,4.0,8.0,1.48,3.9,7.25,1.48,3.9,7.25,1.5,3.5,6.0,2012/13,€150.65m,€46.85m,23.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,1.45,4.4,8.5,9.0,1.0,16.0,15.0,1.43,4.59,9.94
F1,24/08/2012,Evian Thonon Gaillard,Lyon,1.0,1.0,D,0.0,0.0,D,3.6,3.2,2.1,3.6,3.25,2.05,3.6,3.25,2.05,3.5,3.3,2.05,2012/13,€34.55m,€155.65m,18.0,10.0,3.0,2.0,2.0,2.0,0.0,0.0,3.75,3.3,2.2,6.0,5.0,14.0,16.0,3.92,3.47,2.09
F1,25/08/2012,Nancy,Toulouse,0.0,1.0,A,0.0,1.0,A,2.38,3.1,3.1,2.35,3.0,3.2,2.35,3.0,3.2,2.3,3.1,3.25,2012/13,€36.85m,€82.00m,9.0,10.0,3.0,5.0,1.0,3.0,1.0,0.0,2.4,3.1,3.4,4.0,7.0,18.0,19.0,2.27,3.09,3.81
F1,25/08/2012,Nice,Lille,2.0,2.0,D,1.0,1.0,D,4.0,3.2,2.0,3.9,3.3,2.05,3.9,3.3,2.05,3.5,3.1,2.2,2012/13,€59.15m,€114.60m,11.0,10.0,7.0,5.0,1.0,0.0,0.0,0.0,3.9,3.12,2.2,4.0,7.0,19.0,15.0,3.51,3.24,2.31
F1,25/08/2012,Reims,Sochaux,1.0,0.0,H,0.0,0.0,D,2.15,3.2,3.5,2.15,3.1,3.5,2.15,3.1,3.5,2.25,3.2,3.25,2012/13,€29.50m,€46.85m,9.0,9.0,2.0,1.0,0.0,2.0,0.0,1.0,2.15,3.2,3.9,0.0,2.0,20.0,15.0,2.11,3.4,3.89
F1,25/08/2012,Stade Rennais FC,Bastia,3.0,2.0,H,2.0,1.0,H,1.83,3.4,4.5,1.78,3.4,5.0,1.78,3.4,5.0,1.8,3.25,5.0,2012/13,€97.80m,€36.05m,13.0,9.0,7.0,6.0,1.0,4.0,0.0,1.0,1.9,3.4,4.75,5.0,2.0,17.0,19.0,1.81,3.5,5.4
F1,25/08/2012,Troyes,Lorient,2.0,2.0,D,1.0,1.0,D,2.6,3.0,2.9,2.7,3.0,2.75,2.7,3.0,2.75,2.75,3.1,2.62,2012/13,€21.80m,€63.75m,5.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0,2.75,3.1,2.9,3.0,7.0,13.0,8.0,2.59,3.14,3.11
F1,25/08/2012,Valenciennes,Ajaccio,3.0,0.0,H,1.0,0.0,H,1.83,3.25,4.75,1.85,3.25,4.5,1.85,3.25,4.5,1.83,3.25,4.5,2012/13,€49.75m,€34.10m,12.0,9.0,3.0,2.0,1.0,4.0,0.0,1.0,1.87,3.4,5.0,1.0,7.0,22.0,16.0,1.85,3.47,5.12
F1,26/08/2012,Montpellier,Marseille,0.0,1.0,A,0.0,0.0,D,2.3,3.1,3.2,2.35,3.1,3.3,2.35,3.1,3.3,2.4,3.1,2.9,2012/13,€78.70m,€150.65m,8.0,13.0,1.0,5.0,2.0,3.0,0.0,0.0,2.38,3.2,3.4,4.0,4.0,17.0,15.0,2.54,3.09,3.24
F1,26/08/2012,Paris SG,Bordeaux,0.0,0.0,D,0.0,0.0,D,1.57,3.6,6.5,1.6,3.6,6.0,1.6,3.6,6.0,1.57,3.5,6.0,2012/13,€313.60m,€80.95m,13.0,10.0,4.0,2.0,1.0,1.0,0.0,0.0,1.6,3.9,7.0,7.0,2.0,11.0,8.0,1.6,3.87,7.32
F1,26/08/2012,St Etienne,Brest,4.0,0.0,H,2.0,0.0,H,1.7,3.5,5.25,1.65,3.4,6.0,1.65,3.4,6.0,1.73,3.25,5.0,2012/13,€97.60m,€36.10m,9.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.67,3.6,6.5,6.0,4.0,13.0,15.0,1.59,3.77,7.6
F1,01/09/2012,Ajaccio,Evian Thonon Gaillard,2.0,0.0,H,2.0,0.0,H,2.4,3.2,3.0,2.25,3.1,3.3,2.25,3.1,3.3,2.4,2.9,2.75,2012/13,€34.10m,€34.55m,16.0,14.0,6.0,3.0,2.0,2.0,0.0,0.0,2.45,3.12,3.3,7.0,7.0,20.0,15.0,2.41,3.18,3.38
F1,01/09/2012,Bastia,St Etienne,0.0,3.0,A,0.0,2.0,A,2.4,3.1,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.2,3.0,3.0,2012/13,€36.05m,€97.60m,20.0,13.0,3.0,6.0,4.0,2.0,0.0,0.0,2.45,3.2,3.2,10.0,4.0,13.0,15.0,2.52,3.27,3.1
F1,01/09/2012,Brest,Troyes,2.0,1.0,H,1.0,0.0,H,2.15,3.0,3.75,2.1,3.0,3.8,2.1,3.0,3.8,1.95,2.9,3.75,2012/13,€36.10m,€21.80m,13.0,8.0,3.0,6.0,0.0,4.0,0.0,0.0,2.2,3.12,3.9,7.0,5.0,10.0,15.0,2.43,3.03,3.53
F1,01/09/2012,Lorient,Nancy,3.0,0.0,H,2.0,0.0,H,2.0,3.2,4.0,2.05,3.1,3.8,2.05,3.1,3.8,2.0,3.0,3.5,2012/13,€63.75m,€36.85m,13.0,10.0,5.0,4.0,0.0,1.0,0.0,0.0,2.05,3.2,4.3,7.0,8.0,10.0,16.0,1.99,3.33,4.49
F1,01/09/2012,Lyon,Valenciennes,3.0,2.0,H,2.0,1.0,H,1.62,3.75,5.5,1.6,3.75,5.5,1.6,3.75,5.5,1.57,3.5,5.0,2012/13,€155.65m,€49.75m,12.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,1.65,3.9,6.0,4.0,8.0,16.0,17.0,1.75,3.65,5.56
F1,01/09/2012,Sochaux,Montpellier,1.0,3.0,A,0.0,1.0,A,3.6,3.1,2.15,3.5,3.25,2.2,3.5,3.25,2.2,3.0,3.0,2.2,2012/13,€46.85m,€78.70m,11.0,9.0,2.0,3.0,2.0,3.0,0.0,0.0,3.8,3.2,2.2,4.0,5.0,18.0,15.0,4.76,3.33,1.94
F1,01/09/2012,Toulouse,Reims,1.0,1.0,D,0.0,0.0,D,1.67,3.5,5.5,1.67,3.4,5.75,1.67,3.4,5.75,1.67,3.1,5.0,2012/13,€82.00m,€29.50m,19.0,10.0,7.0,4.0,1.0,2.0,0.0,0.0,1.7,3.6,6.25,7.0,4.0,10.0,16.0,1.6,3.77,7.45
