Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
D1,28/08/2005,Duisburg,Dortmund,D,2.62,3.2,2.37,2.9,3.3,2.2,2.7,3.0,2.3,2.6,3.2,2.38,2.75,3.1,2.3,2005/6,€24.18m,€78.53m,2.7,3.25,2.25
D1,10/09/2005,Hannover,Ein Frankfurt,H,1.72,3.25,4.33,1.75,3.5,4.1,1.9,3.1,3.5,1.73,3.4,4.0,1.83,3.2,3.75,2005/6,€45.35m,€39.95m,1.84,3.4,3.6
D1,10/09/2005,Kaiserslautern,Werder Bremen,A,2.7,3.2,2.3,2.75,3.35,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.1,2.37,2005/6,€37.38m,€111.60m,2.7,3.2,2.3
D1,10/09/2005,Leverkusen,Schalke 04,D,2.5,3.0,2.62,2.75,3.3,2.3,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.1,2.5,2005/6,€81.23m,€87.18m,2.5,3.2,2.5
D1,10/09/2005,Mainz,Hamburg,A,3.25,3.25,2.0,3.35,3.3,2.0,3.2,3.1,2.0,3.2,3.2,2.0,3.2,3.2,2.0,2005/6,€37.75m,€106.90m,3.0,3.2,2.1
D1,10/09/2005,M'gladbach,Duisburg,H,1.72,3.5,4.0,1.75,3.5,4.1,1.75,3.2,4.0,1.8,3.25,3.75,1.72,3.4,4.0,2005/6,€49.90m,€24.18m,1.73,3.4,4.0
D1,10/09/2005,Nurnberg,Bayern Munich,A,4.75,3.75,1.53,5.85,3.75,1.5,4.6,3.4,1.6,5.5,3.5,1.53,5.0,3.5,1.57,2005/6,€52.13m,€177.88m,5.5,3.5,1.53
D1,10/09/2005,Stuttgart,Bielefeld,D,1.5,3.6,5.5,1.45,4.3,5.6,1.5,3.7,5.0,1.44,3.4,7.0,1.5,3.6,5.5,2005/6,€69.80m,€32.85m,1.5,3.6,6.0
D1,11/09/2005,Dortmund,FC Koln,H,1.72,3.5,4.0,1.65,3.8,4.3,1.65,3.3,4.4,1.62,3.5,4.5,1.66,3.3,4.5,2005/6,€78.53m,€43.63m,1.65,3.2,5.0
D1,11/09/2005,Hertha,Wolfsburg,H,1.66,3.5,4.33,1.65,3.6,4.6,1.75,3.2,4.0,1.67,3.25,4.5,1.7,3.3,4.33,2005/6,€72.70m,€61.38m,1.65,3.4,4.35
D1,17/09/2005,Bayern Munich,Hannover,H,1.28,5.0,10.0,1.25,5.2,9.0,1.27,4.3,8.5,1.29,4.33,9.0,1.28,4.5,8.0,2005/6,€177.88m,€45.35m,1.28,4.5,9.0
D1,17/09/2005,Bielefeld,Kaiserslautern,D,2.3,3.4,2.87,2.25,3.4,2.75,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.2,2.75,2005/6,€32.85m,€37.38m,2.25,3.2,2.75
D1,17/09/2005,FC Koln,M'gladbach,H,2.4,3.25,2.8,2.2,3.3,2.9,2.2,3.0,2.9,2.1,3.2,3.0,2.05,3.2,3.1,2005/6,€43.63m,€49.90m,2.1,3.2,3.2
D1,17/09/2005,Hamburg,Ein Frankfurt,D,1.4,4.2,8.0,1.3,4.8,8.0,1.45,3.8,5.4,1.4,3.75,7.0,1.36,4.0,7.0,2005/6,€106.90m,€39.95m,1.4,3.75,7.5
D1,17/09/2005,Mainz,Stuttgart,A,3.2,3.2,2.2,3.0,3.4,2.1,2.9,3.0,2.2,2.8,3.2,2.2,3.2,3.2,2.0,2005/6,€37.75m,€69.80m,2.9,3.2,2.2
D1,17/09/2005,Werder Bremen,Dortmund,H,1.66,3.6,5.0,1.55,3.8,5.2,1.7,3.2,4.2,1.67,3.25,4.5,1.66,3.3,4.5,2005/6,€111.60m,€78.53m,1.65,3.25,5.0
D1,17/09/2005,Wolfsburg,Nurnberg,D,1.66,3.6,5.0,1.65,3.4,5.0,1.75,3.2,4.0,1.62,3.5,4.5,1.61,3.3,5.0,2005/6,€61.38m,€52.13m,1.6,3.5,5.0
D1,18/09/2005,Duisburg,Leverkusen,A,3.0,3.3,2.25,3.0,3.3,2.15,2.7,3.0,2.3,2.8,3.2,2.2,2.87,3.1,2.2,2005/6,€24.18m,€81.23m,2.75,3.25,2.25
D1,18/09/2005,Schalke 04,Hertha,D,1.83,3.5,4.0,1.75,3.4,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.3,3.75,2005/6,€87.18m,€72.70m,1.8,3.4,3.75
D1,20/09/2005,Dortmund,Bielefeld,H,1.57,3.6,6.0,1.5,3.9,5.6,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.5,5.0,2005/6,€78.53m,€32.85m,1.55,3.4,5.5
D1,20/09/2005,Ein Frankfurt,Bayern Munich,A,7.0,3.75,1.5,5.8,4.0,1.45,4.8,3.5,1.55,6.0,3.25,1.53,5.5,3.6,1.5,2005/6,€39.95m,€177.88m,6.0,3.75,1.45
D1,20/09/2005,Hannover,Wolfsburg,A,2.0,3.3,3.4,2.2,3.3,2.9,2.1,3.1,3.0,2.1,3.2,3.0,2.0,3.3,3.1,2005/6,€45.35m,€61.38m,2.2,3.2,2.8
