Club,2024/25,2023/24,2022/23,2021/22,2020/21
Manchester City,€1.26bn,€1.46bn,€1.15bn,€1.00bn,€1.04bn
Arsenal FC,€1.16bn,€1.20bn,€1.00bn,€613.05m,€619.25m
Chelsea FC,€963.20m,€1.01bn,€994.95m,€914.50m,€889.20m
Liverpool FC,€931.00m,€955.85m,€811.85m,€918.90m,€969.65m
Manchester United,€854.15m,€808.75m,€848.00m,€769.15m,€770.05m
Tottenham Hotspur,€788.30m,€838.50m,€649.10m,€689.35m,€703.50m
Newcastle United,€657.65m,€652.65m,€541.60m,€313.90m,€255.35m
Aston Villa,€615.45m,€709.90m,€509.55m,€487.75m,€430.70m
Brighton & Hove Albion,€572.10m,€524.40m,€529.80m,€318.00m,€290.40m
West Ham United,€481.50m,€487.50m,€465.75m,€354.90m,€334.90m
Crystal Palace,€438.00m,€446.78m,€323.05m,€271.05m,€193.85m
Nottingham Forest,€428.00m,€501.35m,€376.25m,€82.95m,€55.45m
Brentford FC,€403.03m,€429.03m,€371.20m,€273.30m,€168.90m
Wolverhampton Wanderers,€379.70m,€443.23m,€497.65m,€376.95m,€450.30m
AFC Bournemouth,€354.85m,€401.90m,€287.20m,€180.40m,€139.55m
Everton FC,€353.10m,€391.75m,€413.15m,€479.05m,€511.20m
Fulham FC,€346.00m,€384.35m,€295.25m,€188.90m,€239.75m
Southampton FC,€283.20m,€332.48m,€419.95m,€274.30m,€282.80m
Leicester City,€275.60m,€242.85m,€490.80m,€526.55m,€510.60m
Ipswich Town,€195.40m,€69.88m,N/A,N/A,N/A
Burnley FC,€187.50m,€273.48m,€193.35m,€137.85m,€132.30m
Sheffield United,€89.10m,€152.45m,€118.55m,€136.40m,€149.85m
Luton Town,€101.15m,€140.90m,€46.83m,€30.25m,€24.95m
Leeds United,€173.58m,€244.50m,€345.15m,€299.45m,€238.10m
Norwich City,€80.23m,€94.13m,€126.55m,€163.20m,€182.40m
Watford FC,€48.20m,€72.60m,€155.40m,€156.20m,€113.30m
West Bromwich Albion,€57.35m,€64.85m,€69.35m,€87.40m,€141.15m
Real Madrid,€1.36bn,€1.14bn,€923.45m,€770.75m,€787.30m
FC Barcelona,€946.00m,€916.20m,€836.80m,€735.60m,€813.50m
Atlético de Madrid,€511.15m,€458.45m,€534.30m,€661.80m,€773.10m
Real Sociedad,€443.70m,€498.50m,€441.70m,€376.95m,€406.60m
Athletic Bilbao,€338.70m,€295.65m,€222.45m,€226.05m,€204.15m
Valencia CF,€253.00m,€244.73m,€249.78m,€310.60m,€278.85m
Villarreal CF,€230.70m,€252.50m,€363.50m,€408.90m,€292.60m
Girona FC,€216.50m,€297.90m,€139.90m,€38.05m,€36.33m
Real Betis Balompié,€192.40m,€224.88m,€246.40m,€259.00m,€207.70m
Sevilla FC,€174.10m,€228.75m,€232.58m,€385.00m,€418.25m
