Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
SC Freiburg,€169.05m,€180.35m,€200.95m,€176.35m,€139.10m,€122.65m,€122.10m,€100.60m,€86.73m,,€57.40m,€71.68m,€65.80m,€69.43m,€59.95m,€39.45m,,,,,€22.43m
TSG 1899 Hoffenheim,€166.15m,€176.00m,€178.80m,€211.43m,€228.15m,€226.05m,€336.25m,€212.75m,€138.63m,€90.20m,€121.78m,€97.40m,€78.25m,€88.65m,€126.13m,€97.50m,€79.65m,,,,
Borussia Mönchengladbach,€139.70m,€165.23m,€241.68m,€236.80m,€300.75m,€254.70m,€264.30m,€193.25m,€162.18m,€186.15m,€130.63m,€111.38m,€87.33m,€88.30m,€66.55m,€55.00m,€49.00m,,€45.85m,€49.90m,€50.93m
1.FC Union Berlin,€122.18m,€160.95m,€157.95m,€115.90m,€82.05m,€41.20m,,,,,,,,,,,,,,,
SV Werder Bremen,€119.35m,€134.93m,€89.50m,,€111.98m,€135.13m,€168.05m,€107.15m,€89.45m,€64.68m,€67.53m,€66.40m,€78.00m,€111.95m,€151.13m,€143.95m,€149.45m,€159.55m,€157.25m,€111.60m,€98.48m
FC Augsburg,€99.33m,€140.80m,€132.23m,€95.30m,€93.05m,€112.95m,€139.25m,€100.45m,€65.85m,€75.83m,€50.08m,€45.95m,€38.45m,€38.35m,,,,,,,
1.FSV Mainz 05,€93.45m,€142.88m,€135.80m,€131.03m,€163.30m,€121.58m,€159.73m,€98.35m,€96.73m,€85.15m,€88.00m,€59.45m,€52.43m,€52.00m,€60.60m,€48.78m,,,€36.03m,€37.75m,€16.73m
1.FC Heidenheim 1846,€63.30m,€66.45m,,,,,,,,,,,,,,,,,,,
VfL Bochum,€60.75m,€64.53m,€53.70m,€52.25m,,,,,,,,,,,,€39.90m,€41.45m,€41.95m,€41.00m,,€31.40m
FC St. Pauli,€40.73m,,,,,,,,,,,,,,€30.50m,,,,,,
Holstein Kiel,€36.30m,,,,,,,,,,,,,,,,,,,,
Hércules CF,,,,,,,,,,,,,,,€51.70m,,,,,,
Derby County,,,,,,,,,,,,,,,,,,€50.40m,,,
Real Murcia CF,,,,,,,,,,,,,,,,,,€50.10m,,,
Albacete Balompié,,,,,,,,,,,,,,,,,,,,,€17.75m
Hertha BSC,,,€94.00m,€155.78m,€228.88m,€217.20m,€207.63m,€131.45m,€96.53m,€78.93m,€66.00m,€68.08m,,€45.60m,,€61.98m,€88.10m,€81.00m,€73.40m,€72.70m,€71.78m
FC Schalke 04,,,€87.78m,,€123.05m,€221.58m,€221.30m,€274.35m,€217.25m,€225.20m,€212.00m,€203.25m,€183.55m,€155.23m,€157.18m,€134.55m,€118.05m,€125.85m,€106.60m,€87.18m,€86.33m
1.FC Köln,,€81.45m,€115.65m,€99.28m,€118.20m,€98.48m,,€91.73m,€116.15m,€68.63m,€50.75m,,,€60.18m,€69.28m,€59.13m,€49.30m,,,€43.63m,
Arminia Bielefeld,,,,€65.85m,€56.73m,,,,,,,,,,,,€29.60m,€34.85m,€35.60m,€32.85m,€24.65m
SpVgg Greuther Fürth,,,,€36.95m,,,,,,,,,€33.33m,,,,,,,,
Fortuna Düsseldorf,,,,,,€71.78m,€94.95m,,,,,,€31.15m,,,,,,,,
SC Paderborn 07,,,,,,€28.90m,,,,,€28.50m,,,,,,,,,,
Gimnàstic de Tarragona,,,,,,,,,,,,,,,,,,,€28.25m,,
Hamburger SV,,,,,,,,€62.40m,€80.48m,€63.20m,€87.15m,€102.78m,€104.95m,€85.90m,€112.13m,€136.28m,€156.88m,€120.75m,€101.83m,€106.90m,€65.60m
Hannover 96,,,,,,,€91.43m,€92.95m,,€60.83m,€76.65m,€80.23m,€83.15m,€76.80m,€65.35m,€50.88m,€64.38m,€60.20m,€45.85m,€45.35m,€42.98m
1.FC Nuremberg,,,,,,,€54.40m,,,,,€56.45m,€46.83m,€52.10m,€60.20m,€47.50m,,€57.45m,€65.45m,€52.13m,€34.90m
Eintracht Braunschweig,,,,,,,,,,,,€28.58m,,,,,,,,,
FC Ingolstadt 04,,,,,,,,,€38.63m,€35.65m,,,,,,,,,,,
SV Darmstadt 98,,€38.70m,,,,,,,€25.98m,€25.15m,,,,,,,,,,,
Karlsruher SC,,,,,,,,,,,,,,,,,€30.90m,€37.35m,,,
FC Energie Cottbus,,,,,,,,,,,,,,,,,€29.53m,€30.95m,€26.55m,,
1.FC Kaiserslautern,,,,,,,,,,,,,,€42.60m,€50.50m,,,,,€37.38m,€33.75m
Alemannia Aachen,,,,,,,,,,,,,,,,,,,€26.68m,,
MSV Duisburg,,,,,,,,,,,,,,,,,,€29.20m,,€24.18m,
FC Hansa Rostock,,,,,,,,,,,,,,,,,,€27.55m,,,€25.90m
Inter Milan,€677.30m,€654.85m,€567.55m,€558.55m,€663.90m,€606.05m,€617.93m,€487.28m,€328.30m,€294.28m,€260.70m,€292.65m,€242.80m,€303.05m,€346.95m,€396.50m,€327.90m,€310.00m,€267.23m,€234.93m,€240.63m
Juventus FC,€594.20m,€504.53m,€483.13m,€642.50m,€633.30m,€661.88m,€871.05m,€653.15m,€497.18m,€440.00m,€329.00m,€391.45m,€337.90m,€262.28m,€258.93m,€273.10m,€256.85m,€236.85m,,€308.90m,€304.90m
AC Milan,€562.00m,€571.41m,€545.10m,€546.95m,€547.78m,€404.33m,€578.48m,€407.05m,€254.33m,€213.83m,€236.13m,€263.95m,€238.53m,€273.53m,€288.08m,€256.45m,€319.40m,€279.40m,€274.35m,€269.75m,€273.70m
Atalanta BC,€447.60m,€436.05m,€338.38m,€398.75m,€430.00m,€291.43m,€367.68m,€207.95m,€161.70m,€78.45m,€83.48m,€73.93m,€74.10m,€67.58m,,€62.05m,€64.20m,€54.80m,€53.48m,,€41.70m
SSC Napoli,€429.03m,€515.00m,€654.08m,€477.23m,€530.20m,€548.28m,€646.80m,€504.25m,€387.30m,€321.93m,€262.18m,€276.60m,€237.25m,€204.75m,€170.43m,€145.63m,€101.50m,€76.95m,,,
AS Roma,€332.50m,€340.40m,€361.38m,€381.25m,€395.65m,€392.73m,€459.05m,€469.10m,€354.68m,€332.90m,€276.78m,€246.40m,€173.40m,€172.78m,€172.98m,€245.15m,€266.80m,€244.40m,€220.65m,€193.20m,€201.60m
Bologna FC 1909,€276.80m,€349.30m,€153.63m,€186.20m,€153.60m,€129.65m,€119.68m,€103.55m,€95.00m,€75.23m,,€69.83m,€78.55m,€63.90m,€63.05m,€53.10m,€40.30m,,,,€29.94m
ACF Fiorentina,€258.30m,€284.10m,€258.80m,€325.80m,€286.80m,€302.23m,€315.33m,€237.33m,€217.08m,€190.53m,€216.13m,€249.13m,€213.65m,€130.83m,€175.48m,€209.30m,€197.10m,€171.35m,€159.60m,€138.68m,€111.83m
SS Lazio,€236.35m,€225.45m,€266.43m,€264.53m,€326.33m,€303.88m,€291.15m,€408.78m,€226.45m,€175.30m,€167.55m,€162.95m,€143.28m,€113.63m,€111.73m,€141.10m,€109.65m,€110.80m,€105.35m,€83.05m,€77.05m
Torino FC,€172.03m,€232.73m,€197.19m,€223.40m,€175.28m,€163.55m,€239.23m,€175.53m,€162.35m,€89.83m,€82.58m,€80.25m,€61.60m,,,,€64.90m,€60.05m,€55.55m,,
Genoa CFC,€144.40m,€195.40m,,€121.28m,€111.93m,€142.38m,€191.73m,€135.13m,€108.18m,€117.55m,€117.33m,€102.10m,€98.50m,€104.30m,€168.18m,€135.85m,€91.70m,€63.25m,,,
Udinese Calcio,€128.18m,€170.06m,€188.86m,€142.30m,€173.00m,€121.08m,€201.20m,€108.03m,€101.95m,€93.00m,€107.18m,€123.95m,€121.00m,€140.13m,€137.05m,€135.58m,€124.65m,€115.05m,€104.58m,€89.60m,€83.95m
Parma Calcio 1913,€125.10m,,,,€128.70m,€128.75m,€95.75m,,,,,,,,,,,,,,
Como 1907,€100.55m,,,,,,,,,,,,,,,,,,,,
AC Monza,€92.68m,€143.43m,€135.70m,,,,,,,,,,,,,,,,,,
US Lecce,€92.20m,€107.73m,€105.20m,,,€52.33m,,,,,,,,€37.53m,€32.70m,,€45.78m,,,€52.15m,€44.90m
Hellas Verona,€88.43m,€140.70m,€123.89m,€162.98m,€157.21m,€112.53m,,€56.50m,,€47.73m,€41.80m,€67.13m,,,,,,,,,
Cagliari Calcio,€70.35m,€92.23m,,€134.53m,€187.83m,€167.83m,€155.38m,€98.58m,€61.08m,,€74.20m,€86.20m,€76.38m,€71.65m,€85.03m,€71.80m,€45.68m,€41.20m,€45.15m,€35.65m,€23.90m
FC Empoli,€68.83m,€102.33m,€125.53m,€126.50m,,,€105.60m,,€55.45m,€74.60m,€54.03m,,,,,,,€49.50m,€44.30m,€37.00m,
Venezia FC,€57.78m,,,€80.98m,,,,,,,,,,,,,,,,,
US Sassuolo,,€139.54m,€232.20m,€251.00m,€241.74m,€167.98m,€242.05m,€126.78m,€145.25m,€97.00m,€91.03m,€87.85m,,,,,,,,,
UC Sampdoria,,,€82.96m,€128.55m,€127.18m,€135.28m,€216.75m,€190.45m,€117.58m,€126.53m,€132.23m,€83.48m,€85.93m,,€125.05m,€112.70m,€94.30m,€75.70m,€69.45m,€61.50m,€51.00m
SPAL,,,,,,€73.63m,€97.40m,,,,,,,,,,,,,,
Chievo Verona,,,,,,,€54.70m,€55.23m,€45.88m,€49.78m,€61.85m,€69.08m,€55.10m,€44.80m,€48.95m,€41.28m,€38.25m,,€83.50m,€49.55m,€46.28m
Frosinone Calcio,,€108.13m,,,,,€54.53m,,,€38.30m,,,,,,,,,,,
Brescia Calcio,,,,,,€83.23m,,,,,,,,,€36.75m,,,,,,€45.25m
CD Tenerife,,,,,,,,,,,,,,,,€34.00m,,,,,
Xerez CD,,,,,,,,,,,,,,,,€32.50m,,,,,
US Palermo,,,,,,,,,€41.10m,€68.68m,€92.60m,,€80.95m,€119.05m,€123.03m,€119.95m,€106.35m,€104.80m,€127.28m,€94.20m,€78.75m
Carpi FC 1909,,,,,,,,,,€52.05m,,,,,,,,,,,
Delfino Pescara 1936,,,,,,,,,€48.10m,,,,€47.80m,,,,,,,,
FC Crotone,,,,,€52.75m,,,€47.88m,€36.70m,,,,,,,,,,,,
US Salernitana 1919,,€94.60m,€118.35m,€70.56m,,,,,,,,,,,,,,,,,
Spezia Calcio,,,€115.81m,€78.50m,€71.68m,,,,,,,,,,,,,,,,
US Cremonese,,,€83.78m,,,,,,,,,,,,,,,,,,
Benevento Calcio,,,,,€50.13m,,,€57.83m,,,,,,,,,,,,,
Parma FC,,,,,,,,,,,€65.95m,€89.78m,€85.78m,€82.35m,€86.05m,€82.83m,,€52.50m,€46.90m,€57.05m,€110.05m
AC Cesena,,,,,,,,,,,€34.15m,,,€39.03m,€64.23m,,,,,,
Calcio Catania,,,,,,,,,,,,€78.98m,€76.48m,€59.25m,€60.68m,€63.05m,€49.90m,€58.40m,€38.60m,,
AS Bari,,,,,,,,,,,,,,,€51.50m,€69.30m,,,,,
AS Livorno,,,,,,,,,,,,€71.18m,,,,€46.80m,,€48.35m,€68.33m,€56.38m,€25.00m
AC Siena,,,,,,,,,,,,,€47.48m,€39.33m,,€45.83m,€45.30m,€42.80m,€46.08m,€34.98m,€54.90m
SPAL 2013,,,,,,,,€63.55m,,,,,,,,,,,,,
Paris Saint-Germain,€892.50m,€1.02bn,€891.10m,€875.15m,€805.00m,€874.15m,€1.01bn,€900.10m,€519.00m,€436.30m,€363.90m,€402.30m,€313.60m,€211.10m,€100.20m,€93.60m,€93.35m,€73.45m,€85.90m,€84.98m,€81.75m
AS Monaco,€358.20m,€398.55m,€368.30m,€396.00m,€370.35m,€331.03m,€385.83m,€529.80m,€309.55m,€227.40m,€187.70m,€242.55m,,,€75.40m,€87.25m,€77.65m,€89.75m,€97.80m,€114.00m,€103.80m
Olympique Marseille,€305.30m,€311.40m,€331.55m,€284.70m,€247.95m,€216.15m,€258.35m,€236.80m,€119.65m,€129.50m,€139.70m,€141.30m,€150.65m,€146.50m,€167.90m,€146.70m,€146.90m,€138.35m,€119.30m,€96.38m,€78.60m
LOSC Lille,€263.75m,€328.90m,€247.95m,€306.88m,€323.20m,€247.78m,€267.55m,€96.75m,€83.90m,€70.80m,€82.65m,€74.10m,€114.60m,€145.35m,€127.40m,€104.60m,€83.45m,€74.90m,€102.15m,€76.75m,€56.25m
Olympique Lyon,€239.95m,€305.95m,€350.95m,€397.70m,€431.35m,€384.55m,€467.95m,€363.80m,€211.35m,€166.30m,€144.65m,€108.50m,€155.65m,€163.85m,€190.25m,€208.30m,€211.70m,€213.35m,€236.45m,€173.23m,€133.90m
OGC Nice,€214.50m,€268.78m,€310.80m,€266.05m,€236.10m,€173.45m,€183.20m,€204.10m,€132.80m,€70.95m,€56.25m,€56.10m,€59.15m,€52.45m,€63.50m,€60.55m,€56.25m,€68.10m,€41.00m,€39.50m,€34.45m
