Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
Jagiellonia Bialystok,€15.95m,€21.78m,€14.88m,€13.10m,€20.05m,€18.65m,€21.98m,€18.03m,€12.53m,€13.33m,€13.00m,€11.63m,€11.30m,€11.53m,€14.15m,€10.45m,€6.65m,€7.98m,,,
Slask Wroclaw,€15.45m,€20.20m,€10.70m,€13.95m,€11.45m,€9.15m,€8.70m,€8.55m,€8.08m,€7.93m,€9.15m,€12.90m,€15.95m,€17.98m,€12.50m,€11.53m,€8.95m,,,,
Cracovia,€15.15m,€13.45m,€17.13m,€16.03m,€17.53m,€10.78m,€14.05m,€10.38m,€16.88m,€11.93m,€7.55m,€8.93m,,€9.78m,€13.45m,€10.95m,€10.20m,€9.38m,€9.90m,€9.13m,€10.55m
Zaglebie Lubin,€14.15m,€15.20m,€15.30m,€16.70m,€15.78m,€11.20m,€12.75m,€12.20m,€9.40m,€7.15m,,€12.58m,€13.15m,€11.98m,€11.15m,€12.60m,,€17.78m,€18.35m,€11.88m,€7.75m
Pogon Szczecin,€12.63m,€16.95m,€19.20m,€28.68m,€21.20m,€13.10m,€18.53m,€8.53m,€10.20m,€8.60m,€8.25m,€9.13m,€8.13m,,,,,,€9.85m,€13.33m,€11.23m
Lechia Gdansk,€11.78m,,€7.78m,€19.48m,€14.50m,€14.45m,€15.93m,€15.68m,€18.25m,€14.53m,€13.40m,€11.65m,€10.68m,€11.68m,€10.80m,€8.30m,€5.18m,,,,
Górnik Zabrze,€11.25m,€18.80m,€17.45m,€18.05m,€16.25m,€10.08m,€15.98m,€9.05m,,€6.73m,€6.90m,€13.15m,€13.83m,€10.63m,€8.75m,,€10.53m,€10.28m,€7.68m,€8.95m,€8.53m
Piast Gliwice,€10.53m,€11.70m,€12.68m,€16.75m,€13.90m,€11.83m,€13.00m,€9.13m,€9.53m,€9.48m,€7.20m,€10.20m,€8.85m,,,€8.60m,€5.85m,,,,
Widzew Lodz,€10.23m,€11.70m,€10.48m,,,,,,,,,€10.13m,€8.68m,€9.93m,€12.05m,,,€9.50m,€10.85m,,
Stal Mielec,€9.60m,€11.95m,€9.73m,€10.15m,€7.50m,,,,,,,,,,,,,,,,
Korona Kielce,€9.03m,€9.45m,€9.10m,,,€8.00m,€10.43m,€8.88m,€8.05m,€6.95m,€6.90m,€10.83m,€8.45m,€10.20m,€12.50m,€11.73m,,€14.10m,€15.20m,€13.50m,
Motor Lublin,€8.50m,,,,,,,,,,,,,,,,,,,,
Radomiak Radom,€8.23m,€18.58m,€11.43m,€12.53m,,,,,,,,,,,,,,,,,
GKS Katowice,€8.10m,,,,,,,,,,,,,,,,,,,,€7.30m
Puszcza Niepolomice,€7.65m,€8.90m,,,,,,,,,,,,,,,,,,,
Ruch Chorzow,,€8.88m,,,,,,,€9.10m,€6.68m,€6.95m,€7.83m,€9.75m,€9.25m,€13.53m,€10.73m,€7.98m,€8.23m,,,
LKS Lodz,,€7.85m,,,,€6.60m,,,,,,,,€9.60m,,,€8.15m,€9.53m,€10.68m,,
Warta Poznan,,€7.38m,€12.08m,€10.33m,€9.63m,,,,,,,,,,,,,,,,
Wisla Plock,,,€10.50m,€12.40m,€11.73m,€9.05m,€10.60m,€7.95m,€6.83m,,,,,,,,,,€9.35m,€11.63m,€11.18m
Miedz Legnica,,,€8.08m,,,,€8.70m,,,,,,,,,,,,,,
Wisla Kraków,,,,€13.23m,€14.88m,€10.10m,€11.65m,€12.46m,€11.70m,€10.53m,€9.15m,€12.25m,€15.35m,€24.35m,€26.83m,€28.88m,€29.95m,€35.00m,€30.18m,€36.73m,€38.88m
Podbeskidzie Bielsko-Biala,,,,,€7.05m,,,,,€6.13m,€5.20m,€7.25m,€7.58m,€7.78m,,,,,,,
Bruk-Bet Termalica Nieciecza,,,,€8.48m,,,,€8.80m,€6.45m,€5.98m,,,,,,,,,,,
Gornik Leczna,,,,€5.03m,,,,,€5.95m,€5.28m,€5.50m,,,,,,,,€8.65m,€9.55m,€10.03m
Arka Gdynia,,,,,,€8.88m,€10.18m,€8.73m,€6.68m,,,,,,€7.70m,€8.20m,€10.93m,,€8.90m,€5.18m,
Zaglebie Sosnowiec,,,,,,,€7.80m,,,,,,,,,,,€6.23m,,,
Sandecja Nowy Sacz,,,,,,,,€6.68m,,,,,,,,,,,,,
Polonia Warsaw,,,,,,,,,,,,,€15.03m,€15.05m,€19.33m,€17.60m,€15.30m,,,€8.70m,€8.98m
GKS Belchatow,,,,,,,,,,,€6.50m,,€8.55m,€8.95m,€11.00m,€12.08m,€14.25m,€14.23m,€16.08m,€9.65m,
Zawisza Bydgoszcz,,,,,,,,,,,€10.80m,€8.13m,,,,,,,,,
Polonia Bytom,,,,,,,,,,,,,,,€9.23m,€9.73m,€7.10m,€4.63m,,,
Odra Wodzislaw Slaski,,,,,,,,,,,,,,,,€10.48m,€7.28m,€7.63m,€8.93m,€9.65m,€13.35m
Dyskobolia Grodzisk Wielkopolski,,,,,,,,,,,,,,,,,,€13.73m,€11.73m,€14.50m,€20.15m
Amica Wronki,,,,,,,,,,,,,,,,,,,,€15.50m,€16.45m
FC Istres Ouest Provence,,,,,,,,,,,,,,,,,,,,,€18.50m
CS Sedan-Ardennes,,,,,,,,,,,,,,,,,,,€25.85m,,
