Club,2024/25,2023/24,2022/23,2021/22,2020/21
Karlsruher SC,€20.20m,€23.08m,€22.08m,€17.60m,€15.40m
1.FC Magdeburg,€17.80m,€18.05m,€17.50m,N/A,N/A
SV 07 Elversberg,€17.03m,€25.28m,N/A,N/A,N/A
Eintracht Braunschweig,€14.55m,€17.63m,€19.23m,N/A,€10.18m
SSV Ulm 1846,€13.05m,N/A,N/A,N/A,N/A
Preußen Münster,€10.95m,N/A,N/A,N/A,N/A
SSV Jahn Regensburg,€10.15m,N/A,€14.28m,€16.78m,€12.98m
FC St. Pauli,N/A,€42.08m,€25.05m,€25.68m,€23.23m
Holstein Kiel,N/A,€38.48m,€17.88m,€16.85m,€21.35m
SV Wehen Wiesbaden,N/A,€16.78m,N/A,N/A,N/A
FC Hansa Rostock,N/A,€14.65m,€14.30m,€13.50m,N/A
VfL Osnabrück,N/A,€14.10m,N/A,N/A,€13.15m
1.FC Heidenheim 1846,N/A,N/A,€25.20m,€18.35m,€20.50m
Arminia Bielefeld,N/A,N/A,€25.00m,N/A,N/A
SV Sandhausen,N/A,N/A,€15.43m,€16.98m,€14.53m
SV Werder Bremen,N/A,N/A,N/A,€62.10m,N/A
SG Dynamo Dresden,N/A,N/A,N/A,€14.20m,N/A
FC Ingolstadt 04,N/A,N/A,N/A,€13.83m,N/A
FC Erzgebirge Aue,N/A,N/A,N/A,€11.00m,€13.83m
VfL Bochum,N/A,N/A,N/A,N/A,€33.90m
Würzburger Kickers,N/A,N/A,N/A,N/A,€11.03m
US Sassuolo,€81.55m,N/A,N/A,N/A,N/A
Palermo FC,€48.88m,€42.70m,€31.70m,N/A,N/A
Pisa Sporting Club,€46.10m,€31.15m,€32.70m,€34.33m,N/A
US Cremonese,€37.30m,€43.55m,N/A,€43.60m,€18.14m
UC Sampdoria,€33.03m,€54.48m,N/A,N/A,N/A
Spezia Calcio,€31.73m,€52.68m,N/A,N/A,N/A
Frosinone Calcio,€25.80m,N/A,€40.13m,€30.73m,€18.78m
US Salernitana 1919,€24.50m,N/A,N/A,N/A,€27.00m
Cesena FC,€22.88m,N/A,N/A,N/A,N/A
Brescia Calcio,€21.35m,€21.15m,€21.10m,€36.15m,€44.35m
Modena FC,€19.93m,€20.20m,€20.98m,N/A,N/A
US Catanzaro,€18.30m,€23.63m,N/A,N/A,N/A
SSC Bari,€14.63m,€25.00m,€36.93m,N/A,N/A
Carrarese Calcio 1908,€13.18m,N/A,N/A,N/A,N/A
Cosenza Calcio,€12.75m,€20.85m,€17.90m,€18.03m,€12.64m
AC Reggiana 1919,€12.68m,€22.75m,N/A,N/A,€8.85m
FC Südtirol,€12.58m,€14.60m,€22.58m,N/A,N/A
AS Cittadella,€10.58m,€14.68m,€17.68m,€17.08m,€13.55m
SS Juve Stabia,€10.43m,N/A,N/A,N/A,N/A
Mantova 1911,€9.33m,N/A,N/A,N/A,N/A
Parma Calcio 1913,N/A,€79.15m,€52.50m,€64.10m,N/A
Como 1907,N/A,€54.08m,€31.13m,€18.53m,N/A
Venezia FC,N/A,€44.93m,€48.71m,N/A,€29.39m
Ternana Calcio,N/A,€25.88m,€19.35m,€17.25m,N/A
Ascoli Calcio,N/A,€19.31m,€23.48m,€20.95m,€20.48m
Feralpisalò,N/A,€12.10m,N/A,N/A,N/A
Calcio Lecco 1912,N/A,€11.20m,N/A,N/A,N/A
Genoa CFC,N/A,N/A,€67.98m,N/A,N/A
Cagliari Calcio,N/A,N/A,€41.83m,N/A,N/A
Reggina 1914,N/A,N/A,€24.23m,€17.35m,€17.74m
Benevento Calcio,N/A,N/A,€22.02m,€27.15m,N/A
SPAL,N/A,N/A,€19.98m,€31.13m,€47.70m
AC Perugia Calcio,N/A,N/A,€14.50m,€18.85m,N/A
AC Monza,N/A,N/A,N/A,€47.74m,€54.29m
US Lecce,N/A,N/A,N/A,€42.30m,€34.23m
FC Crotone,N/A,N/A,N/A,€27.18m,N/A
LR Vicenza,N/A,N/A,N/A,€19.60m,€11.10m
Pordenone Calcio,N/A,N/A,N/A,€17.33m,€18.90m
US Alessandria Calcio 1912,N/A,N/A,N/A,€14.13m,N/A
Empoli FC,N/A,N/A,N/A,N/A,€50.28m
Chievo Verona,N/A,N/A,N/A,N/A,€19.95m
AC Pisa 1909,N/A,N/A,N/A,N/A,€18.08m
Delfino Pescara 1936,N/A,N/A,N/A,N/A,€17.45m
Virtus Entella,N/A,N/A,N/A,N/A,€12.18m
FC Lorient,€66.20m,N/A,N/A,N/A,N/A
Paris FC,€28.10m,€22.25m,€25.25m,€26.15m,€18.35m
FC Metz,€25.70m,N/A,€55.30m,N/A,N/A
SM Caen,€22.40m,€27.40m,€24.15m,€28.30m,€22.65m
ESTAC Troyes,€19.05m,€27.65m,N/A,N/A,€28.85m
Clermont Foot 63,€13.45m,N/A,N/A,N/A,€24.05m
Amiens SC,€13.20m,€29.30m,€28.85m,€28.55m,€52.05m
Grenoble Foot 38,€12.75m,€13.35m,€15.60m,€17.20m,€15.15m
EA Guingamp,€12.43m,€16.55m,€23.00m,€22.80m,€23.45m
Pau FC,€11.60m,€15.88m,€13.95m,€16.95m,€13.30m
SC Bastia,€11.00m,€17.90m,€15.80m,€13.40m,N/A
AC Ajaccio,€10.80m,€15.25m,N/A,€24.40m,€17.90m
Red Star FC,€10.60m,N/A,N/A,N/A,N/A
Stade Lavallois,€9.63m,€12.30m,€11.45m,N/A,N/A
USL Dunkerque,€9.58m,€16.15m,N/A,€13.90m,€11.75m
Rodez AF,€9.25m,€16.15m,€15.65m,€14.15m,€14.40m
FC Annecy,€7.40m,€13.75m,€14.30m,N/A,N/A
FC Martigues,€7.25m,N/A,N/A,N/A,N/A
AS Saint-Étienne,N/A,€47.20m,€66.50m,N/A,N/A
Angers SCO,N/A,€42.05m,N/A,N/A,N/A
AJ Auxerre,N/A,€31.70m,N/A,€24.55m,€17.30m
FC Girondins Bordeaux,N/A,€28.85m,€51.55m,N/A,N/A
Valenciennes FC,N/A,€19.70m,€22.85m,€22.75m,€24.55m
Quevilly - Rouen Métropole,N/A,€13.20m,N/A,N/A,N/A
US Concarneau,N/A,€9.00m,N/A,N/A,N/A
Le Havre AC,N/A,N/A,€50.10m,€31.30m,€18.28m
FC Sochaux-Montbéliard,N/A,N/A,€30.75m,€22.95m,€19.75m
Nîmes Olympique,N/A,N/A,€23.30m,€30.13m,N/A
Dijon FCO,N/A,N/A,€18.70m,€27.65m,N/A
Quevilly Rouen Métropole,N/A,N/A,€13.75m,€15.40m,N/A
Chamois Niortais FC,N/A,N/A,€12.65m,€21.00m,€18.20m
FC Toulouse,N/A,N/A,N/A,€55.05m,€58.83m
AS Nancy-Lorraine,N/A,N/A,N/A,€16.55m,€17.65m
LB Châteauroux,N/A,N/A,N/A,N/A,€15.55m
FC Chambly Oise,N/A,N/A,N/A,N/A,€12.75m
Wisla Kraków,€7.68m,€8.33m,€7.43m,N/A,N/A
Miedz Legnica,€7.43m,€5.68m,N/A,€6.58m,€4.75m
Ruch Chorzow,€5.90m,N/A,€5.80m,N/A,N/A
Arka Gdynia,€5.80m,€6.38m,€4.95m,€5.73m,€6.35m
LKS Lodz,€5.65m,N/A,€6.80m,€4.35m,€5.68m
Bruk-Bet Termalica Nieciecza,€5.45m,€5.18m,€6.13m,N/A,€5.55m
