Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
D1,2004/5,14/08/2004,Hansa Rostock,Werder Bremen,A,€25.90m,€98.48m,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.25,2.0,3.2,3.3,2.15,2.9,3.0,2.2,2.75,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9,3.2,2.15,0,0,0,1.9964285714285712,1.007908776646387,3.61660912840733,0.5048559167459542,0.26411960132890366,0.08913294354035825,2.1035714285714286,1.1054191651189356,3.5980913884502432,0.5254963773061153,0.267402376910017,0.09107190346083335,1.5785714285714285,0.5805521650347458,3.707663213544667,0.3677706022844544,0.18810601163542331,0.08101602219951959,A
D1,2004/5,14/08/2004,Mainz,Hamburg,H,€16.73m,€65.60m,2.6,3.2,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.5,2.65,3.3,2.5,2.5,3.0,2.5,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.25,2.4,0,0,0,1.7821428571428573,0.7832184385271965,3.663303336254497,0.43948128815153303,0.22373318064700845,0.08517949148078574,2.1035714285714286,1.1055806951414209,3.5980537039273925,0.525573165771813,0.26788746058695134,0.0910706087307486,1.727142857142857,0.7281133013424742,3.675182594152443,0.4215709767905144,0.2144038756941982,0.08408320275526784,A
D1,2004/5,14/08/2004,M'gladbach,Dortmund,A,€50.93m,€78.33m,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.5,2.45,3.3,2.7,2.3,3.0,2.7,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,0,0,0,1.7249999999999999,0.7277043159337255,3.6752179916421106,0.4218575744543337,0.21724341910677317,0.08402937190846275,2.0964285714285715,1.0987759887572115,3.5993334360966056,0.5241180184872559,0.26807009004623994,0.09094675227812339,1.7857142857142858,0.7881779556647841,3.6622005110297513,0.44137965517227906,0.22628571428571445,0.08524064181109003,H
D1,2004/5,14/08/2004,Nurnberg,Stuttgart,D,€34.90m,€79.50m,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.3,2.05,3.25,3.15,2.2,2.9,3.0,2.2,2.8,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,2.88,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.2,2.3,0,1,0,1.9607142857142856,0.9720998206071687,3.6237271021291315,0.49578861524591483,0.25951079885506123,0.08848938257825101,2.092857142857143,1.094606443113744,3.600156301647941,0.523020143467318,0.266455387615797,0.0908909256198817,1.5999999999999999,0.6020797289396148,3.7028755254790453,0.37629983058725924,0.19292091836734684,0.08146406797471006,A
D1,2004/5,14/08/2004,Schalke 04,Kaiserslautern,H,€86.33m,€33.75m,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.7,6.0,1.51,3.8,6.45,1.5,3.7,5.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0,1.2550000000000001,0.25516801187788857,3.777333113093251,0.20332112500230162,0.10289454427189207,0.07437814768922066,2.292857142857143,1.2969548321875723,3.563048053915032,0.565650082574019,0.2908322207387628,0.09410449467721994,3.4250000000000003,2.443997749589798,3.4036550732234447,0.7135759852816929,0.3699538209444363,0.10710908860742047,H
D1,2004/5,15/08/2004,Bochum,Leverkusen,D,€31.40m,€86.93m,2.37,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.5,2.45,3.2,2.8,2.2,3.0,2.9,2.38,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.75,0,1,0,1.6857142857142855,0.6887329389716232,3.68370840341941,0.40857038752553926,0.21083535108958842,0.08323070600715043,2.085714285714286,1.087498533895329,3.6015136819238758,0.5214034066621439,0.2656555772994129,0.09076885895292698,1.8478571428571429,0.8524266082478771,3.648531249715282,0.4613054702539729,0.23896957314042724,0.08643337732714501,H
D1,2004/5,15/08/2004,Wolfsburg,Freiburg,A,€59.30m,€22.43m,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.6,4.7,1.65,3.5,5.3,1.65,3.3,4.4,1.62,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,1,1.315,0.31524933442775555,3.765505054977548,0.2397333341655936,0.12155660743384814,0.07552775916725082,2.2142857142857144,1.216468626133591,3.5774806537811177,0.5493729279312992,0.28064516129032246,0.09289108197660977,2.957142857142857,1.9751001007957207,3.459455047984787,0.6679082466458958,0.34886128364389235,0.10258497686934741,H
D1,2004/5,28/08/2004,Bielefeld,Bochum,A,€24.65m,€31.40m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.3,2.6,2.45,3.35,2.7,2.4,3.0,2.6,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,0,0,0,1.6964285714285712,0.6970510039020218,3.681961459433939,0.4108932233527708,0.20796992481203005,0.08346294207823735,2.1,1.1027562870242131,3.598557658186864,0.5251220414401014,0.2691933916423711,0.09100407855407305,1.8142857142857145,0.8157880877296706,3.656355721903151,0.4496469774887948,0.22947131608548935,0.08580654724702053,H
D1,2004/5,28/08/2004,Freiburg,M'gladbach,D,€22.43m,€50.93m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.5,1.95,3.35,3.7,2.1,3.0,3.1,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,1.4864285714285717,0.4884758678475199,3.728177222074527,0.32862384189645744,0.16932106816777662,0.07907281186588552,2.1107142857142853,1.1131003310298562,3.5966096292253003,0.527357178829712,0.26939811457577945,0.09118819086458824,2.207142857142857,1.214474775197837,3.577568917308541,0.5502474709634213,0.28502080443827993,0.09273297626885081,H
D1,2004/5,28/08/2004,Hamburg,Nurnberg,H,€65.60m,€34.90m,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.2,1.8,3.45,4.25,1.75,3.2,4.0,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,0,1.4000000000000001,0.4013370510822899,3.747336909959781,0.28666932220163566,0.14686588921282798,0.0772588533473939,2.1535714285714285,1.1556482852423888,3.588649543631976,0.5366194359334475,0.27398720682302746,0.09190621436196342,2.4785714285714286,1.4882533249362062,3.5305832328150673,0.6004480273517835,0.3112391930835736,0.09676529521514764,H
