Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,2004/5,14/08/2004,Ankaragucu,Istanbulspor,D,€32.76m,€27.55m,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.3,3.7,1.7,3.25,4.4,1.85,3.2,3.5,1.8,3.4,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.3,4.0,0,0,0,1.3907142857142858,0.39267333362322365,3.74919765694071,0.28235370676554356,0.14604886638784956,0.07706653294413791,2.15,1.1510864433221337,3.589545392468519,0.5353890434056436,0.27195064072140485,0.09185538708418191,2.442857142857143,1.4568627181693674,3.5354744171610206,0.5963765512974019,0.3111946532999166,0.09623308666524864,H
T1,2004/5,14/08/2004,Ankaraspor,Malatyaspor,A,€32.75m,€33.95m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.35,2.6,2.25,3.25,2.7,2.2,3.0,2.9,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.25,2.85,0,0,0,1.6214285714285714,0.6224130133469844,3.698393912581194,0.3838670566897701,0.1957205789804908,0.08191586066004426,2.1035714285714286,1.1057422015671332,3.5980165904261963,0.5256499430200293,0.2681300024254185,0.09106934892458182,1.8750000000000002,0.8774455620069626,3.6433967632702027,0.4679709664037134,0.2401360544217687,0.08696613338328096,H
T1,2004/5,14/08/2004,Diyarbakirspor,Kayserispor,H,€22.93m,€30.03m,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.15,4.45,1.75,3.1,4.35,1.7,3.3,4.0,1.67,3.6,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.6,5.0,0,0,0,1.3492857142857144,0.3524701463693523,3.7577441684068336,0.26122721276712185,0.1355592528170613,0.07622104763880075,2.1821428571428574,1.189178459342106,3.58220876915734,0.544959032104402,0.2825578676642505,0.09233256509150922,2.6285714285714286,1.647369579242085,3.5054248607845837,0.626716687755141,0.32628105590062106,0.09870669306276639,H
T1,2004/5,14/08/2004,Fenerbahce,Samsunspor,H,€90.60m,€34.65m,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.25,5.0,8.0,1.3,4.2,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.5,10.0,0,0,0,1.135,0.13730830793717994,3.7968083567924795,0.12097648276403518,0.06351703677065548,0.07245516278152168,2.8057142857142856,1.8174342758236885,3.481132748422415,0.6477617072691354,0.3363034623217923,0.10092532510664975,4.875,3.9582080180664727,3.273866587973463,0.8119401062700456,0.4251700680272108,0.11626323862292444,H
T1,2004/5,15/08/2004,Genclerbirligi,Besiktas,D,€46.95m,€76.25m,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,2.95,3.4,2.1,3.0,3.0,2.2,2.9,3.0,2.2,2.75,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.25,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,0,1,0,2.025,1.0463798135886004,3.608782942306322,0.5167307721425187,0.2694633408919125,0.08957058652204708,2.1,1.1043744189100257,3.598172165357397,0.5258925804333455,0.2708940719144799,0.09099068114843872,1.55,0.5577377776082849,3.712555374687794,0.35983082426340957,0.18729427254772893,0.08039833584195909,A
T1,2004/5,15/08/2004,Konyaspor,Rizespor,D,€37.25m,€22.85m,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.6,1.95,3.15,3.4,1.85,3.2,3.5,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.25,3.3,0,0,0,1.4685714285714284,0.4699370344275184,3.732293968917724,0.3199960351160145,0.16432740411339622,0.07869764029401158,2.092857142857143,1.0944432933912014,3.60019417909497,0.5229421879684923,0.265967820575329,0.0908922151247148,2.210714285714286,1.213345224020378,3.578023350595644,0.5488475972951629,0.28098315255019624,0.0928301609404657,H
T1,2004/5,15/08/2004,Sakaryaspor,Denizlispor,A,€14.85m,€27.24m,2.6,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.4,2.2,2.6,3.2,2.35,2.8,3.1,2.2,2.5,3.25,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.25,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.2,2.3,0,0,0,1.832142857142857,0.8350806511215254,3.6522308018167444,0.45579450743475075,0.23461431356168208,0.08614266831274253,2.1142857142857143,1.11586426648786,3.596133444299661,0.5277736395550688,0.26858108108108103,0.09125555651875582,1.6478571428571431,0.6500459167455412,3.6922494226613503,0.3944795333523006,0.20301566660474327,0.0824577517982922,A
T1,2004/5,15/08/2004,Trabzonspor,A. Sebatspor,H,€63.60m,€26.73m,1.22,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.25,4.85,8.5,1.3,4.2,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.5,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.3,8.0,0,0,0,1.1400000000000001,0.14157279803287476,3.7962274535581004,0.1241866649411182,0.06453634085213047,0.0725167247431106,2.762857142857143,1.7734970642024457,3.4874072148259296,0.6419069001766866,0.33258236076229863,0.10042825371447284,4.660714285714286,3.668893301967841,3.2979068425630826,0.7871954977402265,0.4025725232621784,0.11546060590835609,H
T1,2004/5,21/08/2004,Denizlispor,Besiktas,H,€27.24m,€76.25m,3.0,3.25,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.2,2.1,3.25,3.25,2.0,2.9,3.0,2.2,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.1,0,0,0,2.0357142857142856,1.039475927610463,3.6107108719488616,0.5106197539139117,0.26265664160401003,0.08988772121009425,2.096428571428571,1.0979630955472381,3.5995248829545314,0.5237302670412721,0.26587977610124125,0.0909533506178029,1.542857142857143,0.5447335989982176,3.7156548653067745,0.35306807342477065,0.1812169312169313,0.08026483777293746,A
T1,2004/5,21/08/2004,Genclerbirligi,Ankaraspor,D,€46.95m,€32.75m,1.615,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.5,1.6,3.55,4.6,1.6,3.4,4.6,1.62,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.15,0,0,0,1.3039285714285713,0.3055216766417061,3.7674702204885446,0.23430859890352698,0.12096490198380075,0.07531278937684584,2.225,1.2257286462695216,3.5758788924117217,0.5508892792222568,0.2787204769548268,0.09307385296892921,2.917857142857143,1.9474898810352506,3.4623377508591657,0.6674383925212608,0.35119776184647666,0.10206992347825042,H
T1,2004/5,21/08/2004,Istanbulspor,Fenerbahce,A,€27.55m,€90.60m,6.0,3.75,1.444,1.0,1.0,1.0,1.0,1.0,1.0,6.75,3.65,1.45,6.0,3.55,1.48,4.8,3.5,1.55,5.0,3.6,1.57,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,3.6,1.44,0,0,0,3.432142857142857,2.477585744721861,3.3981215614131237,0.7218772201062654,0.3806302958228035,0.10699315047178562,2.2964285714285713,1.2977266228890822,3.56306155884508,0.5651064609781385,0.28715840924239067,0.09418264061027797,1.2452857142857143,0.2476640664204607,3.7787312386983776,0.1988813198282924,0.10382831577049781,0.07420937310420593,A
T1,2004/5,21/08/2004,Malatyaspor,Trabzonspor,A,€33.95m,€63.60m,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.55,3.3,1.9,3.0,3.3,2.05,2.9,3.0,2.2,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.1,0,0,0,2.067857142857143,1.078127865272738,3.6029583991469325,0.5213744426189406,0.27152726375524305,0.09039560300133337,2.107142857142857,1.109191652713353,3.5973657061648696,0.5263960385758285,0.26828087167070214,0.09113064254908639,1.5250000000000001,0.5287282585871229,3.7191819240025183,0.3467070548112281,0.18016058882569444,0.07988241472829212,A
T1,2004/5,21/08/2004,Samsunspor,Konyaspor,D,€34.65m,€37.25m,1.833,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.8,3.3,3.8,1.8,3.1,3.8,1.83,3.4,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,1.4152142857142855,0.4159024917610632,3.7441802707294745,0.2938795177234586,0.14981866162908933,0.07757657231043899,2.142857142857143,1.144842026353908,3.5906638731837504,0.5342596122984904,0.2726190476190474,0.09172947442075448,2.3464285714285715,1.3497968479042486,3.5539334355154835,0.5752558864736523,0.2938682322243966,0.09491888805510901,H
T1,2004/5,22/08/2004,A. Sebatspor,Diyarbakirspor,D,€26.73m,€22.93m,2.25,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.3,2.55,2.35,3.2,2.6,2.5,3.0,2.5,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.25,2.4,0,1,0,1.6878571428571427,0.6911602932897752,3.6831729092014704,0.4094898055885254,0.21162565745722753,0.08327275308378551,2.1,1.1017842671905294,3.598785956074291,0.524659174852633,0.26700680272108845,0.09101194361065672,1.7978571428571428,0.8022217236385156,3.6591343061789763,0.44620993766147077,0.23108575969124237,0.08546608734529071,H
T1,2004/5,22/08/2004,Galatasaray,Rizespor,H,€79.65m,€22.85m,1.25,5.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.3,4.75,7.0,1.3,4.2,8.0,1.29,4.33,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.0,8.0,0,0,0,1.147857142857143,0.14866926723572754,3.7952354140042024,0.129518963366533,0.06671704151480154,0.07261910514064009,2.722142857142857,1.7363639289842296,3.492506722113475,0.6378665706055948,0.332327473104172,0.09990806753996803,4.589285714285714,3.612487200739984,3.300816311787699,0.7871567441301133,0.4077265147304058,0.11501401697202612,H
T1,2004/5,22/08/2004,Gaziantepspor,Sakaryaspor,H,€38.60m,€14.85m,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.5,1.45,3.6,6.5,1.5,3.7,5.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.6,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,1.2242857142857144,0.22746159128565874,3.7824300962064665,0.18579126476074814,0.09743290548424724,0.07383990917911654,2.3321428571428577,1.3337122123254788,3.556800285533894,0.5718827250400214,0.2908553926930648,0.09472116307307499,3.7142857142857144,2.7691817107114467,3.3678375957858617,0.7455489221146202,0.3914835164835164,0.1092181668166105,H
T1,2004/5,22/08/2004,Kayserispor,Ankaragucu,D,€30.03m,€32.76m,2.4,3.4,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.3,2.35,2.35,3.25,2.55,2.3,3.0,2.7,2.4,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.55,3.25,2.35,0,1,0,1.7214285714285713,0.7249912033245363,3.6757830569072394,0.42115671562421203,0.2178423236514523,0.0839521205339469,2.1142857142857143,1.1171437705513254,3.5958238558365143,0.5283788103958972,0.27051158301158296,0.09124457797394905,1.7464285714285717,0.751537539627521,3.669983542956341,0.4303282435495007,0.22363423897166226,0.08444419906032719,No Consensus
