Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,18/09/05,Lazio,Treviso,3.0,1.0,H,2.0,1.0,H,1.61,3.4,6.0,1.65,3.15,5.75,P. Mazzoleni,13.0,5.0,6.0,1.0,23.0,23.0,7.0,1.0,0.0,0.0,0.0,1.0
I1,18/09/05,Livorno,Roma,0.0,0.0,D,0.0,0.0,D,3.4,3.0,2.2,3.1,3.1,2.2,M. Trefoloni,6.0,8.0,4.0,5.0,17.0,13.0,5.0,3.0,2.0,2.0,0.0,0.0
I1,18/09/05,Reggina,Chievo,1.0,3.0,A,1.0,1.0,D,2.37,2.87,3.25,2.3,2.85,3.15,S. Racalbuto,16.0,8.0,8.0,5.0,11.0,12.0,5.0,3.0,3.0,2.0,0.0,1.0
I1,18/09/05,Sampdoria,Milan,2.0,1.0,H,1.0,1.0,D,4.5,3.2,1.83,4.2,3.15,1.83,P. Bertini,7.0,12.0,4.0,5.0,20.0,16.0,4.0,7.0,3.0,1.0,0.0,0.0
I1,18/09/05,Siena,Palermo,1.0,2.0,A,1.0,1.0,D,2.6,2.87,2.6,2.75,2.85,2.6,G. Rocchi,10.0,14.0,3.0,10.0,13.0,15.0,4.0,6.0,3.0,2.0,0.0,0.0
I1,21/09/05,Ascoli,Siena,1.0,1.0,D,0.0,1.0,A,2.3,2.9,3.25,2.45,2.9,2.9,N. Stefanini,7.0,8.0,2.0,4.0,28.0,19.0,3.0,3.0,1.0,2.0,0.0,0.0
I1,21/09/05,Chievo,Inter,0.0,1.0,A,0.0,0.0,D,5.5,3.1,1.72,4.9,3.25,1.7,E. Morganti,6.0,17.0,2.0,10.0,22.0,18.0,1.0,7.0,2.0,2.0,0.0,0.0
I1,21/09/05,Empoli,Cagliari,3.0,1.0,H,0.0,1.0,A,2.3,2.9,3.3,2.35,2.9,3.0,N. Rizzoli,8.0,9.0,4.0,5.0,22.0,16.0,8.0,5.0,3.0,2.0,0.0,0.0
I1,21/09/05,Lecce,Fiorentina,1.0,3.0,A,1.0,0.0,H,3.75,3.0,2.1,3.75,3.0,2.0,M. De Santis,10.0,14.0,4.0,9.0,18.0,16.0,2.0,6.0,3.0,1.0,1.0,0.0
I1,21/09/05,Messina,Livorno,0.0,0.0,D,0.0,0.0,D,2.2,2.87,3.6,2.2,2.8,3.45,R. Rosetti,10.0,5.0,7.0,3.0,16.0,13.0,7.0,1.0,1.0,0.0,0.0,0.0
