Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,18/09/05,Osasuna,Sevilla,1,0,H,0,0,D,2.5,3.2,2.75,2.7,3.0,2.5,10.0,15.0,5.0,2.0,21.0,26.0,1.0,7.0,3.0,4.0,1.0,1.0
SP1,21/09/05,Barcelona,Valencia,2,2,D,1,0,H,1.57,3.6,6.0,1.5,3.6,6.25,10.0,5.0,5.0,4.0,30.0,25.0,7.0,0.0,3.0,2.0,0.0,0.0
SP1,21/09/05,Getafe,Mallorca,1,1,D,1,0,H,1.9,3.25,4.0,1.8,3.4,3.95,16.0,12.0,5.0,3.0,24.0,17.0,3.0,4.0,3.0,2.0,0.0,0.0
SP1,21/09/05,La Coruna,Betis,1,1,D,1,1,D,2.0,3.3,3.5,2.0,3.15,3.5,17.0,11.0,6.0,3.0,21.0,19.0,5.0,1.0,5.0,5.0,0.0,0.0
SP1,21/09/05,Malaga,Alaves,0,0,D,0,0,D,1.83,3.3,4.33,2.0,3.15,3.5,13.0,6.0,4.0,1.0,25.0,14.0,4.0,5.0,2.0,2.0,1.0,0.0
SP1,21/09/05,Santander,Espanol,1,0,H,0,0,D,2.3,3.25,2.87,2.4,3.05,2.8,13.0,11.0,7.0,3.0,19.0,19.0,7.0,4.0,3.0,5.0,0.0,1.0
SP1,21/09/05,Sevilla,Cadiz,0,0,D,0,0,D,1.57,3.6,6.0,1.55,3.5,5.75,25.0,3.0,4.0,1.0,20.0,17.0,14.0,6.0,3.0,6.0,0.0,0.0
SP1,21/09/05,Sociedad,Ath Madrid,3,2,H,0,2,A,2.37,3.2,2.8,2.7,3.0,2.5,21.0,14.0,9.0,6.0,16.0,25.0,7.0,4.0,2.0,3.0,0.0,0.0
SP1,21/09/05,Villarreal,Celta,1,2,A,0,1,A,1.66,3.6,5.0,1.7,3.3,4.75,14.0,11.0,4.0,5.0,17.0,16.0,3.0,5.0,1.0,2.0,0.0,0.0
SP1,21/09/05,Zaragoza,Osasuna,3,1,H,0,0,D,1.8,3.25,4.33,1.8,3.2,4.25,22.0,6.0,11.0,3.0,20.0,17.0,3.0,1.0,2.0,3.0,0.0,0.0
SP1,22/09/05,Real Madrid,Ath Bilbao,3,1,H,0,1,A,1.44,4.0,7.5,1.4,4.0,7.5,16.0,21.0,9.0,5.0,19.0,20.0,6.0,4.0,1.0,5.0,1.0,0.0
SP1,24/09/05,Ath Madrid,Getafe,0,1,A,0,0,D,1.66,3.4,5.5,1.65,3.35,5.0,12.0,12.0,4.0,4.0,21.0,27.0,8.0,2.0,3.0,4.0,0.0,1.0
SP1,24/09/05,Betis,Barcelona,1,4,A,1,1,D,3.4,3.25,2.1,3.65,3.15,1.95,9.0,23.0,5.0,10.0,19.0,17.0,1.0,7.0,4.0,2.0,1.0,0.0
SP1,24/09/05,Espanol,Villarreal,1,2,A,0,1,A,2.3,3.2,3.0,2.4,3.0,2.85,9.0,13.0,3.0,4.0,9.0,12.0,8.0,3.0,1.0,1.0,0.0,0.0
SP1,24/09/05,Valencia,Sociedad,2,1,H,1,0,H,1.5,3.75,7.0,1.55,3.5,5.85,11.0,11.0,8.0,4.0,20.0,12.0,5.0,8.0,2.0,1.0,0.0,0.0
SP1,24/09/05,Zaragoza,La Coruna,1,1,D,1,1,D,2.4,3.25,2.8,2.35,3.05,2.9,15.0,16.0,7.0,5.0,22.0,15.0,8.0,7.0,2.0,1.0,0.0,0.0
SP1,25/09/05,Alaves,Real Madrid,0,3,A,0,0,D,6.0,3.4,1.61,6.0,3.45,1.55,17.0,20.0,6.0,7.0,17.0,24.0,7.0,10.0,1.0,3.0,0.0,0.0
SP1,25/09/05,Ath Bilbao,Santander,0,0,D,0,0,D,1.72,3.3,5.0,1.65,3.35,5.0,17.0,5.0,3.0,1.0,16.0,29.0,17.0,5.0,3.0,6.0,0.0,0.0
SP1,25/09/05,Celta,Sevilla,2,1,H,2,0,H,2.2,3.2,3.25,2.4,3.0,2.85,12.0,9.0,5.0,3.0,22.0,24.0,4.0,6.0,2.0,5.0,0.0,0.0
