Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,2004/5,11/09/2004,Ath Bilbao,Valencia,D,53.05,195.9,2,2,2,2,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0,1,1.8286,0.8327,3.6527,0.4554,0.2355,0.0861,2.0679,1.069,3.6051,0.517,0.2626,0.0905,1.7054,0.707,3.6798,0.4146,0.2123,0.0836,A
SP1,2004/5,11/09/2004,Barcelona,Sevilla,H,273.03,70.55,2,2,2,0,1.444,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.6,7.5,0,0,0,0,1.207,0.208,3.7859,0.1723,0.089,0.0735,2.4143,1.4186,3.5423,0.5876,0.3016,0.0959,4.1429,3.1576,3.3365,0.7622,0.3935,0.1125,H
SP1,2004/5,11/09/2004,Real Madrid,Numancia,H,303.7,13.4,2,2,1,0,1.2,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.0,11.0,0,0,0,0,1.1,0.1,3.8014,0.0909,0.0455,0.072,3.2071,2.225,3.4285,0.6938,0.361,0.1051,6.3214,5.3706,3.2012,0.8496,0.4435,0.1219,H
SP1,2004/5,12/09/2004,Albacete,Ath Madrid,A,17.75,125.65,2,2,0,2,2.75,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,0,1.78,0.7838,3.6631,0.4404,0.2275,0.0851,2.075,1.0768,3.6036,0.519,0.2649,0.0906,1.7664,0.768,3.6666,0.4348,0.2208,0.0849,A
SP1,2004/5,12/09/2004,Betis,Espanol,A,85.15,45.15,2,2,1,4,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.7,2.0,3.25,3.7,1.9,3.0,3.6,1.833,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,1,1,1.4595,0.4612,3.7342,0.316,0.1623,0.0785,2.1,1.1016,3.5988,0.5246,0.2663,0.091,2.3036,1.309,3.5609,0.5682,0.2922,0.0943,H
SP1,2004/5,12/09/2004,Getafe,Mallorca,A,13.85,42.65,2,2,1,2,2.375,3.2,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,0,0,0,1.6854,0.6879,3.6839,0.4081,0.2096,0.0832,2.0482,1.0527,3.6081,0.5139,0.2642,0.0901,1.8746,0.8812,3.6425,0.47,0.2441,0.0869,H
SP1,2004/5,12/09/2004,La Coruna,Osasuna,A,144.45,26.7,2,2,1,3,1.444,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,1,1,1.2446,0.2454,3.7792,0.1972,0.1012,0.0742,2.2893,1.2923,3.5639,0.5645,0.2889,0.0941,3.6107,2.6177,3.3864,0.725,0.3717,0.1087,H
SP1,2004/5,12/09/2004,Levante,Santander,H,24.25,32.9,2,2,3,1,2.1,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.2,2.1,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.1,3.1,0,0,0,0,1.5429,0.5447,3.7157,0.3531,0.1812,0.0803,2.075,1.0765,3.6036,0.5188,0.2642,0.0906,2.1,1.1026,3.5986,0.525,0.2687,0.091,H
SP1,2004/5,12/09/2004,Malaga,Zaragoza,D,32.85,51.13,2,2,0,0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,3.0,2.2,3.1,3.35,2.0,3.0,3.3,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.1,3.1,0,1,0,1,1.5607,0.5626,3.7117,0.3605,0.1852,0.0806,2.0821,1.0842,3.6021,0.5207,0.2662,0.0907,2.0536,1.0611,3.6063,0.5167,0.2687,0.0902,H
SP1,2004/5,12/09/2004,Villarreal,Sociedad,D,66.25,53.55,2,2,0,0,1.727,3.25,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.2,1.8,3.35,4.5,1.85,3.1,3.6,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.3,3.6,0,0,0,0,1.3969,0.3979,3.7481,0.2848,0.1459,0.0772,2.1286,1.1297,3.5935,0.5308,0.2694,0.0915,2.5345,1.5576,3.5188,0.6146,0.3232,0.0974,H
