Total Matches,Number of Upsets,Percentage of Upsets,Average Upset Odds,File
6146,1369,22.27,4.1,Bundesliga1
6073,1165,19.18,4.25,Eredivisie
4563,879,19.26,4.09,EthnikiKatigoria
6309,1392,22.06,3.89,FutbolLigi1
4992,1092,21.88,4.03,JupilerLeague
7671,1627,21.21,4.14,LaLigaPrimeraDivision
7427,1593,21.45,3.95,LeChampionnat
5627,1118,19.87,4.0,LigaI
7686,1601,20.83,4.23,PremierLeague
4555,952,20.9,3.98,ScotishPremierLeague
7605,1502,19.75,4.11,SerieA
