Total Matches,Number of Upsets,Percentage of Upsets,Average Upset Odds,File
6246,1428,22.86,4.23,Bundesliga1
6189,1189,19.21,4.46,Eredivisie
4817,940,19.51,4.3,EthnikiKatigoria
6462,1439,22.27,4.01,FutbolLigi1
5504,1198,21.77,4.18,JupilerLeague
7772,1668,21.46,4.28,LaLigaPrimeraDivision
7554,1654,21.9,4.07,LeChampionnat
5721,1158,20.24,4.14,LigaI
7796,1644,21.09,4.43,PremierLeague
4629,994,21.47,4.13,ScotishPremierLeague
7741,1519,19.62,4.27,SerieA
