Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
SC0,28/08/2004,Hibernian,Dundee,D,2.0,3.25,3.25,2.1,3.2,3.1,2004/5,€13.25m,€9.05m,50.0,47.619,30.7692,31.25,30.7692,32.2581,H,48.8095,1.6836,31.0096,0.34,31.5136,1.0528,ScotishPremierLeague
SC0,28/08/2004,Motherwell,Hearts,H,2.75,3.25,2.25,2.75,3.1,2.35,2004/5,€4.83m,€11.08m,36.3636,36.3636,30.7692,32.2581,44.4444,42.5532,A,36.3636,0.0,31.5136,1.0528,43.4988,1.3373,ScotishPremierLeague
SC0,29/08/2004,Celtic,Rangers,H,2.0,3.2,3.75,1.85,3.25,3.75,2004/5,€77.55m,€80.78m,50.0,54.0541,31.25,30.7692,26.6667,26.6667,H,52.027,2.8667,31.0096,0.34,26.6667,0.0,ScotishPremierLeague
SC0,29/08/2004,Kilmarnock,Dunfermline,H,2.0,3.25,3.25,2.2,3.1,3.0,2004/5,€3.78m,€6.03m,50.0,45.4545,30.7692,32.2581,30.7692,33.3333,H,47.7272,3.2142,31.5136,1.0528,32.0513,1.8131,ScotishPremierLeague
SC0,11/09/2004,Celtic,Dundee,H,1.125,7.0,12.0,1.15,6.5,11.0,2004/5,€77.55m,€9.05m,88.8889,86.9565,14.2857,15.3846,8.3333,9.0909,H,87.9227,1.3664,14.8352,0.777,8.7121,0.5357,ScotishPremierLeague
SC0,11/09/2004,Dundee United,Aberdeen,D,2.25,3.25,2.75,2.25,3.3,2.75,2004/5,€8.13m,€6.88m,44.4444,44.4444,30.7692,30.303,36.3636,36.3636,H,44.4444,0.0,30.5361,0.3297,36.3636,0.0,ScotishPremierLeague
SC0,11/09/2004,Dunfermline,Motherwell,D,2.3,3.2,2.7,2.35,3.15,2.7,2004/5,€6.03m,€4.83m,43.4783,42.5532,31.25,31.746,37.037,37.037,H,43.0157,0.6541,31.498,0.3507,37.037,0.0,ScotishPremierLeague
SC0,11/09/2004,Inverness C,Hibernian,A,2.5,3.2,2.5,2.35,3.25,2.65,2004/5,€2.38m,€13.25m,40.0,42.5532,31.25,30.7692,40.0,37.7358,H,41.2766,1.8054,31.0096,0.34,38.8679,1.601,ScotishPremierLeague
SC0,11/09/2004,Livingston,Kilmarnock,A,2.25,3.25,2.75,2.25,3.2,2.8,2004/5,€9.75m,€3.78m,44.4444,44.4444,30.7692,31.25,36.3636,35.7143,H,44.4444,0.0,31.0096,0.34,36.039,0.4591,ScotishPremierLeague
SC0,12/09/2004,Hearts,Rangers,D,5.5,3.6,1.615,4.5,3.5,1.65,2004/5,€11.08m,€80.78m,18.1818,22.2222,27.7778,28.5714,61.9195,60.6061,A,20.202,2.857,28.1746,0.5612,61.2628,0.9287,ScotishPremierLeague
SC0,18/09/2004,Dundee,Livingston,D,2.1,3.25,3.2,2.0,3.2,3.35,2004/5,€9.05m,€9.75m,47.619,50.0,30.7692,31.25,31.25,29.8507,H,48.8095,1.6836,31.0096,0.34,30.5504,0.9895,ScotishPremierLeague
SC0,18/09/2004,Kilmarnock,Aberdeen,A,2.25,3.4,2.75,2.2,3.2,2.9,2004/5,€3.78m,€6.88m,44.4444,45.4545,29.4118,31.25,36.3636,34.4828,H,44.9494,0.7142,30.3309,1.2998,35.4232,1.3299,ScotishPremierLeague
SC0,18/09/2004,Motherwell,Dundee United,H,2.0,3.4,3.25,2.0,3.2,3.35,2004/5,€4.83m,€8.13m,50.0,50.0,29.4118,31.25,30.7692,29.8507,H,50.0,0.0,30.3309,1.2998,30.31,0.6495,ScotishPremierLeague
SC0,19/09/2004,Dunfermline,Hearts,H,3.0,3.2,2.2,2.9,3.2,2.2,2004/5,€6.03m,€11.08m,33.3333,34.4828,31.25,31.25,45.4545,45.4545,A,33.908,0.8128,31.25,0.0,45.4545,0.0,ScotishPremierLeague
SC0,19/09/2004,Hibernian,Celtic,D,8.0,5.0,1.33,9.0,5.0,1.25,2004/5,€13.25m,€77.55m,12.5,11.1111,20.0,20.0,75.188,80.0,A,11.8056,0.9821,20.0,0.0,77.594,3.4026,ScotishPremierLeague
SC0,19/09/2004,Rangers,Inverness C,H,1.12,7.0,13.0,1.2,5.25,11.0,2004/5,€80.78m,€2.38m,89.2857,83.3333,14.2857,19.0476,7.6923,9.0909,H,86.3095,4.209,16.6666,3.3672,8.3916,0.989,ScotishPremierLeague
SC0,25/09/2004,Aberdeen,Hibernian,A,1.9,3.25,3.5,2.0,3.2,3.35,2004/5,€6.88m,€13.25m,52.6316,50.0,30.7692,31.25,28.5714,29.8507,H,51.3158,1.8608,31.0096,0.34,29.211,0.9046,ScotishPremierLeague
SC0,25/09/2004,Celtic,Dunfermline,H,1.12,7.0,12.0,1.12,7.0,13.0,2004/5,€77.55m,€6.03m,89.2857,89.2857,14.2857,14.2857,8.3333,7.6923,H,89.2857,0.0,14.2857,0.0,8.0128,0.4533,ScotishPremierLeague
SC0,25/09/2004,Hearts,Inverness C,H,1.5,3.75,5.5,1.4,3.9,7.0,2004/5,€11.08m,€2.38m,66.6667,71.4286,26.6667,25.641,18.1818,14.2857,H,69.0476,3.3672,26.1538,0.7253,16.2338,2.755,ScotishPremierLeague
SC0,25/09/2004,Kilmarnock,Dundee United,H,2.0,3.25,3.25,2.2,3.2,2.9,2004/5,€3.78m,€8.13m,50.0,45.4545,30.7692,31.25,30.7692,34.4828,H,47.7272,3.2142,31.0096,0.34,32.626,2.6259,ScotishPremierLeague
SC0,25/09/2004,Livingston,Motherwell,A,2.4,3.2,2.6,2.4,3.2,2.6,2004/5,€9.75m,€4.83m,41.6667,41.6667,31.25,31.25,38.4615,38.4615,H,41.6667,0.0,31.25,0.0,38.4615,0.0,ScotishPremierLeague
SC0,26/09/2004,Dundee,Rangers,A,6.5,3.75,1.44,7.0,3.9,1.4,2004/5,€9.05m,€80.78m,15.3846,14.2857,26.6667,25.641,69.4444,71.4286,A,14.8352,0.777,26.1538,0.7253,70.4365,1.403,ScotishPremierLeague
SC0,02/10/2004,Aberdeen,Dundee,D,1.8,3.3,4.0,1.8,3.25,4.0,2004/5,€6.88m,€9.05m,55.5556,55.5556,30.303,30.7692,25.0,25.0,H,55.5556,0.0,30.5361,0.3297,25.0,0.0,ScotishPremierLeague
SC0,02/10/2004,Dunfermline,Hibernian,D,2.5,3.25,2.5,2.5,3.2,2.5,2004/5,€6.03m,€13.25m,40.0,40.0,30.7692,31.25,40.0,40.0,No Consensus,40.0,0.0,31.0096,0.34,40.0,0.0,ScotishPremierLeague
SC0,03/10/2004,Dundee United,Celtic,A,10.0,5.0,1.28,9.0,5.0,1.25,2004/5,€8.13m,€77.55m,10.0,11.1111,20.0,20.0,78.125,80.0,A,10.5556,0.7857,20.0,0.0,79.0625,1.3258,ScotishPremierLeague
SC0,03/10/2004,Hearts,Livingston,D,1.53,3.5,6.0,1.55,3.5,5.5,2004/5,€11.08m,€9.75m,65.3595,64.5161,28.5714,28.5714,16.6667,18.1818,H,64.9378,0.5964,28.5714,0.0,17.4242,1.0713,ScotishPremierLeague
SC0,03/10/2004,Inverness C,Motherwell,D,3.0,3.4,2.1,2.9,3.2,2.2,2004/5,€2.38m,€4.83m,33.3333,34.4828,29.4118,31.25,47.619,45.4545,A,33.908,0.8128,30.3309,1.2998,46.5368,1.5305,ScotishPremierLeague
SC0,03/10/2004,Rangers,Kilmarnock,H,1.2,5.5,11.0,1.18,5.75,11.0,2004/5,€80.78m,€3.78m,83.3333,84.7458,18.1818,17.3913,9.0909,9.0909,H,84.0395,0.9988,17.7865,0.559,9.0909,0.0,ScotishPremierLeague
SC0,16/10/2004,Celtic,Hearts,H,1.16,6.0,13.0,1.2,5.65,10.0,2004/5,€77.55m,€11.08m,86.2069,83.3333,16.6667,17.6991,7.6923,10.0,H,84.7701,2.0319,17.1829,0.73,8.8462,1.6318,ScotishPremierLeague
SC0,16/10/2004,Dundee,Kilmarnock,H,2.3,3.25,2.75,2.4,3.05,2.7,2004/5,€9.05m,€3.78m,43.4783,41.6667,30.7692,32.7869,36.3636,37.037,H,42.5725,1.281,31.778,1.4267,36.7003,0.4762,ScotishPremierLeague
SC0,16/10/2004,Hibernian,Dundee United,H,1.8,3.3,4.0,2.0,3.15,3.4,2004/5,€13.25m,€8.13m,55.5556,50.0,30.303,31.746,25.0,29.4118,H,52.7778,3.9284,31.0245,1.0204,27.2059,3.1196,ScotishPremierLeague
SC0,16/10/2004,Inverness C,Aberdeen,A,4.5,3.5,1.66,4.5,3.5,1.65,2004/5,€2.38m,€6.88m,22.2222,22.2222,28.5714,28.5714,60.241,60.6061,A,22.2222,0.0,28.5714,0.0,60.4236,0.2582,ScotishPremierLeague
SC0,16/10/2004,Livingston,Dunfermline,H,2.1,3.4,3.0,2.25,3.1,2.9,2004/5,€9.75m,€6.03m,47.619,44.4444,29.4118,32.2581,33.3333,34.4828,H,46.0317,2.2448,30.835,2.0126,33.908,0.8128,ScotishPremierLeague
SC0,17/10/2004,Motherwell,Rangers,A,6.5,3.75,1.53,6.0,3.6,1.5,2004/5,€4.83m,€80.78m,15.3846,16.6667,26.6667,27.7778,65.3595,66.6667,A,16.0256,0.9066,27.2222,0.7857,66.0131,0.9243,ScotishPremierLeague
