Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
E0,17/08/2019,Brighton,West Ham,D,2.55,3.25,2.87,2.5,3.3,2.9,2019/20,€200.78m,€303.60m,2.58,3.38,2.92,2.22,3.6,3.34,2.2,3.4,3.3,2.525,0.02499999999999991,0.9999292854321659,0.009900990099009866,0.004950495049504955,0.5000490148024703,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.885,0.014999999999999902,0.9999804998755459,0.005199306759098753,0.0025996533795491494,0.5000135163953875
E0,17/08/2019,Everton,Watford,H,1.72,3.8,4.75,1.67,4.0,5.0,2019/20,€420.55m,€199.60m,1.76,3.95,4.87,1.85,3.66,4.64,1.8,3.6,4.5,1.6949999999999998,0.025000000000000022,0.9998430718327228,0.01474926253687317,0.007374631268436627,0.500108770372691,3.9,0.10000000000000009,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,4.875,0.125,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618
E0,17/08/2019,Norwich,Newcastle,H,2.25,3.3,3.3,2.25,3.3,3.3,2019/20,€145.33m,€252.48m,2.25,3.42,3.44,2.14,3.57,3.58,2.1,3.4,3.5,2.25,0.0,1.0,0.0,0.0,0.5,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5
E0,17/08/2019,Southampton,Liverpool,A,6.5,4.75,1.44,6.25,4.75,1.48,2019/20,€210.75m,€1.00bn,7.04,4.72,1.48,6.43,4.57,1.53,6.5,4.5,1.45,6.375,0.125,0.9997226475394071,0.0196078431372549,0.009803921568627416,0.5001922337562476,4.75,0.0,1.0,0.0,0.0,0.5,1.46,0.020000000000000018,0.9998646331239297,0.013698630136986314,0.0068493150684934,0.500093826233815
E0,17/08/2019,Man City,Tottenham,D,1.36,5.25,8.0,1.35,5.5,7.75,2019/20,€1.05bn,€806.80m,1.37,5.42,8.71,1.37,5.63,8.39,1.33,5.5,8.0,1.355,0.0050000000000000044,0.9999901778412945,0.003690036900369007,0.0018450184501843658,0.5000068081861632,5.375,0.125,0.9996098363678071,0.023255813953488372,0.011627906976744207,0.5002704164413196,7.875,0.125,0.9998182469603429,0.015873015873015872,0.007936507936507908,0.5001259763164525
E0,18/08/2019,Sheffield United,Crystal Palace,H,2.55,3.1,2.9,2.55,3.2,2.9,2019/20,€138.60m,€189.33m,2.6,3.21,3.02,2.51,3.33,3.08,2.45,3.3,2.9,2.55,0.0,1.0,0.0,0.0,0.5,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,2.9,0.0,1.0,0.0,0.0,0.5
E0,18/08/2019,Chelsea,Leicester,D,1.7,3.75,5.0,1.72,3.7,5.0,2019/20,€705.85m,€411.10m,1.74,3.79,5.28,1.73,3.9,5.23,1.7,3.75,5.0,1.71,0.010000000000000009,0.9999753308152249,0.005847953216374275,0.0029239766081869956,0.5000170992784104,3.725,0.02499999999999991,0.9999675080881122,0.00671140939597313,0.003355704697986628,0.5000225215080402,5.0,0.0,1.0,0.0,0.0,0.5
E0,19/08/2019,Wolves,Man United,D,3.3,3.3,2.25,3.3,3.25,2.3,2019/20,€320.33m,€670.45m,3.4,3.29,2.33,2.98,3.32,2.56,2.87,3.3,2.45,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.275,0.02499999999999991,0.9999128895013563,0.01098901098901095,0.005494505494505475,0.5000603791812583
E0,23/08/2019,Aston Villa,Everton,H,3.25,3.5,2.15,3.1,3.5,2.25,2019/20,€231.70m,€420.55m,3.22,3.54,2.31,3.1,3.41,2.43,3.0,3.4,2.37,3.175,0.07499999999999996,0.9995974498364508,0.023622047244094474,0.011811023622047223,0.5002790005580011,3.5,0.0,1.0,0.0,0.0,0.5,2.2,0.050000000000000044,0.9996273710574611,0.022727272727272745,0.011363636363636243,0.50025826446281
E0,24/08/2019,Norwich,Chelsea,A,4.33,3.75,1.8,4.33,3.8,1.8,2019/20,€145.33m,€705.85m,4.13,4.07,1.85,4.17,3.91,1.89,4.33,3.75,1.8,4.33,0.0,1.0,0.0,0.0,0.5,3.775,0.02499999999999991,0.9999683631071745,0.006622516556291367,0.0033112582781456013,0.5000219288627692,1.8,0.0,1.0,0.0,0.0,0.5
