Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
N1,10/08/2019,Ajax,FC Emmen,H,1.1,10.0,17.0,1.07,10.0,26.0,2019/20,€400.40m,€13.23m,1.09,11.58,29.61,1.06,14.73,37.66,1.05,13.0,26.0,1.085,0.015000000000000013,0.9998621263033028,0.013824884792626741,0.006912442396313168,0.5000955637197647,10.0,0.0,1.0,0.0,0.0,0.5,21.5,4.5,0.9681647320759547,0.20930232558139536,0.10465116279069764,0.5219037317468902
N1,10/08/2019,Willem II,Vitesse,A,2.87,3.4,2.37,3.0,3.4,2.25,2019/20,€21.80m,€30.53m,2.93,3.62,2.4,2.93,3.6,2.4,2.9,3.6,2.25,2.935,0.06499999999999995,0.999646173340569,0.02214650766609879,0.011073253833049357,0.5002452339009023,3.4,0.0,1.0,0.0,0.0,0.5,2.31,0.06000000000000005,0.9995132881417702,0.025974025974025997,0.012987012987013102,0.5003373250126497
N1,11/08/2019,For Sittard,Heracles,D,2.3,3.5,2.9,2.4,3.6,2.65,2019/20,€13.08m,€22.48m,2.41,3.8,2.81,2.43,3.87,2.74,2.4,3.5,2.8,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,2.775,0.125,0.9985358500505678,0.04504504504504505,0.022522522522522515,0.5010145280415551
N1,11/08/2019,Heerenveen,Feyenoord,D,3.6,3.6,1.95,3.6,3.6,1.95,2019/20,€26.75m,€102.73m,3.58,4.2,1.93,4.57,4.5,1.68,4.75,4.2,1.61,3.6,0.0,1.0,0.0,0.0,0.5,3.6,0.0,1.0,0.0,0.0,0.5,1.95,0.0,1.0,0.0,0.0,0.5
N1,11/08/2019,Waalwijk,AZ Alkmaar,A,5.75,3.8,1.57,5.0,4.1,1.6,2019/20,€10.78m,€130.05m,5.42,4.38,1.6,8.13,5.86,1.34,11.0,5.0,1.3,5.375,0.375,0.996485989886783,0.06976744186046512,0.03488372093023262,0.5024337479718768,3.9499999999999997,0.1499999999999999,0.9989595114657399,0.03797468354430378,0.018987341772151778,0.500721038295145,1.585,0.015000000000000013,0.9999353936789547,0.00946372239747635,0.004731861198738141,0.5000447810208084
N1,11/08/2019,Utrecht,Zwolle,H,1.5,4.0,7.0,1.5,4.2,6.0,2019/20,€48.58m,€16.50m,1.51,4.59,6.3,1.36,5.51,8.01,1.33,4.75,9.5,1.5,0.0,1.0,0.0,0.0,0.5,4.1,0.10000000000000009,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,6.5,0.5,0.9957274520849256,0.07692307692307693,0.03846153846153855,0.5029585798816567
N1,11/08/2019,PSV Eindhoven,Den Haag,H,1.12,8.5,17.0,1.12,8.5,17.5,2019/20,€219.58m,€19.40m,1.14,8.87,19.32,1.15,8.68,18.88,1.12,8.5,17.0,1.12,0.0,1.0,0.0,0.0,0.5,8.5,0.0,1.0,0.0,0.0,0.5,17.25,0.25,0.9998484829291058,0.014492753623188406,0.007246376811594235,0.5001050199537911
N1,16/08/2019,Vitesse,Zwolle,H,1.3,5.5,10.0,1.33,5.5,8.5,2019/20,€30.53m,€16.50m,1.33,5.83,8.63,1.37,5.31,7.94,1.33,5.25,8.0,1.315,0.015000000000000013,0.9999061390437954,0.011406844106463889,0.005703422053231932,0.5000650580462346,5.5,0.0,1.0,0.0,0.0,0.5,9.25,0.75,0.995252549439679,0.08108108108108109,0.04054054054054057,0.5032870708546384
N1,17/08/2019,Den Haag,Sparta Rotterdam,A,2.8,3.5,2.37,2.85,3.6,2.4,2019/20,€19.40m,€15.50m,2.81,3.71,2.45,3.3,3.94,2.09,3.75,3.5,1.95,2.825,0.025000000000000133,0.9999435071707976,0.00884955752212394,0.004424778761062065,0.5000391573341687,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669
N1,17/08/2019,VVV Venlo,Ajax,A,15.0,8.0,1.14,15.0,8.5,1.16,2019/20,€12.03m,€400.40m,15.04,8.26,1.17,17.7,9.54,1.14,15.0,8.0,1.14,15.0,0.0,1.0,0.0,0.0,0.5,8.25,0.25,0.9993375041688846,0.030303030303030304,0.015151515151515138,0.5004591368227732,1.15,0.010000000000000009,0.9999454550766408,0.008695652173913052,0.004347826086956719,0.5000378071833648
N1,17/08/2019,FC Emmen,Heerenveen,H,2.9,3.4,2.3,2.85,3.6,2.4,2019/20,€13.23m,€26.75m,2.8,3.78,2.42,2.85,3.71,2.42,2.8,3.4,2.37,2.875,0.02499999999999991,0.9999454550766408,0.008695652173913012,0.004347826086956497,0.5000378071833649,3.5,0.10000000000000009,0.9994110647387552,0.0285714285714286,0.014285714285714235,0.5004081632653062,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414
N1,18/08/2019,For Sittard,Willem II,A,3.1,3.5,2.2,3.0,3.7,2.25,2019/20,€13.08m,€21.80m,3.02,3.8,2.27,3.6,4.15,1.94,3.8,3.75,1.9,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.6,0.10000000000000009,0.9994433330902991,0.0277777777777778,0.013888888888889062,0.5003858024691357,2.225,0.02499999999999991,0.9999089303498085,0.011235955056179735,0.00561797752808979,0.5000631233430123
N1,18/08/2019,Twente,Waalwijk,D,1.45,4.5,6.0,1.53,4.4,6.0,2019/20,€21.28m,€10.78m,1.51,4.71,6.02,1.56,4.54,5.65,1.53,4.75,5.25,1.49,0.040000000000000036,0.9994800708509495,0.02684563758389264,0.01342281879194629,0.5003603441286429,4.45,0.04999999999999982,0.9999089303498085,0.011235955056179735,0.00561797752808979,0.5000631233430123,6.0,0.0,1.0,0.0,0.0,0.5
