Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
B1,14/08/2004,Genk,Mouscron,D,1.8,3.25,4.0,1.85,3.35,3.65,2004/5,€30.45m,€15.60m,55.5556,54.0541,30.7692,29.8507,25.0,27.3973,H,54.8048,1.0617,30.31,0.6495,26.1986,1.6951,JupilerLeague
B1,14/08/2004,Lokeren,FC Brussels,H,1.72,3.25,4.33,1.7,3.45,4.3,2004/5,€18.73m,€10.22m,58.1395,58.8235,30.7692,28.9855,23.0947,23.2558,H,58.4815,0.4837,29.8774,1.2613,23.1752,0.1139,JupilerLeague
B1,14/08/2004,Louvieroise,Cercle Brugge,H,1.66,3.4,4.33,1.75,3.4,4.05,2004/5,€17.80m,€10.98m,60.241,57.1429,29.4118,29.4118,23.0947,24.6914,H,58.692,2.1907,29.4118,0.0,23.8931,1.129,JupilerLeague
B1,14/08/2004,Westerlo,Lierse,H,1.83,3.25,3.75,1.9,3.3,3.5,2004/5,€13.40m,€14.83m,54.6448,52.6316,30.7692,30.303,26.6667,28.5714,H,53.6382,1.4235,30.5361,0.3297,27.619,1.3468,JupilerLeague
B1,15/08/2004,Bergen,Beveren,D,2.2,3.25,2.75,2.0,3.25,3.25,2004/5,€15.63m,€14.30m,45.4545,50.0,30.7692,30.7692,36.3636,30.7692,H,47.7272,3.2142,30.7692,0.0,33.5664,3.9558,JupilerLeague
B1,15/08/2004,Club Brugge,Gent,H,1.33,4.33,8.0,1.4,4.0,6.75,2004/5,€53.03m,€26.63m,75.188,71.4286,23.0947,25.0,12.5,14.8148,H,73.3083,2.6583,24.0474,1.3473,13.6574,1.6368,JupilerLeague
B1,15/08/2004,Germinal,Oostende,H,1.61,3.5,4.5,1.7,3.45,4.3,2004/5,€15.67m,€8.60m,62.1118,58.8235,28.5714,28.9855,22.2222,23.2558,H,60.4677,2.3252,28.7784,0.2928,22.739,0.7309,JupilerLeague
B1,21/08/2004,Beveren,Anderlecht,A,4.5,3.5,1.61,4.3,3.45,1.7,2004/5,€14.30m,€63.60m,22.2222,23.2558,28.5714,28.9855,62.1118,58.8235,A,22.739,0.7309,28.7784,0.2928,60.4677,2.3252,JupilerLeague
B1,21/08/2004,Charleroi,Westerlo,A,2.5,3.1,2.5,2.45,3.2,2.55,2004/5,€12.15m,€13.40m,40.0,40.8163,32.2581,31.25,40.0,39.2157,H,40.4082,0.5772,31.754,0.7128,39.6078,0.5546,JupilerLeague
B1,21/08/2004,Gent,Bergen,H,1.72,3.4,4.0,1.8,3.4,3.8,2004/5,€26.63m,€15.63m,58.1395,55.5556,29.4118,29.4118,25.0,26.3158,H,56.8476,1.8271,29.4118,0.0,25.6579,0.9304,JupilerLeague
B1,21/08/2004,Lierse,Germinal,H,2.2,3.25,2.75,2.05,3.25,3.15,2004/5,€14.83m,€15.67m,45.4545,48.7805,30.7692,30.7692,36.3636,31.746,H,47.1175,2.3518,30.7692,0.0,34.0548,3.2651,JupilerLeague
B1,21/08/2004,Mouscron,St Truiden,H,1.57,3.5,5.0,1.65,3.5,4.55,2004/5,€15.60m,€12.10m,63.6943,60.6061,28.5714,28.5714,20.0,21.978,H,62.1502,2.1837,28.5714,0.0,20.989,1.3987,JupilerLeague
B1,21/08/2004,Oostende,Club Brugge,A,5.5,3.6,1.5,6.25,3.8,1.45,2004/5,€8.60m,€53.03m,18.1818,16.0,27.7778,26.3158,66.6667,68.9655,A,17.0909,1.5428,27.0468,1.0338,67.8161,1.6255,JupilerLeague
B1,22/08/2004,Cercle Brugge,Standard,A,3.2,3.2,2.0,3.25,3.25,2.0,2004/5,€10.98m,€43.55m,31.25,30.7692,31.25,30.7692,50.0,50.0,A,31.0096,0.34,31.0096,0.34,50.0,0.0,JupilerLeague
B1,22/08/2004,FC Brussels,Louvieroise,D,2.37,3.1,2.62,2.45,3.2,2.55,2004/5,€10.22m,€17.80m,42.1941,40.8163,32.2581,31.25,38.1679,39.2157,H,41.5052,0.9743,31.754,0.7128,38.6918,0.7409,JupilerLeague
B1,22/08/2004,Genk,Lokeren,H,1.61,3.5,4.5,1.6,3.55,4.9,2004/5,€30.45m,€18.73m,62.1118,62.5,28.5714,28.169,22.2222,20.4082,H,62.3059,0.2745,28.3702,0.2845,21.3152,1.2827,JupilerLeague
B1,27/08/2004,Louvieroise,Genk,H,2.62,3.1,2.37,2.45,3.2,2.55,2004/5,€17.80m,€30.45m,38.1679,40.8163,32.2581,31.25,42.1941,39.2157,A,39.4921,1.8727,31.754,0.7128,40.7049,2.106,JupilerLeague
B1,28/08/2004,Anderlecht,Gent,H,1.25,5.0,8.0,1.25,5.0,9.0,2004/5,€63.60m,€26.63m,80.0,80.0,20.0,20.0,12.5,11.1111,H,80.0,0.0,20.0,0.0,11.8056,0.9821,JupilerLeague
B1,28/08/2004,Bergen,Oostende,H,1.72,3.4,4.0,1.75,3.4,4.05,2004/5,€15.63m,€8.60m,58.1395,57.1429,29.4118,29.4118,25.0,24.6914,H,57.6412,0.7047,29.4118,0.0,24.8457,0.2182,JupilerLeague
B1,28/08/2004,Club Brugge,Lierse,H,1.25,5.0,8.0,1.3,4.5,8.25,2004/5,€53.03m,€14.83m,80.0,76.9231,20.0,22.2222,12.5,12.1212,H,78.4616,2.1757,21.1111,1.5713,12.3106,0.2679,JupilerLeague
B1,28/08/2004,Lokeren,Mouscron,D,2.3,3.2,2.7,2.5,3.2,2.5,2004/5,€18.73m,€15.60m,43.4783,40.0,31.25,31.25,37.037,40.0,H,41.7391,2.4595,31.25,0.0,38.5185,2.0952,JupilerLeague
B1,28/08/2004,Standard,FC Brussels,A,1.33,4.33,7.0,1.3,4.5,8.25,2004/5,€43.55m,€10.22m,75.188,76.9231,23.0947,22.2222,14.2857,12.1212,H,76.0556,1.2269,22.6585,0.617,13.2034,1.5305,JupilerLeague
B1,28/08/2004,Westerlo,Cercle Brugge,A,1.53,3.5,5.5,1.65,3.25,5.0,2004/5,€13.40m,€10.98m,65.3595,60.6061,28.5714,30.7692,18.1818,20.0,H,62.9828,3.3612,29.6703,1.5541,19.0909,1.2857,JupilerLeague
B1,29/08/2004,Germinal,Charleroi,A,1.66,3.4,4.33,1.7,3.45,4.3,2004/5,€15.67m,€12.15m,60.241,58.8235,29.4118,28.9855,23.0947,23.2558,H,59.5322,1.0023,29.1986,0.3014,23.1752,0.1139,JupilerLeague
B1,29/08/2004,St Truiden,Beveren,A,2.1,3.2,3.0,2.0,3.25,3.3,2004/5,€12.10m,€14.30m,47.619,50.0,31.25,30.7692,33.3333,30.303,H,48.8095,1.6836,31.0096,0.34,31.8182,2.1427,JupilerLeague
B1,11/09/2004,Charleroi,Club Brugge,A,5.0,3.5,1.571,4.55,3.5,1.65,2004/5,€12.15m,€53.03m,20.0,21.978,28.5714,28.5714,63.6537,60.6061,A,20.989,1.3987,28.5714,0.0,62.1299,2.155,JupilerLeague
B1,11/09/2004,FC Brussels,Westerlo,A,2.375,3.1,2.625,2.35,3.2,2.65,2004/5,€10.22m,€13.40m,42.1053,42.5532,32.2581,31.25,38.0952,37.7358,H,42.3292,0.3167,31.754,0.7128,37.9155,0.2541,JupilerLeague
B1,11/09/2004,Gent,St Truiden,H,1.727,3.25,4.333,1.8,3.4,3.8,2004/5,€26.63m,€12.10m,57.9039,55.5556,30.7692,29.4118,23.0787,26.3158,H,56.7298,1.6605,30.0905,0.9598,24.6972,2.289,JupilerLeague
B1,11/09/2004,Lierse,Bergen,H,1.833,3.2,3.75,1.9,3.3,3.5,2004/5,€14.83m,€15.63m,54.5554,52.6316,31.25,30.303,26.6667,28.5714,H,53.5935,1.3603,30.7765,0.6696,27.619,1.3468,JupilerLeague
B1,11/09/2004,Oostende,Anderlecht,A,7.0,3.75,1.4,5.75,3.65,1.5,2004/5,€8.60m,€63.60m,14.2857,17.3913,26.6667,27.3973,71.4286,66.6667,A,15.8385,2.196,27.032,0.5166,69.0476,3.3672,JupilerLeague
B1,12/09/2004,Cercle Brugge,Germinal,H,2.3,3.2,2.625,2.3,3.2,2.75,2004/5,€10.98m,€15.67m,43.4783,43.4783,31.25,31.25,38.0952,36.3636,H,43.4783,0.0,31.25,0.0,37.2294,1.2244,JupilerLeague
B1,12/09/2004,Genk,Standard,D,2.25,3.0,2.875,2.35,3.2,2.65,2004/5,€30.45m,€43.55m,44.4444,42.5532,33.3333,31.25,34.7826,37.7358,H,43.4988,1.3373,32.2917,1.4731,36.2592,2.0882,JupilerLeague
B1,12/09/2004,Lokeren,Louvieroise,H,2.2,3.0,3.0,2.1,3.25,3.05,2004/5,€18.73m,€17.80m,45.4545,47.619,33.3333,30.7692,33.3333,32.7869,H,46.5368,1.5305,32.0513,1.8131,33.0601,0.3864,JupilerLeague
B1,12/09/2004,Mouscron,Beveren,H,1.571,3.5,5.0,1.6,3.55,4.9,2004/5,€15.60m,€14.30m,63.6537,62.5,28.5714,28.169,20.0,20.4082,H,63.0768,0.8158,28.3702,0.2845,20.2041,0.2886,JupilerLeague
B1,17/09/2004,Louvieroise,Mouscron,H,2.2,3.2,2.8,2.2,3.2,2.9,2004/5,€17.80m,€15.60m,45.4545,45.4545,31.25,31.25,35.7143,34.4828,H,45.4545,0.0,31.25,0.0,35.0986,0.8708,JupilerLeague
B1,18/09/2004,Anderlecht,Lierse,H,1.25,5.0,8.0,1.25,5.0,9.0,2004/5,€63.60m,€14.83m,80.0,80.0,20.0,20.0,12.5,11.1111,H,80.0,0.0,20.0,0.0,11.8056,0.9821,JupilerLeague
B1,18/09/2004,Bergen,Charleroi,A,2.1,3.0,3.2,2.0,3.25,3.3,2004/5,€15.63m,€12.15m,47.619,50.0,33.3333,30.7692,31.25,30.303,H,48.8095,1.6836,32.0513,1.8131,30.7765,0.6696,JupilerLeague
B1,18/09/2004,Germinal,FC Brussels,H,1.72,3.2,4.33,1.75,3.4,4.05,2004/5,€15.67m,€10.22m,58.1395,57.1429,31.25,29.4118,23.0947,24.6914,H,57.6412,0.7047,30.3309,1.2998,23.8931,1.129,JupilerLeague
B1,18/09/2004,St Truiden,Oostende,D,1.8,3.2,4.0,1.75,3.4,4.05,2004/5,€12.10m,€8.60m,55.5556,57.1429,31.25,29.4118,25.0,24.6914,H,56.3492,1.1224,30.3309,1.2998,24.8457,0.2182,JupilerLeague
B1,18/09/2004,Westerlo,Genk,D,2.25,3.2,2.75,2.3,3.2,2.75,2004/5,€13.40m,€30.45m,44.4444,43.4783,31.25,31.25,36.3636,36.3636,H,43.9613,0.6831,31.25,0.0,36.3636,0.0,JupilerLeague
B1,19/09/2004,Beveren,Gent,A,2.1,3.2,3.0,2.15,3.25,2.95,2004/5,€14.30m,€26.63m,47.619,46.5116,31.25,30.7692,33.3333,33.8983,H,47.0653,0.7831,31.0096,0.34,33.6158,0.3995,JupilerLeague
B1,19/09/2004,Club Brugge,Cercle Brugge,H,1.25,5.0,8.0,1.25,5.0,9.0,2004/5,€53.03m,€10.98m,80.0,80.0,20.0,20.0,12.5,11.1111,H,80.0,0.0,20.0,0.0,11.8056,0.9821,JupilerLeague
B1,19/09/2004,Standard,Lokeren,H,1.72,3.4,4.0,1.75,3.4,4.05,2004/5,€43.55m,€18.73m,58.1395,57.1429,29.4118,29.4118,25.0,24.6914,H,57.6412,0.7047,29.4118,0.0,24.8457,0.2182,JupilerLeague
B1,24/09/2004,Charleroi,Anderlecht,H,5.0,3.6,1.53,4.9,3.55,1.6,2004/5,€12.15m,€63.60m,20.0,20.4082,27.7778,28.169,65.3595,62.5,A,20.2041,0.2886,27.9734,0.2766,63.9298,2.022,JupilerLeague
B1,24/09/2004,FC Brussels,Club Brugge,A,5.5,3.6,1.5,6.2,3.8,1.45,2004/5,€10.22m,€53.03m,18.1818,16.129,27.7778,26.3158,66.6667,68.9655,A,17.1554,1.4515,27.0468,1.0338,67.8161,1.6255,JupilerLeague
B1,25/09/2004,Cercle Brugge,Bergen,H,1.9,3.2,3.5,2.0,3.25,3.3,2004/5,€10.98m,€15.63m,52.6316,50.0,31.25,30.7692,28.5714,30.303,H,51.3158,1.8608,31.0096,0.34,29.4372,1.2244,JupilerLeague
B1,25/09/2004,Lokeren,Westerlo,H,2.1,3.2,3.0,2.1,3.25,3.05,2004/5,€18.73m,€13.40m,47.619,47.619,31.25,30.7692,33.3333,32.7869,H,47.619,0.0,31.0096,0.34,33.0601,0.3864,JupilerLeague
B1,25/09/2004,Louvieroise,Standard,A,2.4,3.25,2.5,2.3,3.2,2.75,2004/5,€17.80m,€43.55m,41.6667,43.4783,30.7692,31.25,40.0,36.3636,H,42.5725,1.281,31.0096,0.34,38.1818,2.5713,JupilerLeague
B1,25/09/2004,Mouscron,Gent,A,1.8,3.25,3.75,1.7,3.45,4.3,2004/5,€15.60m,€26.63m,55.5556,58.8235,30.7692,28.9855,26.6667,23.2558,H,57.1896,2.3108,29.8774,1.2613,24.9612,2.4119,JupilerLeague
B1,25/09/2004,Oostende,Beveren,D,2.4,3.25,2.5,2.3,3.2,2.75,2004/5,€8.60m,€14.30m,41.6667,43.4783,30.7692,31.25,40.0,36.3636,H,42.5725,1.281,31.0096,0.34,38.1818,2.5713,JupilerLeague
B1,26/09/2004,Genk,Germinal,H,1.61,3.5,4.5,1.65,3.5,4.55,2004/5,€30.45m,€15.67m,62.1118,60.6061,28.5714,28.5714,22.2222,21.978,H,61.359,1.0647,28.5714,0.0,22.1001,0.1727,JupilerLeague
B1,26/09/2004,Lierse,St Truiden,A,1.66,3.4,4.33,1.7,3.45,4.3,2004/5,€14.83m,€12.10m,60.241,58.8235,29.4118,28.9855,23.0947,23.2558,H,59.5322,1.0023,29.1986,0.3014,23.1752,0.1139,JupilerLeague
B1,02/10/2004,Anderlecht,Cercle Brugge,H,1.22,5.0,11.0,1.2,5.5,10.0,2004/5,€63.60m,€10.98m,81.9672,83.3333,20.0,18.1818,9.0909,10.0,H,82.6502,0.966,19.0909,1.2857,9.5454,0.6428,JupilerLeague
B1,02/10/2004,Bergen,FC Brussels,A,1.9,3.2,3.5,1.75,3.4,4.05,2004/5,€15.63m,€10.22m,52.6316,57.1429,31.25,29.4118,28.5714,24.6914,H,54.8872,3.19,30.3309,1.2998,26.6314,2.7436,JupilerLeague
B1,02/10/2004,Gent,Oostende,H,1.44,3.6,6.5,1.55,3.6,5.3,2004/5,€26.63m,€8.60m,69.4444,64.5161,27.7778,27.7778,15.3846,18.8679,H,66.9802,3.4848,27.7778,0.0,17.1262,2.4631,JupilerLeague
