Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,10/09/2005,Milan,Siena,H,1.2,5.0,12.0,1.16,6.4,12.5,1.22,4.8,9.5,1.17,5.5,12.0,1.2,5.0,11.0,2005/6,€269.75m,€34.98m,1.18,5.0,13.0,1.1883333333333332,0.02034425935955619,2.584751189894841,0.01711999385095893,0.00958391771856007,0.1667153676011537,5.283333333333333,0.5428832491634111,2.577640567222434,0.10275392728645005,0.049947423764458515,0.16806313218314492,11.666666666666666,1.1426091000668408,2.5778247611156764,0.09793792286287208,0.052380952380952334,0.16861157689346665,H
I1,10/09/2005,Palermo,Inter,H,3.5,3.0,2.0,3.65,3.05,2.0,3.4,2.9,2.0,3.75,3.0,1.91,3.6,2.87,2.0,2005/6,€94.20m,€234.93m,3.5,3.2,1.9,3.5666666666666664,0.11426091000668408,2.5842233175539575,0.03203576916075255,0.017912772585669506,0.16683630247430228,3.0033333333333334,0.10749676997731403,2.584044180597632,0.035792487228850395,0.01942286348501679,0.16687259664884105,1.9683333333333335,0.04487637339278757,2.5845854394416214,0.022799173611915784,0.010866497318656437,0.1667562199519898,A
I1,11/09/2005,Cagliari,Lazio,D,2.25,3.0,3.0,2.15,2.9,3.45,2.2,2.8,3.1,2.25,2.88,3.0,2.3,3.0,2.8,2005/6,€35.65m,€83.05m,2.2,2.9,3.1,2.225,0.04787135538781685,2.5846285326592184,0.021515215904636786,0.01186017478152293,0.16674393090893588,2.9133333333333336,0.06992058987801017,2.584546602414691,0.02400020247528953,0.012967200610221191,0.16676326858627505,3.0749999999999997,0.19525624189766647,2.582091431225941,0.06349796484476959,0.032971996386630315,0.16729370410414707,H
I1,11/09/2005,Chievo,Parma,H,2.2,2.87,3.2,2.25,2.75,3.45,2.1,2.8,3.4,2.25,2.88,3.0,2.15,2.8,3.3,2005/6,€49.55m,€57.05m,2.2,2.9,3.1,2.1916666666666664,0.053359368645273735,2.584533143974238,0.024346479990238968,0.0133079847908745,0.16676798410973437,2.8333333333333335,0.053437398472938005,2.5847055243908725,0.018860258284566354,0.010392156862744889,0.16672649076764925,3.2416666666666667,0.15920810978785666,2.5832168859094002,0.049113041579801536,0.02784918594687205,0.16707685714203058,H
I1,11/09/2005,Empoli,Juventus,A,5.5,3.75,1.5,6.75,3.75,1.45,5.2,3.3,1.55,7.0,3.75,1.4,6.5,3.6,1.44,2005/6,€37.00m,€308.90m,7.5,3.4,1.45,6.408333333333334,0.8115913722776724,2.5731913530897526,0.12664624794970178,0.07043779800606856,0.16963645793726545,3.5916666666666663,0.18123802642442963,2.5831071900679827,0.05046070341283424,0.026682134570765653,0.16711711714489402,1.465,0.04787135538781695,2.5841965507336107,0.03267669309748597,0.01763367463026158,0.16683897503013814,A
I1,11/09/2005,Lecce,Ascoli,D,1.72,3.2,4.5,1.75,3.1,4.9,1.8,2.9,4.2,1.67,3.25,4.5,1.72,3.2,4.33,2005/6,€52.15m,€24.55m,1.7,3.0,5.0,1.7266666666666666,0.04068851871911238,2.5845634483872333,0.023564779180953118,0.012870012870012909,0.16675721354312753,3.108333333333333,0.12388390622765429,2.5838081941299134,0.039855412191202456,0.021894548704200073,0.16694347286796146,4.571666666666666,0.2881213093280136,2.582114344714089,0.06302325395435952,0.03469437355693264,0.16730581770384878,H
I1,11/09/2005,Messina,Fiorentina,D,2.5,2.87,2.75,2.7,2.8,2.7,2.4,2.8,2.8,2.5,2.88,2.62,2.6,2.8,2.6,2005/6,€39.98m,€138.68m,2.5,2.8,2.8,2.5333333333333337,0.09428090415820642,2.583968898440334,0.03721614637823937,0.01973684210526297,0.16689040133277055,2.8249999999999997,0.03547299442298801,2.584849105310036,0.012556812185128502,0.005998033431661748,0.1666924719298184,2.7116666666666673,0.07966945601811402,2.584338237088372,0.029380254216882853,0.016287645974185555,0.16681273557695445,H
I1,11/09/2005,Roma,Udinese,A,1.83,3.0,4.33,1.77,3.2,4.5,1.75,3.0,4.4,1.8,3.2,4.0,1.83,3.0,4.0,2005/6,€193.20m,€89.60m,1.8,3.0,4.35,1.7966666666666669,0.0292498812913071,2.5847709781272825,0.016280082351376863,0.008967223252937556,0.16671131212398907,3.0666666666666664,0.09428090415820642,2.5842854806601534,0.030743773095067314,0.014492753623188387,0.16681756450882756,4.263333333333333,0.1937925580499818,2.583461004016442,0.04545564301406923,0.02423768569194698,0.16702641882816505,H
I1,11/09/2005,Sampdoria,Reggina,H,1.53,3.5,5.5,1.5,3.6,6.5,1.55,3.3,5.2,1.5,3.25,6.5,1.5,3.4,6.0,2005/6,€61.50m,€43.65m,1.55,3.2,6.0,1.5216666666666665,0.022669117514559092,2.5848025765010507,0.014897558059951212,0.00784958013873674,0.16670341660325214,3.375,0.14068285846778444,2.583714383649704,0.04168380991638058,0.023456790123456944,0.16694915771915653,5.95,0.478713553878169,2.5802499089761186,0.08045605947532251,0.04435107376283845,0.16780928001518503,H
I1,11/09/2005,Treviso,Livorno,A,2.5,2.87,2.75,2.5,2.8,2.9,2.4,2.8,2.8,2.5,2.88,2.62,2.5,2.8,2.75,2005/6,€23.53m,€56.38m,2.5,2.9,2.7,2.4833333333333334,0.03726779962499653,2.5847985624813004,0.015007167634226791,0.005592841163310963,0.16670630202140307,2.841666666666667,0.04258977446393552,2.5848005642579213,0.014987603916927454,0.007917888563049674,0.16670396270446847,2.7533333333333334,0.08595864638818408,2.5842605542995485,0.03121984735648332,0.01715092816787736,0.16682782284891645,H
I1,17/09/2005,Inter,Lecce,H,1.22,5.5,13.0,1.2,5.2,14.0,1.22,4.8,9.5,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€234.93m,€52.15m,1.2,5.0,12.0,1.21,0.010000000000000009,2.584913231154039,0.008264462809917363,0.004132231404958692,0.1666780502242561,5.083333333333333,0.21921577396609848,2.583635012489536,0.0431244145507079,0.022404371584699462,0.16695840733434195,11.5,1.6832508230603465,2.569501184115373,0.14636963678785622,0.08212560386473436,0.17025270592236919,H
I1,17/09/2005,Parma,Empoli,H,1.8,3.1,5.0,1.75,3.15,4.7,1.85,2.8,4.2,1.67,3.2,5.0,1.7,3.0,5.0,2005/6,€57.05m,€37.00m,1.7,3.1,5.0,1.7449999999999999,0.06291528696058964,2.584029865196805,0.03605460570807429,0.019898121617319436,0.16687645157741576,3.0583333333333336,0.13043729868748782,2.583630015676444,0.04264979793596332,0.022252497729337156,0.16699974228313136,4.816666666666666,0.29674156357941417,2.582142825267108,0.061607245033788414,0.02825836216839664,0.16742279134567223,H
I1,18/09/2005,Cagliari,Messina,D,2.1,2.9,3.8,2.25,2.85,3.25,2.1,2.8,3.3,2.1,2.8,3.5,2.0,2.87,3.6,2005/6,€35.65m,€39.98m,2.0,3.0,3.6,2.0916666666666663,0.08374896350934075,2.5838159356402217,0.04003934510406729,0.02058432934926971,0.16692103415646653,2.8700000000000006,0.06831300510639737,2.5845563137045975,0.023802440803622774,0.012775842044134761,0.16675773694832063,3.5083333333333333,0.1880085695446413,2.582889197080504,0.053589140962843125,0.029691211401425305,0.167148531160093,H
I1,18/09/2005,Fiorentina,Udinese,H,2.2,3.0,3.4,2.25,2.9,3.25,2.2,2.7,3.3,2.25,3.0,2.88,2.2,2.8,3.2,2005/6,€138.68m,€89.60m,2.2,2.9,3.2,2.216666666666667,0.0235702260395515,2.584881143960456,0.010633184679496917,0.0050125313283210515,0.1666852305635999,2.883333333333333,0.10671873729054744,2.5839679164810203,0.037012278829091604,0.020231213872832582,0.16690420634487813,3.205,0.1605978414134719,2.5831171501979964,0.05010853086223772,0.02556768937424128,0.1671365652978471,H
I1,18/09/2005,Juventus,Ascoli,H,1.16,6.5,15.0,1.11,7.15,17.0,1.17,5.5,11.0,1.14,6.0,13.0,1.14,6.0,12.0,2005/6,€308.90m,€24.55m,1.14,6.0,15.0,1.1433333333333333,0.018856180831641218,2.584765912477098,0.016492286441668703,0.008746355685131185,0.16671255578463906,6.191666666666666,0.5167338665975834,2.5800184008618965,0.0834563445379677,0.04374158815612375,0.16773080167692267,13.833333333333334,2.034425935955617,2.5693454515998204,0.14706693512932173,0.08232931726907636,0.17032697225815807,H
I1,18/09/2005,Lazio,Treviso,H,1.61,3.4,6.0,1.65,3.15,5.75,1.6,3.3,4.8,1.44,3.4,7.0,1.53,3.25,6.0,2005/6,€83.05m,€23.53m,1.5,3.5,6.5,1.555,0.07182153808805082,2.5834164202375662,0.04618748430099731,0.025902107895677068,0.16703269023351142,3.3333333333333335,0.11426091000668408,2.584112908521735,0.03427827300200522,0.019166666666666693,0.16686549923626054,6.008333333333333,0.6772595924426288,2.5756183661064633,0.11272004312498676,0.06125751271382343,0.1691012266109937,H
I1,18/09/2005,Livorno,Roma,D,3.4,3.0,2.2,3.1,3.1,2.2,2.8,2.9,2.3,3.1,2.8,2.25,3.0,3.0,2.2,2005/6,€56.38m,€193.20m,3.0,2.9,2.3,3.066666666666667,0.17950549357115014,2.5825115136623293,0.058534400077548954,0.030797101449275305,0.167213911705641,2.9499999999999997,0.0957427107756339,2.584202403791945,0.03245515619513014,0.017890772128060034,0.16684281149780672,2.2416666666666667,0.044876373392787376,2.5846740244443427,0.02001920002652225,0.010532837670384293,0.1667325964105148,A
I1,18/09/2005,Reggina,Chievo,A,2.37,2.87,3.25,2.3,2.85,3.15,2.3,2.7,3.0,2.38,3.0,2.75,2.2,2.87,3.1,2005/6,€43.65m,€49.55m,2.25,2.8,3.1,2.3000000000000003,0.06298147875897056,2.584420590730858,0.027383251634335023,0.015217391304347988,0.16679310793057495,2.848333333333333,0.08970631093865257,2.584246921530573,0.031494316303798446,0.016871464794226437,0.16683246085529457,3.0583333333333336,0.1565691185671328,2.583039235143801,0.051194262201787286,0.026793823796548738,0.16715256741418927,H
