Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
F1,06/08/2005,Bordeaux,Nancy,H,1.61,3.4,5.0,1.6,3.15,6.5,1.7,3.1,4.4,1.67,2.88,5.5,1.53,3.25,6.0,2005/6,€68.65m,€28.40m,1.55,3.25,5.5,62.1118,62.5,65.3595,58.8235,64.5161,59.8802,29.4118,31.746,30.7692,32.2581,30.7692,34.7222,20.0,15.3846,16.6667,22.7273,18.1818,18.1818,H,62.1985,2.5388,31.6127,1.8094,18.5237,2.584,LeChampionnat
F1,06/08/2005,Lens,Marseille,H,2.4,2.87,2.87,2.45,3.0,2.8,2.3,2.7,3.0,2.38,2.8,2.88,2.2,2.87,3.1,2005/6,€68.00m,€96.38m,2.3,2.8,3.0,41.6667,40.8163,45.4545,43.4783,43.4783,42.0168,34.8432,33.3333,34.8432,37.037,35.7143,35.7143,34.8432,35.7143,32.2581,33.3333,33.3333,34.7222,H,42.8185,1.6612,35.2476,1.2352,34.0341,1.2718,LeChampionnat
F1,06/08/2005,Metz,Le Mans,D,1.9,3.1,3.75,2.05,2.9,3.7,1.9,3.0,3.6,2.0,2.88,3.6,2.0,3.0,3.4,2005/6,€37.00m,€37.50m,1.85,3.0,4.0,52.6316,48.7805,50.0,52.6316,54.0541,50.0,32.2581,34.4828,33.3333,33.3333,33.3333,34.7222,26.6667,27.027,29.4118,27.7778,25.0,27.7778,H,51.3496,2.0418,33.5772,0.9,27.2769,1.4614,LeChampionnat
F1,06/08/2005,Monaco,Auxerre,A,1.72,3.2,4.5,1.75,3.0,5.0,1.7,3.1,4.4,1.73,2.88,5.0,1.66,3.1,5.0,2005/6,€114.00m,€62.75m,1.65,3.1,5.0,58.1395,57.1429,60.241,58.8235,60.6061,57.8035,31.25,33.3333,32.2581,32.2581,32.2581,34.7222,22.2222,20.0,20.0,22.7273,20.0,20.0,H,58.7927,1.3794,32.68,1.198,20.8249,1.2879,LeChampionnat
F1,06/08/2005,Sochaux,Paris SG,A,2.62,3.0,2.5,2.9,3.05,2.35,2.8,2.8,2.4,2.62,2.88,2.5,2.9,2.8,2.37,2005/6,€51.00m,€84.98m,2.75,2.9,2.4,38.1679,34.4828,34.4828,35.7143,36.3636,38.1679,33.3333,32.7869,35.7143,35.7143,34.4828,34.7222,40.0,42.5532,42.1941,41.6667,41.6667,40.0,A,36.2299,1.6673,34.459,1.207,41.3468,1.096,LeChampionnat
F1,06/08/2005,Toulouse,Nice,A,1.9,3.0,3.75,2.0,2.85,4.0,1.9,3.0,3.6,1.91,3.0,3.75,1.8,3.0,4.2,2005/6,€46.80m,€39.50m,1.85,3.0,4.0,52.6316,50.0,55.5556,52.6316,54.0541,52.356,33.3333,35.0877,33.3333,33.3333,33.3333,33.3333,26.6667,25.0,23.8095,27.7778,25.0,26.6667,H,52.8715,1.8563,33.6257,0.7162,25.8201,1.4597,LeChampionnat
F1,06/08/2005,Troyes,St Etienne,D,2.5,3.0,2.62,2.55,3.05,2.6,2.5,2.8,2.7,2.5,2.88,2.62,2.4,2.8,2.87,2005/6,€28.13m,€62.30m,2.4,2.75,2.9,40.0,39.2157,41.6667,40.0,41.6667,40.0,33.3333,32.7869,35.7143,35.7143,36.3636,34.7222,38.1679,38.4615,34.8432,37.037,34.4828,38.1679,H,40.4248,1.0088,34.7724,1.4368,36.86,1.774,LeChampionnat
F1,07/08/2005,Lyon,Strasbourg,H,1.4,3.75,7.5,1.4,3.8,8.0,1.4,3.7,6.5,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€173.23m,€44.85m,1.35,3.75,8.5,71.4286,71.4286,71.4286,71.4286,74.0741,71.4286,26.6667,26.3158,26.6667,27.027,26.6667,26.6667,13.3333,12.5,14.2857,15.3846,11.7647,14.2857,H,71.8695,1.08,26.6683,0.2249,13.5923,1.3247,LeChampionnat
F1,07/08/2005,Stade Rennais FC,Nantes,A,1.8,3.0,4.33,1.8,2.95,4.8,1.85,3.0,3.8,1.83,3.0,4.0,1.95,2.9,3.75,2005/6,€77.55m,€51.60m,1.85,3.0,4.0,55.5556,55.5556,51.2821,54.0541,54.0541,54.6448,33.3333,33.8983,34.4828,33.3333,33.3333,33.3333,23.0947,20.8333,26.6667,26.3158,25.0,25.0,H,54.191,1.5767,33.619,0.4797,24.4851,2.1868,LeChampionnat
F1,13/08/2005,Auxerre,Bordeaux,H,2.0,3.0,3.5,1.85,3.0,4.4,2.1,2.9,3.2,2.0,3.0,3.4,2.0,3.0,3.4,2005/6,€62.75m,€68.65m,2.0,2.9,3.6,50.0,54.0541,50.0,47.619,50.0,50.0,33.3333,33.3333,33.3333,34.4828,34.4828,33.3333,28.5714,22.7273,29.4118,31.25,27.7778,29.4118,H,50.2788,2.0803,33.7165,0.5936,28.1917,2.9157,LeChampionnat
