Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
T1,20/08/2005,Samsunspor,Sivasspor,A,1.83,3.25,3.6,1.7,3.3,4.5,1.85,3.1,3.6,1.83,3.4,3.5,1.85,3.25,3.6,2005/6,€25.79m,€21.15m,1.85,3.25,3.6,54.6448,58.8235,54.0541,54.0541,54.0541,54.6448,30.7692,30.303,30.7692,32.2581,30.7692,29.4118,27.7778,22.2222,27.7778,27.7778,27.7778,28.5714,H,55.0459,1.8731,30.7134,0.9228,26.9841,2.3544,FutbolLigi1
T1,21/08/2005,Diyarbakirspor,Ankaraspor,A,2.25,3.2,2.75,2.2,3.35,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,2.75,2005/6,€21.98m,€32.53m,2.3,3.2,2.65,44.4444,45.4545,45.4545,43.4783,43.4783,44.4444,31.25,29.8507,30.7692,33.3333,31.25,31.25,36.3636,35.7143,36.3636,37.037,37.7358,36.3636,H,44.4591,0.8839,31.2839,1.1421,36.5963,0.6976,FutbolLigi1
T1,21/08/2005,Erciyesspor,Konyaspor,D,2.1,3.3,2.87,2.3,3.35,2.65,2.1,3.0,3.1,2.2,3.25,2.8,2.15,3.2,2.9,2005/6,€22.76m,€28.52m,2.2,3.25,2.75,47.619,43.4783,46.5116,47.619,45.4545,45.4545,30.303,29.8507,31.25,33.3333,30.7692,30.7692,34.8432,37.7358,34.4828,32.2581,36.3636,35.7143,H,46.0228,1.5783,31.0459,1.2172,35.233,1.8622,FutbolLigi1
T1,21/08/2005,Galatasaray,Malatyaspor,H,1.16,5.5,11.0,1.1,7.5,14.0,1.2,5.0,10.0,1.22,5.0,10.0,1.14,6.0,12.0,2005/6,€64.95m,€25.08m,1.17,5.5,12.0,86.2069,90.9091,87.7193,83.3333,85.4701,81.9672,18.1818,13.3333,16.6667,20.0,18.1818,20.0,9.0909,7.1429,8.3333,10.0,8.3333,10.0,H,85.9343,3.1852,17.7273,2.497,8.8167,1.1086,FutbolLigi1
T1,21/08/2005,Manisaspor,Gaziantepspor,A,2.25,3.2,2.75,2.25,3.2,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.25,2.6,2005/6,€22.87m,€32.20m,2.2,3.1,2.9,44.4444,44.4444,43.4783,43.4783,45.4545,44.4444,31.25,31.25,30.7692,33.3333,32.2581,31.25,36.3636,35.7143,38.4615,37.037,34.4828,36.3636,H,44.2907,0.741,31.6851,0.9436,36.4038,1.3269,FutbolLigi1
T1,21/08/2005,Rizespor,Fenerbahce,A,6.0,3.75,1.44,7.0,3.9,1.4,4.8,3.5,1.55,6.5,3.6,1.44,5.5,3.6,1.5,2005/6,€17.42m,€73.00m,7.5,3.75,1.4,16.6667,14.2857,18.1818,20.8333,13.3333,15.3846,26.6667,25.641,27.7778,28.5714,26.6667,27.7778,69.4444,71.4286,66.6667,64.5161,71.4286,69.4444,A,16.4476,2.7493,27.1836,1.0532,68.8215,2.7404,FutbolLigi1
T1,26/08/2005,Gaziantepspor,Galatasaray,D,4.0,3.4,1.72,4.5,3.5,1.65,4.0,3.2,1.75,4.5,3.6,1.62,4.33,3.4,1.66,2005/6,€32.20m,€64.95m,4.35,3.2,1.75,25.0,22.2222,23.0947,25.0,22.9885,22.2222,29.4118,28.5714,29.4118,31.25,31.25,27.7778,58.1395,60.6061,60.241,57.1429,57.1429,61.7284,A,23.4213,1.277,29.6121,1.4067,59.1668,1.9512,FutbolLigi1
T1,27/08/2005,Ankaraspor,Rizespor,D,1.66,3.3,4.5,1.6,3.5,4.9,1.7,3.2,4.2,1.57,3.6,5.0,1.65,3.4,4.5,2005/6,€32.53m,€17.42m,1.65,3.4,4.5,60.241,62.5,60.6061,58.8235,60.6061,63.6943,30.303,28.5714,29.4118,31.25,29.4118,27.7778,22.2222,20.4082,22.2222,23.8095,22.2222,20.0,H,61.0785,1.7376,29.4543,1.2279,21.814,1.3963,FutbolLigi1
T1,27/08/2005,Fenerbahce,Samsunspor,H,1.16,5.5,12.0,1.12,7.0,13.0,1.2,5.0,10.0,1.17,5.5,12.0,1.14,6.5,10.0,2005/6,€73.00m,€25.79m,1.17,5.5,13.0,86.2069,89.2857,87.7193,83.3333,85.4701,85.4701,18.1818,14.2857,15.3846,20.0,18.1818,18.1818,8.3333,7.6923,10.0,10.0,7.6923,8.3333,H,86.2476,2.0543,17.3693,2.1142,8.6752,1.0655,FutbolLigi1
T1,27/08/2005,Konyaspor,Denizlispor,H,1.9,3.2,3.5,1.9,3.35,3.45,2.0,3.1,3.2,1.83,3.4,3.5,1.8,3.3,3.75,2005/6,€28.52m,€29.21m,1.9,3.25,3.5,52.6316,52.6316,55.5556,50.0,52.6316,54.6448,31.25,29.8507,30.303,32.2581,30.7692,29.4118,28.5714,28.9855,26.6667,31.25,28.5714,28.5714,H,53.0159,1.9309,30.6405,1.0249,28.7694,1.4655,FutbolLigi1
