Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
B1,13/08/2005,Mouscron,Lokeren,A,2.3,3.25,2.62,2.2,3.2,2.9,2.3,3.0,2.7,2.38,3.2,2.6,2.3,3.3,2.6,2005/6,€14.65m,€23.40m,2.25,3.4,2.6,43.4783,45.4545,43.4783,43.4783,44.4444,42.0168,30.7692,31.25,30.303,33.3333,29.4118,31.25,38.1679,34.4828,38.4615,37.037,38.4615,38.4615,H,43.7251,1.1497,31.0529,1.3126,37.512,1.5834,JupilerLeague
B1,14/08/2005,Cercle Brugge,Anderlecht,A,5.5,3.6,1.5,7.0,3.95,1.4,5.0,3.7,1.5,5.5,3.25,1.57,5.75,3.5,1.5,2005/6,€12.00m,€71.95m,5.0,3.8,1.5,18.1818,14.2857,17.3913,20.0,20.0,18.1818,27.7778,25.3165,28.5714,27.027,26.3158,30.7692,66.6667,71.4286,66.6667,66.6667,66.6667,63.6943,A,18.0068,2.1087,27.6296,1.9082,66.965,2.4891,JupilerLeague
B1,14/08/2005,Lierse,St Truiden,H,1.72,3.4,4.0,1.65,3.5,4.5,1.65,3.3,4.4,1.73,3.4,4.0,1.7,3.5,4.0,2005/6,€16.65m,€13.90m,1.65,3.4,4.35,58.1395,60.6061,58.8235,60.6061,60.6061,57.8035,29.4118,28.5714,28.5714,30.303,29.4118,29.4118,25.0,22.2222,25.0,22.7273,22.9885,25.0,H,59.4308,1.3288,29.2802,0.6485,23.823,1.3127,JupilerLeague
B1,14/08/2005,Roeselare,Beveren,H,2.1,3.2,3.0,2.15,3.2,3.0,2.1,3.0,3.1,2.25,3.2,2.75,2.1,3.1,3.1,2005/6,€9.28m,€16.75m,2.1,3.4,2.8,47.619,46.5116,47.619,47.619,47.619,44.4444,31.25,31.25,32.2581,33.3333,29.4118,31.25,33.3333,33.3333,32.2581,32.2581,35.7143,36.3636,H,46.9053,1.2844,31.4589,1.3018,33.8768,1.7545,JupilerLeague
B1,14/08/2005,Waregem,Standard,A,3.5,3.4,1.83,4.5,3.5,1.65,3.8,3.1,1.8,3.6,3.4,1.8,3.65,3.4,1.8,2005/6,€10.88m,€52.10m,3.5,3.5,1.8,28.5714,22.2222,27.3973,26.3158,28.5714,27.7778,29.4118,28.5714,29.4118,32.2581,28.5714,29.4118,54.6448,60.6061,55.5556,55.5556,55.5556,55.5556,A,26.8093,2.3991,29.606,1.3629,56.2456,2.1671,JupilerLeague
B1,20/08/2005,Anderlecht,Germinal,H,1.16,5.5,11.0,1.12,7.0,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.16,6.0,10.0,2005/6,€71.95m,€23.18m,1.18,5.5,11.0,86.2069,89.2857,86.2069,83.3333,84.7458,83.3333,18.1818,14.2857,16.6667,20.0,18.1818,20.0,9.0909,7.6923,10.0,10.0,9.0909,9.0909,H,85.5186,2.2489,17.886,2.1708,9.1608,0.8461,JupilerLeague
B1,20/08/2005,Beveren,Lierse,H,2.4,3.1,2.6,2.2,3.3,2.8,2.4,3.1,2.5,2.4,3.25,2.5,2.4,3.25,2.5,2005/6,€16.75m,€16.65m,2.4,3.2,2.6,41.6667,45.4545,41.6667,41.6667,41.6667,41.6667,32.2581,30.303,30.7692,32.2581,31.25,30.7692,38.4615,35.7143,40.0,40.0,38.4615,40.0,H,42.298,1.5464,31.2679,0.8234,38.7729,1.6773,JupilerLeague
B1,20/08/2005,Charleroi,Mouscron,H,1.57,3.5,5.0,1.4,4.0,6.75,1.55,3.5,4.8,1.57,3.5,5.0,1.55,3.65,4.8,2005/6,€15.10m,€14.65m,1.55,3.6,5.0,63.6943,71.4286,64.5161,64.5161,64.5161,63.6943,28.5714,25.0,27.3973,28.5714,27.7778,28.5714,20.0,14.8148,20.8333,20.8333,20.0,20.0,H,65.3942,2.9835,27.6482,1.3892,19.4136,2.2896,JupilerLeague
B1,20/08/2005,Club Brugge,Roeselare,H,1.16,6.0,10.0,1.15,6.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.16,6.0,10.0,2005/6,€50.60m,€9.28m,1.17,6.0,13.0,86.2069,86.9565,86.2069,83.3333,85.4701,83.3333,16.6667,15.3846,16.6667,20.0,16.6667,20.0,10.0,9.0909,10.0,10.0,7.6923,9.0909,H,85.2512,1.5582,17.5641,1.9511,9.3124,0.9101,JupilerLeague
B1,20/08/2005,Gent,Cercle Brugge,H,1.57,3.5,5.0,1.55,3.75,5.0,1.55,3.5,4.8,1.61,3.5,4.5,1.55,3.65,4.8,2005/6,€22.35m,€12.00m,1.55,3.5,5.0,63.6943,64.5161,64.5161,64.5161,64.5161,62.1118,28.5714,26.6667,27.3973,28.5714,28.5714,28.5714,20.0,20.0,20.8333,20.8333,20.0,22.2222,H,63.9784,0.9717,28.0583,0.8278,20.6481,0.8725,JupilerLeague
