Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
SP1,11/09/2005,Villarreal,Sevilla,D,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.83,3.2,3.75,1.9,3.2,3.5,2005/6,€82.00m,€96.85m,1.84,3.25,3.75,55.5556,54.0541,52.6316,55.5556,54.3478,54.6448,30.7692,31.25,31.25,32.2581,30.7692,31.25,25.0,25.0,28.5714,26.3158,26.6667,26.6667,H,54.4649,1.0913,31.2578,0.5437,26.3701,1.3251,LaLigaPrimeraDivision
SP1,11/09/2005,Zaragoza,Valencia,D,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.4,3.1,2.6,2005/6,€66.55m,€213.55m,2.6,3.0,2.5,40.0,40.0,41.6667,40.0,38.4615,38.4615,31.25,31.746,32.2581,33.3333,33.3333,31.25,40.0,38.4615,38.4615,40.0,40.0,42.0168,No Consensus,39.765,1.1984,32.1951,0.9574,39.8233,1.3126,LaLigaPrimeraDivision
SP1,17/09/2005,Mallorca,Sociedad,H,2.3,3.2,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.38,3.2,2.6,2.15,3.1,3.0,2005/6,€42.15m,€53.83m,2.25,3.2,2.8,43.4783,43.4783,46.5116,45.4545,44.4444,42.0168,31.25,32.2581,32.2581,33.3333,31.25,31.25,33.3333,34.4828,33.3333,34.4828,35.7143,38.4615,H,44.2306,1.5987,31.9332,0.8452,34.968,1.9275,LaLigaPrimeraDivision
SP1,17/09/2005,Valencia,La Coruna,D,2.0,3.2,3.75,1.8,3.25,4.15,1.9,3.1,3.5,1.83,3.0,4.0,1.83,3.2,3.75,2005/6,€213.55m,€133.80m,1.8,3.25,4.0,50.0,55.5556,54.6448,52.6316,55.5556,54.6448,31.25,30.7692,31.25,32.2581,30.7692,33.3333,26.6667,24.0964,26.6667,28.5714,25.0,25.0,H,53.8387,2.1628,31.605,1.0063,26.0002,1.6202,LaLigaPrimeraDivision
SP1,18/09/2005,Alaves,Getafe,A,2.2,3.25,3.2,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.1,3.3,2005/6,€34.83m,€36.38m,2.1,3.2,3.0,45.4545,47.619,50.0,47.619,47.619,47.619,30.7692,32.2581,32.2581,33.3333,31.25,31.25,31.25,30.303,30.303,32.2581,33.3333,33.3333,H,47.6551,1.4385,31.8531,0.9404,31.7968,1.3926,LaLigaPrimeraDivision
SP1,18/09/2005,Ath Bilbao,Malaga,A,1.72,3.3,5.0,1.7,3.35,4.65,1.75,3.2,4.0,1.62,3.25,5.0,1.66,3.3,4.5,2005/6,€47.23m,€28.03m,1.73,3.4,4.0,58.1395,58.8235,60.241,57.1429,57.8035,61.7284,30.303,29.8507,30.303,31.25,29.4118,30.7692,20.0,21.5054,22.2222,25.0,25.0,20.0,H,58.9798,1.7108,30.3146,0.6499,22.2879,2.2714,LaLigaPrimeraDivision
SP1,18/09/2005,Ath Madrid,Barcelona,H,3.75,3.2,2.0,3.65,3.15,1.95,3.2,3.1,2.0,4.33,3.2,1.73,3.1,3.1,2.1,2005/6,€134.15m,€327.50m,3.6,3.4,1.84,26.6667,27.3973,32.2581,31.25,27.7778,23.0947,31.25,31.746,32.2581,32.2581,29.4118,31.25,50.0,51.2821,47.619,50.0,54.3478,57.8035,A,28.0741,3.314,31.3623,1.0566,51.8421,3.6538,LaLigaPrimeraDivision
SP1,18/09/2005,Betis,Zaragoza,D,1.8,3.3,4.5,1.7,3.25,4.85,1.75,3.2,4.0,1.73,3.2,4.33,1.72,3.2,4.33,2005/6,€85.95m,€66.55m,1.75,3.2,4.5,55.5556,58.8235,58.1395,57.1429,57.1429,57.8035,30.303,30.7692,31.25,31.25,31.25,31.25,22.2222,20.6186,23.0947,25.0,22.2222,23.0947,H,57.4346,1.1192,31.012,0.397,22.7087,1.4415,LaLigaPrimeraDivision
SP1,18/09/2005,Cadiz,Villarreal,D,3.0,3.2,2.3,3.5,3.15,2.0,2.6,3.0,2.4,2.8,3.2,2.2,2.75,3.1,2.3,2005/6,€22.15m,€82.00m,2.8,3.2,2.2,33.3333,28.5714,36.3636,38.4615,35.7143,35.7143,31.25,31.746,32.2581,33.3333,31.25,31.25,43.4783,50.0,43.4783,41.6667,45.4545,45.4545,A,34.6931,3.4176,31.8479,0.8316,44.922,2.8677,LaLigaPrimeraDivision
SP1,18/09/2005,Celta,Santander,A,1.8,3.4,4.5,1.8,3.25,4.15,1.85,3.1,3.6,1.62,3.25,5.0,1.72,3.2,4.33,2005/6,€48.30m,€30.35m,1.7,3.25,4.5,55.5556,55.5556,58.1395,54.0541,58.8235,61.7284,29.4118,30.7692,31.25,32.2581,30.7692,30.7692,22.2222,24.0964,23.0947,27.7778,22.2222,20.0,H,57.3094,2.8021,30.8713,0.9196,23.2356,2.6044,LaLigaPrimeraDivision
SP1,18/09/2005,Espanol,Real Madrid,H,4.0,3.3,1.9,4.15,3.2,1.8,3.5,3.1,1.9,3.75,3.25,1.8,3.75,3.3,1.8,2005/6,€58.98m,€281.60m,3.6,3.4,1.84,25.0,24.0964,26.6667,28.5714,27.7778,26.6667,30.303,31.25,30.303,32.2581,29.4118,30.7692,52.6316,55.5556,55.5556,52.6316,54.3478,55.5556,A,26.4632,1.6732,30.7158,0.9704,54.3796,1.4325,LaLigaPrimeraDivision
SP1,18/09/2005,Osasuna,Sevilla,H,2.5,3.2,2.75,2.7,3.0,2.5,2.4,3.0,2.6,2.5,3.2,2.5,2.37,3.1,2.62,2005/6,€40.70m,€96.85m,2.4,3.25,2.5,40.0,37.037,42.1941,41.6667,41.6667,40.0,31.25,33.3333,32.2581,33.3333,30.7692,31.25,36.3636,40.0,38.1679,38.4615,40.0,40.0,H,40.4274,1.9002,32.0323,1.1185,38.8322,1.4672,LaLigaPrimeraDivision
SP1,21/09/2005,Barcelona,Valencia,D,1.57,3.6,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.53,3.5,5.5,1.61,3.3,5.0,2005/6,€327.50m,€213.55m,1.5,3.5,6.0,63.6943,66.6667,62.1118,64.5161,66.6667,65.3595,27.7778,27.7778,30.303,28.5714,28.5714,28.5714,16.6667,16.0,20.0,20.8333,16.6667,18.1818,H,64.8358,1.7779,28.5955,0.9224,18.0581,1.9797,LaLigaPrimeraDivision
SP1,21/09/2005,Getafe,Mallorca,D,1.9,3.25,4.0,1.8,3.4,3.95,1.9,3.1,3.5,1.8,3.25,3.75,1.9,3.25,3.4,2005/6,€36.38m,€42.15m,1.85,3.25,3.75,52.6316,55.5556,52.6316,52.6316,54.0541,55.5556,30.7692,29.4118,30.7692,32.2581,30.7692,30.7692,25.0,25.3165,29.4118,28.5714,26.6667,26.6667,H,53.8433,1.4362,30.7911,0.9007,26.9388,1.7504,LaLigaPrimeraDivision
SP1,21/09/2005,La Coruna,Betis,D,2.0,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.2,2.1,3.0,3.2,1.95,3.1,3.5,2005/6,€133.80m,€85.95m,2.0,3.1,3.4,50.0,50.0,51.2821,50.0,50.0,47.619,30.303,31.746,32.2581,32.2581,32.2581,33.3333,28.5714,28.5714,28.5714,31.25,29.4118,31.25,H,49.8169,1.1926,32.0261,0.9917,29.6043,1.3156,LaLigaPrimeraDivision
