Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,05/08/2005,Bayern Munich,M'gladbach,H,1.3,5.0,9.5,1.35,4.2,8.0,1.35,4.0,7.5,1.33,4.0,8.0,1.33,4.0,8.0,2005/6,€177.88m,€49.90m,1.35,4.0,8.0,76.9231,74.0741,75.188,74.0741,74.0741,75.188,20.0,23.8095,25.0,25.0,25.0,25.0,10.5263,12.5,12.5,13.3333,12.5,12.5,H,74.9202,1.1227,23.9682,2.0015,12.3099,0.9352,Bundesliga1
D1,06/08/2005,Duisburg,Stuttgart,D,2.75,3.25,2.25,2.85,3.35,2.2,2.7,3.0,2.3,3.0,3.2,2.1,2.87,3.25,2.15,2005/6,€24.18m,€69.80m,2.7,3.25,2.25,36.3636,35.0877,34.8432,37.037,37.037,33.3333,30.7692,29.8507,30.7692,33.3333,30.7692,31.25,44.4444,45.4545,46.5116,43.4783,44.4444,47.619,A,35.617,1.4618,31.1236,1.1744,45.3254,1.5263,Bundesliga1
D1,06/08/2005,FC Koln,Mainz,H,2.1,3.25,3.0,1.95,3.3,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.25,3.3,2005/6,€43.63m,€37.75m,1.85,3.3,3.6,47.619,51.2821,51.2821,52.6316,54.0541,50.0,30.7692,30.303,30.7692,32.2581,30.303,31.25,33.3333,28.5714,30.303,28.5714,27.7778,31.25,H,51.1448,2.2115,30.9421,0.7353,29.9678,2.0871,Bundesliga1
D1,06/08/2005,Hamburg,Nurnberg,H,1.57,3.4,5.5,1.55,3.7,5.35,1.55,3.5,4.8,1.53,3.4,5.5,1.57,3.5,5.0,2005/6,€106.90m,€52.13m,1.55,3.5,5.0,63.6943,64.5161,63.6943,64.5161,64.5161,65.3595,29.4118,27.027,28.5714,28.5714,28.5714,29.4118,18.1818,18.6916,20.0,20.8333,20.0,18.1818,H,64.3827,0.6254,28.5941,0.8712,19.3148,1.1136,Bundesliga1
D1,06/08/2005,Hannover,Hertha,D,2.4,3.2,2.6,2.5,3.15,2.6,2.5,3.0,2.5,2.5,3.25,2.4,2.4,3.25,2.5,2005/6,€45.35m,€72.70m,2.4,3.2,2.5,41.6667,40.0,41.6667,40.0,41.6667,40.0,31.25,31.746,30.7692,33.3333,31.25,30.7692,38.4615,38.4615,40.0,40.0,40.0,41.6667,H,40.8333,0.9129,31.5196,0.9605,39.765,1.1984,Bundesliga1
D1,06/08/2005,Werder Bremen,Bielefeld,H,1.44,3.75,6.5,1.4,4.0,7.2,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€111.60m,€32.85m,1.45,3.75,6.0,69.4444,71.4286,71.4286,71.4286,68.9655,71.4286,26.6667,25.0,26.6667,25.641,26.6667,26.6667,15.3846,13.8889,14.2857,16.6667,16.6667,14.2857,H,70.6874,1.1582,26.218,0.7241,15.1964,1.2432,Bundesliga1
D1,06/08/2005,Wolfsburg,Dortmund,D,2.37,3.2,2.62,2.5,3.35,2.5,2.4,3.0,2.6,2.37,3.2,2.6,2.3,3.2,2.62,2005/6,€61.38m,€78.53m,2.4,3.2,2.5,42.1941,40.0,43.4783,41.6667,41.6667,42.1941,31.25,29.8507,31.25,33.3333,31.25,31.25,38.1679,40.0,38.1679,38.4615,40.0,38.4615,H,41.8666,1.1293,31.364,1.1154,38.8765,0.8801,Bundesliga1
D1,07/08/2005,Ein Frankfurt,Leverkusen,A,2.75,3.25,2.25,2.7,3.35,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.3,2005/6,€39.95m,€81.23m,2.6,3.25,2.3,36.3636,37.037,38.1679,37.037,38.4615,36.3636,30.7692,29.8507,31.25,33.3333,30.7692,31.25,44.4444,43.4783,43.4783,43.4783,43.4783,44.4444,A,37.2384,0.8912,31.2037,1.1617,43.8003,0.4989,Bundesliga1
D1,07/08/2005,Schalke 04,Kaiserslautern,H,1.5,3.5,6.0,1.5,3.8,5.8,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.75,6.0,2005/6,€87.18m,€37.38m,1.55,3.5,5.0,66.6667,66.6667,69.4444,66.6667,64.5161,66.6667,28.5714,26.3158,26.6667,27.027,28.5714,29.4118,16.6667,17.2414,16.6667,20.0,20.0,16.6667,H,66.7712,1.5669,27.7607,1.2541,17.8736,1.6621,Bundesliga1
D1,13/08/2005,Bielefeld,Hamburg,A,3.0,3.25,2.1,3.15,3.4,2.05,2.9,3.0,2.2,2.8,3.2,2.2,2.9,3.2,2.15,2005/6,€32.85m,€106.90m,2.7,3.25,2.25,33.3333,31.746,34.4828,34.4828,37.037,35.7143,30.7692,29.4118,31.25,33.3333,30.7692,31.25,47.619,48.7805,46.5116,45.4545,44.4444,45.4545,A,34.466,1.8358,31.1306,1.2725,46.3774,1.5984,Bundesliga1
D1,13/08/2005,Dortmund,Schalke 04,A,2.5,3.0,2.62,2.4,3.25,2.65,2.4,3.0,2.6,2.38,3.2,2.6,2.5,2.9,2.62,2005/6,€78.53m,€87.18m,2.4,3.1,2.6,40.0,41.6667,40.0,41.6667,41.6667,42.0168,33.3333,30.7692,34.4828,33.3333,32.2581,31.25,38.1679,37.7358,38.1679,38.4615,38.4615,38.4615,H,41.1695,0.916,32.5711,1.4076,38.2427,0.287,Bundesliga1
D1,13/08/2005,Hertha,Ein Frankfurt,H,1.44,3.75,6.5,1.35,4.5,7.2,1.4,3.9,6.0,1.4,3.75,7.0,1.44,3.75,6.0,2005/6,€72.70m,€39.95m,1.4,3.75,7.5,69.4444,74.0741,69.4444,71.4286,71.4286,71.4286,26.6667,22.2222,26.6667,25.641,26.6667,26.6667,15.3846,13.8889,16.6667,16.6667,13.3333,14.2857,H,71.2081,1.7077,25.755,1.7787,15.0376,1.4295,Bundesliga1
D1,13/08/2005,Kaiserslautern,Duisburg,H,1.72,3.25,4.33,1.7,3.5,4.4,1.75,3.2,4.0,1.67,3.4,4.33,1.8,3.3,3.75,2005/6,€37.38m,€24.18m,1.75,3.4,4.0,58.1395,58.8235,55.5556,57.1429,57.1429,59.8802,30.7692,28.5714,30.303,31.25,29.4118,29.4118,23.0947,22.7273,26.6667,25.0,25.0,23.0947,H,57.7808,1.5092,29.9529,0.9965,24.2639,1.5461,Bundesliga1
D1,13/08/2005,Leverkusen,Bayern Munich,A,2.75,3.2,2.25,3.0,3.4,2.1,2.7,3.0,2.3,2.8,3.2,2.2,2.8,3.2,2.2,2005/6,€81.23m,€177.88m,2.9,3.25,2.2,36.3636,33.3333,35.7143,37.037,34.4828,35.7143,31.25,29.4118,31.25,33.3333,30.7692,31.25,44.4444,47.619,45.4545,43.4783,45.4545,45.4545,A,35.4409,1.3348,31.2107,1.2602,45.3175,1.3783,Bundesliga1
D1,13/08/2005,M'gladbach,Wolfsburg,D,2.1,3.25,3.0,2.1,3.3,3.1,2.0,3.1,3.2,2.0,3.2,3.2,2.15,3.2,2.9,2005/6,€49.90m,€61.38m,2.0,3.25,3.25,47.619,47.619,46.5116,50.0,50.0,50.0,30.7692,30.303,31.25,32.2581,30.7692,31.25,33.3333,32.2581,34.4828,31.25,30.7692,31.25,H,48.6249,1.5596,31.0999,0.6694,32.2239,1.4386,Bundesliga1
D1,13/08/2005,Nurnberg,Hannover,D,2.25,3.2,2.75,2.15,3.3,3.0,2.1,3.0,3.1,2.2,3.2,2.8,2.15,3.2,2.9,2005/6,€52.13m,€45.35m,2.2,3.2,2.8,44.4444,46.5116,46.5116,47.619,45.4545,45.4545,31.25,30.303,31.25,33.3333,31.25,31.25,36.3636,33.3333,34.4828,32.2581,35.7143,35.7143,H,45.9993,1.1099,31.4394,1.0022,34.6444,1.5928,Bundesliga1
D1,14/08/2005,Mainz,Werder Bremen,A,3.0,3.25,2.1,3.05,3.35,2.1,3.2,3.1,2.0,2.8,3.2,2.2,3.0,3.2,2.1,2005/6,€37.75m,€111.60m,2.9,3.3,2.1,33.3333,32.7869,33.3333,31.25,34.4828,35.7143,30.7692,29.8507,31.25,32.2581,30.303,31.25,47.619,47.619,47.619,50.0,47.619,45.4545,A,33.4834,1.5162,30.9468,0.8427,47.6551,1.4385,Bundesliga1
D1,14/08/2005,Stuttgart,FC Koln,A,1.53,3.6,6.5,1.5,3.9,5.6,1.5,3.7,5.0,1.5,3.6,5.5,1.5,3.4,6.0,2005/6,€69.80m,€43.63m,1.5,3.75,5.5,65.3595,66.6667,66.6667,66.6667,66.6667,66.6667,27.7778,25.641,29.4118,27.027,26.6667,27.7778,15.3846,17.8571,16.6667,20.0,18.1818,18.1818,H,66.4488,0.5337,27.3837,1.273,17.712,1.5625,Bundesliga1
D1,27/08/2005,Bayern Munich,Hertha,H,1.4,3.75,7.5,1.4,4.0,7.2,1.45,3.8,5.4,1.44,3.6,6.5,1.4,3.75,7.0,2005/6,€177.88m,€72.70m,1.4,3.75,7.5,71.4286,71.4286,71.4286,68.9655,71.4286,69.4444,26.6667,25.0,26.6667,26.3158,26.6667,27.7778,13.3333,13.8889,14.2857,18.5185,13.3333,15.3846,H,70.6874,1.1582,26.5156,0.8943,14.7907,1.9782,Bundesliga1
D1,27/08/2005,Ein Frankfurt,Nurnberg,H,2.1,3.25,3.0,2.05,3.3,3.2,2.2,3.0,2.9,2.1,3.2,3.0,2.05,3.2,3.1,2005/6,€39.95m,€52.13m,2.1,3.2,3.0,47.619,48.7805,48.7805,45.4545,47.619,47.619,30.7692,30.303,31.25,33.3333,31.25,31.25,33.3333,31.25,32.2581,34.4828,33.3333,33.3333,H,47.6454,1.2148,31.3593,1.0389,32.9985,1.1086,Bundesliga1
D1,27/08/2005,FC Koln,Kaiserslautern,A,2.0,3.25,3.25,2.0,3.35,3.3,2.0,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.0,2005/6,€43.63m,€37.38m,1.9,3.25,3.5,50.0,50.0,47.619,50.0,52.6316,52.356,30.7692,29.8507,31.25,32.2581,30.7692,30.7692,30.7692,30.303,33.3333,31.25,28.5714,29.4118,H,50.4344,1.8446,30.9444,0.7883,30.6064,1.6454,Bundesliga1
D1,27/08/2005,Hamburg,Hannover,D,1.5,3.6,6.0,1.45,3.9,6.5,1.6,3.4,4.6,1.53,3.5,5.5,1.53,3.5,5.5,2005/6,€106.90m,€45.35m,1.55,3.5,5.0,66.6667,68.9655,65.3595,62.5,64.5161,65.3595,27.7778,25.641,28.5714,29.4118,28.5714,28.5714,16.6667,15.3846,18.1818,21.7391,20.0,18.1818,H,65.5612,2.1613,28.0908,1.3067,18.359,2.2756,Bundesliga1
D1,27/08/2005,Schalke 04,M'gladbach,D,1.33,4.2,8.0,1.3,5.0,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€87.18m,€49.90m,1.35,4.0,8.0,75.188,76.9231,71.4286,68.9655,74.0741,71.4286,23.8095,20.0,26.6667,26.3158,25.0,26.6667,12.5,13.3333,14.2857,18.5185,12.5,14.2857,H,73.0013,2.9171,24.7431,2.581,14.2372,2.2444,Bundesliga1
D1,27/08/2005,Werder Bremen,Stuttgart,D,1.8,3.25,4.0,1.75,3.3,4.4,1.85,3.1,3.6,1.8,3.2,4.0,1.72,3.25,4.2,2005/6,€111.60m,€69.80m,1.65,3.4,4.35,55.5556,57.1429,58.1395,54.0541,60.6061,55.5556,30.7692,30.303,30.7692,32.2581,29.4118,31.25,25.0,22.7273,23.8095,27.7778,22.9885,25.0,H,56.8423,2.3248,30.7936,0.9491,24.5505,1.8511,Bundesliga1
D1,27/08/2005,Wolfsburg,Leverkusen,H,2.5,3.2,2.5,2.5,3.3,2.5,2.5,3.0,2.5,2.5,3.2,2.5,2.4,3.1,2.6,2005/6,€61.38m,€81.23m,2.4,3.25,2.5,40.0,40.0,41.6667,40.0,41.6667,40.0,31.25,30.303,32.2581,33.3333,30.7692,31.25,40.0,40.0,38.4615,40.0,40.0,40.0,H,40.5556,0.8607,31.5273,1.0976,39.7436,0.6281,Bundesliga1
D1,28/08/2005,Bielefeld,Mainz,H,2.0,3.25,3.25,2.2,3.3,2.9,2.2,3.0,2.9,2.0,3.2,3.2,2.1,3.1,3.1,2005/6,€32.85m,€37.75m,2.1,3.2,3.0,50.0,45.4545,47.619,45.4545,47.619,50.0,30.7692,30.303,32.2581,33.3333,31.25,31.25,30.7692,34.4828,32.2581,34.4828,33.3333,31.25,H,47.6912,2.0336,31.5273,1.0976,32.7627,1.5975,Bundesliga1
D1,28/08/2005,Duisburg,Dortmund,D,2.62,3.2,2.37,2.9,3.3,2.2,2.7,3.0,2.3,2.6,3.2,2.38,2.75,3.1,2.3,2005/6,€24.18m,€78.53m,2.7,3.25,2.25,38.1679,34.4828,36.3636,37.037,37.037,38.4615,31.25,30.303,32.2581,33.3333,30.7692,31.25,42.1941,45.4545,43.4783,43.4783,44.4444,42.0168,A,36.925,1.429,31.5273,1.0976,43.5111,1.3128,Bundesliga1
