Div,Date,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeTeam,AwayTeam,VCH,VCD,VCA,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
G1,11/09/2005,H,1.8,3.25,3.75,2.0,3.1,3.45,2.1,3.0,3.1,1.91,3.1,3.6,1.85,3.3,3.75,2005/6,Egaleo,Akratitos,2.0,3.0,3.5,€16.68m,€9.95m,55.5556,50.0,54.0541,47.619,50.0,52.356,30.7692,32.2581,30.303,33.3333,33.3333,32.2581,26.6667,28.9855,26.6667,32.2581,28.5714,27.7778,H,51.5974,2.9397,32.0425,1.2706,28.4877,2.0788,EthnikiKatigoria
G1,11/09/2005,D,7.0,3.75,1.4,8.0,3.8,1.4,5.4,3.5,1.5,6.0,3.75,1.44,5.5,3.6,1.5,2005/6,Ionikos,Panathinaikos,6.5,3.6,1.45,€9.13m,€60.68m,14.2857,12.5,18.1818,18.5185,15.3846,16.6667,26.6667,26.3158,27.7778,28.5714,27.7778,26.6667,71.4286,71.4286,66.6667,66.6667,68.9655,69.4444,A,15.9229,2.3272,27.296,0.8768,69.1001,2.1365,EthnikiKatigoria
G1,12/09/2005,H,1.61,3.5,5.0,1.65,3.25,5.25,1.65,3.3,4.4,1.7,3.2,4.33,1.65,3.3,4.6,2005/6,Larisa,Kallithea,1.65,3.25,4.5,€11.90m,€9.15m,62.1118,60.6061,60.6061,60.6061,60.6061,58.8235,28.5714,30.7692,30.303,30.303,30.7692,31.25,20.0,19.0476,21.7391,22.7273,22.2222,23.0947,H,60.56,1.0423,30.3276,0.9302,21.4718,1.6055,EthnikiKatigoria
G1,17/09/2005,D,2.37,3.0,2.75,2.6,2.9,2.7,2.45,2.9,2.65,2.3,3.0,2.8,2.5,2.9,2.6,2005/6,Akratitos,Larisa,2.4,3.0,2.8,€9.95m,€11.90m,42.1941,38.4615,40.0,40.8163,41.6667,43.4783,33.3333,34.4828,34.4828,34.4828,33.3333,33.3333,36.3636,37.037,38.4615,37.7358,35.7143,35.7143,H,41.1028,1.7565,33.908,0.6296,36.8378,1.1164,EthnikiKatigoria
G1,17/09/2005,A,8.0,4.0,1.33,9.0,4.5,1.3,7.5,4.0,1.33,8.0,4.0,1.33,7.5,4.0,1.35,2005/6,Kallithea,Olympiakos,8.0,4.35,1.33,€9.15m,€62.55m,12.5,11.1111,13.3333,13.3333,12.5,12.5,25.0,22.2222,25.0,25.0,22.9885,25.0,75.188,76.9231,74.0741,75.188,75.188,75.188,A,12.5463,0.813,24.2018,1.2601,75.2915,0.9151,EthnikiKatigoria
G1,18/09/2005,D,1.36,3.75,8.0,1.4,3.8,8.0,1.4,3.9,6.0,1.4,3.6,7.5,1.35,4.0,7.5,2005/6,AEK,Egaleo,1.4,3.75,7.5,€41.05m,€16.68m,73.5294,71.4286,74.0741,71.4286,71.4286,71.4286,26.6667,26.3158,25.0,25.641,26.6667,27.7778,12.5,12.5,13.3333,16.6667,13.3333,13.3333,H,72.2197,1.2375,26.3447,0.9556,13.6111,1.5516,EthnikiKatigoria
G1,18/09/2005,H,1.8,3.25,4.0,1.75,3.15,4.75,1.8,3.1,3.8,1.83,3.2,3.75,1.8,3.1,4.0,2005/6,Atromitos,OFI Crete,1.9,3.2,3.75,€11.80m,€14.55m,55.5556,57.1429,55.5556,55.5556,52.6316,54.6448,30.7692,31.746,32.2581,32.2581,31.25,31.25,25.0,21.0526,25.0,26.3158,26.6667,26.6667,H,55.181,1.4871,31.5886,0.6036,25.117,2.1348,EthnikiKatigoria
G1,18/09/2005,D,7.5,3.75,1.4,8.0,3.8,1.4,5.8,3.6,1.45,7.0,3.75,1.4,6.5,3.9,1.4,2005/6,Levadeiakos,Panathinaikos,8.0,4.0,1.35,€9.45m,€60.68m,13.3333,12.5,15.3846,17.2414,12.5,14.2857,26.6667,26.3158,25.641,27.7778,25.0,26.6667,71.4286,71.4286,71.4286,68.9655,74.0741,71.4286,A,14.2075,1.8543,26.3447,0.9556,71.459,1.6162,EthnikiKatigoria
G1,18/09/2005,D,1.9,3.2,3.6,1.85,3.05,4.25,1.9,3.0,3.6,2.0,3.2,3.2,2.0,3.0,3.4,2005/6,Panionios,Ionikos,1.9,3.1,3.75,€14.50m,€9.13m,52.6316,54.0541,50.0,52.6316,52.6316,50.0,31.25,32.7869,33.3333,33.3333,32.2581,31.25,27.7778,23.5294,29.4118,27.7778,26.6667,31.25,H,51.9915,1.638,32.3686,0.954,27.7356,2.6076,EthnikiKatigoria
G1,18/09/2005,H,1.5,3.5,6.0,1.35,4.1,8.5,1.33,4.0,7.5,1.4,3.75,7.0,1.45,3.5,6.5,2005/6,Xanthi,Kalamaria,1.45,3.75,6.5,€23.15m,€10.20m,66.6667,74.0741,68.9655,75.188,68.9655,71.4286,28.5714,24.3902,28.5714,25.0,26.6667,26.6667,16.6667,11.7647,15.3846,13.3333,15.3846,14.2857,H,70.8814,3.2907,26.6444,1.7443,14.4699,1.7403,EthnikiKatigoria
G1,19/09/2005,D,2.5,3.1,2.5,2.65,3.1,2.65,2.55,3.0,2.45,2.4,3.1,2.6,2.4,3.0,2.7,2005/6,Iraklis,PAOK,2.5,3.0,2.6,€17.15m,€25.80m,40.0,37.7358,41.6667,39.2157,40.0,41.6667,32.2581,32.2581,33.3333,33.3333,33.3333,32.2581,40.0,37.7358,37.037,40.8163,38.4615,38.4615,H,40.0475,1.5023,32.7957,0.5889,38.752,1.4115,EthnikiKatigoria
G1,24/09/2005,H,1.14,6.5,13.0,1.1,7.75,15.0,1.15,6.0,12.0,1.12,6.5,13.0,1.15,6.0,11.0,2005/6,Olympiakos,Akratitos,1.15,6.0,11.0,€62.55m,€9.95m,87.7193,90.9091,86.9565,86.9565,86.9565,89.2857,15.3846,12.9032,16.6667,16.6667,16.6667,15.3846,7.6923,6.6667,9.0909,8.3333,9.0909,7.6923,H,88.1306,1.6346,15.6121,1.4682,8.0944,0.9386,EthnikiKatigoria
G1,24/09/2005,H,1.2,5.5,10.0,1.15,7.0,15.0,1.15,6.0,12.0,1.2,5.0,11.0,1.2,5.0,11.0,2005/6,Panathinaikos,Panionios,1.17,5.5,13.0,€60.68m,€14.50m,83.3333,86.9565,83.3333,86.9565,85.4701,83.3333,18.1818,14.2857,20.0,16.6667,18.1818,20.0,10.0,6.6667,9.0909,8.3333,7.6923,9.0909,H,84.8972,1.7971,17.886,2.1708,8.479,1.1821,EthnikiKatigoria
