Div,Date,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeTeam,AwayTeam,VCH,VCD,VCA,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
G1,13/09/2009,H,2.38,3.0,3.25,2.5,2.8,2.9,2.4,2.9,2.9,2.38,2.88,2.8,2.25,2.9,3.2,2009/10,Ergotelis,Xanthi,2.25,2.9,3.25,€17.30m,€18.90m,42.0168,40.0,44.4444,41.6667,44.4444,42.0168,33.3333,35.7143,34.4828,34.4828,34.4828,34.7222,30.7692,34.4828,31.25,34.4828,30.7692,35.7143,H,42.4315,1.7288,34.5364,0.7587,32.9114,2.2241,EthnikiKatigoria
G1,13/09/2009,H,2.9,2.9,2.6,2.85,2.9,2.45,2.6,3.0,2.6,2.7,3.0,2.38,3.0,2.8,2.45,2009/10,Levadeiakos,Panionios,2.9,2.9,2.4,€17.75m,€26.23m,34.4828,35.0877,33.3333,38.4615,34.4828,37.037,34.4828,34.4828,35.7143,33.3333,34.4828,33.3333,38.4615,40.8163,40.8163,38.4615,41.6667,42.0168,A,35.4808,1.9008,34.3049,0.891,40.3732,1.5541,EthnikiKatigoria
G1,13/09/2009,A,9.0,4.5,1.36,9.0,3.95,1.35,8.0,4.0,1.35,7.0,3.75,1.4,8.5,3.75,1.4,2009/10,Panthrakikos,Panathinaikos,9.0,4.0,1.36,€13.60m,€100.55m,11.1111,11.1111,11.7647,12.5,11.1111,14.2857,22.2222,25.3165,26.6667,25.0,25.0,26.6667,73.5294,74.0741,71.4286,74.0741,73.5294,71.4286,A,11.9806,1.2568,25.1453,1.6276,73.0107,1.2495,EthnikiKatigoria
G1,19/09/2009,H,2.25,2.9,3.6,2.15,2.95,3.35,2.1,3.0,3.3,2.25,2.88,3.0,2.0,3.1,3.6,2009/10,Iraklis,Larisa,2.25,2.9,3.2,€23.45m,€24.80m,44.4444,46.5116,50.0,47.619,44.4444,44.4444,34.4828,33.8983,32.2581,33.3333,34.4828,34.7222,27.7778,29.8507,27.7778,30.303,31.25,33.3333,H,46.244,2.2709,33.8629,0.9342,30.0488,2.1284,EthnikiKatigoria
G1,19/09/2009,H,2.25,2.9,3.6,2.1,2.95,3.5,2.1,3.0,3.3,2.25,2.88,3.0,2.25,2.9,3.2,2009/10,Kavala,Atromitos,2.2,2.9,3.3,€21.90m,€19.20m,44.4444,47.619,44.4444,47.619,45.4545,44.4444,34.4828,33.8983,34.4828,33.3333,34.4828,34.7222,27.7778,28.5714,31.25,30.303,30.303,33.3333,H,45.671,1.5588,34.2337,0.5192,30.2564,1.9719,EthnikiKatigoria
G1,19/09/2009,A,1.8,3.25,5.0,1.7,3.25,4.85,1.75,3.1,4.5,1.83,3.0,4.0,1.8,3.1,4.5,2009/10,Panionios,Asteras Tripolis,1.8,3.1,4.33,€26.23m,€20.65m,55.5556,58.8235,55.5556,57.1429,55.5556,54.6448,30.7692,30.7692,32.2581,32.2581,32.2581,33.3333,20.0,20.6186,22.2222,22.2222,23.0947,25.0,H,56.213,1.5123,31.941,0.9986,22.193,1.7878,EthnikiKatigoria
G1,20/09/2009,D,5.0,3.25,1.8,4.5,3.25,1.75,4.7,3.2,1.7,5.0,3.1,1.67,4.75,3.1,1.75,2009/10,Giannina,AEK,4.0,3.25,1.8,€18.50m,€52.90m,20.0,22.2222,21.0526,21.2766,25.0,20.0,30.7692,30.7692,32.2581,31.25,30.7692,32.2581,55.5556,57.1429,57.1429,58.8235,55.5556,59.8802,A,21.5919,1.8693,31.3456,0.7309,57.3501,1.7377,EthnikiKatigoria
G1,20/09/2009,D,2.3,3.0,3.4,2.25,2.9,3.25,2.1,3.0,3.3,2.38,2.88,2.8,2.3,2.9,3.1,2009/10,Levadeiakos,Ergotelis,2.25,2.9,3.2,€17.75m,€17.30m,43.4783,44.4444,43.4783,47.619,44.4444,42.0168,33.3333,34.4828,34.4828,33.3333,34.4828,34.7222,29.4118,30.7692,32.2581,30.303,31.25,35.7143,H,44.2469,1.8764,34.1395,0.6314,31.6177,2.22,EthnikiKatigoria
G1,20/09/2009,H,1.36,4.5,8.5,1.33,4.5,8.0,1.33,4.2,8.0,1.36,4.0,7.0,1.4,3.8,8.0,2009/10,Panathinaikos,Aris,1.3,4.33,8.5,€100.55m,€37.55m,73.5294,75.188,71.4286,75.188,76.9231,73.5294,22.2222,22.2222,26.3158,23.8095,23.0947,25.0,11.7647,12.5,12.5,12.5,11.7647,14.2857,H,74.2978,1.8916,23.7774,1.6274,12.5525,0.9223,EthnikiKatigoria
G1,20/09/2009,A,2.5,3.0,3.0,2.35,2.95,2.95,2.6,3.0,2.6,2.5,2.88,2.62,2.6,2.9,2.7,2009/10,PAOK,Olympiakos,2.4,2.9,2.9,€55.95m,€96.95m,40.0,42.5532,38.4615,38.4615,41.6667,40.0,33.3333,33.8983,34.4828,33.3333,34.4828,34.7222,33.3333,33.8983,37.037,38.4615,34.4828,38.1679,H,40.1905,1.6621,34.0421,0.6126,35.8968,2.2628,EthnikiKatigoria
G1,20/09/2009,H,1.75,3.3,5.25,1.7,3.3,4.75,1.75,3.2,4.3,1.67,3.1,5.0,1.75,3.2,4.6,2009/10,Xanthi,Panthrakikos,1.67,3.3,5.0,€18.90m,€13.60m,57.1429,58.8235,57.1429,57.1429,59.8802,59.8802,30.303,30.303,31.25,31.25,30.303,32.2581,19.0476,21.0526,21.7391,23.2558,20.0,20.0,H,58.3354,1.3621,30.9445,0.7933,20.8492,1.5042,EthnikiKatigoria
G1,23/09/2009,A,2.8,2.88,2.6,2.9,2.9,2.45,2.7,3.0,2.5,2.8,2.88,2.38,2.7,2.85,2.7,2009/10,AEK,Olympiakos,2.75,3.0,2.5,€52.90m,€96.95m,35.7143,34.4828,37.037,37.037,36.3636,35.7143,34.7222,34.4828,35.0877,33.3333,33.3333,34.7222,38.4615,40.8163,37.037,40.0,40.0,42.0168,A,36.0582,0.9724,34.2802,0.7586,39.7219,1.7559,EthnikiKatigoria
G1,23/09/2009,D,3.0,3.0,2.38,2.85,2.9,2.45,3.3,3.0,2.1,2.8,3.2,2.2,3.0,2.9,2.4,2009/10,Panionios,PAOK,2.88,3.0,2.38,€26.23m,€55.95m,33.3333,35.0877,33.3333,30.303,34.7222,35.7143,33.3333,34.4828,34.4828,33.3333,33.3333,31.25,42.0168,40.8163,41.6667,47.619,42.0168,45.4545,A,33.749,1.9402,33.3692,1.1811,43.265,2.6615,EthnikiKatigoria
G1,26/09/2009,H,1.53,3.6,6.0,1.5,3.65,6.25,1.55,3.4,5.8,1.5,3.5,6.0,1.45,3.75,7.5,2009/10,Aris,Xanthi,1.6,3.4,5.5,€37.55m,€18.90m,65.3595,66.6667,68.9655,64.5161,62.5,66.6667,27.7778,27.3973,26.6667,29.4118,29.4118,28.5714,16.6667,16.0,13.3333,17.2414,18.1818,16.6667,H,65.7791,2.2024,28.2061,1.1179,16.3483,1.6476,EthnikiKatigoria
G1,26/09/2009,D,1.83,3.3,4.0,1.75,3.25,4.5,1.75,3.1,4.5,1.73,3.2,4.33,1.83,3.1,4.5,2009/10,Larisa,Giannina,1.75,3.3,4.33,€24.80m,€18.50m,54.6448,57.1429,54.6448,57.1429,57.1429,57.8035,30.303,30.7692,32.2581,32.2581,30.303,31.25,25.0,22.2222,22.2222,22.2222,23.0947,23.0947,H,56.4203,1.3989,31.1902,0.8984,22.976,1.0798,EthnikiKatigoria
G1,26/09/2009,H,1.17,6.5,12.0,1.18,6.0,12.0,1.2,5.0,12.0,1.17,5.5,12.0,1.14,5.5,15.0,2009/10,Olympiakos,Panionios,1.15,6.0,13.0,€96.95m,€26.23m,85.4701,84.7458,87.7193,83.3333,86.9565,85.4701,15.3846,16.6667,18.1818,20.0,16.6667,18.1818,8.3333,8.3333,6.6667,8.3333,7.6923,8.3333,H,85.6159,1.5641,17.5136,1.6151,7.9487,0.6784,EthnikiKatigoria
G1,27/09/2009,A,2.75,3.0,2.5,2.55,3.0,2.65,2.6,3.0,2.6,2.62,2.88,2.5,2.62,2.9,2.5,2009/10,AEK,Panathinaikos,2.7,3.0,2.5,€52.90m,€100.55m,36.3636,39.2157,38.1679,38.4615,37.037,38.1679,33.3333,33.3333,34.4828,33.3333,33.3333,34.7222,40.0,37.7358,40.0,38.4615,40.0,40.0,A,37.9023,1.0291,33.7564,0.6598,39.3662,1.0083,EthnikiKatigoria
G1,27/09/2009,H,1.7,3.4,4.75,1.7,3.25,4.8,1.65,3.3,4.9,1.67,3.1,5.0,1.57,3.4,6.25,2009/10,Asteras Tripolis,Levadeiakos,1.67,3.3,5.0,€20.65m,€17.75m,58.8235,58.8235,63.6943,60.6061,59.8802,59.8802,29.4118,30.7692,29.4118,30.303,30.303,32.2581,21.0526,20.8333,16.0,20.4082,20.0,20.0,H,60.2846,1.807,30.4095,1.0545,19.7157,1.87,EthnikiKatigoria
G1,27/09/2009,D,2.9,3.0,2.38,2.95,2.95,2.35,3.0,2.9,2.3,3.0,2.88,2.25,3.1,3.0,2.3,2009/10,Atromitos,PAOK,3.5,2.9,2.1,€19.20m,€55.95m,34.4828,33.8983,32.2581,33.3333,28.5714,33.3333,33.3333,33.8983,33.3333,34.4828,34.4828,34.7222,42.0168,42.5532,43.4783,43.4783,47.619,44.4444,A,32.6462,2.1279,34.0421,0.6126,43.9317,1.9918,EthnikiKatigoria
G1,27/09/2009,H,1.7,3.4,4.75,1.7,3.25,4.85,1.65,3.3,4.9,1.67,3.1,5.0,1.7,3.3,5.0,2009/10,Ergotelis,Panthrakikos,1.75,3.3,4.5,€17.30m,€13.60m,58.8235,58.8235,58.8235,60.6061,57.1429,59.8802,29.4118,30.7692,30.303,30.303,30.303,32.2581,21.0526,20.6186,20.0,20.4082,22.2222,20.0,H,59.0166,1.1743,30.558,0.9427,20.7169,0.838,EthnikiKatigoria
G1,27/09/2009,H,2.63,3.0,2.63,2.75,2.85,2.6,2.5,3.0,2.7,2.5,3.0,2.6,2.75,2.9,2.6,2009/10,Kavala,Iraklis,2.6,2.9,2.7,€21.90m,€23.45m,38.0228,36.3636,36.3636,40.0,38.4615,40.0,33.3333,35.0877,34.4828,33.3333,34.4828,33.3333,38.0228,38.4615,38.4615,37.037,37.037,38.4615,No Consensus,38.2019,1.6325,34.0089,0.7723,37.9136,0.6999,EthnikiKatigoria
G1,03/10/2009,H,1.95,3.1,4.33,1.85,3.0,4.4,1.9,3.0,4.0,1.83,3.2,3.75,1.9,3.0,4.3,2009/10,Giannina,Kavala,1.91,3.0,4.0,€18.50m,€21.90m,51.2821,54.0541,52.6316,52.6316,52.356,54.6448,32.2581,33.3333,33.3333,33.3333,33.3333,31.25,23.0947,22.7273,23.2558,25.0,25.0,26.6667,H,52.9334,1.2188,32.8069,0.8756,24.2908,1.523,EthnikiKatigoria
G1,03/10/2009,A,8.5,4.2,1.4,8.0,3.8,1.4,7.5,3.7,1.4,7.0,4.0,1.36,8.0,4.0,1.4,2009/10,Levadeiakos,Olympiakos,7.5,4.0,1.4,€17.75m,€96.95m,11.7647,12.5,12.5,13.3333,13.3333,14.2857,23.8095,26.3158,25.0,27.027,25.0,25.0,71.4286,71.4286,71.4286,71.4286,71.4286,73.5294,A,12.9528,0.8818,25.3587,1.1389,71.7787,0.8576,EthnikiKatigoria
G1,03/10/2009,D,4.5,3.3,1.83,4.5,2.95,1.85,3.8,3.1,1.9,3.5,3.2,1.91,4.1,3.0,1.95,2009/10,Panthrakikos,Aris,4.5,3.1,1.8,€13.60m,€37.55m,22.2222,22.2222,24.3902,26.3158,22.2222,28.5714,30.303,33.8983,33.3333,32.2581,32.2581,31.25,54.6448,54.0541,51.2821,52.6316,55.5556,52.356,A,24.324,2.6557,32.2168,1.3172,53.4207,1.5992,EthnikiKatigoria
G1,05/10/2009,A,1.85,3.0,4.5,1.85,3.05,4.25,1.85,3.1,4.0,1.8,3.0,4.33,1.85,3.0,4.5,2009/10,Asteras Tripolis,Ergotelis,1.83,3.0,4.5,€20.65m,€17.30m,54.0541,54.0541,54.0541,54.0541,54.6448,55.5556,33.3333,32.7869,33.3333,32.2581,33.3333,33.3333,22.2222,23.5294,22.2222,25.0,22.2222,23.0947,H,54.4028,0.6122,33.063,0.4509,23.0484,1.1036,EthnikiKatigoria
G1,05/10/2009,H,1.25,5.0,11.0,1.22,5.5,10.0,1.2,5.0,12.0,1.2,5.0,11.0,1.2,5.5,13.0,2009/10,Panathinaikos,Larisa,1.22,5.0,12.0,€100.55m,€24.80m,80.0,81.9672,83.3333,83.3333,81.9672,83.3333,20.0,18.1818,18.1818,20.0,20.0,20.0,9.0909,10.0,7.6923,8.3333,8.3333,9.0909,H,82.3224,1.32,19.3939,0.9389,8.7568,0.8075,EthnikiKatigoria
G1,05/10/2009,H,1.85,3.2,4.33,1.7,3.25,4.85,1.8,3.1,4.2,1.83,3.0,4.0,1.8,3.1,4.75,2009/10,Panionios,Atromitos,1.9,3.0,4.2,€26.23m,€19.20m,54.0541,58.8235,55.5556,55.5556,52.6316,54.6448,31.25,30.7692,32.2581,32.2581,33.3333,33.3333,23.0947,20.6186,21.0526,23.8095,23.8095,25.0,H,55.2109,2.0785,32.2003,1.0512,22.8975,1.7158,EthnikiKatigoria
G1,05/10/2009,H,1.6,3.4,6.0,1.55,3.5,5.85,1.65,3.3,4.9,1.57,3.25,5.5,1.55,3.5,6.25,2009/10,PAOK,Iraklis,1.57,3.4,6.0,€55.95m,€23.45m,62.5,64.5161,64.5161,60.6061,63.6943,63.6943,29.4118,28.5714,28.5714,30.303,29.4118,30.7692,16.6667,17.094,16.0,20.4082,16.6667,18.1818,H,63.2545,1.4935,29.5064,0.8939,17.5029,1.5954,EthnikiKatigoria
G1,05/10/2009,H,3.4,3.0,2.2,3.5,2.95,2.1,3.3,3.0,2.1,3.0,2.88,2.25,3.5,3.1,2.1,2009/10,Xanthi,AEK,3.2,2.9,2.25,€18.90m,€52.90m,29.4118,28.5714,28.5714,30.303,31.25,33.3333,33.3333,33.8983,32.2581,33.3333,34.4828,34.7222,45.4545,47.619,47.619,47.619,44.4444,44.4444,A,30.2402,1.8356,33.6713,0.8989,46.2,1.5975,EthnikiKatigoria
G1,17/10/2009,D,2.8,2.9,2.6,2.8,2.85,2.55,2.9,2.9,2.4,2.6,2.8,2.6,2.7,2.9,2.65,2009/10,Ergotelis,Aris,2.6,2.9,2.6,€17.30m,€37.55m,35.7143,35.7143,37.037,34.4828,38.4615,38.4615,34.4828,35.0877,34.4828,34.4828,34.4828,35.7143,38.4615,39.2157,37.7358,41.6667,38.4615,38.4615,A,36.6452,1.6224,34.7889,0.5139,39.0004,1.3875,EthnikiKatigoria
G1,17/10/2009,H,1.2,6.0,11.0,1.17,6.0,12.0,1.22,4.8,11.0,1.2,5.0,11.0,1.2,5.5,13.0,2009/10,Olympiakos,Asteras Tripolis,1.18,5.5,12.0,€96.95m,€20.65m,83.3333,85.4701,83.3333,81.9672,84.7458,83.3333,16.6667,16.6667,18.1818,20.8333,18.1818,20.0,9.0909,8.3333,7.6923,9.0909,8.3333,9.0909,H,83.6972,1.2355,18.4217,1.7077,8.6053,0.5812,EthnikiKatigoria
G1,17/10/2009,H,1.5,3.6,7.0,1.45,3.7,7.0,1.45,3.6,7.0,1.5,3.5,6.0,1.45,3.75,7.5,2009/10,PAOK,Giannina,1.5,3.5,6.5,€55.95m,€18.50m,66.6667,68.9655,68.9655,68.9655,66.6667,66.6667,27.7778,27.027,26.6667,27.7778,28.5714,28.5714,14.2857,14.2857,13.3333,14.2857,15.3846,16.6667,H,67.8161,1.2591,27.732,0.7804,14.707,1.1592,EthnikiKatigoria
G1,18/10/2009,H,1.2,6.0,11.0,1.2,5.75,11.0,1.22,4.8,11.0,1.2,5.0,11.0,1.22,5.5,11.0,2009/10,AEK,Panthrakikos,1.2,5.5,11.0,€52.90m,€13.60m,83.3333,83.3333,81.9672,81.9672,83.3333,83.3333,16.6667,17.3913,18.1818,20.8333,18.1818,20.0,9.0909,9.0909,9.0909,9.0909,9.0909,9.0909,H,82.8779,0.7055,18.5425,1.5796,9.0909,0.0,EthnikiKatigoria
G1,18/10/2009,H,1.67,3.2,5.5,1.65,3.4,5.0,1.75,3.1,4.5,1.67,3.1,5.0,1.7,3.3,5.0,2009/10,Atromitos,Levadeiakos,1.67,3.2,5.0,€19.20m,€17.75m,59.8802,60.6061,58.8235,57.1429,59.8802,59.8802,31.25,29.4118,30.303,32.2581,31.25,32.2581,18.1818,20.0,20.0,22.2222,20.0,20.0,H,59.3688,1.2302,31.1218,1.1144,20.0673,1.2819,EthnikiKatigoria
G1,18/10/2009,A,2.2,3.1,3.2,2.25,2.9,3.2,2.1,3.0,3.3,2.2,3.0,3.0,2.0,3.1,3.7,2009/10,Iraklis,Panionios,2.2,2.9,3.2,€23.45m,€26.23m,45.4545,44.4444,50.0,47.619,45.4545,45.4545,32.2581,34.4828,32.2581,33.3333,34.4828,33.3333,31.25,31.25,27.027,30.303,31.25,33.3333,H,46.4045,2.0471,33.3581,0.9951,30.7356,2.0728,EthnikiKatigoria
G1,18/10/2009,D,7.0,3.6,1.5,6.0,3.75,1.5,7.5,3.7,1.4,6.0,3.5,1.5,7.5,3.5,1.48,2009/10,Kavala,Panathinaikos,6.5,3.5,1.5,€21.90m,€100.55m,14.2857,16.6667,13.3333,13.3333,15.3846,16.6667,27.7778,26.6667,28.5714,27.027,28.5714,28.5714,66.6667,66.6667,67.5676,71.4286,66.6667,66.6667,A,14.945,1.5331,27.8643,0.8536,67.6105,1.9049,EthnikiKatigoria
G1,18/10/2009,H,1.95,3.0,4.0,1.95,2.95,4.0,1.9,3.0,4.0,2.1,3.0,3.2,1.85,3.0,4.5,2009/10,Larisa,Xanthi,1.9,3.0,4.0,€24.80m,€18.90m,51.2821,51.2821,54.0541,52.6316,52.6316,47.619,33.3333,33.8983,33.3333,33.3333,33.3333,33.3333,25.0,25.0,22.2222,25.0,25.0,31.25,H,51.5834,2.2,33.4275,0.2307,25.5787,2.9923,EthnikiKatigoria
G1,24/10/2009,A,2.1,3.1,3.5,1.9,3.0,4.15,1.8,3.1,4.2,1.91,3.0,3.75,2.0,3.0,3.9,2009/10,Asteras Tripolis,Atromitos,2.1,2.9,3.5,€20.65m,€19.20m,47.619,52.6316,50.0,55.5556,47.619,52.356,32.2581,33.3333,33.3333,32.2581,34.4828,33.3333,28.5714,24.0964,25.641,23.8095,28.5714,26.6667,H,50.9635,3.134,33.1665,0.8326,26.2261,2.0935,EthnikiKatigoria
G1,24/10/2009,H,1.22,5.5,11.0,1.2,5.75,11.0,1.2,5.0,12.0,1.22,5.0,10.0,1.2,5.5,13.0,2009/10,Olympiakos,Ergotelis,1.25,4.5,11.0,€96.95m,€17.30m,81.9672,83.3333,83.3333,83.3333,80.0,81.9672,18.1818,17.3913,18.1818,20.0,22.2222,20.0,9.0909,9.0909,7.6923,8.3333,9.0909,10.0,H,82.3224,1.32,19.3295,1.7696,8.883,0.7871,EthnikiKatigoria
G1,24/10/2009,H,1.8,3.2,4.33,1.75,3.15,4.75,1.75,3.1,4.5,1.7,3.25,4.33,1.75,3.25,4.75,2009/10,Panionios,Giannina,1.8,3.1,4.33,€26.23m,€18.50m,55.5556,57.1429,57.1429,57.1429,55.5556,58.8235,31.25,31.746,30.7692,32.2581,32.2581,30.7692,23.0947,21.0526,21.0526,22.2222,23.0947,23.0947,H,56.8939,1.224,31.5084,0.6841,22.2686,1.0007,EthnikiKatigoria
G1,25/10/2009,D,2.5,3.0,2.75,2.6,3.1,2.9,2.4,2.9,2.9,2.62,2.88,2.5,2.65,2.9,2.75,2009/10,Aris,AEK,2.4,2.9,2.8,€37.55m,€52.90m,40.0,38.4615,37.7358,41.6667,41.6667,38.1679,33.3333,32.2581,34.4828,34.4828,34.4828,34.7222,36.3636,34.4828,36.3636,34.4828,35.7143,40.0,H,39.6164,1.762,33.9603,0.9685,36.2345,2.0308,EthnikiKatigoria
G1,25/10/2009,H,2.5,3.0,2.75,2.45,2.9,2.9,2.4,3.0,2.8,2.4,2.88,2.75,2.4,2.95,3.0,2009/10,Levadeiakos,Iraklis,2.5,2.9,2.7,€17.75m,€23.45m,40.0,40.8163,41.6667,41.6667,40.0,41.6667,33.3333,34.4828,33.8983,33.3333,34.4828,34.7222,36.3636,34.4828,33.3333,35.7143,37.037,36.3636,H,40.9694,0.82,34.0421,0.6126,35.5491,1.3867,EthnikiKatigoria
G1,25/10/2009,H,1.4,4.0,7.5,1.4,4.0,7.25,1.45,3.6,7.0,1.36,4.0,7.0,1.35,4.5,8.0,2009/10,Panathinaikos,PAOK,1.36,4.0,7.5,€100.55m,€55.95m,71.4286,71.4286,74.0741,68.9655,73.5294,73.5294,25.0,25.0,22.2222,27.7778,25.0,25.0,13.3333,13.7931,12.5,14.2857,13.3333,14.2857,H,72.1593,1.9333,25.0,1.7568,13.5885,0.6825,EthnikiKatigoria
G1,25/10/2009,A,2.63,3.0,2.63,2.6,2.95,2.65,2.6,3.0,2.6,2.5,2.88,2.62,2.5,2.9,2.9,2009/10,Panthrakikos,Larisa,2.7,2.9,2.5,€13.60m,€24.80m,38.0228,38.4615,40.0,38.4615,37.037,40.0,33.3333,33.8983,34.4828,33.3333,34.4828,34.7222,38.0228,37.7358,34.4828,38.4615,40.0,38.1679,H,38.6638,1.1585,34.0421,0.6126,37.8118,1.8149,EthnikiKatigoria
G1,25/10/2009,H,2.05,3.0,3.75,2.0,3.0,3.75,1.9,3.0,4.0,1.91,2.88,4.0,1.91,3.0,4.25,2009/10,Xanthi,Kavala,2.0,3.0,3.5,€18.90m,€21.90m,48.7805,50.0,52.356,52.6316,50.0,52.356,33.3333,33.3333,33.3333,33.3333,33.3333,34.7222,26.6667,26.6667,23.5294,25.0,28.5714,25.0,H,51.0207,1.6287,33.5648,0.567,25.9057,1.7636,EthnikiKatigoria
G1,31/10/2009,A,5.0,3.6,1.62,5.3,3.45,1.6,5.2,3.4,1.6,5.0,3.3,1.6,5.75,3.4,1.6,2009/10,Atromitos,Olympiakos,4.0,3.3,1.75,€19.20m,€96.95m,20.0,18.8679,17.3913,19.2308,25.0,20.0,27.7778,28.9855,29.4118,29.4118,30.303,30.303,61.7284,62.5,62.5,62.5,57.1429,62.5,A,20.0817,2.5938,29.3655,0.941,61.4786,2.1463,EthnikiKatigoria
G1,31/10/2009,D,2.35,3.0,3.0,2.4,2.9,2.95,2.4,2.9,2.9,2.38,2.88,2.8,2.4,2.95,3.0,2009/10,Larisa,Aris,2.6,2.9,2.7,€24.80m,€37.55m,42.5532,41.6667,41.6667,41.6667,38.4615,42.0168,33.3333,34.4828,33.8983,34.4828,34.4828,34.7222,33.3333,33.8983,33.3333,34.4828,37.037,35.7143,H,41.3386,1.4516,34.2337,0.5192,34.6332,1.4758,EthnikiKatigoria
G1,31/10/2009,H,1.53,3.6,6.0,1.55,3.6,5.5,1.6,3.4,5.2,1.53,3.25,6.0,1.53,3.4,7.0,2009/10,PAOK,Xanthi,1.5,3.5,6.0,€55.95m,€18.90m,65.3595,64.5161,65.3595,62.5,66.6667,65.3595,27.7778,27.7778,29.4118,29.4118,28.5714,30.7692,16.6667,18.1818,14.2857,19.2308,16.6667,16.6667,H,64.9602,1.3885,28.9533,1.1513,16.9497,1.6768,EthnikiKatigoria
G1,01/11/2009,D,3.5,3.0,2.1,3.5,3.05,2.05,3.6,3.0,2.0,3.4,3.0,2.0,3.55,3.0,2.1,2009/10,Ergotelis,AEK,3.3,3.0,2.1,€17.30m,€52.90m,28.5714,28.5714,28.169,27.7778,30.303,29.4118,33.3333,32.7869,33.3333,33.3333,33.3333,33.3333,47.619,48.7805,47.619,50.0,47.619,50.0,A,28.8007,0.9144,33.2422,0.2231,48.6063,1.1696,EthnikiKatigoria
G1,01/11/2009,D,1.67,3.2,5.25,1.7,3.3,4.75,1.75,3.1,4.5,1.7,3.25,4.33,1.65,3.3,5.5,2009/10,Giannina,Levadeiakos,1.67,3.3,5.0,€18.50m,€17.75m,59.8802,58.8235,60.6061,57.1429,59.8802,58.8235,31.25,30.303,30.303,32.2581,30.303,30.7692,19.0476,21.0526,18.1818,22.2222,20.0,23.0947,H,59.1927,1.218,30.8644,0.7805,20.5998,1.8803,EthnikiKatigoria
G1,01/11/2009,H,2.0,3.0,3.8,1.95,2.95,4.0,2.0,3.0,3.6,2.0,3.0,3.4,2.1,2.9,3.7,2009/10,Iraklis,Asteras Tripolis,2.1,3.0,3.4,€23.45m,€20.65m,50.0,51.2821,47.619,50.0,47.619,50.0,33.3333,33.8983,34.4828,33.3333,33.3333,33.3333,26.3158,25.0,27.027,27.7778,29.4118,29.4118,H,49.42,1.4808,33.619,0.4797,27.4907,1.7472,EthnikiKatigoria
G1,01/11/2009,H,1.62,3.4,5.5,1.6,3.25,6.0,1.65,3.3,4.9,1.67,3.1,5.0,1.65,3.3,5.5,2009/10,Kavala,Panthrakikos,1.57,3.4,5.5,€21.90m,€13.60m,61.7284,62.5,60.6061,60.6061,63.6943,59.8802,29.4118,30.7692,30.303,30.303,29.4118,32.2581,18.1818,16.6667,18.1818,20.4082,18.1818,20.0,H,61.5025,1.4205,30.4095,1.0545,18.6034,1.3778,EthnikiKatigoria
G1,01/11/2009,H,1.25,5.0,11.0,1.27,4.45,11.35,1.22,4.8,11.0,1.25,4.5,10.0,1.25,5.0,11.0,2009/10,Panathinaikos,Panionios,1.25,5.0,10.0,€100.55m,€26.23m,80.0,78.7402,80.0,81.9672,80.0,80.0,20.0,22.4719,20.0,20.8333,20.0,22.2222,9.0909,8.8106,9.0909,9.0909,10.0,10.0,H,80.1179,1.0367,20.9212,1.1533,9.3472,0.5172,EthnikiKatigoria
G1,07/11/2009,D,1.62,3.6,5.0,1.6,3.2,6.0,1.6,3.4,5.2,1.67,3.1,5.0,1.65,3.3,5.5,2009/10,Aris,Kavala,1.67,3.3,5.0,€37.55m,€21.90m,61.7284,62.5,60.6061,62.5,59.8802,59.8802,27.7778,31.25,30.303,29.4118,30.303,32.2581,20.0,16.6667,18.1818,19.2308,20.0,20.0,H,61.1825,1.2242,30.2173,1.5392,19.0132,1.354,EthnikiKatigoria
G1,07/11/2009,D,1.2,6.0,11.0,1.2,6.0,10.0,1.2,5.0,12.0,1.2,5.0,11.0,1.25,5.0,11.0,2009/10,Olympiakos,Iraklis,1.2,5.5,11.0,€96.95m,€23.45m,83.3333,83.3333,80.0,83.3333,83.3333,83.3333,16.6667,16.6667,20.0,20.0,18.1818,20.0,9.0909,10.0,9.0909,8.3333,9.0909,9.0909,H,82.7778,1.3608,18.5859,1.6449,9.1162,0.5285,EthnikiKatigoria
G1,07/11/2009,A,5.25,3.5,1.62,6.25,3.15,1.6,5.2,3.4,1.6,5.0,3.25,1.62,5.5,3.3,1.65,2009/10,Panthrakikos,PAOK,5.5,3.3,1.6,€13.60m,€55.95m,19.0476,16.0,18.1818,19.2308,18.1818,20.0,28.5714,31.746,30.303,29.4118,30.303,30.7692,61.7284,62.5,60.6061,62.5,62.5,61.7284,A,18.4403,1.3795,30.1841,1.0961,61.9272,0.7495,EthnikiKatigoria
