Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,VCH_Prob,LBH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,VCD_Prob,LBD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,VCA_Prob,LBA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
N1,27/08/2005,Nijmegen,Waalwijk,A,2.1,3.25,3.0,2.25,3.2,2.85,2.1,3.0,3.1,2.0,3.4,3.0,2.05,3.4,2.9,2005/6,€17.88m,€16.67m,2.0,3.4,3.1,47.619,44.4444,48.7805,47.619,50.0,50.0,30.7692,31.25,29.4118,33.3333,29.4118,29.4118,33.3333,35.0877,34.4828,32.2581,32.2581,33.3333,H,48.0771,2.0739,30.598,1.5593,33.4589,1.1504,Eredivisie
N1,27/08/2005,Sparta Rotterdam,NAC Breda,H,2.37,3.3,2.5,2.4,3.2,2.6,2.4,3.3,2.4,2.4,3.25,2.5,2.35,3.35,2.5,2005/6,€11.38m,€18.35m,2.4,3.4,2.4,42.1941,41.6667,42.5532,41.6667,41.6667,41.6667,30.303,31.25,29.8507,30.303,29.4118,30.7692,40.0,38.4615,40.0,41.6667,41.6667,40.0,H,41.9023,0.3823,30.3146,0.6499,40.2992,1.2154,Eredivisie
N1,27/08/2005,Vitesse,AZ Alkmaar,A,2.5,3.3,2.37,2.5,3.2,2.5,2.45,3.1,2.45,2.38,3.2,2.6,2.5,3.35,2.35,2005/6,€25.75m,€49.50m,2.6,3.4,2.25,40.0,40.0,40.0,40.8163,38.4615,42.0168,30.303,31.25,29.8507,32.2581,29.4118,31.25,42.1941,40.0,42.5532,40.8163,44.4444,38.4615,A,40.2158,1.168,30.7206,1.0553,41.4116,2.1054,Eredivisie
N1,28/08/2005,Ajax,Feyenoord,A,1.8,3.4,3.75,1.8,3.25,4.0,1.8,3.2,4.0,1.83,3.2,3.75,1.72,3.4,4.0,2005/6,€87.25m,€76.88m,1.75,3.4,4.0,55.5556,55.5556,58.1395,55.5556,57.1429,54.6448,29.4118,30.7692,29.4118,31.25,29.4118,31.25,26.6667,25.0,25.0,25.0,25.0,26.6667,H,56.099,1.2848,30.2508,0.9357,25.5556,0.8607,Eredivisie
N1,28/08/2005,Heracles,Groningen,H,2.25,3.25,2.75,2.1,3.2,3.1,2.1,3.0,3.1,2.2,3.25,2.75,2.3,3.35,2.55,2005/6,€9.75m,€13.48m,2.25,3.4,2.6,44.4444,47.619,43.4783,47.619,44.4444,45.4545,30.7692,31.25,29.8507,33.3333,29.4118,30.7692,36.3636,32.2581,39.2157,32.2581,38.4615,36.3636,H,45.5099,1.7492,30.8974,1.3706,35.8201,2.9824,Eredivisie
N1,28/08/2005,Roda,PSV Eindhoven,A,4.33,3.3,1.72,4.25,3.3,1.75,3.5,3.1,1.9,4.5,3.25,1.67,4.33,3.3,1.7,2005/6,€25.85m,€96.65m,4.35,3.6,1.6,23.0947,23.5294,23.0947,28.5714,22.9885,22.2222,30.303,30.303,30.303,32.2581,27.7778,30.7692,58.1395,57.1429,58.8235,52.6316,62.5,59.8802,A,23.9168,2.3195,30.2857,1.4432,58.1863,3.2811,Eredivisie
N1,28/08/2005,Roosendaal,Willem II,D,2.5,3.3,2.4,2.4,3.15,2.65,2.4,3.3,2.4,2.25,3.2,2.75,2.5,3.35,2.35,2005/6,€10.85m,€18.58m,2.3,3.4,2.5,40.0,41.6667,40.0,41.6667,43.4783,44.4444,30.303,31.746,29.8507,30.303,29.4118,31.25,41.6667,37.7358,42.5532,41.6667,40.0,36.3636,A,41.876,1.805,30.4774,0.8712,39.9977,2.4668,Eredivisie
N1,28/08/2005,Utrecht,Twente,A,2.25,3.25,2.75,2.3,3.15,2.8,2.2,3.1,2.8,2.1,3.2,3.0,2.05,3.4,2.9,2005/6,€18.45m,€22.75m,2.0,3.4,3.0,44.4444,43.4783,48.7805,45.4545,50.0,47.619,30.7692,31.746,29.4118,32.2581,29.4118,31.25,36.3636,35.7143,34.4828,35.7143,33.3333,33.3333,H,46.6294,2.5711,30.8078,1.1898,34.8236,1.3051,Eredivisie
N1,09/09/2005,Waalwijk,Roda,H,2.1,3.25,3.0,1.85,3.45,3.5,1.9,3.1,3.5,1.91,3.4,3.25,2.0,3.4,3.0,2005/6,€16.67m,€25.85m,2.0,3.4,3.1,47.619,54.0541,50.0,52.6316,50.0,52.356,30.7692,28.9855,29.4118,32.2581,29.4118,29.4118,33.3333,28.5714,33.3333,28.5714,32.2581,30.7692,H,51.1101,2.3318,30.0414,1.2448,31.1394,2.2002,Eredivisie
N1,10/09/2005,AZ Alkmaar,Roosendaal,H,1.2,5.0,11.0,1.3,4.2,9.0,1.22,4.8,9.5,1.2,5.0,11.0,1.2,5.25,10.0,2005/6,€49.50m,€10.85m,1.22,5.0,9.0,83.3333,76.9231,83.3333,81.9672,81.9672,83.3333,20.0,23.8095,19.0476,20.8333,20.0,20.0,9.0909,11.1111,10.0,10.5263,11.1111,9.0909,H,81.8096,2.4857,20.6151,1.664,10.155,0.9225,Eredivisie
N1,10/09/2005,Heerenveen,Heracles,A,1.57,3.6,5.0,1.6,3.5,5.0,1.6,3.4,4.6,1.57,3.5,5.0,1.5,3.7,5.25,2005/6,€41.08m,€9.75m,1.55,3.5,5.0,63.6943,62.5,66.6667,62.5,64.5161,63.6943,27.7778,28.5714,27.027,29.4118,28.5714,28.5714,20.0,20.0,19.0476,21.7391,20.0,20.0,H,63.9286,1.5514,28.3218,0.8182,20.1311,0.875,Eredivisie
N1,10/09/2005,PSV Eindhoven,Utrecht,H,1.25,5.0,9.0,1.2,5.1,12.0,1.22,4.8,9.5,1.25,4.5,10.0,1.22,5.0,9.5,2005/6,€96.65m,€18.45m,1.2,5.5,9.0,80.0,83.3333,81.9672,81.9672,83.3333,80.0,20.0,19.6078,20.0,20.8333,18.1818,22.2222,11.1111,8.3333,10.5263,10.5263,11.1111,10.0,H,81.7668,1.4988,20.1408,1.3396,10.268,1.0363,Eredivisie
N1,10/09/2005,Willem II,Ajax,A,5.5,3.4,1.57,5.0,3.5,1.6,4.6,3.4,1.6,5.0,3.5,1.57,4.8,3.75,1.53,2005/6,€18.58m,€87.25m,5.0,3.5,1.55,18.1818,20.0,20.8333,21.7391,20.0,20.0,29.4118,28.5714,26.6667,29.4118,28.5714,28.5714,63.6943,62.5,65.3595,62.5,64.5161,63.6943,A,20.1257,1.1773,28.5341,1.0032,63.7107,1.1224,Eredivisie
N1,11/09/2005,Feyenoord,Nijmegen,H,1.25,5.0,9.0,1.25,4.6,10.5,1.25,4.5,9.0,1.29,4.5,8.0,1.25,5.0,8.0,2005/6,€76.88m,€17.88m,1.3,4.5,7.5,80.0,80.0,80.0,80.0,76.9231,77.5194,20.0,21.7391,20.0,22.2222,22.2222,22.2222,11.1111,9.5238,12.5,11.1111,13.3333,12.5,H,79.0738,1.4473,21.4009,1.1012,11.6799,1.3693,Eredivisie
N1,11/09/2005,Groningen,Sparta Rotterdam,A,1.72,3.25,4.33,1.8,3.4,3.8,1.85,3.1,3.6,1.67,3.4,4.33,1.75,3.5,3.75,2005/6,€13.48m,€11.38m,1.73,3.4,4.0,58.1395,55.5556,57.1429,54.0541,57.8035,59.8802,30.7692,29.4118,28.5714,32.2581,29.4118,29.4118,23.0947,26.3158,26.6667,27.7778,25.0,23.0947,H,57.096,2.0479,29.9724,1.324,25.325,1.9418,Eredivisie
N1,11/09/2005,NAC Breda,Den Haag,H,1.72,3.5,4.0,1.85,3.25,3.75,1.9,3.1,3.5,1.73,3.4,4.0,1.8,3.35,3.7,2005/6,€18.35m,€17.50m,1.9,3.25,3.4,58.1395,54.0541,55.5556,52.6316,52.6316,57.8035,28.5714,30.7692,29.8507,32.2581,30.7692,29.4118,25.0,26.6667,27.027,28.5714,29.4118,25.0,H,55.136,2.4506,30.2717,1.2844,26.9462,1.81,Eredivisie
N1,11/09/2005,Twente,Vitesse,A,1.83,3.25,3.75,1.7,3.4,4.3,2.0,3.1,3.2,1.8,3.25,3.75,1.9,3.3,3.35,2005/6,€22.75m,€25.75m,1.84,3.4,3.5,54.6448,58.8235,52.6316,50.0,54.3478,55.5556,30.7692,29.4118,30.303,32.2581,29.4118,30.7692,26.6667,23.2558,29.8507,31.25,28.5714,26.6667,H,54.3339,2.9471,30.4872,1.0623,27.7102,2.8239,Eredivisie
N1,16/09/2005,Den Haag,Twente,D,2.5,3.25,2.5,2.4,3.2,2.6,2.3,3.1,2.6,2.25,3.2,2.75,2.4,3.35,2.45,2005/6,€17.50m,€22.75m,2.5,3.3,2.4,40.0,41.6667,41.6667,43.4783,40.0,44.4444,30.7692,31.25,29.8507,32.2581,30.303,31.25,40.0,38.4615,40.8163,38.4615,41.6667,36.3636,H,41.876,1.805,30.9468,0.8427,39.2949,1.9193,Eredivisie
N1,17/09/2005,Heracles,Waalwijk,A,2.5,3.25,2.5,2.35,3.15,2.7,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.35,2.55,2005/6,€9.75m,€16.67m,2.5,3.25,2.5,40.0,42.5532,43.4783,43.4783,40.0,44.4444,30.7692,31.746,29.8507,32.2581,30.7692,31.25,40.0,37.037,39.2157,38.4615,40.0,36.3636,H,42.3257,1.8982,31.1072,0.8438,38.513,1.5308,Eredivisie
N1,17/09/2005,Nijmegen,NAC Breda,D,2.1,3.5,2.8,2.1,3.2,3.1,2.1,3.0,3.1,2.0,3.4,3.0,2.15,3.35,2.75,2005/6,€17.88m,€18.35m,2.1,3.4,2.9,47.619,47.619,46.5116,47.619,47.619,50.0,28.5714,31.25,29.8507,33.3333,29.4118,29.4118,35.7143,32.2581,36.3636,32.2581,34.4828,33.3333,H,47.8313,1.1511,30.3048,1.7246,34.0684,1.746,Eredivisie
N1,17/09/2005,Roosendaal,Sparta Rotterdam,D,2.25,3.25,2.75,2.4,3.2,2.6,2.4,3.1,2.4,2.2,3.25,2.75,2.3,3.35,2.55,2005/6,€10.85m,€11.38m,2.25,3.4,2.6,44.4444,41.6667,43.4783,41.6667,44.4444,45.4545,30.7692,31.25,29.8507,32.2581,29.4118,30.7692,36.3636,38.4615,39.2157,41.6667,38.4615,36.3636,H,43.5258,1.5699,30.7182,1.0118,38.4221,1.9817,Eredivisie
