Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
D1,11/09/2004,Stuttgart,Hamburg,2,0,H,1,0,1.571,3.6,5.0,1.5,3.9,5.6,1.6,3.4,4.6,1.57,3.5,5.0,2004/5,€79.50m,€65.60m
D1,11/09/2004,Wolfsburg,Schalke 04,3,0,H,2,0,2.3,3.2,2.7,2.4,3.3,2.6,2.2,3.0,2.9,2.2,3.2,2.8,2004/5,€59.30m,€86.33m
D1,12/09/2004,Hannover,Freiburg,2,2,D,2,0,1.833,3.25,3.75,1.8,3.4,3.95,1.85,3.1,3.6,1.95,3.3,3.25,2004/5,€42.98m,€22.43m
D1,12/09/2004,Hansa Rostock,Kaiserslautern,2,3,A,0,2,1.909,3.25,3.5,1.9,3.3,3.7,1.85,3.1,3.6,1.83,3.3,3.6,2004/5,€25.90m,€33.75m
D1,18/09/2004,Bielefeld,Mainz,1,1,D,0,0,2.25,3.25,2.75,2.0,3.35,3.3,2.0,3.1,3.2,2.0,3.2,3.2,2004/5,€24.65m,€16.73m
D1,18/09/2004,Dortmund,Bayern Munich,2,2,D,1,0,2.75,3.0,2.37,2.9,3.3,2.2,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€78.33m,€175.30m
D1,18/09/2004,Hansa Rostock,Wolfsburg,1,2,A,1,1,2.3,3.2,2.7,2.2,3.3,2.9,2.3,3.0,2.7,2.5,3.1,2.5,2004/5,€25.90m,€59.30m
D1,18/09/2004,Kaiserslautern,Hamburg,2,1,H,1,0,2.2,3.25,2.8,2.05,3.3,3.2,1.85,3.1,3.6,2.0,3.2,3.2,2004/5,€33.75m,€65.60m
D1,18/09/2004,Leverkusen,Nurnberg,2,2,D,0,1,1.4,3.75,7.5,1.45,3.9,6.3,1.45,3.8,5.4,1.44,3.6,6.5,2004/5,€86.93m,€34.90m
D1,18/09/2004,Schalke 04,M'gladbach,3,2,H,1,1,1.66,3.4,4.5,1.55,3.7,5.3,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€86.33m,€50.93m
D1,18/09/2004,Werder Bremen,Hannover,3,0,H,1,0,1.5,3.5,6.0,1.4,4.2,6.6,1.65,3.3,4.4,1.5,3.4,6.0,2004/5,€98.48m,€42.98m
