Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SC0,20/08/2005,Rangers,Celtic,3,1,H,1,0,H,S Dougal,14,6,9,2,20,9,6,3,3,2,0,1,2.2,3.2,3.25,2.25,3.2,2.8,2.1,3.2,3.0,2005/6,€77.98m,€72.83m,2.0,3.25,3.25
SC0,27/08/2005,Aberdeen,Falkirk,3,0,H,3,0,H,S Conroy,11,8,5,2,6,9,6,4,0,2,0,0,1.53,3.5,6.0,1.6,3.6,4.75,1.57,3.5,5.0,2005/6,€6.45m,€8.08m,1.53,3.4,6.0
SC0,27/08/2005,Hearts,Motherwell,2,1,H,1,0,H,C Thomson,13,11,7,4,18,17,7,2,0,1,0,0,1.44,3.75,7.0,1.45,3.7,6.5,1.4,4.0,6.5,2005/6,€30.53m,€9.18m,1.35,4.0,7.5
SC0,27/08/2005,Kilmarnock,Livingston,3,0,H,3,0,H,M McCurry,15,5,7,3,11,12,13,6,1,2,0,0,1.66,3.5,4.5,1.65,3.5,4.5,1.62,3.5,4.5,2005/6,€6.33m,€10.08m,1.6,3.4,5.0
SC0,27/08/2005,Rangers,Hibernian,0,3,A,0,0,D,I Brines,15,6,6,5,13,12,5,3,0,1,0,0,1.2,5.5,11.0,1.12,6.5,15.0,1.2,5.0,11.0,2005/6,€77.98m,€17.43m,1.18,5.5,11.0
SC0,28/08/2005,Dundee United,Inverness C,1,1,D,0,0,D,E Smith,11,12,7,7,11,11,6,12,2,2,0,0,1.9,3.4,3.5,2.3,3.2,2.75,1.91,3.4,3.25,2005/6,€9.25m,€8.05m,2.1,3.25,3.0
SC0,28/08/2005,Dunfermline,Celtic,0,4,A,0,2,A,K Clark,9,11,6,6,17,13,10,0,1,0,0,0,9.5,4.5,1.33,9.0,5.0,1.25,9.0,4.33,1.29,2005/6,€8.43m,€72.83m,9.0,4.5,1.28
SC0,10/09/2005,Celtic,Aberdeen,2,0,H,1,0,H,C Richmond,8,2,4,0,4,11,7,2,0,1,0,0,1.25,5.0,9.5,1.2,5.5,10.5,1.22,5.0,10.0,2005/6,€72.83m,€6.45m,1.25,5.0,8.5
SC0,10/09/2005,Falkirk,Rangers,1,1,D,0,1,A,C MacKay,6,12,2,6,24,20,3,5,2,2,0,0,9.5,5.0,1.25,12.0,5.5,1.18,10.0,5.0,1.22,2005/6,€8.08m,€77.98m,10.0,5.5,1.2
SC0,10/09/2005,Hibernian,Dundee United,2,1,H,1,1,D,K Clark,12,11,5,6,9,16,2,3,1,5,0,0,1.61,3.5,5.0,1.7,3.3,4.5,1.67,3.4,4.33,2005/6,€17.43m,€9.25m,1.6,3.4,5.0
