Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
I1,25/09/2004,Bologna,Roma,3.0,1.0,H,3.0,0.0,2.75,3.0,2.37,3.0,2.95,2.35,2.7,3.0,2.3,2.7,3.0,2.37,2004/5,€29.94m,€201.60m
I1,25/09/2004,Juventus,Palermo,1.0,1.0,D,0.0,1.0,1.3,5.0,9.0,1.3,4.4,9.25,1.3,4.0,8.5,1.33,4.0,8.0,2004/5,€304.90m,€78.75m
I1,26/09/2004,Fiorentina,Sampdoria,0.0,2.0,A,0.0,1.0,1.8,3.0,4.33,2.05,2.9,3.75,1.85,3.0,3.8,1.83,3.0,4.0,2004/5,€111.83m,€51.00m
I1,26/09/2004,Inter,Parma,2.0,2.0,D,0.0,1.0,1.5,3.4,6.5,1.4,4.0,7.5,1.5,3.5,5.4,1.5,3.4,6.0,2004/5,€240.63m,€110.05m
I1,26/09/2004,Lazio,Milan,1.0,2.0,A,1.0,0.0,3.5,3.2,2.1,3.55,3.1,2.0,3.2,2.9,2.1,3.1,3.0,2.15,2004/5,€77.05m,€273.70m
I1,26/09/2004,Lecce,Cagliari,3.0,1.0,H,0.0,0.0,1.83,3.0,4.33,1.9,3.15,3.85,1.85,3.0,3.8,1.83,3.0,4.0,2004/5,€44.90m,€23.90m
I1,26/09/2004,Livorno,Atalanta,1.0,1.0,D,0.0,0.0,2.2,3.0,3.1,2.3,2.95,3.05,2.3,2.7,3.0,2.2,3.0,3.0,2004/5,€25.00m,€41.70m
I1,26/09/2004,Messina,Chievo,0.0,0.0,D,0.0,0.0,2.25,3.0,3.0,2.2,2.9,3.3,2.2,2.9,3.0,2.15,3.0,3.1,2004/5,€32.65m,€46.28m
I1,26/09/2004,Siena,Reggina,0.0,0.0,D,0.0,0.0,2.2,3.0,3.1,2.25,2.9,3.25,2.2,2.7,3.2,2.1,3.0,3.2,2004/5,€54.90m,€29.30m
I1,26/09/2004,Udinese,Brescia,1.0,2.0,A,0.0,1.0,1.61,3.2,5.5,1.55,3.35,6.5,1.6,3.2,5.0,1.7,3.2,4.5,2004/5,€83.95m,€45.25m
I1,02/10/2004,Cagliari,Brescia,2.0,1.0,H,1.0,1.0,1.9,3.1,3.75,1.91,2.9,4.3,1.85,2.9,4.0,1.8,3.0,4.2,2004/5,€23.90m,€45.25m
I1,02/10/2004,Chievo,Lecce,2.0,1.0,H,0.0,0.0,2.0,3.0,3.5,2.1,3.1,3.3,2.1,2.9,3.2,2.05,2.87,3.5,2004/5,€46.28m,€44.90m
I1,03/10/2004,Atalanta,Lazio,1.0,1.0,D,1.0,0.0,2.75,3.0,2.37,2.85,2.9,2.45,2.7,2.8,2.5,2.8,2.87,2.4,2004/5,€41.70m,€77.05m
I1,03/10/2004,Messina,Siena,4.0,1.0,H,2.0,1.0,1.9,3.1,3.75,1.9,2.85,4.5,1.85,3.0,3.8,1.72,3.0,4.8,2004/5,€32.65m,€54.90m
I1,03/10/2004,Milan,Reggina,3.0,1.0,H,1.0,0.0,1.2,5.0,12.0,1.22,5.25,11.0,1.25,4.5,9.0,1.22,5.0,9.5,2004/5,€273.70m,€29.30m
I1,03/10/2004,Palermo,Bologna,1.0,0.0,H,1.0,0.0,1.83,3.1,4.0,1.75,3.05,5.0,1.8,3.0,4.0,1.8,3.0,4.2,2004/5,€78.75m,€29.94m
