Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
P1,26/09/2004,Benfica,Sp Braga,0.0,0.0,D,0.0,0.0,1.33,4.33,7.0,1.4,4.0,6.75,1.35,4.0,7.0,1.4,3.75,7.0,2004/5,€120.05m,€33.05m
P1,26/09/2004,Gil Vicente,Moreirense,3.0,1.0,H,0.0,0.0,2.2,3.2,2.8,2.15,3.25,2.95,1.85,3.1,3.6,2.2,3.1,2.87,2004/5,€8.20m,€6.15m
P1,26/09/2004,Leiria,Penafiel,1.0,2.0,A,0.0,2.0,1.66,3.4,4.33,1.5,3.65,5.8,1.6,3.4,4.6,1.6,3.4,4.5,2004/5,€17.83m,€5.73m
P1,26/09/2004,Nacional,Academica,2.0,1.0,H,0.0,0.0,1.72,3.4,4.0,1.6,3.55,4.9,1.7,3.2,4.2,1.72,3.4,4.0,2004/5,€10.25m,€13.73m
P1,26/09/2004,Rio Ave,Sp Lisbon,0.0,0.0,D,0.0,0.0,3.0,3.2,2.1,3.3,3.25,2.0,3.1,3.0,2.1,3.1,3.2,2.05,2004/5,€11.10m,€89.40m
P1,27/09/2004,Estoril,Belenenses,1.0,0.0,H,0.0,0.0,2.37,3.1,2.62,2.4,3.2,2.6,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€6.63m,€24.35m
P1,01/10/2004,Boavista,Rio Ave,0.0,1.0,A,0.0,1.0,1.66,3.25,4.5,1.6,3.55,4.9,1.75,3.1,4.2,1.75,3.25,4.0,2004/5,€29.10m,€11.10m
P1,03/10/2004,Academica,Gil Vicente,2.0,1.0,H,2.0,1.0,2.0,3.2,3.2,2.15,3.25,2.95,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€13.73m,€8.20m
P1,03/10/2004,Guimaraes,Benfica,1.0,2.0,A,0.0,0.0,4.5,3.25,1.66,4.05,3.4,1.75,3.6,3.1,1.85,3.75,3.3,1.8,2004/5,€20.40m,€120.05m
P1,03/10/2004,Moreirense,Setubal,2.0,2.0,D,1.0,0.0,2.1,3.2,3.0,1.95,3.25,3.4,2.0,3.0,3.3,2.1,3.2,3.0,2004/5,€6.15m,€9.58m
P1,03/10/2004,Penafiel,Estoril,2.0,1.0,H,2.0,1.0,2.1,3.2,3.0,1.9,3.3,3.55,2.1,3.0,3.1,2.05,3.1,3.2,2004/5,€5.73m,€6.63m
P1,03/10/2004,Porto,Belenenses,3.0,0.0,H,1.0,0.0,1.36,4.0,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.3,4.33,8.0,2004/5,€158.15m,€24.35m
P1,04/10/2004,Sp Lisbon,Leiria,2.0,2.0,D,1.0,1.0,1.44,3.6,6.5,1.35,4.2,7.5,1.4,3.7,6.5,1.4,3.75,7.0,2004/5,€89.40m,€17.83m
P1,05/10/2004,Sp Braga,Nacional,3.0,2.0,H,1.0,0.0,1.9,3.2,3.5,1.8,3.4,3.8,1.8,3.1,3.8,1.83,3.2,3.75,2004/5,€33.05m,€10.25m
P1,10/10/2004,Beira Mar,Maritimo,2.0,2.0,D,1.0,0.0,2.1,3.2,3.0,2.1,3.25,3.05,2.2,2.9,3.0,2.25,3.0,2.87,2004/5,€8.10m,€21.20m
P1,15/10/2004,Gil Vicente,Sp Braga,0.0,1.0,A,0.0,0.0,2.4,3.1,2.6,2.35,3.2,2.65,2.3,3.0,2.7,2.4,3.25,2.5,2004/5,€8.20m,€33.05m
P1,16/10/2004,Estoril,Sp Lisbon,1.0,4.0,A,0.0,2.0,3.5,3.2,1.9,3.4,3.25,1.95,3.5,3.1,1.9,3.3,3.25,1.95,2004/5,€6.63m,€89.40m
P1,16/10/2004,Maritimo,Moreirense,1.0,0.0,H,0.0,0.0,1.53,3.5,5.5,1.55,3.6,5.3,1.55,3.5,4.8,1.57,3.5,5.0,2004/5,€21.20m,€6.15m
P1,16/10/2004,Nacional,Guimaraes,1.0,0.0,H,1.0,0.0,1.72,3.4,4.0,1.75,3.4,4.05,1.9,3.1,3.5,1.8,3.4,3.6,2004/5,€10.25m,€20.40m
P1,17/10/2004,Belenenses,Penafiel,4.0,1.0,H,0.0,1.0,1.66,3.4,4.33,1.7,3.45,4.3,1.7,3.2,4.2,1.72,3.4,4.0,2004/5,€24.35m,€5.73m
P1,17/10/2004,Benfica,Porto,0.0,1.0,A,0.0,1.0,2.37,3.0,2.75,2.3,3.2,2.75,2.1,3.0,3.1,2.37,2.9,2.8,2004/5,€120.05m,€158.15m
P1,17/10/2004,Leiria,Boavista,0.0,3.0,A,0.0,1.0,2.25,3.1,2.8,2.2,3.2,2.9,2.2,2.9,3.0,2.25,3.2,2.75,2004/5,€17.83m,€29.10m
P1,17/10/2004,Rio Ave,Beira Mar,1.0,1.0,D,1.0,0.0,1.83,3.2,3.75,2.0,3.25,3.3,1.85,3.1,3.6,1.83,3.4,3.5,2004/5,€11.10m,€8.10m
P1,18/10/2004,Setubal,Academica,1.0,0.0,H,0.0,0.0,1.66,3.3,4.5,1.7,3.45,4.3,1.8,3.1,3.8,1.72,3.4,4.0,2004/5,€9.58m,€13.73m
P1,22/10/2004,Boavista,Estoril,0.0,0.0,D,0.0,0.0,1.44,3.75,6.5,1.4,4.0,6.75,1.5,3.5,5.4,1.44,3.6,6.5,2004/5,€29.10m,€6.63m
P1,23/10/2004,Moreirense,Rio Ave,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.25,3.2,2.8,2.2,2.8,3.1,2.1,3.2,3.0,2004/5,€6.15m,€11.10m
P1,23/10/2004,Sp Braga,Setubal,2.0,3.0,A,2.0,1.0,1.72,3.2,4.33,1.8,3.4,3.8,1.75,3.2,4.0,1.7,3.3,4.2,2004/5,€33.05m,€9.58m
P1,23/10/2004,Sp Lisbon,Belenenses,2.0,0.0,H,0.0,0.0,1.5,3.6,5.5,1.4,4.0,6.75,1.4,3.9,6.0,1.44,3.6,6.5,2004/5,€89.40m,€24.35m
P1,24/10/2004,Academica,Maritimo,1.0,0.0,H,1.0,0.0,2.62,3.0,2.5,2.5,3.15,2.5,2.4,2.9,2.7,2.6,3.1,2.4,2004/5,€13.73m,€21.20m
P1,24/10/2004,Beira Mar,Leiria,0.0,1.0,A,0.0,0.0,1.9,3.25,3.5,1.95,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,2004/5,€8.10m,€17.83m
P1,24/10/2004,Benfica,Nacional,2.0,1.0,H,0.0,0.0,1.33,4.33,7.5,1.25,5.0,9.0,1.33,4.0,7.5,1.33,4.0,8.0,2004/5,€120.05m,€10.25m
P1,24/10/2004,Guimaraes,Gil Vicente,2.0,1.0,H,2.0,0.0,1.8,3.2,4.0,1.8,3.4,3.8,1.8,3.1,3.8,1.85,3.3,3.5,2004/5,€20.40m,€8.20m
P1,30/10/2004,Nacional,Porto,2.0,2.0,D,0.0,1.0,4.33,3.25,1.72,3.8,3.4,1.8,3.8,3.1,1.8,3.75,3.2,1.83,2004/5,€10.25m,€158.15m
P1,30/10/2004,Penafiel,Sp Lisbon,0.0,3.0,A,0.0,0.0,4.33,3.25,1.72,4.0,3.45,1.75,4.4,3.3,1.65,4.2,3.25,1.72,2004/5,€5.73m,€89.40m
P1,31/10/2004,Belenenses,Boavista,1.0,2.0,A,1.0,1.0,2.2,3.2,2.8,2.15,3.25,2.95,2.3,2.9,2.8,2.25,3.2,2.7,2004/5,€24.35m,€29.10m
P1,31/10/2004,Estoril,Beira Mar,5.0,0.0,H,3.0,0.0,2.25,3.2,2.75,2.15,3.25,2.95,2.2,2.9,3.0,2.25,3.2,2.7,2004/5,€6.63m,€8.10m
P1,31/10/2004,Gil Vicente,Benfica,1.0,1.0,D,1.0,0.0,5.5,3.5,1.5,5.3,3.6,1.55,4.8,3.5,1.55,5.5,3.5,1.53,2004/5,€8.20m,€120.05m
P1,31/10/2004,Leiria,Moreirense,0.0,0.0,D,0.0,0.0,1.72,3.4,4.0,1.8,3.4,3.8,1.75,3.2,4.0,1.75,3.3,4.0,2004/5,€17.83m,€6.15m
P1,31/10/2004,Rio Ave,Academica,3.0,1.0,H,1.0,0.0,1.8,3.2,4.0,1.8,3.4,3.8,1.75,3.2,4.0,1.75,3.3,4.0,2004/5,€11.10m,€13.73m
P1,01/11/2004,Maritimo,Sp Braga,2.0,0.0,H,1.0,0.0,1.9,3.2,3.5,1.8,3.4,3.8,1.85,3.1,3.6,1.9,3.25,3.4,2004/5,€21.20m,€33.05m
P1,01/11/2004,Setubal,Guimaraes,1.0,0.0,H,0.0,0.0,1.8,3.2,4.0,1.7,3.45,4.3,1.8,3.1,3.8,1.8,3.3,3.75,2004/5,€9.58m,€20.40m
P1,05/11/2004,Beira Mar,Belenenses,3.0,3.0,D,1.0,1.0,2.1,3.2,3.0,2.1,3.25,3.05,2.2,2.9,3.0,2.2,3.25,2.75,2004/5,€8.10m,€24.35m
P1,06/11/2004,Boavista,Penafiel,2.0,1.0,H,0.0,1.0,1.44,3.75,6.0,1.4,4.0,6.75,1.45,3.6,5.8,1.4,3.75,7.0,2004/5,€29.10m,€5.73m
P1,06/11/2004,Guimaraes,Maritimo,1.0,1.0,D,0.0,1.0,2.37,3.1,2.62,2.35,3.2,2.65,2.3,2.9,2.8,2.3,3.2,2.65,2004/5,€20.40m,€21.20m
P1,07/11/2004,Academica,Leiria,0.0,1.0,A,0.0,1.0,2.1,3.2,3.0,2.2,3.2,2.9,2.2,2.9,3.0,2.0,3.2,3.2,2004/5,€13.73m,€17.83m
P1,07/11/2004,Benfica,Setubal,4.0,0.0,H,1.0,0.0,1.4,3.75,7.0,1.45,3.8,6.25,1.45,3.6,5.8,1.4,3.75,7.0,2004/5,€120.05m,€9.58m
P1,07/11/2004,Moreirense,Estoril,1.0,2.0,A,1.0,0.0,2.0,3.2,3.2,1.9,3.3,3.55,1.9,3.1,3.5,2.0,3.2,3.2,2004/5,€6.15m,€6.63m
P1,07/11/2004,Nacional,Gil Vicente,0.0,0.0,D,0.0,0.0,1.57,3.5,5.0,1.5,3.65,5.8,1.6,3.3,4.8,1.55,3.5,5.25,2004/5,€10.25m,€8.20m
P1,07/11/2004,Sp Braga,Rio Ave,3.0,0.0,H,2.0,0.0,1.9,3.2,3.5,1.9,3.3,3.55,2.0,2.9,3.4,1.85,3.2,3.7,2004/5,€33.05m,€11.10m
P1,08/11/2004,Porto,Sp Lisbon,3.0,0.0,H,0.0,0.0,1.72,3.2,4.33,1.8,3.4,3.8,1.8,3.1,3.8,1.72,3.25,4.2,2004/5,€158.15m,€89.40m
P1,12/11/2004,Estoril,Academica,0.0,1.0,A,0.0,0.0,1.83,3.25,3.6,1.8,3.4,3.8,1.8,3.1,3.8,1.75,3.25,4.0,2004/5,€6.63m,€13.73m
