Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
B1,28/08/2004,Bergen,Oostende,2.0,0.0,H,1.0,0.0,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.1,3.8,1.8,3.1,4.0,2004/5,€15.63m,€8.60m
B1,28/08/2004,Club Brugge,Lierse,1.0,0.0,H,0.0,0.0,1.25,5.0,8.0,1.3,4.5,8.25,1.25,4.5,9.0,1.25,5.0,8.0,2004/5,€53.03m,€14.83m
B1,28/08/2004,Lokeren,Mouscron,1.0,1.0,D,0.0,0.0,2.3,3.2,2.7,2.5,3.2,2.5,2.2,3.0,2.9,2.2,3.2,2.8,2004/5,€18.73m,€15.60m
B1,28/08/2004,Standard,FC Brussels,1.0,3.0,A,0.0,1.0,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.0,7.0,1.3,4.33,8.0,2004/5,€43.55m,€10.22m
B1,28/08/2004,Westerlo,Cercle Brugge,1.0,2.0,A,1.0,0.0,1.53,3.5,5.5,1.65,3.25,5.0,1.6,3.4,4.6,1.57,3.3,5.5,2004/5,€13.40m,€10.98m
B1,29/08/2004,Germinal,Charleroi,0.0,1.0,A,0.0,1.0,1.66,3.4,4.33,1.7,3.45,4.3,1.65,3.3,4.4,1.66,3.3,4.5,2004/5,€15.67m,€12.15m
B1,29/08/2004,St Truiden,Beveren,0.0,1.0,A,0.0,0.0,2.1,3.2,3.0,2.0,3.25,3.3,1.9,3.1,3.5,2.2,3.2,2.8,2004/5,€12.10m,€14.30m
B1,11/09/2004,Charleroi,Club Brugge,0.0,1.0,A,0.0,0.0,5.0,3.5,1.571,4.55,3.5,1.65,4.6,3.4,1.6,4.8,3.4,1.6,2004/5,€12.15m,€53.03m
B1,11/09/2004,FC Brussels,Westerlo,0.0,1.0,A,0.0,0.0,2.375,3.1,2.625,2.35,3.2,2.65,2.1,3.1,3.0,2.37,3.1,2.62,2004/5,€10.22m,€13.40m
B1,11/09/2004,Gent,St Truiden,2.0,1.0,H,1.0,0.0,1.727,3.25,4.333,1.8,3.4,3.8,1.75,3.2,4.0,1.7,3.3,4.2,2004/5,€26.63m,€12.10m
B1,11/09/2004,Lierse,Bergen,4.0,1.0,H,1.0,0.0,1.833,3.2,3.75,1.9,3.3,3.5,1.9,3.1,3.5,1.9,3.2,3.5,2004/5,€14.83m,€15.63m
B1,11/09/2004,Oostende,Anderlecht,1.0,3.0,A,0.0,1.0,7.0,3.75,1.4,5.75,3.65,1.5,6.0,3.9,1.4,7.0,3.75,1.4,2004/5,€8.60m,€63.60m
