Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
F1,22/08/2004,Metz,Lyon,1.0,1.0,D,1.0,0.0,3.0,3.1,2.2,3.5,3.05,2.0,3.2,2.9,2.1,3.0,3.0,2.2,2004/5,€35.70m,€133.90m
F1,27/08/2004,Nice,Bastia,1.0,1.0,D,1.0,0.0,1.83,3.25,3.75,2.0,3.05,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€34.45m,€31.85m
F1,28/08/2004,Ajaccio,Stade Rennais FC,1.0,1.0,D,1.0,1.0,2.37,3.0,2.75,2.25,3.0,3.0,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€24.55m,€61.30m
F1,28/08/2004,Auxerre,Caen,1.0,0.0,H,0.0,0.0,1.57,3.4,5.5,1.6,3.5,5.0,1.65,3.3,4.4,1.57,3.3,5.5,2004/5,€47.85m,€22.70m
F1,28/08/2004,Bordeaux,Sochaux,2.0,0.0,H,1.0,0.0,2.0,3.0,3.5,1.85,3.1,4.0,1.9,3.1,3.5,1.83,3.2,3.75,2004/5,€52.60m,€49.65m
F1,28/08/2004,Lens,Monaco,1.0,1.0,D,1.0,1.0,2.5,3.0,2.62,2.4,3.0,2.75,2.3,2.9,2.8,2.37,3.0,2.7,2004/5,€52.50m,€103.80m
F1,28/08/2004,Lyon,Lille,1.0,0.0,H,1.0,0.0,1.53,3.4,6.0,1.55,3.5,5.5,1.55,3.5,4.8,1.5,3.4,6.0,2004/5,€133.90m,€56.25m
F1,28/08/2004,Marseille,Metz,1.0,3.0,A,1.0,1.0,1.53,3.4,6.0,1.5,3.4,6.5,1.45,3.6,5.8,1.5,3.4,6.0,2004/5,€78.60m,€35.70m
F1,28/08/2004,Nantes,Toulouse,2.0,2.0,D,1.0,2.0,1.72,3.25,4.33,1.75,3.15,4.5,2.0,3.1,3.2,1.9,3.1,3.6,2004/5,€47.35m,€37.10m
F1,28/08/2004,Strasbourg,Istres,1.0,1.0,D,1.0,0.0,1.83,3.25,3.75,1.85,3.25,3.75,1.8,3.1,3.8,1.72,3.2,4.33,2004/5,€35.10m,€18.50m
F1,29/08/2004,Paris SG,St Etienne,2.0,2.0,D,0.0,0.0,1.4,3.8,7.0,1.4,3.9,7.0,1.4,3.7,6.5,1.44,3.6,6.5,2004/5,€81.75m,€37.50m
F1,11/09/2004,Bastia,Auxerre,1.0,0.0,H,1.0,0.0,2.5,3.0,2.6,2.35,3.3,2.6,2.3,2.9,2.8,2.5,3.1,2.5,2004/5,€31.85m,€47.85m
F1,11/09/2004,Caen,Lens,1.0,0.0,H,0.0,0.0,2.5,3.1,2.5,2.6,3.2,2.4,2.5,3.0,2.5,2.62,2.9,2.5,2004/5,€22.70m,€52.50m
F1,11/09/2004,Istres,Paris SG,1.0,1.0,D,1.0,0.0,3.5,3.0,2.0,4.3,3.1,1.8,3.6,3.1,1.85,3.75,3.2,1.83,2004/5,€18.50m,€81.75m
F1,11/09/2004,Lille,Nice,1.0,0.0,H,0.0,0.0,1.909,3.0,3.75,1.9,3.1,3.8,2.0,2.9,3.4,1.83,3.0,4.0,2004/5,€56.25m,€34.45m
F1,11/09/2004,Metz,Bordeaux,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.2,3.2,2.9,2.3,2.9,2.8,2.2,3.0,3.0,2004/5,€35.70m,€52.60m
F1,11/09/2004,Monaco,Strasbourg,3.0,1.0,H,1.0,1.0,1.4,3.75,7.0,1.45,3.7,6.5,1.45,3.6,5.8,1.36,3.75,8.0,2004/5,€103.80m,€35.10m
F1,11/09/2004,Stade Rennais FC,Lyon,1.0,2.0,A,0.0,0.0,2.75,3.0,2.375,2.7,3.15,2.35,2.7,2.9,2.4,2.62,3.1,2.37,2004/5,€61.30m,€133.90m
F1,11/09/2004,St Etienne,Nantes,0.0,0.0,D,0.0,0.0,2.375,3.0,2.75,2.5,3.2,2.5,2.2,3.0,2.9,2.2,3.1,2.87,2004/5,€37.50m,€47.35m
