Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,26/08/2017,Den Haag,Heerenveen,1.0,2.0,A,0.0,0.0,D,3.2,3.4,2.2,3.1,3.5,2.25,3.0,3.4,2.2,2017/18,€23.63m,€39.13m,3.0,3.5,2.3,13.0,16.0,1.0,9.0,9.0,18.0,5.0,7.0,1.0,2.0,0.0,0.0
N1,26/08/2017,Heracles,Excelsior,2.0,2.0,D,1.0,1.0,D,2.05,3.5,3.4,2.05,3.6,3.5,2.1,3.5,3.1,2017/18,€22.25m,€14.80m,2.1,3.75,3.2,18.0,11.0,6.0,5.0,10.0,17.0,3.0,4.0,1.0,2.0,0.0,1.0
N1,26/08/2017,Vitesse,AZ Alkmaar,1.0,2.0,A,0.0,1.0,A,2.1,3.4,3.4,2.2,3.7,3.1,2.15,3.5,3.0,2017/18,€39.78m,€70.68m,2.2,3.6,3.13,16.0,27.0,4.0,9.0,8.0,15.0,4.0,7.0,1.0,3.0,0.0,0.0
N1,26/08/2017,Zwolle,Twente,2.0,0.0,H,1.0,0.0,H,2.05,3.5,3.4,2.0,3.5,3.8,1.95,3.5,3.4,2017/18,€26.33m,€22.15m,2.05,3.6,3.5,16.0,10.0,4.0,3.0,12.0,12.0,4.0,5.0,2.0,3.0,0.0,0.0
N1,27/08/2017,Feyenoord,Willem II,5.0,0.0,H,4.0,0.0,H,1.2,6.5,13.0,1.2,7.0,14.0,1.18,6.5,15.0,2017/18,€104.20m,€18.65m,1.2,7.0,13.0,16.0,4.0,8.0,1.0,9.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0
N1,27/08/2017,Groningen,Utrecht,2.0,1.0,H,2.0,0.0,H,2.8,3.25,2.5,2.8,3.4,2.5,2.55,3.4,2.45,2017/18,€30.30m,€46.63m,2.7,3.5,2.55,5.0,30.0,3.0,13.0,16.0,12.0,0.0,13.0,2.0,3.0,0.0,0.0
N1,27/08/2017,PSV Eindhoven,Roda,2.0,0.0,H,2.0,0.0,H,1.08,10.0,23.0,1.11,9.75,23.0,1.1,9.5,29.0,2017/18,€174.45m,€13.28m,1.1,10.0,26.0,23.0,6.0,9.0,2.0,10.0,14.0,5.0,4.0,0.0,1.0,0.0,0.0
N1,27/08/2017,VVV Venlo,Ajax,0.0,2.0,A,0.0,0.0,D,6.5,4.5,1.44,6.75,5.0,1.42,6.0,4.33,1.44,2017/18,€13.58m,€251.00m,6.5,4.8,1.45,11.0,22.0,3.0,7.0,7.0,7.0,3.0,8.0,2.0,1.0,0.0,0.0
N1,09/09/2017,Ajax,Zwolle,3.0,0.0,H,1.0,0.0,H,1.22,6.5,11.0,1.22,6.5,13.0,1.2,6.0,11.0,2017/18,€251.00m,€26.33m,1.2,6.5,15.0,21.0,11.0,8.0,3.0,10.0,18.0,5.0,4.0,2.0,1.0,0.0,0.0
N1,09/09/2017,Excelsior,Vitesse,0.0,3.0,A,0.0,1.0,A,3.4,3.2,2.2,3.3,3.4,2.2,3.0,3.3,2.2,2017/18,€14.80m,€39.78m,3.1,3.5,2.25,7.0,12.0,1.0,4.0,10.0,10.0,5.0,5.0,2.0,1.0,0.0,0.0
N1,09/09/2017,Heracles,Feyenoord,2.0,4.0,A,0.0,3.0,A,6.5,4.5,1.44,6.5,4.6,1.48,6.0,4.33,1.44,2017/18,€22.25m,€104.20m,6.5,4.8,1.45,12.0,19.0,6.0,10.0,15.0,10.0,3.0,6.0,3.0,2.0,0.0,0.0
N1,09/09/2017,Willem II,Den Haag,1.0,2.0,A,0.0,1.0,A,2.3,3.4,3.0,2.3,3.4,3.1,2.25,3.2,3.0,2017/18,€18.65m,€23.63m,2.3,3.4,3.13,7.0,12.0,3.0,5.0,17.0,18.0,2.0,2.0,1.0,1.0,0.0,0.0
N1,10/09/2017,AZ Alkmaar,NAC Breda,2.0,1.0,H,0.0,0.0,D,1.3,5.0,10.0,1.33,5.5,8.75,1.3,5.0,8.5,2017/18,€70.68m,€17.15m,1.33,5.5,9.0,16.0,12.0,6.0,3.0,16.0,17.0,7.0,5.0,1.0,1.0,0.0,0.0
N1,10/09/2017,Groningen,VVV Venlo,1.0,1.0,D,1.0,0.0,H,2.0,3.5,3.6,2.0,3.5,3.8,2.05,3.4,3.3,2017/18,€30.30m,€13.58m,2.05,3.5,3.6,12.0,18.0,6.0,6.0,9.0,11.0,5.0,6.0,2.0,2.0,0.0,0.0
N1,10/09/2017,Heerenveen,PSV Eindhoven,2.0,0.0,H,2.0,0.0,H,5.25,4.33,1.55,5.0,4.25,1.62,4.8,4.0,1.6,2017/18,€39.13m,€174.45m,5.2,4.33,1.6,19.0,7.0,3.0,3.0,10.0,14.0,8.0,4.0,0.0,3.0,0.0,1.0
N1,10/09/2017,Sparta Rotterdam,Twente,1.0,0.0,H,1.0,0.0,H,2.25,3.5,3.0,2.25,3.4,3.2,2.2,3.4,2.9,2017/18,€15.45m,€22.15m,2.3,3.6,3.0,10.0,12.0,1.0,1.0,14.0,13.0,5.0,9.0,2.0,2.0,0.0,1.0
N1,10/09/2017,Utrecht,Roda,2.0,0.0,H,1.0,0.0,H,1.36,4.75,8.5,1.36,5.0,8.5,1.36,4.6,8.5,2017/18,€46.63m,€13.28m,1.33,5.0,9.5,27.0,3.0,10.0,1.0,12.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0
N1,15/09/2017,Sparta Rotterdam,AZ Alkmaar,0.0,2.0,A,0.0,1.0,A,4.33,3.75,1.75,4.25,3.9,1.8,3.5,3.5,1.95,2017/18,€15.45m,€70.68m,4.2,3.9,1.8,15.0,15.0,7.0,5.0,9.0,9.0,8.0,8.0,1.0,0.0,0.0,0.0
N1,16/09/2017,Excelsior,Heerenveen,1.0,2.0,A,1.0,0.0,H,3.3,3.6,2.05,3.3,3.5,2.15,3.1,3.4,2.1,2017/18,€14.80m,€39.13m,3.4,3.6,2.1,12.0,16.0,5.0,5.0,13.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0
N1,16/09/2017,NAC Breda,Groningen,2.0,1.0,H,0.0,0.0,D,3.2,3.25,2.25,3.0,3.3,2.4,2.8,3.4,2.3,2017/18,€17.15m,€30.30m,2.9,3.5,2.38,12.0,8.0,7.0,4.0,9.0,11.0,1.0,1.0,3.0,3.0,0.0,0.0
N1,16/09/2017,Roda,Willem II,1.0,3.0,A,1.0,3.0,A,2.2,3.4,3.2,2.3,3.4,3.1,2.2,3.2,3.1,2017/18,€13.28m,€18.65m,2.3,3.4,3.13,12.0,11.0,4.0,6.0,14.0,7.0,5.0,3.0,2.0,2.0,0.0,0.0
N1,16/09/2017,Zwolle,Heracles,2.0,1.0,H,1.0,0.0,H,1.8,3.8,4.0,1.78,3.9,4.33,1.8,3.7,3.8,2017/18,€26.33m,€22.25m,1.75,4.0,4.33,21.0,7.0,7.0,4.0,17.0,15.0,8.0,4.0,5.0,3.0,0.0,0.0
N1,17/09/2017,Den Haag,Ajax,1.0,1.0,D,0.0,1.0,A,10.0,6.0,1.25,10.0,6.0,1.28,11.0,5.5,1.25,2017/18,€23.63m,€251.00m,12.0,6.0,1.25,10.0,19.0,2.0,6.0,12.0,13.0,1.0,8.0,3.0,4.0,0.0,0.0
N1,17/09/2017,PSV Eindhoven,Feyenoord,1.0,0.0,H,1.0,0.0,H,2.05,3.6,3.3,2.1,3.4,3.6,2.05,3.4,3.25,2017/18,€174.45m,€104.20m,2.05,3.6,3.4,18.0,16.0,5.0,5.0,19.0,15.0,5.0,7.0,2.0,5.0,0.0,1.0
N1,17/09/2017,Twente,Utrecht,4.0,0.0,H,3.0,0.0,H,3.5,3.75,1.95,4.0,3.5,1.95,3.4,3.4,2.0,2017/18,€22.15m,€46.63m,3.8,3.7,1.93,12.0,8.0,8.0,1.0,17.0,10.0,5.0,6.0,1.0,2.0,0.0,0.0
N1,17/09/2017,Vitesse,VVV Venlo,1.0,1.0,D,0.0,0.0,D,1.62,4.0,5.0,1.67,4.1,4.75,1.67,3.75,4.5,2017/18,€39.78m,€13.58m,1.7,4.0,4.75,20.0,5.0,6.0,3.0,14.0,16.0,9.0,3.0,5.0,1.0,0.0,0.0
