Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,28/10/2017,Roda,Feyenoord,1.0,1.0,D,1.0,1.0,D,9.0,5.5,1.3,10.5,5.25,1.3,9.5,4.8,1.3,2017/18,€13.28m,€104.20m,10.0,5.5,1.3,9.0,32.0,2.0,10.0,13.0,11.0,3.0,16.0,1.0,1.0,0.0,0.0
N1,28/10/2017,Willem II,Ajax,1.0,3.0,A,0.0,0.0,D,11.0,5.75,1.25,12.5,5.75,1.26,12.0,5.5,1.25,2017/18,€18.65m,€251.00m,12.0,6.0,1.25,10.0,24.0,4.0,6.0,11.0,13.0,7.0,10.0,2.0,1.0,0.0,0.0
N1,28/10/2017,Zwolle,Den Haag,2.0,0.0,H,2.0,0.0,H,1.6,4.0,5.5,1.65,4.0,5.25,1.61,3.8,4.75,2017/18,€26.33m,€23.63m,1.62,4.2,5.25,14.0,6.0,6.0,0.0,12.0,17.0,2.0,4.0,0.0,3.0,0.0,0.0
N1,29/10/2017,Heerenveen,AZ Alkmaar,1.0,2.0,A,1.0,0.0,H,2.5,3.6,2.6,2.55,3.6,2.65,2.45,3.5,2.55,2017/18,€39.13m,€70.68m,2.5,3.8,2.6,8.0,20.0,4.0,6.0,21.0,16.0,2.0,4.0,3.0,4.0,0.0,0.0
N1,29/10/2017,Sparta Rotterdam,Groningen,2.0,1.0,H,2.0,1.0,H,2.2,3.5,3.1,2.25,3.4,3.2,2.2,3.4,2.9,2017/18,€15.45m,€30.30m,2.3,3.6,3.0,18.0,15.0,4.0,5.0,10.0,9.0,9.0,6.0,1.0,0.0,1.0,0.0
N1,29/10/2017,Utrecht,NAC Breda,2.0,2.0,D,1.0,1.0,D,1.39,4.75,7.0,1.42,4.6,7.75,1.4,4.5,7.0,2017/18,€46.63m,€17.15m,1.4,5.0,7.5,23.0,15.0,8.0,4.0,16.0,11.0,13.0,4.0,3.0,3.0,0.0,0.0
N1,29/10/2017,Vitesse,PSV Eindhoven,2.0,4.0,A,1.0,1.0,D,4.75,4.0,1.66,4.5,4.1,1.72,4.4,3.8,1.67,2017/18,€39.78m,€174.45m,4.5,4.0,1.73,11.0,20.0,4.0,9.0,13.0,15.0,7.0,2.0,3.0,4.0,0.0,0.0
N1,03/11/2017,Sparta Rotterdam,Heerenveen,0.0,0.0,D,0.0,0.0,D,3.0,3.5,2.25,3.1,3.4,2.3,2.9,3.4,2.2,2017/18,€15.45m,€39.13m,3.0,3.6,2.3,8.0,8.0,1.0,2.0,11.0,19.0,4.0,7.0,2.0,2.0,0.0,0.0
N1,04/11/2017,AZ Alkmaar,Willem II,3.0,2.0,H,1.0,1.0,D,1.36,5.0,7.5,1.4,5.0,7.5,1.4,4.6,7.0,2017/18,€70.68m,€18.65m,1.4,5.0,7.5,19.0,7.0,9.0,2.0,12.0,8.0,5.0,4.0,2.0,1.0,1.0,0.0
N1,04/11/2017,Excelsior,Roda,1.0,0.0,H,1.0,0.0,H,1.7,3.6,5.0,1.72,3.7,5.0,1.7,3.6,4.5,2017/18,€14.80m,€13.28m,1.73,3.8,4.8,15.0,7.0,4.0,3.0,14.0,12.0,1.0,5.0,1.0,0.0,0.0,1.0
N1,04/11/2017,Heracles,Groningen,2.0,1.0,H,1.0,1.0,D,2.25,3.5,3.0,2.15,3.6,3.25,2.15,3.6,2.9,2017/18,€22.25m,€30.30m,2.2,3.75,3.0,19.0,19.0,5.0,5.0,15.0,16.0,6.0,7.0,1.0,2.0,0.0,0.0
N1,04/11/2017,VVV Venlo,NAC Breda,0.0,0.0,D,0.0,0.0,D,1.9,3.6,3.79,1.95,3.6,3.8,1.95,3.4,3.6,2017/18,€13.58m,€17.15m,1.95,3.6,3.8,10.0,10.0,0.0,4.0,14.0,9.0,3.0,4.0,0.0,2.0,0.0,0.0
N1,05/11/2017,Ajax,Utrecht,1.0,2.0,A,1.0,1.0,D,1.25,6.0,10.0,1.25,6.0,12.5,1.25,5.75,10.0,2017/18,€251.00m,€46.63m,1.25,6.5,10.5,18.0,8.0,4.0,5.0,9.0,18.0,10.0,2.0,2.0,3.0,0.0,0.0
N1,05/11/2017,Den Haag,Feyenoord,2.0,2.0,D,1.0,1.0,D,6.25,4.75,1.44,6.75,4.75,1.44,6.0,4.2,1.5,2017/18,€23.63m,€104.20m,6.5,4.5,1.5,12.0,17.0,4.0,7.0,6.0,8.0,11.0,2.0,0.0,1.0,0.0,0.0
N1,05/11/2017,PSV Eindhoven,Twente,4.0,3.0,H,1.0,1.0,D,1.16,7.5,15.0,1.16,8.25,14.5,1.2,6.5,13.0,2017/18,€174.45m,€22.15m,1.18,8.0,13.0,18.0,10.0,8.0,4.0,6.0,16.0,8.0,6.0,1.0,2.0,0.0,0.0
N1,05/11/2017,Vitesse,Zwolle,0.0,0.0,D,0.0,0.0,D,1.85,3.79,3.79,1.9,3.6,4.1,1.87,3.6,3.6,2017/18,€39.78m,€26.33m,1.91,3.8,3.8,10.0,8.0,2.0,3.0,12.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0
N1,18/11/2017,Feyenoord,VVV Venlo,1.0,1.0,D,0.0,0.0,D,1.25,6.0,10.0,1.26,6.0,11.5,1.25,5.5,11.0,2017/18,€104.20m,€13.58m,1.25,6.25,11.5,22.0,2.0,8.0,1.0,11.0,10.0,13.0,1.0,0.0,2.0,0.0,0.0
N1,18/11/2017,NAC Breda,Ajax,0.0,8.0,A,0.0,5.0,A,11.0,5.75,1.25,10.5,5.75,1.28,11.0,5.25,1.25,2017/18,€17.15m,€251.00m,11.0,6.25,1.25,13.0,30.0,6.0,14.0,6.0,7.0,3.0,9.0,1.0,0.0,0.0,0.0
N1,18/11/2017,Twente,Heerenveen,0.0,4.0,A,0.0,2.0,A,2.37,3.5,2.79,2.35,3.5,2.95,2.3,3.4,2.75,2017/18,€22.15m,€39.13m,2.4,3.6,2.8,10.0,11.0,1.0,7.0,14.0,12.0,5.0,6.0,2.0,1.0,0.0,0.0
N1,18/11/2017,Willem II,Sparta Rotterdam,2.0,2.0,D,0.0,2.0,A,2.04,3.39,3.6,2.05,3.4,3.75,2.05,3.3,3.4,2017/18,€18.65m,€15.45m,2.1,3.5,3.5,12.0,6.0,4.0,3.0,14.0,11.0,7.0,2.0,2.0,1.0,0.0,0.0
N1,19/11/2017,Den Haag,Heracles,4.0,1.0,H,1.0,1.0,D,2.14,3.39,3.25,2.3,3.5,3.0,2.2,3.4,2.9,2017/18,€23.63m,€22.25m,2.25,3.5,3.13,25.0,14.0,10.0,8.0,5.0,7.0,9.0,8.0,0.0,2.0,0.0,0.0
N1,19/11/2017,Groningen,Vitesse,4.0,2.0,H,0.0,1.0,A,2.89,3.6,2.25,3.3,3.5,2.15,3.0,3.4,2.15,2017/18,€30.30m,€39.78m,3.1,3.6,2.2,12.0,20.0,4.0,6.0,13.0,17.0,2.0,2.0,6.0,4.0,1.0,0.0
N1,19/11/2017,Roda,AZ Alkmaar,0.0,1.0,A,0.0,0.0,D,6.25,4.2,1.5,6.5,4.2,1.53,5.25,4.2,1.53,2017/18,€13.28m,€70.68m,5.5,4.5,1.55,10.0,15.0,3.0,4.0,14.0,16.0,1.0,7.0,0.0,2.0,0.0,0.0
N1,19/11/2017,Utrecht,Excelsior,3.0,1.0,H,1.0,0.0,H,1.44,4.2,7.5,1.5,4.33,6.5,1.5,4.2,6.0,2017/18,€46.63m,€14.80m,1.5,4.4,6.5,19.0,15.0,7.0,7.0,6.0,9.0,9.0,8.0,0.0,1.0,0.0,0.0
N1,19/11/2017,Zwolle,PSV Eindhoven,0.0,1.0,A,0.0,0.0,D,6.0,3.79,1.57,6.0,3.9,1.6,4.75,4.0,1.6,2017/18,€26.33m,€174.45m,5.0,4.3,1.62,19.0,11.0,7.0,5.0,14.0,17.0,6.0,5.0,1.0,3.0,0.0,0.0
N1,24/11/2017,AZ Alkmaar,Twente,2.0,0.0,H,0.0,0.0,D,1.44,4.5,6.5,1.44,4.75,7.0,1.44,4.5,6.5,2017/18,€70.68m,€22.15m,1.44,5.0,6.5,24.0,10.0,7.0,3.0,9.0,12.0,4.0,4.0,0.0,1.0,0.0,0.0
N1,25/11/2017,Groningen,Feyenoord,0.0,2.0,A,0.0,0.0,D,5.75,4.0,1.55,5.5,4.1,1.6,5.2,4.0,1.57,2017/18,€30.30m,€104.20m,5.75,4.3,1.55,9.0,15.0,1.0,8.0,7.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0
N1,25/11/2017,Heerenveen,Zwolle,1.0,2.0,A,1.0,1.0,D,1.9,3.75,3.6,1.91,3.75,3.8,1.87,3.6,3.7,2017/18,€39.13m,€26.33m,1.87,3.8,4.0,11.0,9.0,6.0,4.0,16.0,10.0,6.0,2.0,3.0,3.0,0.0,0.0
N1,25/11/2017,Heracles,NAC Breda,2.0,1.0,H,2.0,1.0,H,1.83,3.75,4.0,1.85,3.8,4.0,1.85,3.6,3.7,2017/18,€22.25m,€17.15m,1.87,4.0,3.8,19.0,13.0,9.0,3.0,8.0,10.0,6.0,5.0,1.0,2.0,0.0,0.0
N1,25/11/2017,VVV Venlo,Willem II,3.0,3.0,D,1.0,0.0,H,2.04,3.29,3.6,2.15,3.3,3.5,2.1,3.25,3.3,2017/18,€13.58m,€18.65m,2.15,3.4,3.5,17.0,10.0,9.0,6.0,7.0,18.0,8.0,2.0,0.0,4.0,0.0,0.0
N1,26/11/2017,Ajax,Roda,5.0,1.0,H,1.0,1.0,D,1.06,11.0,29.0,1.06,13.0,29.0,1.06,13.0,46.0,2017/18,€251.00m,€13.28m,1.05,15.0,31.0,22.0,8.0,8.0,4.0,5.0,7.0,10.0,2.0,0.0,1.0,0.0,0.0
N1,26/11/2017,Excelsior,PSV Eindhoven,1.0,2.0,A,0.0,2.0,A,9.0,5.0,1.33,8.5,5.25,1.35,8.5,4.8,1.33,2017/18,€14.80m,€174.45m,8.5,5.4,1.33,11.0,22.0,4.0,8.0,16.0,12.0,6.0,5.0,2.0,1.0,0.0,0.0
N1,26/11/2017,Sparta Rotterdam,Utrecht,1.0,3.0,A,0.0,1.0,A,3.39,3.5,2.04,3.5,3.6,2.05,3.4,3.4,2.0,2017/18,€15.45m,€46.63m,3.5,3.6,2.05,11.0,12.0,3.0,6.0,11.0,18.0,8.0,7.0,1.0,2.0,0.0,0.0
N1,26/11/2017,Vitesse,Den Haag,2.0,0.0,H,0.0,0.0,D,1.6,4.09,5.0,1.67,3.8,5.25,1.61,3.8,4.75,2017/18,€39.78m,€23.63m,1.65,4.1,5.0,14.0,5.0,5.0,0.0,9.0,11.0,7.0,3.0,1.0,3.0,0.0,1.0
N1,01/12/2017,Zwolle,Utrecht,1.0,1.0,D,0.0,1.0,A,2.37,3.5,2.79,2.4,3.5,2.85,2.35,3.4,2.7,2017/18,€26.33m,€46.63m,2.4,3.6,2.8,14.0,13.0,4.0,7.0,9.0,18.0,6.0,2.0,1.0,2.0,0.0,0.0
N1,02/12/2017,Den Haag,Groningen,0.0,3.0,A,0.0,1.0,A,2.25,3.5,3.0,2.2,3.5,3.2,2.15,3.4,3.0,2017/18,€23.63m,€30.30m,2.2,3.7,3.1,14.0,11.0,5.0,5.0,7.0,14.0,6.0,3.0,0.0,3.0,0.0,0.0
N1,02/12/2017,Feyenoord,Vitesse,1.0,0.0,H,1.0,0.0,H,1.44,4.33,7.0,1.45,4.6,7.0,1.44,4.25,6.5,2017/18,€104.20m,€39.78m,1.44,4.6,6.0,18.0,13.0,8.0,2.0,12.0,13.0,5.0,8.0,1.0,1.0,0.0,0.0
N1,02/12/2017,Twente,Ajax,3.0,3.0,D,0.0,2.0,A,11.0,5.0,1.3,9.0,5.25,1.33,9.0,5.0,1.3,2017/18,€22.15m,€251.00m,10.0,5.5,1.3,19.0,24.0,10.0,12.0,18.0,17.0,4.0,10.0,4.0,3.0,0.0,0.0
N1,02/12/2017,Willem II,Heracles,3.0,1.0,H,3.0,0.0,H,2.2,3.5,3.1,2.15,3.5,3.3,2.15,3.4,3.0,2017/18,€18.65m,€22.25m,2.2,3.7,3.1,27.0,11.0,5.0,3.0,8.0,16.0,8.0,3.0,0.0,0.0,0.0,0.0
N1,03/12/2017,NAC Breda,Excelsior,3.0,1.0,H,1.0,0.0,H,2.37,3.29,2.89,2.45,3.3,2.95,2.35,3.25,2.87,2017/18,€17.15m,€14.80m,2.38,3.5,2.9,22.0,12.0,8.0,4.0,10.0,13.0,4.0,2.0,3.0,1.0,0.0,0.0
N1,03/12/2017,PSV Eindhoven,Sparta Rotterdam,1.0,0.0,H,0.0,0.0,D,1.12,8.0,19.0,1.15,8.25,17.0,1.14,7.5,19.0,2017/18,€174.45m,€15.45m,1.13,9.0,18.0,22.0,6.0,6.0,4.0,13.0,16.0,9.0,5.0,1.0,1.0,0.0,0.0
N1,03/12/2017,Roda,Heerenveen,2.0,1.0,H,0.0,0.0,D,3.79,3.79,1.85,4.0,3.7,1.9,3.8,3.6,1.83,2017/18,€13.28m,€39.13m,4.1,3.8,1.85,6.0,18.0,3.0,6.0,10.0,9.0,1.0,4.0,2.0,0.0,0.0,0.0
N1,03/12/2017,VVV Venlo,AZ Alkmaar,0.0,2.0,A,0.0,0.0,D,4.0,4.2,1.72,4.2,4.0,1.78,4.2,3.7,1.75,2017/18,€13.58m,€70.68m,4.4,4.0,1.75,14.0,18.0,5.0,3.0,8.0,11.0,3.0,4.0,0.0,1.0,0.0,0.0
N1,08/12/2017,Willem II,NAC Breda,1.0,1.0,D,1.0,0.0,H,1.75,3.7,4.5,1.83,3.75,4.25,1.8,3.6,4.0,2017/18,€18.65m,€17.15m,1.8,3.75,4.33,15.0,10.0,3.0,1.0,9.0,7.0,7.0,4.0,0.0,2.0,0.0,0.0
N1,09/12/2017,AZ Alkmaar,Heracles,5.0,0.0,H,0.0,0.0,D,1.36,5.0,7.5,1.42,5.0,6.75,1.4,4.8,6.5,2017/18,€70.68m,€22.25m,1.4,5.2,7.0,25.0,4.0,13.0,1.0,8.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0
N1,09/12/2017,Excelsior,Zwolle,1.0,2.0,A,0.0,0.0,D,3.2,3.39,2.2,3.2,3.4,2.25,3.1,3.3,2.15,2017/18,€14.80m,€26.33m,3.25,3.5,2.2,11.0,15.0,4.0,8.0,13.0,11.0,3.0,4.0,6.0,0.0,1.0,0.0
N1,09/12/2017,Heerenveen,VVV Venlo,2.0,2.0,D,1.0,1.0,D,1.64,3.79,5.0,1.67,4.0,5.0,1.66,3.7,4.75,2017/18,€39.13m,€13.58m,1.67,4.0,5.0,18.0,11.0,8.0,5.0,11.0,12.0,6.0,4.0,1.0,1.0,0.0,0.0
N1,09/12/2017,Twente,Den Haag,2.0,3.0,A,2.0,2.0,D,1.9,3.5,4.0,1.9,3.5,4.2,1.9,3.4,3.7,2017/18,€22.15m,€23.63m,1.91,3.7,3.9,14.0,11.0,5.0,7.0,15.0,21.0,9.0,5.0,2.0,3.0,0.0,0.0
N1,10/12/2017,Ajax,PSV Eindhoven,3.0,0.0,H,0.0,0.0,D,1.8,3.6,4.33,1.83,3.8,4.2,1.83,3.6,3.8,2017/18,€251.00m,€174.45m,1.83,3.9,4.0,11.0,7.0,3.0,3.0,13.0,16.0,8.0,4.0,3.0,4.0,0.0,0.0
N1,10/12/2017,Roda,Groningen,2.0,2.0,D,2.0,1.0,H,2.89,3.5,2.29,3.1,3.5,2.25,2.8,3.4,2.25,2017/18,€13.28m,€30.30m,2.88,3.6,2.38,11.0,9.0,5.0,2.0,10.0,12.0,3.0,3.0,1.0,0.0,1.0,0.0
N1,12/12/2017,NAC Breda,Twente,1.0,2.0,A,0.0,0.0,D,2.45,3.5,2.7,2.5,3.5,2.75,2.45,3.4,2.6,2017/18,€17.15m,€22.15m,2.5,3.6,2.7,19.0,20.0,2.0,4.0,15.0,18.0,4.0,7.0,2.0,4.0,1.0,0.0
N1,12/12/2017,Zwolle,AZ Alkmaar,1.0,1.0,D,1.0,1.0,D,3.2,3.39,2.2,3.25,3.6,2.15,3.0,3.5,2.1,2017/18,€26.33m,€70.68m,3.1,3.8,2.15,14.0,10.0,5.0,3.0,12.0,16.0,4.0,4.0,2.0,5.0,0.0,0.0
N1,13/12/2017,Den Haag,Roda,3.0,2.0,H,1.0,2.0,A,1.72,3.75,4.5,1.67,4.0,5.0,1.7,3.6,4.6,2017/18,€23.63m,€13.28m,1.7,3.9,4.8,17.0,6.0,7.0,2.0,18.0,17.0,5.0,3.0,1.0,3.0,0.0,1.0
N1,13/12/2017,Feyenoord,Heerenveen,1.0,1.0,D,1.0,1.0,D,1.36,4.75,8.5,1.4,4.75,7.75,1.36,4.6,7.5,2017/18,€104.20m,€39.13m,1.36,4.8,8.5,19.0,11.0,9.0,3.0,8.0,9.0,8.0,6.0,0.0,2.0,0.0,0.0
N1,13/12/2017,Vitesse,Willem II,2.0,2.0,D,1.0,1.0,D,1.57,3.79,6.0,1.65,3.8,5.5,1.6,3.75,5.2,2017/18,€39.78m,€18.65m,1.6,4.0,5.75,27.0,4.0,8.0,2.0,7.0,14.0,13.0,1.0,1.0,1.0,0.0,0.0
N1,13/12/2017,VVV Venlo,Utrecht,0.0,1.0,A,0.0,1.0,A,3.2,3.6,2.1,3.4,3.6,2.1,3.4,3.4,2.0,2017/18,€13.58m,€46.63m,3.5,3.6,2.05,14.0,17.0,2.0,4.0,5.0,11.0,8.0,5.0,1.0,3.0,0.0,0.0
N1,14/12/2017,Ajax,Excelsior,3.0,1.0,H,1.0,1.0,D,1.1,10.0,19.0,1.09,10.0,31.0,1.07,11.0,34.0,2017/18,€251.00m,€14.80m,1.06,11.0,41.0,22.0,11.0,7.0,3.0,11.0,13.0,7.0,1.0,1.0,5.0,0.0,0.0
N1,14/12/2017,Heracles,Sparta Rotterdam,3.0,2.0,H,1.0,0.0,H,2.14,3.6,3.1,2.1,3.6,3.4,2.15,3.4,3.0,2017/18,€22.25m,€15.45m,2.2,3.6,3.1,15.0,20.0,5.0,11.0,14.0,11.0,12.0,8.0,0.0,1.0,0.0,0.0
N1,16/12/2017,Heerenveen,NAC Breda,1.0,0.0,H,0.0,0.0,D,1.55,3.89,6.0,1.53,4.0,6.75,1.53,3.9,5.5,2017/18,€39.13m,€17.15m,1.57,4.2,5.75,17.0,9.0,5.0,2.0,23.0,14.0,10.0,2.0,1.0,0.0,0.0,0.0
N1,16/12/2017,PSV Eindhoven,Den Haag,3.0,0.0,H,3.0,0.0,H,1.16,7.0,15.0,1.16,9.0,13.5,1.18,6.5,15.0,2017/18,€174.45m,€23.63m,1.17,8.0,15.0,18.0,9.0,8.0,6.0,8.0,7.0,4.0,5.0,1.0,5.0,0.0,1.0
N1,16/12/2017,Roda,VVV Venlo,0.0,1.0,A,0.0,0.0,D,2.6,3.39,2.6,2.65,3.4,2.65,2.55,3.3,2.55,2017/18,€13.28m,€13.58m,2.7,3.5,2.55,8.0,16.0,0.0,7.0,15.0,9.0,7.0,6.0,0.0,1.0,1.0,0.0
N1,16/12/2017,Twente,Vitesse,1.0,1.0,D,1.0,1.0,D,3.0,3.5,2.25,2.95,3.5,2.35,2.8,3.3,2.3,2017/18,€22.15m,€39.78m,2.9,3.5,2.38,6.0,11.0,3.0,5.0,11.0,14.0,4.0,13.0,0.0,3.0,0.0,0.0
N1,16/12/2017,Willem II,Zwolle,2.0,3.0,A,2.0,1.0,H,3.0,3.39,2.29,2.85,3.4,2.45,2.8,3.3,2.35,2017/18,€18.65m,€26.33m,2.9,3.5,2.38,12.0,15.0,5.0,8.0,13.0,10.0,6.0,4.0,3.0,2.0,0.0,0.0
N1,17/12/2017,AZ Alkmaar,Ajax,1.0,2.0,A,1.0,1.0,D,3.39,3.75,2.0,3.5,3.75,2.0,3.4,3.5,1.95,2017/18,€70.68m,€251.00m,3.5,3.75,2.0,11.0,20.0,4.0,9.0,18.0,15.0,7.0,4.0,3.0,2.0,1.0,0.0
N1,17/12/2017,Excelsior,Groningen,2.0,0.0,H,1.0,0.0,H,2.39,3.39,2.79,2.4,3.5,2.9,2.3,3.4,2.8,2017/18,€14.80m,€30.30m,2.38,3.5,2.9,16.0,9.0,5.0,2.0,5.0,14.0,9.0,8.0,0.0,1.0,0.0,0.0
N1,17/12/2017,Sparta Rotterdam,Feyenoord,0.0,7.0,A,0.0,4.0,A,7.0,4.75,1.39,7.25,5.0,1.4,7.0,4.25,1.44,2017/18,€15.45m,€104.20m,7.5,4.75,1.4,5.0,21.0,3.0,12.0,14.0,9.0,3.0,9.0,3.0,1.0,0.0,0.0
N1,17/12/2017,Utrecht,Heracles,1.0,1.0,D,1.0,0.0,H,1.44,4.75,6.0,1.42,4.75,7.25,1.44,4.33,6.0,2017/18,€46.63m,€22.25m,1.45,4.75,6.5,16.0,8.0,4.0,3.0,18.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0
N1,22/12/2017,Den Haag,Zwolle,4.0,0.0,H,2.0,0.0,H,2.89,3.39,2.35,2.9,3.4,2.45,2.75,3.3,2.35,2017/18,€23.63m,€26.33m,2.8,3.5,2.45,14.0,9.0,10.0,4.0,7.0,10.0,5.0,1.0,0.0,3.0,0.0,0.0
N1,23/12/2017,AZ Alkmaar,Heerenveen,3.0,1.0,H,0.0,0.0,D,1.7,4.0,4.5,1.67,4.1,4.75,1.67,3.9,4.4,2017/18,€70.68m,€39.13m,1.67,4.2,4.6,12.0,14.0,6.0,4.0,7.0,16.0,4.0,5.0,1.0,2.0,0.0,1.0
N1,23/12/2017,Excelsior,Twente,0.0,0.0,D,0.0,0.0,D,2.54,3.5,2.6,2.5,3.5,2.75,2.5,3.3,2.6,2017/18,€14.80m,€22.15m,2.55,3.5,2.7,8.0,9.0,1.0,2.0,10.0,15.0,4.0,5.0,1.0,2.0,0.0,0.0
N1,23/12/2017,NAC Breda,Utrecht,3.0,1.0,H,1.0,0.0,H,4.0,3.79,1.8,4.0,3.9,1.83,3.9,3.7,1.8,2017/18,€17.15m,€46.63m,4.1,3.8,1.83,13.0,16.0,6.0,6.0,2.0,16.0,4.0,4.0,2.0,3.0,0.0,1.0
N1,23/12/2017,PSV Eindhoven,Vitesse,2.0,1.0,H,1.0,1.0,D,1.36,5.0,7.5,1.36,5.0,8.5,1.36,4.6,7.5,2017/18,€174.45m,€39.78m,1.36,5.2,7.5,23.0,11.0,7.0,6.0,4.0,14.0,6.0,3.0,0.0,4.0,0.0,0.0
N1,24/12/2017,Ajax,Willem II,3.0,1.0,H,0.0,0.0,D,1.12,8.0,19.0,1.14,9.25,16.0,1.11,8.5,23.0,2017/18,€251.00m,€18.65m,1.11,9.5,23.0,28.0,10.0,11.0,3.0,8.0,10.0,12.0,4.0,1.0,2.0,0.0,0.0
N1,24/12/2017,Feyenoord,Roda,5.0,1.0,H,2.0,0.0,H,1.12,8.0,19.0,1.13,8.75,21.0,1.1,9.0,29.0,2017/18,€104.20m,€13.28m,1.13,9.0,21.0,18.0,9.0,9.0,4.0,9.0,9.0,6.0,5.0,0.0,1.0,0.0,0.0
N1,24/12/2017,Groningen,Sparta Rotterdam,4.0,0.0,H,0.0,0.0,D,1.95,3.6,3.6,2.0,3.7,3.6,1.91,3.5,3.5,2017/18,€30.30m,€15.45m,1.95,3.75,3.7,23.0,14.0,12.0,5.0,10.0,9.0,3.0,9.0,0.0,1.0,0.0,0.0
N1,24/12/2017,VVV Venlo,Heracles,3.0,1.0,H,1.0,1.0,D,1.95,3.5,3.75,2.05,3.6,3.5,2.0,3.4,3.4,2017/18,€13.58m,€22.25m,2.0,3.6,3.7,9.0,16.0,3.0,5.0,7.0,18.0,3.0,10.0,2.0,4.0,0.0,0.0
N1,16/01/2018,Sparta Rotterdam,Vitesse,0.0,1.0,A,0.0,0.0,D,3.7,3.39,2.0,3.7,3.4,2.05,3.4,3.3,2.05,2017/18,€15.45m,€39.78m,3.6,3.6,2.05,17.0,10.0,5.0,5.0,11.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0
N1,19/01/2018,Utrecht,AZ Alkmaar,1.0,1.0,D,0.0,0.0,D,2.75,3.39,2.5,2.65,3.7,2.5,2.65,3.4,2.37,2017/18,€46.63m,€70.68m,2.7,3.75,2.4,10.0,11.0,3.0,6.0,18.0,15.0,5.0,4.0,2.0,3.0,0.0,0.0
N1,20/01/2018,Den Haag,VVV Venlo,1.0,1.0,D,1.0,0.0,H,2.14,3.39,3.29,2.05,3.5,3.6,2.05,3.3,3.3,2017/18,€23.63m,€13.58m,2.1,3.5,3.5,7.0,15.0,2.0,5.0,13.0,17.0,4.0,6.0,0.0,3.0,0.0,0.0
N1,20/01/2018,Roda,Twente,1.0,1.0,D,0.0,0.0,D,3.6,3.5,2.0,3.7,3.6,2.0,3.4,3.3,2.05,2017/18,€13.28m,€22.15m,3.5,3.6,2.05,21.0,11.0,8.0,3.0,7.0,16.0,9.0,2.0,1.0,4.0,0.0,0.0
N1,20/01/2018,Vitesse,Heerenveen,1.0,1.0,D,1.0,1.0,D,2.0,3.5,3.6,2.0,3.6,3.7,1.95,3.4,3.5,2017/18,€39.78m,€39.13m,2.0,3.6,3.6,16.0,6.0,4.0,3.0,11.0,20.0,4.0,5.0,1.0,0.0,0.0,0.0
N1,20/01/2018,Zwolle,NAC Breda,1.0,0.0,H,1.0,0.0,H,1.57,4.0,5.5,1.57,4.25,5.75,1.6,3.9,5.0,2017/18,€26.33m,€17.15m,1.62,4.2,5.2,17.0,8.0,3.0,4.0,15.0,9.0,8.0,4.0,1.0,1.0,0.0,0.0
N1,21/01/2018,Ajax,Feyenoord,2.0,0.0,H,0.0,0.0,D,1.6,4.0,5.25,1.62,4.1,5.25,1.61,3.8,4.6,2017/18,€251.00m,€104.20m,1.65,4.2,4.8,19.0,3.0,6.0,2.0,14.0,16.0,5.0,0.0,1.0,4.0,0.0,1.0
N1,21/01/2018,Heracles,PSV Eindhoven,1.0,2.0,A,0.0,1.0,A,7.5,5.0,1.36,8.25,5.25,1.35,7.5,4.8,1.33,2017/18,€22.25m,€174.45m,7.5,5.4,1.36,14.0,32.0,5.0,14.0,9.0,11.0,3.0,10.0,0.0,2.0,0.0,0.0
N1,21/01/2018,Sparta Rotterdam,Excelsior,2.0,3.0,A,2.0,2.0,D,2.1,3.5,3.29,2.15,3.5,3.3,2.05,3.3,3.3,2017/18,€15.45m,€14.80m,2.15,3.5,3.4,16.0,7.0,6.0,4.0,14.0,18.0,10.0,4.0,4.0,3.0,0.0,0.0
N1,21/01/2018,Willem II,Groningen,1.0,1.0,D,0.0,1.0,A,2.37,3.39,2.89,2.35,3.6,2.9,2.3,3.4,2.8,2017/18,€18.65m,€30.30m,2.3,3.7,2.88,15.0,13.0,8.0,6.0,14.0,11.0,5.0,7.0,2.0,0.0,0.0,0.0
N1,24/01/2018,Utrecht,Feyenoord,1.0,1.0,D,1.0,1.0,D,3.0,3.6,2.2,3.3,3.5,2.15,3.1,3.4,2.1,2017/18,€46.63m,€104.20m,3.4,3.6,2.1,12.0,11.0,5.0,2.0,12.0,12.0,7.0,9.0,0.0,2.0,0.0,0.0
N1,26/01/2018,Heerenveen,Sparta Rotterdam,2.0,1.0,H,1.0,1.0,D,1.5,4.33,6.0,1.53,4.33,6.0,1.5,4.0,5.75,2017/18,€39.13m,€15.45m,1.53,4.4,6.0,13.0,15.0,7.0,4.0,15.0,16.0,4.0,6.0,2.0,2.0,0.0,0.0
