Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
T1,28/08/2004,Kayserispor,Fenerbahce,0.0,2.0,A,0.0,1.0,7.0,3.75,1.4,8.25,4.5,1.3,6.0,3.9,1.4,7.0,3.75,1.4,2004/5,€30.03m,€90.60m
T1,28/08/2004,Konyaspor,Istanbulspor,2.0,1.0,H,0.0,0.0,1.83,3.2,3.75,1.85,3.4,3.6,1.9,3.1,3.5,1.85,3.3,3.6,2004/5,€37.25m,€27.55m
T1,28/08/2004,Rizespor,Samsunspor,2.0,0.0,H,2.0,0.0,2.0,3.2,3.2,2.1,3.3,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€22.85m,€34.65m
T1,28/08/2004,Sakaryaspor,Galatasaray,1.0,2.0,A,1.0,1.0,5.0,3.5,1.57,6.0,3.6,1.5,4.8,3.5,1.55,5.0,3.5,1.57,2004/5,€14.85m,€79.65m
T1,29/08/2004,Ankaragucu,A. Sebatspor,2.0,1.0,H,1.0,1.0,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.3,4.4,1.65,3.4,4.5,2004/5,€32.76m,€26.73m
T1,29/08/2004,Besiktas,Gaziantepspor,3.0,4.0,A,0.0,2.0,1.66,3.4,4.33,1.6,3.5,5.0,1.6,3.4,4.6,1.6,3.4,4.8,2004/5,€76.25m,€38.60m
T1,29/08/2004,Diyarbakirspor,Malatyaspor,1.0,2.0,A,0.0,1.0,2.37,3.1,2.62,2.3,3.4,2.6,2.3,3.0,2.7,2.4,3.25,2.5,2004/5,€22.93m,€33.95m
T1,29/08/2004,Trabzonspor,Genclerbirligi,3.0,1.0,H,2.0,0.0,1.66,3.4,4.33,1.65,3.4,4.75,1.65,3.3,4.4,1.65,3.25,4.7,2004/5,€63.60m,€46.95m
T1,11/09/2004,A. Sebatspor,Fenerbahce,1.0,4.0,A,0.0,1.0,7.0,3.75,1.4,6.7,4.0,1.4,6.0,3.9,1.4,7.0,3.75,1.4,2004/5,€26.73m,€90.60m
T1,11/09/2004,Denizlispor,Trabzonspor,0.0,2.0,A,0.0,0.0,2.625,3.2,2.375,3.0,3.3,2.1,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€27.24m,€63.60m
