Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
N1,2004/5,21/08/2004,Waalwijk,Twente,H,€19.33m,€13.25m,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.15,3.2,3.0,2.1,3.0,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.3,2.62,0,0,0
N1,2004/5,22/08/2004,Ajax,NAC Breda,H,€114.50m,€17.45m,1.22,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,6.0,9.0,1.22,5.0,11.0,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,8.0,0,0,0
N1,2004/5,22/08/2004,Graafschap,Den Bosch,D,€12.28m,€8.35m,2.3,3.4,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.35,3.25,2.65,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.3,2.7,0,1,0
N1,2004/5,22/08/2004,Utrecht,Roosendaal,H,€20.30m,€10.70m,1.66,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.4,4.6,1.72,3.3,4.45,1.7,3.2,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,0
N1,2004/5,22/08/2004,Willem II,Feyenoord,A,€13.98m,€66.43m,3.5,3.2,1.9,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.4,1.9,3.5,3.2,1.95,3.5,3.1,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.2,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.3,1.9,0,0,0
N1,2004/5,27/08/2004,Den Bosch,Willem II,A,€8.35m,€13.98m,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.5,3.2,2.5,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.37,0,0,0
N1,2004/5,28/08/2004,NAC Breda,PSV Eindhoven,D,€17.45m,€86.85m,4.5,3.5,1.61,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,4.45,3.5,1.66,4.6,3.4,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.3,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.66,0,0,0
N1,2004/5,28/08/2004,Nijmegen,AZ Alkmaar,A,€16.88m,€50.00m,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.3,3.25,2.7,2.6,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.3,2.5,0,0,0
N1,2004/5,28/08/2004,Roda,Graafschap,H,€20.93m,€12.28m,1.44,3.75,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.8,6.2,1.4,3.95,7.0,1.4,3.9,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0
N1,2004/5,28/08/2004,Twente,Heerenveen,H,€13.25m,€31.20m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.2,3.25,2.85,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.3,2.5,0,0,0
N1,2004/5,29/08/2004,Ajax,Utrecht,D,€114.50m,€20.30m,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,6.0,9.0,1.22,5.25,10.0,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.75,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.28,4.5,8.0,0,0,0
N1,2004/5,29/08/2004,Roosendaal,Groningen,D,€10.70m,€12.95m,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.1,3.3,3.0,2.0,3.0,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,2.87,0,1,0
N1,2004/5,29/08/2004,Vitesse,Feyenoord,D,€21.40m,€66.43m,4.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,4.1,3.4,1.75,4.0,3.2,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,0,0,0
N1,2004/5,29/08/2004,Waalwijk,Den Haag,A,€19.33m,€9.92m,1.66,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.5,4.2,1.7,3.4,4.35,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.2,0,0,1
N1,2004/5,10/09/2004,AZ Alkmaar,Den Bosch,H,€50.00m,€8.35m,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.9,7.0,1.5,3.6,6.0,1.5,3.7,5.0,1.444,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.2,7.0,0,0,0
N1,2004/5,11/09/2004,Heerenveen,Graafschap,H,€31.20m,€12.28m,1.444,3.75,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.75,5.6,1.5,3.6,6.0,1.5,3.7,5.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.2,7.0,0,0,0
N1,2004/5,11/09/2004,PSV Eindhoven,Waalwijk,H,€86.85m,€19.33m,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.25,5.0,9.0,1.2,5.0,10.0,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,0,0,0
N1,2004/5,11/09/2004,Roosendaal,Vitesse,H,€10.70m,€21.40m,2.375,3.1,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.35,3.25,2.65,2.35,3.1,2.75,2.3,3.0,2.7,2.375,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.6,0,0,0
N1,2004/5,11/09/2004,Willem II,Roda,H,€13.98m,€20.93m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.2,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.6,0,0,0
N1,2004/5,12/09/2004,Den Haag,Ajax,D,€9.92m,€114.50m,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,5.55,3.75,1.5,6.0,3.6,1.5,5.0,3.7,1.5,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.75,1.44,0,0,0
N1,2004/5,12/09/2004,Feyenoord,Twente,H,€66.43m,€13.25m,1.3,4.5,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.3,4.5,8.3,1.3,4.2,8.0,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,0,0,0
N1,2004/5,12/09/2004,Groningen,NAC Breda,A,€12.95m,€17.45m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.25,3.3,2.75,2.3,2.9,2.8,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.7,0,0,0
N1,2004/5,12/09/2004,Utrecht,Nijmegen,H,€20.30m,€16.88m,1.727,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.2,0,0,0
N1,2004/5,17/09/2004,Den Haag,Vitesse,A,€9.92m,€21.40m,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.3,2.75,2.45,3.35,2.45,2.2,3.0,2.9,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0
N1,2004/5,18/09/2004,Graafschap,Groningen,D,€12.28m,€12.95m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,2.9,2.25,3.15,2.85,2.3,3.0,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,0,1,0
N1,2004/5,18/09/2004,Heerenveen,NAC Breda,H,€31.20m,€17.45m,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.8,3.25,4.0,1.8,3.1,3.8,1.8,3.4,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.3,3.6,0,0,0
