Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
D1,2004/5,14/08/2004,Nurnberg,Stuttgart,D,€34.90m,€79.50m,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.3,2.05,3.25,3.15,2.2,2.9,3.0,2.2,2.8,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,2.88,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.2,2.3,0,1,0
D1,2004/5,14/08/2004,Schalke 04,Kaiserslautern,H,€86.33m,€33.75m,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.7,6.0,1.51,3.8,6.45,1.5,3.7,5.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0
D1,2004/5,15/08/2004,Bochum,Leverkusen,D,€31.40m,€86.93m,2.37,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.5,2.45,3.2,2.8,2.2,3.0,2.9,2.38,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.75,0,1,0
D1,2004/5,15/08/2004,Wolfsburg,Freiburg,A,€59.30m,€22.43m,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.6,4.7,1.65,3.5,5.3,1.65,3.3,4.4,1.62,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,1
D1,2004/5,28/08/2004,Bielefeld,Bochum,A,€24.65m,€31.40m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.3,2.6,2.45,3.35,2.7,2.4,3.0,2.6,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,0,0,0
D1,2004/5,28/08/2004,Freiburg,M'gladbach,D,€22.43m,€50.93m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.5,1.95,3.35,3.7,2.1,3.0,3.1,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0
D1,2004/5,28/08/2004,Hamburg,Nurnberg,H,€65.60m,€34.90m,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.2,1.8,3.45,4.25,1.75,3.2,4.0,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,0
D1,2004/5,28/08/2004,Hertha,Mainz,D,€71.78m,€16.73m,1.53,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.8,5.8,1.5,3.9,6.35,1.5,3.7,5.0,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0
D1,2004/5,28/08/2004,Kaiserslautern,Stuttgart,A,€33.75m,€79.50m,2.75,3.25,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.3,2.3,2.75,3.35,2.4,2.5,3.0,2.5,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.25,2.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.2,2.3,0,0,0
D1,2004/5,28/08/2004,Leverkusen,Bayern Munich,H,€86.93m,€175.30m,2.9,3.2,2.37,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.3,2.05,3.15,3.25,2.2,2.6,3.0,2.4,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.88,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.37,0,0,0
