Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
P1,12/09/04,Setubal,Sp Lisbon,H,4.0,3.2,1.8,3.65,3.35,1.85,3.75,3.3,1.85,3.5,3.1,1.9,1.0,1.0,1.0,3.8,3.3,1.8,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
P1,13/09/04,Rio Ave,Belenenses,D,1.8,3.2,4.0,2.0,3.25,3.3,1.9,3.25,3.6,2.0,3.0,3.3,1.0,1.0,1.0,1.9,3.25,3.4,1.83,3.4,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,17/09/04,Boavista,Setubal,D,1.61,3.5,4.5,1.6,3.55,4.9,1.6,3.55,4.9,1.65,3.3,4.4,1.0,1.0,1.0,1.62,3.4,4.75,1.6,3.2,5.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,18/09/04,Porto,Estoril,D,1.16,5.5,11.0,1.15,6.0,13.0,1.17,5.5,13.0,1.2,5.0,10.0,1.0,1.0,1.0,1.17,5.5,12.0,1.14,6.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,19/09/04,Academica,Benfica,A,4.0,3.4,1.72,4.3,3.45,1.7,4.3,3.25,1.75,4.4,3.3,1.65,1.0,1.0,1.0,4.33,3.4,1.67,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,19/09/04,Beira Mar,Gil Vicente,H,1.9,3.2,3.5,1.9,3.3,3.55,1.9,3.2,3.65,2.0,3.1,3.2,1.0,1.0,1.0,2.0,3.2,3.2,1.9,3.1,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,19/09/04,Belenenses,Leiria,H,2.1,3.2,3.0,1.9,3.3,3.55,2.1,3.2,3.1,1.9,3.1,3.5,1.0,1.0,1.0,2.2,3.25,2.75,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,19/09/04,Moreirense,Nacional,H,2.2,3.0,3.0,2.0,3.25,3.3,2.2,3.0,3.1,2.0,3.1,3.2,1.0,1.0,1.0,2.2,3.1,2.88,2.25,3.0,2.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,19/09/04,Penafiel,Rio Ave,D,2.5,3.1,2.5,2.5,3.15,2.55,2.5,3.2,2.5,2.4,2.9,2.7,1.0,1.0,1.0,2.5,3.1,2.5,2.62,2.9,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,20/09/04,Sp Lisbon,Maritimo,A,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.35,7.0,1.33,4.0,7.5,1.0,1.0,1.0,1.36,3.75,8.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
P1,21/09/04,Sp Braga,Guimaraes,H,1.83,3.2,3.75,1.85,3.35,3.65,1.85,3.1,4.0,1.9,3.1,3.5,1.0,1.0,1.0,1.83,3.2,3.75,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,22/09/04,Porto,Leiria,D,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,1.0,1.0,1.0,1.29,4.5,8.0,1.28,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,24/09/04,Setubal,Beira Mar,A,1.83,3.2,3.75,1.8,3.4,3.8,1.85,3.3,3.75,1.8,3.1,3.8,1.0,1.0,1.0,1.85,3.25,3.6,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
P1,25/09/04,Guimaraes,Porto,A,3.5,3.2,1.9,3.65,3.35,1.85,3.6,3.25,1.9,3.6,3.1,1.85,1.0,1.0,1.0,3.6,3.25,1.85,3.6,3.3,1.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,25/09/04,Maritimo,Boavista,H,2.25,3.2,2.75,2.2,3.2,2.9,2.2,3.1,3.0,2.1,2.8,3.3,1.0,1.0,1.0,2.25,3.1,2.8,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,26/09/04,Benfica,Sp Braga,D,1.33,4.33,7.0,1.4,4.0,6.75,1.4,4.0,6.8,1.35,4.0,7.0,1.0,1.0,1.0,1.4,3.75,7.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
