Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
T1,15/08/04,Genclerbirligi,Besiktas,D,3.0,3.2,2.1,2.95,3.4,2.1,3.0,3.0,2.2,2.9,3.0,2.2,2.75,3.25,2.2,3.0,3.25,2.1,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
T1,15/08/04,Konyaspor,Rizespor,D,1.9,3.2,3.5,2.0,3.0,3.6,1.95,3.15,3.4,1.85,3.2,3.5,1.91,3.25,3.4,2.0,3.25,3.25,1.95,3.25,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,15/08/04,Sakaryaspor,Denizlispor,A,2.6,3.2,2.37,2.75,3.4,2.2,2.6,3.2,2.35,2.8,3.1,2.2,2.5,3.25,2.4,2.75,3.25,2.25,2.65,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,15/08/04,Trabzonspor,A. Sebatspor,H,1.22,5.0,9.0,1.3,4.5,8.25,1.25,4.85,8.5,1.3,4.2,8.0,1.3,4.33,8.0,1.29,4.5,8.5,1.3,4.3,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,21/08/04,Denizlispor,Besiktas,H,3.0,3.25,2.1,3.1,3.2,2.1,3.25,3.25,2.0,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,21/08/04,Genclerbirligi,Ankaraspor,D,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.55,4.6,1.6,3.4,4.6,1.62,3.4,5.0,1.57,3.4,5.5,1.7,3.4,4.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,21/08/04,Istanbulspor,Fenerbahce,A,6.0,3.75,1.444,6.75,3.65,1.45,6.0,3.55,1.48,4.8,3.5,1.55,5.0,3.6,1.57,6.0,3.5,1.5,6.5,3.6,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,21/08/04,Malatyaspor,Trabzonspor,A,3.25,3.25,2.0,3.55,3.3,1.9,3.0,3.3,2.05,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,21/08/04,Samsunspor,Konyaspor,D,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.3,3.8,1.8,3.1,3.8,1.83,3.4,3.6,1.85,3.25,3.75,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,22/08/04,A. Sebatspor,Diyarbakirspor,D,2.25,3.25,2.75,2.4,3.3,2.55,2.35,3.2,2.6,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.2,2.62,2.5,3.25,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
T1,22/08/04,Galatasaray,Rizespor,H,1.25,5.0,8.5,1.3,4.5,8.25,1.3,4.75,7.0,1.3,4.2,8.0,1.29,4.33,9.0,1.3,4.33,8.5,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,22/08/04,Gaziantepspor,Sakaryaspor,H,1.4,3.75,7.0,1.55,3.5,5.5,1.45,3.6,6.5,1.5,3.7,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,22/08/04,Kayserispor,Ankaragucu,D,2.4,3.4,2.4,2.6,3.3,2.35,2.35,3.25,2.55,2.3,3.0,2.7,2.4,3.2,2.6,2.5,3.2,2.5,2.55,3.25,2.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
T1,28/08/04,Ankaraspor,Denizlispor,H,2.75,3.2,2.2,3.0,3.3,2.1,2.9,3.2,2.15,2.7,3.0,2.3,2.75,3.2,2.2,2.75,3.25,2.25,2.9,3.15,2.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,28/08/04,Kayserispor,Fenerbahce,A,7.0,3.75,1.4,8.25,4.5,1.3,6.2,3.7,1.45,6.0,3.9,1.4,5.0,3.75,1.53,6.0,3.6,1.5,7.0,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,28/08/04,Konyaspor,Istanbulspor,H,1.83,3.2,3.75,1.85,3.4,3.6,1.83,3.25,3.7,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.25,3.5,1.85,3.3,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,28/08/04,Rizespor,Samsunspor,H,2.0,3.2,3.2,2.1,3.3,3.0,2.1,3.3,2.9,2.1,3.0,3.1,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
