Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP
SP1,2004/5,11/09/2004,Ath Bilbao,Valencia,D,53.05,195.9,2,2,2,2,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0,1,11,8,2,2,2,4,4,4,3,3,3,4,4,4,0,0
SP1,2004/5,11/09/2004,Barcelona,Sevilla,H,273.03,70.55,2,2,2,0,1.444,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.6,7.5,0,0,0,0,2,10,6,6,6,3,3,3,4,4,4,1,1,1,0,0
SP1,2004/5,11/09/2004,Real Madrid,Numancia,H,303.7,13.4,2,2,1,0,1.2,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.0,11.0,0,0,0,0,3,13,6,6,6,1,1,1,2,2,2,1,1,1,0,0
SP1,2004/5,12/09/2004,Albacete,Ath Madrid,A,17.75,125.65,2,2,0,2,2.75,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,0,19,1,0,0,0,6,6,6,0,0,0,4,4,4,0,0
SP1,2004/5,12/09/2004,Betis,Espanol,A,85.15,45.15,2,2,1,4,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.7,2.0,3.25,3.7,1.9,3.0,3.6,1.833,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,1,1,17,4,1,1,1,4,4,4,2,2,2,5,5,5,0,0
SP1,2004/5,12/09/2004,Getafe,Mallorca,A,13.85,42.65,2,2,1,2,2.375,3.2,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,0,0,0,18,9,0,0,0,3,3,3,2,2,2,2,2,2,0,0
SP1,2004/5,12/09/2004,La Coruna,Osasuna,A,144.45,26.7,2,2,1,3,1.444,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,1,1,15,6,1,1,1,4,4,4,2,2,2,4,4,4,0,0
SP1,2004/5,12/09/2004,Levante,Santander,H,24.25,32.9,2,2,3,1,2.1,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.2,2.1,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.1,3.1,0,0,0,0,5,20,4,4,4,0,0,0,4,4,4,1,1,1,0,0
SP1,2004/5,12/09/2004,Malaga,Zaragoza,D,32.85,51.13,2,2,0,0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,3.0,2.2,3.1,3.35,2.0,3.0,3.3,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.1,3.1,0,1,0,1,16,7,1,1,1,4,4,4,0,0,0,3,3,3,0,0
SP1,2004/5,12/09/2004,Villarreal,Sociedad,D,66.25,53.55,2,2,0,0,1.727,3.25,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.2,1.8,3.35,4.5,1.85,3.1,3.6,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.3,3.6,0,0,0,0,14,12,1,1,1,2,2,2,1,1,1,1,1,1,0,0
