Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
SC0,21/08/04,Livingston,Dundee United,D,2.3,3.2,2.7,2.25,3.25,2.75,2.35,3.2,2.7,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,21/08/04,Rangers,Hibernian,H,1.16,5.5,13.0,1.2,5.5,10.0,1.19,5.5,11.0,1.2,5.0,10.0,1.17,5.5,12.0,1.17,6.0,11.0,1.14,6.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,22/08/04,Inverness C,Celtic,A,11.0,6.0,1.22,1.0,1.0,1.0,11.0,5.5,1.19,10.0,5.0,1.2,12.0,5.5,1.17,11.0,6.0,1.17,11.0,5.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,28/08/04,Aberdeen,Livingston,H,1.8,3.25,4.0,1.9,3.3,3.5,1.9,3.25,3.65,2.0,3.1,3.2,1.8,3.4,3.6,1.85,3.2,3.75,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,28/08/04,Dundee United,Inverness C,H,1.8,3.25,4.0,1.75,3.4,4.0,1.83,3.25,3.85,1.8,3.1,3.8,1.67,3.4,4.33,1.83,3.25,3.75,1.83,3.3,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,28/08/04,Hibernian,Dundee,D,2.0,3.25,3.25,2.1,3.2,3.1,2.05,3.25,3.25,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,1.95,3.3,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,28/08/04,Motherwell,Hearts,H,2.75,3.25,2.25,2.75,3.1,2.35,2.8,3.2,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.2,2.25,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,29/08/04,Celtic,Rangers,H,2.0,3.2,3.75,1.85,3.25,3.75,2.0,3.25,3.25,2.0,3.1,3.2,1.8,3.25,3.75,2.0,3.1,3.4,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,29/08/04,Kilmarnock,Dunfermline,H,2.0,3.25,3.25,2.2,3.1,3.0,2.1,3.25,3.1,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.0,2.0,3.3,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,11/09/04,Celtic,Dundee,H,1.125,7.0,12.0,1.15,6.5,11.0,1.14,6.5,13.0,1.15,6.0,12.0,1.125,6.5,12.0,1.14,6.0,13.0,1.1,7.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,11/09/04,Dundee United,Aberdeen,D,2.25,3.25,2.75,2.25,3.3,2.75,2.45,3.1,2.65,2.4,2.9,2.7,2.2,3.25,2.75,2.3,3.2,2.75,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,11/09/04,Dunfermline,Motherwell,D,2.3,3.2,2.7,2.35,3.15,2.7,2.25,3.2,2.8,2.1,3.1,3.0,2.2,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,11/09/04,Inverness C,Hibernian,A,2.5,3.2,2.5,2.35,3.25,2.65,2.5,3.2,2.5,2.4,2.9,2.7,2.4,3.25,2.5,2.4,3.2,2.6,2.5,3.25,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,11/09/04,Livingston,Kilmarnock,A,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
