Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,2004/5,14/08/2004,Ajaccio,Metz,A,24.55,35.7,2,2,1.0,2.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.0,3.1,2.15,3.0,3.2,2.2,2.8,3.1,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,2.88,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.1,3.5,0,0,1,1,17,2,0,0,0,6,6,6,1,1,1,3,3,3,0,0,1.5571,0.5612,3.7119,0.3604,0.1871,0.0806,1.9986,1.0023,3.618,0.5015,0.2582,0.0892,2.1107,1.1142,3.5964,0.5279,0.2704,0.0912,H
F1,2004/5,14/08/2004,Auxerre,Stade Rennais FC,H,47.85,61.3,2,2,3.0,1.0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.5,1.77,3.15,4.4,1.85,3.1,3.6,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0,0,10,11,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1.3886,0.3901,3.7498,0.2809,0.1446,0.077,2.0929,1.094,3.6003,0.5227,0.2657,0.0909,2.5593,1.5725,3.5171,0.6144,0.3199,0.0978,H
F1,2004/5,14/08/2004,Bordeaux,Nice,H,52.6,34.45,2,2,5.0,1.0,1.83,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.3,1.8,3.1,4.3,1.8,3.0,4.0,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.1,4.5,0,0,0,0,9,20,3,3,3,0,0,0,5,5,5,1,1,1,0,0,1.3936,0.3947,3.7488,0.2832,0.1451,0.0771,2.05,1.0507,3.6087,0.5125,0.2591,0.0902,2.6021,1.6076,3.5121,0.6178,0.3175,0.0985,H
F1,2004/5,14/08/2004,Lens,St Etienne,H,52.5,37.5,2,2,3.0,0.0,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.5,1.7,3.35,4.5,1.6,3.3,4.8,1.67,3.2,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.2,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.2,4.5,0,0,0,0,5,19,4,4,4,0,0,0,3,3,3,0,0,0,0,0,1.34,0.3411,3.7602,0.2546,0.1307,0.076,2.1393,1.1405,3.5915,0.5331,0.271,0.0917,2.8071,1.812,3.4823,0.6455,0.3295,0.101,H
F1,2004/5,14/08/2004,Lyon,Sochaux,D,133.9,49.65,2,2,1.0,1.0,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.7,6.5,1.57,3.5,5.3,1.6,3.3,4.8,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0,0,7,8,4,4,4,4,4,4,2,2,2,2,2,2,0,0,1.275,0.2784,3.7728,0.2184,0.1145,0.0748,2.2214,1.2243,3.576,0.5511,0.2814,0.093,3.2571,2.2968,3.4187,0.7052,0.3719,0.1055,H
F1,2004/5,14/08/2004,Monaco,Istres,H,103.8,18.5,2,2,2.0,1.0,1.33,4.0,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.3,4.5,8.5,1.35,3.8,7.5,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,0,0,0,0,3,15,6,6,6,1,1,1,3,3,3,2,2,2,0,0,1.1557,0.1563,3.7941,0.1352,0.0692,0.0727,2.6279,1.6368,3.5075,0.6229,0.3218,0.0988,4.5893,3.5976,3.3029,0.7839,0.4011,0.1151,H
F1,2004/5,14/08/2004,Nantes,Bastia,D,47.35,31.85,2,2,1.0,1.0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.5,5.0,1.65,3.3,5.0,1.65,3.2,4.6,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.25,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,0,0,16,6,1,1,1,4,4,4,1,1,1,3,3,3,0,0,1.3264,0.3274,3.763,0.2468,0.1267,0.0758,2.1464,1.1482,3.5901,0.5349,0.272,0.0918,2.87,1.8785,3.4729,0.6545,0.3379,0.1017,H
F1,2004/5,14/08/2004,Paris SG,Caen,D,81.75,22.7,2,2,2.0,2.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,9.0,1.33,4.3,8.0,1.3,4.0,8.5,1.3,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,0,0,0,0,14,13,1,1,1,2,2,2,3,3,3,3,3,3,0,0,1.1586,0.1593,3.7937,0.1375,0.0708,0.0728,2.6043,1.6099,3.5118,0.6182,0.3178,0.0985,4.6071,3.6311,3.2995,0.7881,0.4092,0.1151,H
F1,2004/5,14/08/2004,Strasbourg,Toulouse,A,35.1,37.1,2,2,1.0,4.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.05,3.5,2.0,3.15,3.4,2.1,2.8,3.3,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.1,3.2,0,0,1,1,18,4,0,0,0,4,4,4,2,2,2,4,4,4,0,0,1.5186,0.5207,3.721,0.3429,0.1766,0.0798,2.0214,1.025,3.6135,0.5071,0.2607,0.0896,2.1714,1.1742,3.5852,0.5408,0.277,0.0922,H
F1,2004/5,15/08/2004,Marseille,Lille,H,78.6,56.25,2,2,3.0,0.0,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.5,1.6,3.45,5.1,1.6,3.3,4.8,1.57,3.25,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.25,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.3,5.5,0,0,0,0,1,12,6,6,6,3,3,3,4,4,4,2,2,2,0,0,1.2979,0.299,3.7688,0.2303,0.1184,0.0752,2.175,1.1768,3.5847,0.5411,0.276,0.0923,3.0821,2.0937,3.4448,0.6793,0.3515,0.1039,H
F1,2004/5,21/08/2004,Bastia,Ajaccio,H,31.85,24.55,3,3,1.0,0.0,1.9,3.1,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.0,3.75,1.95,3.1,3.6,1.9,3.0,3.6,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.0,3.75,0,0,0,0,4,20,7,7,7,0,0,0,4,4,4,1,1,1,0,0,1.4571,0.459,3.7347,0.315,0.1621,0.0785,2.0286,1.0299,3.6127,0.5077,0.258,0.0898,2.3536,1.3577,3.5526,0.5769,0.296,0.095,H
F1,2004/5,21/08/2004,Caen,Monaco,H,22.7,103.8,3,3,1.0,0.0,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.0,2.0,3.6,3.0,2.0,3.2,2.9,2.1,3.4,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.1,1.95,1,0,0,1,9,7,5,5,5,6,6,6,4,4,4,3,3,3,0,0,2.2179,1.2224,3.5763,0.5511,0.2838,0.0929,2.0179,1.0204,3.6145,0.5057,0.2585,0.0896,1.5036,0.5044,3.7247,0.3355,0.1705,0.0794,A
F1,2004/5,21/08/2004,Istres,Lens,A,18.5,52.5,3,3,0.0,2.0,2.75,3.0,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.85,2.9,2.4,2.75,3.0,2.4,3.1,2.8,2.2,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.88,2.88,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9,3.0,2.25,0,0,0,0,16,1,1,1,1,7,7,7,2,2,2,5,5,5,0,0,1.9164,0.9221,3.6341,0.4812,0.2494,0.0877,1.9843,0.9878,3.6209,0.4978,0.2559,0.089,1.67,0.6721,3.6874,0.4024,0.2062,0.0829,A
F1,2004/5,21/08/2004,Lille,Bordeaux,D,56.25,52.6,3,3,0.0,0.0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.0,2.9,2.25,3.0,3.0,2.3,2.8,2.9,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.0,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.8,0,1,0,1,13,11,4,4,4,4,4,4,2,2,2,5,5,5,0,0,1.6071,0.6097,3.7012,0.3794,0.1956,0.0816,2.025,1.0297,3.6126,0.5085,0.2624,0.0897,1.9786,0.9807,3.6224,0.4956,0.2535,0.0889,H
F1,2004/5,21/08/2004,Nice,Marseille,D,34.45,78.6,3,3,1.0,1.0,2.75,3.0,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.9,3.0,2.3,2.75,3.0,2.4,2.9,2.8,2.3,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.0,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.75,2.9,2.4,0,1,0,1,19,3,1,1,1,7,7,7,2,2,2,5,5,5,0,0,1.9143,0.9168,3.6353,0.4789,0.2452,0.0877,1.9929,0.996,3.6193,0.4998,0.2563,0.0891,1.6607,0.6644,3.689,0.4001,0.2062,0.0827,A
F1,2004/5,21/08/2004,Stade Rennais FC,Nantes,H,61.3,47.35,3,3,1.0,0.0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.25,2.1,3.0,3.3,2.1,2.9,3.2,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.3,0,0,0,0,8,15,6,6,6,1,1,1,4,4,4,1,1,1,0,0,1.5357,0.5367,3.7175,0.3495,0.1777,0.0801,2.05,1.0539,3.6079,0.5141,0.2648,0.0901,2.0929,1.0962,3.5998,0.5238,0.2686,0.0909,H
