Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
G1,2004/5,25/09/2004,Panathinaikos,Xanthi,H,56.5,13.78,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,17.0,1.15,6.0,12.0,1.1,7.0,15.0,1.12,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,8,6,6,6,3,3,3,6,6,6,4,4,4,0,0,1.0486,0.0667,3.8045,0.0637,0.0314,0.0717,2.8571,2.5031,3.2797,0.8761,0.425,0.0949,5.5,6.1731,2.9256,1.1224,0.5538,0.1027,No Consensus
G1,2004/5,26/09/2004,AEK,Kerkyra,H,31.63,8.16,2,2,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,9.0,1.31,4.25,8.0,1.35,3.8,7.5,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,4,15,4,4,4,0,0,0,3,3,3,0,0,0,0,0,1.11,0.1489,3.7947,0.1342,0.0658,0.0725,2.1607,1.5648,3.4506,0.7242,0.3534,0.0895,3.6071,3.5162,3.1461,0.9748,0.476,0.0983,No Consensus
G1,2004/5,26/09/2004,Ionikos,Kalamaria,H,8.41,6.94,2,2,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.25,4.5,1.83,3.0,4.0,1.85,3.0,3.8,1.73,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,10,11,3,3,3,3,3,3,2,2,2,1,1,1,0,0,1.2829,0.3805,3.7466,0.2966,0.1443,0.0759,1.7679,1.0328,3.5753,0.5842,0.2835,0.0848,2.0929,1.4728,3.4707,0.7037,0.3425,0.0888,No Consensus
G1,2004/5,26/09/2004,Kallithea,Ergotelis,H,8.27,8.58,2,2,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.3,4.4,1.73,3.2,4.25,1.7,3.1,4.4,1.7,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,6,16,3,3,3,0,0,0,4,4,4,0,0,0,0,0,1.265,0.3567,3.7524,0.282,0.1372,0.0756,1.7964,1.0695,3.566,0.5953,0.2878,0.0852,2.1429,1.5399,3.4559,0.7186,0.35,0.0894,No Consensus
G1,2004/5,26/09/2004,OFI Crete,Egaleo,A,9.95,15.06,2,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,2.7,2.37,2.95,2.72,2.5,2.7,2.8,2.38,2.9,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.9,2.6,0,0,0,0,13,5,0,0,0,4,4,4,0,0,0,2,2,2,0,0,1.625,0.7227,3.6662,0.4448,0.223,0.0825,1.8321,0.9658,3.6085,0.5271,0.2675,0.0862,1.7193,0.8331,3.6396,0.4846,0.2449,0.0842,No Consensus
G1,2004/5,26/09/2004,Panionios,PAOK,H,14.0,19.95,2,2,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,2.9,3.3,2.2,3.0,3.0,2.3,3.0,2.7,2.2,2.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,7,12,3,3,3,3,3,3,2,2,2,1,1,1,0,0,1.4393,0.5898,3.6923,0.4098,0.198,0.0792,1.7071,0.9498,3.5966,0.5564,0.2693,0.0839,1.7057,0.954,3.5954,0.5593,0.2739,0.0838,No Consensus
G1,2004/5,02/10/2004,Chalkidona,Kallithea,H,9.45,8.27,3,3,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,5.1,1.52,3.5,5.5,1.5,3.4,5.6,1.62,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,4,9,6,6,6,3,3,3,5,5,5,6,6,6,0,0,1.2007,0.2707,3.772,0.2254,0.1102,0.0742,1.8821,1.1841,3.5377,0.6291,0.3035,0.0864,2.4964,2.021,3.3602,0.8096,0.396,0.0925,No Consensus
G1,2004/5,02/10/2004,Kerkyra,OFI Crete,D,8.16,9.95,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.15,4.1,1.75,3.1,4.25,1.8,3.1,4.0,1.9,2.9,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,15,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.3107,0.4214,3.7365,0.3215,0.1578,0.0765,1.7321,0.9837,3.5878,0.5679,0.2753,0.0842,2.0357,1.4009,3.4865,0.6882,0.3373,0.0882,No Consensus
G1,2004/5,03/10/2004,AEK,Panionios,H,31.63,14.0,3,3,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.65,3.35,4.5,1.65,3.3,4.4,1.67,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.2,4.5,0,0,0,0,2,10,7,7,7,3,3,3,5,5,5,2,2,2,0,0,1.3,0.3488,3.7563,0.2683,0.1361,0.0758,1.9821,1.1349,3.5709,0.5726,0.2866,0.0886,2.4271,1.6572,3.4679,0.6828,0.3452,0.0944,No Consensus
G1,2004/5,03/10/2004,Egaleo,Ionikos,H,15.06,8.41,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.5,6.65,1.47,3.55,6.0,1.45,3.6,5.8,1.53,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,3,11,7,7,7,3,3,3,3,3,3,2,2,2,0,0,1.1771,0.2384,3.7787,0.2025,0.0986,0.0737,1.9036,1.2131,3.5307,0.6373,0.3078,0.0866,2.7464,2.3568,3.3026,0.8581,0.4192,0.0942,No Consensus
