Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
B1,15/08/04,Bergen,Beveren,D,2.2,3.25,2.75,2.0,3.25,3.25,2.1,3.25,3.05,1.85,3.2,3.5,2.0,3.2,3.2,2.2,3.1,2.88,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,15/08/04,Club Brugge,Gent,H,1.33,4.33,8.0,1.4,4.0,6.75,1.33,4.5,7.25,1.4,3.9,6.0,1.4,3.75,7.0,1.33,4.33,7.0,1.33,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,15/08/04,Germinal,Oostende,H,1.61,3.5,4.5,1.7,3.45,4.3,1.62,3.4,5.0,1.65,3.3,4.4,1.62,3.25,5.0,1.67,3.4,4.33,1.61,3.3,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Beveren,Anderlecht,A,4.5,3.5,1.61,4.3,3.45,1.7,4.6,3.4,1.67,4.2,3.2,1.7,4.5,3.25,1.67,4.75,3.4,1.62,4.5,3.3,1.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Charleroi,Westerlo,A,2.5,3.1,2.5,2.45,3.2,2.55,2.5,3.15,2.55,2.4,3.0,2.6,2.62,3.4,2.25,2.5,3.1,2.5,2.4,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Gent,Bergen,H,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.67,3.25,4.5,1.8,3.25,3.8,1.8,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Lierse,Germinal,H,2.2,3.25,2.75,2.05,3.25,3.15,2.2,3.2,2.9,2.2,2.9,3.0,2.1,3.4,2.88,2.1,3.2,3.0,2.1,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Mouscron,St Truiden,H,1.57,3.5,5.0,1.65,3.5,4.55,1.62,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.62,3.4,4.75,1.7,3.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,21/08/04,Oostende,Club Brugge,A,5.5,3.6,1.5,6.25,3.8,1.45,5.5,3.5,1.55,5.4,3.8,1.45,5.5,3.6,1.5,6.0,3.75,1.44,5.5,3.6,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,22/08/04,Cercle Brugge,Standard,A,3.2,3.2,2.0,3.25,3.25,2.0,3.3,3.25,2.0,3.2,3.1,2.0,3.5,3.4,1.83,3.5,3.2,1.91,3.6,3.3,1.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,22/08/04,FC Brussels,Louvieroise,D,2.37,3.1,2.62,2.45,3.2,2.55,2.4,3.15,2.65,2.2,3.0,2.9,2.2,3.2,2.8,2.4,3.2,2.5,2.25,3.3,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,22/08/04,Genk,Lokeren,H,1.61,3.5,4.5,1.6,3.55,4.9,1.65,3.5,4.55,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.4,4.33,1.66,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,27/08/04,Louvieroise,Genk,H,2.62,3.1,2.37,2.45,3.2,2.55,2.6,3.1,2.45,2.6,3.0,2.4,2.6,3.2,2.75,2.5,3.1,2.5,2.62,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,28/08/04,Anderlecht,Gent,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,28/08/04,Bergen,Oostende,H,1.72,3.4,4.0,1.75,3.4,4.05,1.75,3.25,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.2,1.8,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,28/08/04,Club Brugge,Lierse,H,1.25,5.0,8.0,1.3,4.5,8.25,1.25,5.0,9.0,1.25,4.5,9.0,1.3,4.0,9.0,1.25,4.75,9.0,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,28/08/04,Lokeren,Mouscron,D,2.3,3.2,2.7,2.5,3.2,2.5,2.4,3.1,2.65,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.2,2.75,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,28/08/04,Standard,FC Brussels,A,1.33,4.33,7.0,1.3,4.5,8.25,1.33,4.25,8.0,1.35,4.0,7.0,1.4,3.75,7.0,1.33,4.33,7.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
