Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
E0,2004/5,21/08/2004,Birmingham,Chelsea,A,106.93,331.48,2,2,0.0,1.0,4.5,3.2,1.83,1.0,1.0,1.0,1.0,1.0,1.0,4.25,3.4,1.75,4.5,3.25,1.83,3.8,3.1,1.8,4.33,3.2,1.73,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,2.87,1.83,0,0,0,0,18,2,1,1,1,6,6,6,1,1,1,2,2,2,0,0,2.6579,1.6659,3.5032,0.6268,0.3225,0.0992,2.1014,1.1079,3.5974,0.5272,0.2729,0.091,1.3929,0.3941,3.7489,0.2829,0.1453,0.0771,A
E0,2004/5,21/08/2004,Charlton,Portsmouth,H,57.8,64.0,2,2,2.0,1.0,2.0,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,2.05,3.3,3.5,1.9,3.1,3.5,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.2,3.75,0,0,0,0,11,17,3,3,3,1,1,1,3,3,3,2,2,2,0,0,1.4629,0.4669,3.7329,0.3192,0.1665,0.0786,2.1071,1.1079,3.5977,0.5258,0.2663,0.0911,2.3214,1.3243,3.5583,0.5705,0.2912,0.0945,H
E0,2004/5,21/08/2004,Crystal Palace,Everton,A,38.53,74.28,2,2,1.0,3.0,2.3,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,3.0,2.35,3.2,2.95,2.1,3.0,3.1,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,0,0,0,0,20,9,1,1,1,3,3,3,2,2,2,4,4,4,0,0,1.6214,0.6238,3.698,0.3848,0.1982,0.0819,2.0821,1.0836,3.6023,0.5204,0.2645,0.0907,1.9664,0.9692,3.6247,0.4929,0.2531,0.0887,H
E0,2004/5,21/08/2004,Fulham,Bolton,H,65.23,63.58,2,2,2.0,0.0,2.25,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.25,3.2,3.1,2.0,3.1,3.2,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0,0,4,7,4,4,4,3,3,3,3,3,3,4,4,4,0,0,1.5821,0.5851,3.7066,0.3698,0.1911,0.0811,2.0929,1.0931,3.6005,0.5223,0.2626,0.0909,2.0214,1.0234,3.6139,0.5063,0.2587,0.0897,H
E0,2004/5,21/08/2004,Liverpool,Man City,H,222.13,94.3,2,2,2.0,1.0,1.57,3.5,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.5,5.25,1.61,3.5,5.75,1.5,3.7,5.0,1.57,3.25,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.3,5.5,0,0,0,0,5,14,4,4,4,1,1,1,3,3,3,2,2,2,0,0,1.2821,0.2833,3.7719,0.2209,0.1138,0.0749,2.2393,1.2436,3.5725,0.5553,0.2856,0.0933,3.3214,2.3441,3.4145,0.7058,0.3687,0.1062,H
E0,2004/5,21/08/2004,Man United,Norwich,H,293.23,30.95,2,2,2.0,1.0,1.25,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,10.0,1.31,4.75,9.5,1.3,4.2,8.0,1.22,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.28,4.5,8.0,0,0,0,0,8,16,3,3,3,1,1,1,2,2,2,2,2,2,0,0,1.1329,0.1345,3.7972,0.1187,0.0622,0.0724,2.8893,1.9008,3.4697,0.6579,0.3398,0.1019,5.3929,4.5284,3.2368,0.8397,0.4442,0.1184,H
E0,2004/5,21/08/2004,Newcastle,Tottenham,A,125.9,127.2,2,2,0.0,1.0,1.66,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.45,4.45,1.73,3.3,5.0,1.65,3.3,4.4,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.1,5.0,0,0,1,1,15,6,1,1,1,4,4,4,2,2,2,2,2,2,0,0,1.3314,0.3325,3.762,0.2497,0.1283,0.0759,2.1571,1.1597,3.5879,0.5376,0.2751,0.092,2.9893,2.01,3.4547,0.6724,0.3512,0.1029,H
E0,2004/5,21/08/2004,Southampton,Blackburn,H,85.48,73.7,2,2,3.0,2.0,2.3,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.3,3.2,3.0,2.1,3.0,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.1,3.0,0,0,0,0,10,13,3,3,3,1,1,1,3,3,3,3,3,3,0,0,1.6,0.6027,3.7027,0.3767,0.1945,0.0815,2.0857,1.0873,3.6016,0.5213,0.2654,0.0908,1.9986,0.9994,3.6187,0.5001,0.2532,0.0893,H
E0,2004/5,22/08/2004,Arsenal,Middlesbrough,H,247.0,95.43,2,2,5.0,3.0,1.36,4.33,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.0,9.0,1.36,4.25,9.0,1.4,3.9,6.0,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.0,8.0,0,0,0,0,1,19,6,6,6,1,1,1,9,9,9,5,5,5,0,0,1.17,0.1727,3.7916,0.1476,0.0774,0.073,2.5936,1.6002,3.5132,0.617,0.3182,0.0983,4.75,3.8394,3.2799,0.8083,0.4259,0.1155,H
E0,2004/5,22/08/2004,West Brom,Aston Villa,D,50.4,84.18,2,2,1.0,1.0,2.87,3.2,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.1,2.5,2.8,3.2,2.45,2.7,3.0,2.3,2.88,3.0,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,2.9,2.5,0,1,0,1,12,3,2,2,2,4,4,4,2,2,2,3,3,3,0,0,1.88,0.8826,3.6423,0.4695,0.2412,0.0871,2.0357,1.0383,3.611,0.51,0.2614,0.0899,1.6986,0.7014,3.6809,0.4129,0.213,0.0835,A
