Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,2004/5,11/09/2004,Benfica,Moreirense,H,1.0,1.0,2,2,2.0,0.0,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,0,0,0,0,17,3,6,6,6,1,1,1,5,5,5,0,0,0,0,0,1.1121,0.1309,3.7975,0.1177,0.0601,0.0723,2.6093,1.8722,3.4311,0.7175,0.3642,0.0963,4.25,3.7737,3.2072,0.8879,0.4508,0.1067,H
P1,2004/5,11/09/2004,Leiria,Estoril,H,1.0,1.0,1,2,4.0,2.0,1.615,3.3,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.05,1.7,3.4,4.4,1.85,3.1,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.5,4.5,0,0,0,0,2,15,3,3,3,0,0,0,4,4,4,2,2,2,0,0,1.2989,0.3495,3.7561,0.2691,0.138,0.0758,2.0071,1.1659,3.5642,0.5809,0.2926,0.089,2.42,1.6633,3.4661,0.6873,0.3531,0.0942,H
P1,2004/5,11/09/2004,Maritimo,Penafiel,H,1.0,1.0,2,2,3.0,0.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,4.9,1.6,3.5,5.0,1.7,3.2,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0,0,7,18,3,3,3,0,0,0,3,3,3,1,1,1,0,0,1.2529,0.2946,3.7681,0.2351,0.1199,0.0748,2.0464,1.2107,3.5546,0.5916,0.2973,0.0896,2.7214,2.0171,3.4074,0.7412,0.3789,0.0972,H
P1,2004/5,11/09/2004,Sp Braga,Porto,D,1.0,1.0,2,1,1.0,1.0,4.0,3.4,1.727,1.0,1.0,1.0,1.0,1.0,1.0,4.05,3.4,1.75,4.0,3.3,1.8,3.5,3.1,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,0,0,0,0,12,10,2,2,2,2,2,2,3,3,3,3,3,3,0,0,2.2214,1.4159,3.5129,0.6374,0.3227,0.092,1.9857,1.1401,3.5697,0.5741,0.2883,0.0887,1.3412,0.3956,3.7456,0.295,0.1492,0.0767,A
P1,2004/5,12/09/2004,Nacional,Beira Mar,H,1.0,1.0,2,2,2.0,1.0,1.615,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.5,4.55,1.65,3.5,4.6,1.7,3.2,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.4,4.0,0,0,0,0,8,16,3,3,3,0,0,0,2,2,2,3,3,3,0,0,1.2382,0.3204,3.761,0.2588,0.1258,0.075,1.8643,1.1617,3.5431,0.6231,0.3019,0.0861,2.2036,1.6207,3.4388,0.7355,0.3583,0.09,H
P1,2004/5,12/09/2004,Setubal,Sp Lisbon,H,1.0,1.0,2,2,2.0,0.0,4.0,3.2,1.8,1.0,1.0,1.0,1.0,1.0,1.0,3.65,3.35,1.85,3.75,3.3,1.85,3.5,3.1,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.3,1.8,1,0,0,1,1,9,6,6,6,3,3,3,6,6,6,3,3,3,0,0,2.175,1.3604,3.524,0.6255,0.3156,0.0914,1.9679,1.1189,3.5744,0.5686,0.2851,0.0884,1.3571,0.4131,3.7415,0.3044,0.153,0.077,A
P1,2004/5,13/09/2004,Rio Ave,Belenenses,D,1.0,1.0,2,2,3.0,3.0,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.3,1.9,3.25,3.6,2.0,3.0,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.4,3.5,0,0,0,0,11,4,2,2,2,4,4,4,3,3,3,6,6,6,0,0,1.3879,0.4506,3.7326,0.3247,0.1652,0.0776,1.9536,1.1038,3.5776,0.565,0.2845,0.0882,2.0786,1.2554,3.5451,0.604,0.3076,0.09,H
P1,2004/5,17/09/2004,Boavista,Setubal,D,1.0,1.0,3,3,1.0,1.0,1.61,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,4.9,1.6,3.55,4.9,1.65,3.3,4.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.2,5.25,0,0,0,0,10,13,7,7,7,7,7,7,3,3,3,7,7,7,0,0,1.2629,0.3037,3.7662,0.2405,0.1202,0.075,2.0357,1.199,3.5571,0.589,0.2972,0.0894,2.6214,1.8813,3.43,0.7177,0.3643,0.0964,H
P1,2004/5,18/09/2004,Porto,Estoril,D,1.0,1.0,2,3,2.0,2.0,1.16,5.5,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,13.0,1.17,5.5,13.0,1.2,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,12.0,0,0,0,0,4,2,2,2,2,1,1,1,3,3,3,2,2,2,0,0,1.0707,0.0826,3.8031,0.0771,0.0395,0.0718,2.9643,2.2793,3.37,0.7689,0.3898,0.0994,5.6429,5.4064,3.0946,0.9581,0.4892,0.111,H
P1,2004/5,19/09/2004,Academica,Benfica,A,1.0,1.0,3,3,0.0,1.0,4.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.3,3.45,1.7,4.3,3.25,1.75,4.4,3.3,1.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.66,0,0,0,0,16,1,1,1,1,9,9,9,3,3,3,6,6,6,0,0,2.4043,1.6237,3.4742,0.6753,0.3383,0.0942,2.0143,1.1721,3.5629,0.5819,0.291,0.0891,1.2964,0.3431,3.7576,0.2646,0.1335,0.0757,A
P1,2004/5,19/09/2004,Beira Mar,Gil Vicente,H,1.0,1.0,3,3,1.0,0.0,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.3,3.55,1.9,3.2,3.65,2.0,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.1,3.6,0,0,0,0,12,18,3,3,3,0,0,0,4,4,4,2,2,2,0,0,1.4,0.4629,3.7296,0.3307,0.1662,0.0779,1.9357,1.0814,3.5826,0.5587,0.2797,0.0879,2.05,1.2183,3.5529,0.5943,0.3014,0.0896,H
P1,2004/5,19/09/2004,Belenenses,Leiria,H,1.0,1.0,3,2,2.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.3,3.55,2.1,3.2,3.1,1.9,3.1,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.4,0,0,0,0,3,7,7,7,7,4,4,4,8,8,8,6,6,6,0,0,1.4429,0.5165,3.7166,0.3579,0.1832,0.0788,1.9321,1.0783,3.5832,0.5581,0.2808,0.0879,1.95,1.1132,3.575,0.5709,0.2936,0.088,H
P1,2004/5,19/09/2004,Moreirense,Nacional,H,1.0,1.0,3,3,3.0,2.0,2.2,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.3,2.2,3.0,3.1,2.0,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.0,2.85,0,0,0,0,9,13,4,4,4,3,3,3,3,3,3,4,4,4,0,0,1.4893,0.5689,3.7038,0.382,0.1941,0.0798,1.8893,1.0286,3.5943,0.5444,0.2734,0.0872,1.8807,1.0225,3.5956,0.5437,0.2766,0.087,H
P1,2004/5,19/09/2004,Penafiel,Rio Ave,D,1.0,1.0,3,3,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.15,2.55,2.5,3.2,2.5,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,2.9,2.5,0,1,0,1,17,11,1,1,1,3,3,3,2,2,2,4,4,4,0,0,1.6443,0.7451,3.6607,0.4532,0.2273,0.0829,1.8821,1.0215,3.5959,0.5427,0.2739,0.0871,1.6607,0.7644,3.6561,0.4603,0.2309,0.0832,H
P1,2004/5,20/09/2004,Sp Lisbon,Maritimo,A,1.0,1.0,3,3,0.0,1.0,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.35,4.35,7.0,1.33,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.0,8.0,0,0,1,1,14,5,3,3,3,6,6,6,3,3,3,4,4,4,0,0,1.1429,0.1654,3.7924,0.1447,0.073,0.0728,2.3521,1.5704,3.4836,0.6677,0.3396,0.0935,3.8393,3.2945,3.2511,0.8581,0.4355,0.1049,H
P1,2004/5,21/09/2004,Sp Braga,Guimaraes,H,1.0,1.0,3,3,1.0,0.0,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.35,3.65,1.85,3.1,4.0,1.9,3.1,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.75,0,0,0,0,6,8,5,5,5,4,4,4,4,4,4,2,2,2,0,0,1.3614,0.4178,3.7404,0.3069,0.1539,0.0771,1.9429,1.0902,3.5806,0.5611,0.2818,0.088,2.1714,1.3562,3.5248,0.6245,0.3148,0.0913,H
P1,2004/5,22/09/2004,Porto,Leiria,D,1.0,1.0,3,3,1.0,1.0,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.28,4.5,8.0,0,0,0,0,10,7,3,3,3,4,4,4,4,4,4,6,6,6,0,0,1.1157,0.1343,3.797,0.1204,0.0611,0.0724,2.5857,1.8427,3.4361,0.7126,0.3623,0.096,4.1429,3.6422,3.219,0.8791,0.4433,0.1063,H
P1,2004/5,24/09/2004,Setubal,Beira Mar,A,1.0,1.0,4,4,1.0,2.0,1.83,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.85,3.3,3.75,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,1,1,3,8,4,7,7,6,6,6,4,8,8,4,6,6,0,0,1.3521,0.4069,3.7429,0.3009,0.1504,0.0769,1.9679,1.1192,3.5743,0.5688,0.2858,0.0884,2.175,1.3575,3.5247,0.6241,0.3114,0.0914,H
P1,2004/5,25/09/2004,Guimaraes,Porto,A,1.0,1.0,4,4,0.0,1.0,3.5,3.2,1.9,1.0,1.0,1.0,1.0,1.0,1.0,3.65,3.35,1.85,3.6,3.25,1.9,3.6,3.1,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.25,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.3,1.83,0,0,0,0,13,6,3,4,4,5,6,6,2,2,2,4,5,5,0,0,2.1107,1.2829,3.5397,0.6078,0.3025,0.0905,1.9607,1.1105,3.5762,0.5664,0.284,0.0883,1.37,0.4276,3.7381,0.3121,0.1562,0.0773,A
P1,2004/5,25/09/2004,Maritimo,Boavista,H,1.0,1.0,4,4,2.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.9,2.2,3.1,3.0,2.1,2.8,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,0,0,2,5,9,9,9,4,7,7,6,6,6,3,4,4,0,0,1.5071,0.587,3.6994,0.3895,0.1963,0.0801,1.9,1.0433,3.5909,0.5491,0.2771,0.0873,1.8393,0.9762,3.6061,0.5307,0.2703,0.0863,H
P1,2004/5,26/09/2004,Benfica,Sp Braga,D,1.0,1.0,4,4,0.0,0.0,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,6.75,1.4,4.0,6.8,1.35,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,1,7,7,10,10,5,6,6,3,6,6,2,4,4,0,0,1.1629,0.189,3.7885,0.1625,0.0822,0.0731,2.2736,1.4761,3.5014,0.6493,0.3283,0.0926,3.5393,2.933,3.2896,0.8287,0.4126,0.1034,H
P1,2004/5,26/09/2004,Gil Vicente,Moreirense,H,1.0,1.0,4,4,3.0,1.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.25,2.95,2.2,3.1,3.0,1.85,3.1,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,2.87,0,0,0,0,17,15,3,3,3,3,4,4,3,5,5,4,4,4,0,0,1.4857,0.5671,3.7042,0.3817,0.1933,0.0797,1.925,1.0688,3.5854,0.5552,0.2776,0.0878,1.8586,1.0078,3.5987,0.5422,0.2768,0.0866,H
P1,2004/5,26/09/2004,Leiria,Penafiel,A,1.0,1.0,4,4,1.0,2.0,1.66,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.65,5.8,1.6,3.5,5.0,1.6,3.4,4.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.4,4.5,0,0,1,1,11,16,1,4,4,4,4,4,3,7,7,3,4,4,0,0,1.2557,0.297,3.7676,0.2365,0.1199,0.0749,2.0536,1.2181,3.5531,0.5932,0.297,0.0897,2.6414,1.9213,3.4227,0.7274,0.3725,0.0965,H
P1,2004/5,26/09/2004,Nacional,Academica,H,1.0,1.0,4,4,2.0,1.0,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,4.9,1.7,3.4,4.4,1.7,3.2,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.4,4.0,0,0,0,0,9,18,6,6,6,0,1,1,6,6,6,2,4,4,0,0,1.29,0.3363,3.7591,0.2607,0.132,0.0756,2.025,1.1854,3.56,0.5854,0.2937,0.0893,2.4464,1.6857,3.4626,0.689,0.3523,0.0946,H
P1,2004/5,26/09/2004,Rio Ave,Sp Lisbon,D,1.0,1.0,4,4,0.0,0.0,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.25,2.0,3.1,3.2,2.1,3.1,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.2,2.05,0,1,0,1,12,14,3,4,4,1,4,4,4,4,4,0,3,3,0,0,1.9143,1.0575,3.5879,0.5524,0.2777,0.0876,1.9321,1.0776,3.5834,0.5577,0.279,0.0879,1.4536,0.5246,3.7147,0.3609,0.1813,0.079,A
P1,2004/5,27/09/2004,Estoril,Belenenses,H,1.0,1.0,4,4,1.0,0.0,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.6,2.5,3.1,2.55,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,0,10,4,5,5,5,4,7,7,3,5,5,5,8,8,0,0,1.6179,0.7145,3.6682,0.4416,0.2217,0.0824,1.9,1.0399,3.5918,0.5473,0.2734,0.0874,1.6693,0.7735,3.6539,0.4634,0.232,0.0833,H
P1,2004/5,01/10/2004,Boavista,Rio Ave,A,1.0,1.0,5,5,0.0,1.0,1.66,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,4.9,1.7,3.3,4.5,1.75,3.1,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.25,4.0,0,0,1,1,9,6,1,7,7,5,7,7,2,4,4,2,5,5,0,0,1.2993,0.3474,3.7566,0.2674,0.1357,0.0758,1.9786,1.1334,3.5712,0.5728,0.2888,0.0886,2.45,1.6851,3.463,0.6878,0.3501,0.0946,H
