Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,2004/5,21/08/2004,Den Haag,Nijmegen,A,9.92,16.88,2,2,1.0,2.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.3,2.85,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.25,0,0,0,0,16,4,0,0,0,6,6,6,1,1,1,4,4,4,0,0,1.4964,0.5777,3.7016,0.3861,0.1966,0.0799,1.9464,1.0955,3.5794,0.5628,0.2835,0.0881,1.8164,0.9502,3.612,0.5231,0.2668,0.0859,H
N1,2004/5,21/08/2004,Heerenveen,Roda,A,31.2,20.93,2,2,3.0,4.0,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.15,3.3,1.9,3.3,3.55,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.3,3.3,0,0,1,1,11,9,1,1,1,3,3,3,4,4,4,6,6,6,0,0,1.3864,0.4478,3.7333,0.323,0.1631,0.0776,1.95,1.0981,3.5789,0.5631,0.2823,0.0881,2.0607,1.23,3.5505,0.5969,0.3024,0.0898,H
N1,2004/5,21/08/2004,PSV Eindhoven,AZ Alkmaar,H,86.85,50.0,2,2,5.0,1.0,1.44,3.75,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.8,6.0,1.45,3.75,6.5,1.45,3.8,5.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,2,13,6,6,6,1,1,1,10,10,10,2,2,2,0,0,1.185,0.2141,3.7841,0.1807,0.091,0.0735,2.1857,1.3692,3.5224,0.6264,0.3109,0.0915,3.2786,2.6582,3.3197,0.8108,0.415,0.1016,H
N1,2004/5,21/08/2004,Waalwijk,Twente,H,19.33,13.25,2,2,1.0,0.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.15,3.2,3.0,2.1,3.0,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.3,2.62,0,0,0,0,7,15,4,4,4,0,0,0,1,1,1,2,2,2,0,0,1.5071,0.5864,3.6996,0.3891,0.1953,0.0801,1.9464,1.0947,3.5796,0.5624,0.2822,0.0881,1.7907,0.9192,3.6192,0.5133,0.2616,0.0855,H
N1,2004/5,22/08/2004,Ajax,NAC Breda,H,114.5,17.45,2,2,6.0,2.0,1.22,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,6.0,9.0,1.22,5.0,11.0,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,8.0,0,0,0,0,3,10,6,6,6,3,3,3,9,9,9,5,5,5,0,0,1.0971,0.1128,3.7998,0.1028,0.0522,0.0721,2.75,2.042,3.4041,0.7425,0.3776,0.0976,4.5357,4.1251,3.1777,0.9095,0.464,0.1078,H
N1,2004/5,22/08/2004,Graafschap,Den Bosch,D,12.28,8.35,2,2,1.0,1.0,2.3,3.4,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.35,3.25,2.65,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.3,2.7,0,1,0,1,14,6,1,1,1,4,4,4,2,2,2,2,2,2,0,0,1.525,0.6085,3.6941,0.399,0.2019,0.0805,1.9607,1.1123,3.5757,0.5673,0.2861,0.0883,1.7536,0.8768,3.6291,0.5,0.2553,0.0848,H
N1,2004/5,22/08/2004,Utrecht,Roosendaal,H,20.3,10.7,2,2,5.0,1.0,1.66,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.4,4.6,1.72,3.3,4.45,1.7,3.2,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.0,0,0,0,0,8,18,3,3,3,0,0,0,7,7,7,3,3,3,0,0,1.2864,0.3315,3.7601,0.2577,0.13,0.0755,2.0,1.1557,3.5664,0.5779,0.2893,0.0889,2.4936,1.7331,3.4548,0.695,0.3524,0.0951,H
N1,2004/5,22/08/2004,Willem II,Feyenoord,A,13.98,66.43,2,2,0.0,4.0,3.5,3.2,1.9,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.4,1.9,3.5,3.2,1.95,3.5,3.1,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.2,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.3,1.9,0,0,0,0,17,1,0,0,0,6,6,6,0,0,0,10,10,10,0,0,2.05,1.2135,3.5541,0.5919,0.2959,0.0896,1.9571,1.1069,3.577,0.5656,0.2842,0.0883,1.39,0.4505,3.7326,0.3241,0.1614,0.0777,A
N1,2004/5,27/08/2004,Den Bosch,Willem II,A,8.35,13.98,3,3,1.0,2.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.5,3.2,2.5,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.37,0,0,0,0,8,14,4,4,4,3,3,3,3,3,3,2,2,2,0,0,1.6143,0.712,3.6687,0.4411,0.2225,0.0823,1.925,1.0702,3.585,0.5559,0.28,0.0878,1.6621,0.7685,3.655,0.4624,0.2345,0.0832,H
N1,2004/5,28/08/2004,NAC Breda,PSV Eindhoven,D,17.45,86.85,3,3,2.0,2.0,4.5,3.5,1.61,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,4.45,3.5,1.66,4.6,3.4,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.3,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.66,0,0,0,0,10,2,4,4,4,7,7,7,7,7,7,12,12,12,0,0,2.4914,1.723,3.4569,0.6916,0.3451,0.0951,2.0464,1.2096,3.5549,0.5911,0.2963,0.0896,1.275,0.318,3.7631,0.2494,0.1253,0.0753,A
