Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SP1,12/09/2004,Levante,Santander,H,2.1,3.2,3.1,2.1,3.2,3.2,2.0,3.0,3.3,2.1,3.1,3.1,2004/5,€24.25m,€32.90m,47.619,47.619,47.619,50.0,31.25,31.25,32.2581,33.3333,32.2581,31.25,32.2581,30.303,H,48.2142,1.1905,32.0228,0.9945,31.5173,0.9387
SP1,12/09/2004,Malaga,Zaragoza,D,2.1,3.25,3.0,2.15,3.3,3.0,2.0,3.0,3.3,2.1,3.1,3.1,2004/5,€32.85m,€51.13m,47.619,46.5116,47.619,50.0,30.7692,30.303,32.2581,33.3333,33.3333,33.3333,32.2581,30.303,H,47.9374,1.4708,31.6659,1.3895,32.3069,1.4289
SP1,12/09/2004,Villarreal,Sociedad,D,1.727,3.25,4.333,1.8,3.25,4.2,1.85,3.1,3.6,1.83,3.3,3.6,2004/5,€66.25m,€53.55m,57.9039,55.5556,54.6448,54.0541,30.7692,30.7692,30.303,32.2581,23.0787,23.8095,27.7778,27.7778,H,55.5396,1.6929,31.0249,0.851,25.611,2.5198
SP1,18/09/2004,Espanol,Real Madrid,H,3.75,3.2,2.0,4.0,3.35,1.8,3.5,3.1,1.9,3.75,3.3,1.8,2004/5,€45.15m,€303.70m,26.6667,25.0,26.6667,28.5714,31.25,29.8507,30.303,32.2581,50.0,55.5556,55.5556,52.6316,A,26.7262,1.4596,30.9154,1.0682,53.4357,2.6732
SP1,18/09/2004,Osasuna,Betis,H,2.0,3.25,3.25,2.0,3.25,3.4,1.85,3.1,3.6,1.9,3.2,3.5,2004/5,€26.70m,€85.15m,50.0,50.0,52.6316,54.0541,30.7692,30.7692,31.25,32.2581,30.7692,29.4118,28.5714,27.7778,H,51.6714,2.0155,31.2616,0.7019,29.1326,1.2789
SP1,18/09/2004,Valencia,Sociedad,H,1.44,3.75,6.5,1.45,3.8,6.7,1.5,3.7,5.0,1.44,3.6,6.5,2004/5,€195.90m,€53.55m,69.4444,68.9655,69.4444,66.6667,26.6667,26.3158,27.7778,27.027,15.3846,14.9254,15.3846,20.0,H,68.6302,1.3284,26.9468,0.6255,16.4237,2.394
SP1,19/09/2004,Ath Bilbao,La Coruna,A,2.3,3.2,2.7,2.4,3.15,2.7,2.2,3.0,2.9,2.3,3.0,2.8,2004/5,€53.05m,€144.45m,43.4783,41.6667,43.4783,45.4545,31.25,31.746,33.3333,33.3333,37.037,37.037,35.7143,34.4828,H,43.5194,1.5471,32.4156,1.0788,36.0678,1.2269
SP1,19/09/2004,Ath Madrid,Barcelona,D,2.75,3.25,2.25,2.8,3.2,2.3,2.9,3.0,2.2,2.8,3.1,2.25,2004/5,€125.65m,€273.03m,36.3636,35.7143,35.7143,34.4828,30.7692,31.25,32.2581,33.3333,44.4444,43.4783,44.4444,45.4545,A,35.5688,0.786,31.9026,1.1378,44.4554,0.8069
SP1,19/09/2004,Mallorca,Malaga,A,1.9,3.25,3.5,1.8,3.3,4.1,1.85,3.1,3.6,1.9,3.1,3.6,2004/5,€42.65m,€32.85m,52.6316,55.5556,52.6316,54.0541,30.7692,30.303,32.2581,32.2581,28.5714,24.3902,27.7778,27.7778,H,53.7182,1.3965,31.3971,1.0123,27.1293,1.864
SP1,19/09/2004,Numancia,Getafe,H,1.9,3.25,3.5,1.9,3.25,3.75,2.0,3.0,3.3,1.95,3.1,3.5,2004/5,€13.40m,€13.85m,52.6316,52.6316,51.2821,50.0,30.7692,30.7692,32.2581,33.3333,28.5714,26.6667,28.5714,30.303,H,51.6363,1.2628,31.7825,1.2496,28.5281,1.4854
SP1,19/09/2004,Santander,Villarreal,D,2.3,3.2,2.7,2.45,3.15,2.65,2.5,3.0,2.5,2.37,3.1,2.62,2004/5,€32.90m,€66.25m,43.4783,40.8163,42.1941,40.0,31.25,31.746,32.2581,33.3333,37.037,37.7358,38.1679,40.0,H,41.6222,1.5333,32.1468,0.8916,38.2352,1.2655
SP1,19/09/2004,Sevilla,Levante,H,1.72,3.25,4.33,1.7,3.4,4.55,1.75,3.2,4.0,1.61,3.3,5.0,2004/5,€70.55m,€24.25m,58.1395,58.8235,62.1118,57.1429,30.7692,29.4118,30.303,31.25,23.0947,21.978,20.0,25.0,H,59.0544,2.1519,30.4335,0.7832,22.5182,2.0916
SP1,19/09/2004,Zaragoza,Albacete,H,1.72,3.25,4.33,1.8,3.3,4.1,1.85,3.1,3.6,1.7,3.3,4.33,2004/5,€51.13m,€17.75m,58.1395,55.5556,58.8235,54.0541,30.7692,30.303,30.303,32.2581,23.0947,24.3902,23.0947,27.7778,H,56.6432,2.227,30.9083,0.9263,24.5894,2.2116
SP1,21/09/2004,Real Madrid,Osasuna,H,1.44,3.75,6.5,1.4,4.0,7.0,1.4,3.9,6.0,1.4,3.75,7.0,2004/5,€303.70m,€26.70m,69.4444,71.4286,71.4286,71.4286,26.6667,25.0,26.6667,25.641,15.3846,14.2857,14.2857,16.6667,H,70.9326,0.9921,25.9936,0.8201,15.1557,1.1327
SP1,22/09/2004,Albacete,Mallorca,D,2.25,3.2,2.8,2.4,3.1,2.75,2.1,3.0,3.1,2.37,3.1,2.62,2004/5,€17.75m,€42.65m,44.4444,41.6667,42.1941,47.619,31.25,32.2581,32.2581,33.3333,35.7143,36.3636,38.1679,32.2581,H,43.981,2.7079,32.2749,0.8507,35.626,2.4736
SP1,22/09/2004,Betis,Ath Bilbao,H,2.3,3.2,2.7,2.2,3.2,3.0,2.2,2.9,3.0,2.25,3.2,2.75,2004/5,€85.15m,€53.05m,43.4783,45.4545,44.4444,45.4545,31.25,31.25,31.25,34.4828,37.037,33.3333,36.3636,33.3333,H,44.7079,0.948,32.0582,1.6164,35.0168,1.9633
SP1,22/09/2004,Getafe,Espanol,H,2.62,3.2,2.37,2.65,3.25,2.35,2.8,2.9,2.3,2.6,3.1,2.4,2004/5,€13.85m,€45.15m,38.1679,37.7358,38.4615,35.7143,31.25,30.7692,32.2581,34.4828,42.1941,42.5532,41.6667,43.4783,A,37.5199,1.2401,32.19,1.6496,42.4731,0.7627
SP1,22/09/2004,La Coruna,Valencia,A,2.4,3.2,2.6,2.5,3.1,2.65,2.2,3.0,2.9,2.4,3.1,2.6,2004/5,€144.45m,€195.90m,41.6667,40.0,41.6667,45.4545,31.25,32.2581,32.2581,33.3333,38.4615,37.7358,38.4615,34.4828,H,42.197,2.3094,32.2749,0.8507,37.2854,1.8995
SP1,22/09/2004,Levante,Ath Madrid,H,2.62,3.2,2.37,2.8,3.15,2.35,2.8,2.9,2.3,2.6,3.1,2.4,2004/5,€24.25m,€125.65m,38.1679,35.7143,38.4615,35.7143,31.25,31.746,32.2581,34.4828,42.1941,42.5532,41.6667,43.4783,A,37.0145,1.5061,32.4342,1.4264,42.4731,0.7627
SP1,22/09/2004,Malaga,Numancia,H,1.8,3.2,4.0,1.85,3.2,4.0,1.85,3.0,3.8,1.8,3.1,4.0,2004/5,€32.85m,€13.40m,55.5556,54.0541,55.5556,54.0541,31.25,31.25,32.2581,33.3333,25.0,25.0,25.0,26.3158,H,54.8048,0.8669,32.0228,0.9945,25.329,0.6579
SP1,22/09/2004,Sociedad,Santander,A,1.8,3.2,4.0,1.7,3.4,4.5,1.75,3.1,4.2,1.8,3.3,3.75,2004/5,€53.55m,€32.90m,55.5556,58.8235,55.5556,57.1429,31.25,29.4118,30.303,32.2581,25.0,22.2222,26.6667,23.8095,H,56.7694,1.5605,30.8057,1.2251,24.4246,1.8786
SP1,22/09/2004,Villarreal,Sevilla,D,2.2,3.2,2.87,1.95,3.3,3.5,2.0,3.0,3.3,2.1,3.2,3.0,2004/5,€66.25m,€70.55m,45.4545,51.2821,47.619,50.0,31.25,30.303,31.25,33.3333,34.8432,28.5714,33.3333,30.303,H,48.5889,2.5826,31.5341,1.2799,31.7627,2.8444
SP1,23/09/2004,Barcelona,Zaragoza,H,1.33,4.0,8.5,1.3,4.5,9.0,1.3,4.2,8.0,1.36,3.75,8.0,2004/5,€273.03m,€51.13m,75.188,76.9231,73.5294,76.9231,25.0,22.2222,26.6667,23.8095,11.7647,11.1111,12.5,12.5,H,75.6409,1.628,24.4246,1.8786,11.969,0.6687
SP1,25/09/2004,Ath Bilbao,Real Madrid,H,3.0,3.25,2.3,3.2,3.2,2.1,2.7,3.0,2.3,2.75,3.2,2.25,2004/5,€53.05m,€303.70m,33.3333,31.25,36.3636,37.037,30.7692,31.25,31.25,33.3333,43.4783,47.619,44.4444,43.4783,A,34.496,2.6977,31.6506,1.1445,44.755,1.9629
SP1,25/09/2004,Ath Madrid,Villarreal,H,1.8,3.25,4.0,1.75,3.35,4.3,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€125.65m,€66.25m,55.5556,57.1429,55.5556,54.0541,30.7692,29.8507,32.2581,32.2581,25.0,23.2558,25.0,27.7778,H,55.577,1.2612,31.284,1.1856,25.2584,1.8701
SP1,25/09/2004,La Coruna,Betis,D,1.66,3.4,4.5,1.55,3.55,5.7,1.65,3.3,4.4,1.66,3.3,4.5,2004/5,€144.45m,€85.15m,60.241,64.5161,60.241,60.6061,29.4118,28.169,30.303,30.303,22.2222,17.5439,22.2222,22.7273,H,61.401,2.0838,29.5467,1.01,21.1789,2.435
SP1,26/09/2004,Espanol,Malaga,H,1.9,3.25,3.5,1.8,3.3,4.1,1.9,3.1,3.5,1.8,3.1,4.0,2004/5,€45.15m,€32.85m,52.6316,55.5556,55.5556,52.6316,30.7692,30.303,32.2581,32.2581,28.5714,24.3902,25.0,28.5714,H,54.0936,1.6882,31.3971,1.0123,26.6332,2.2518
SP1,26/09/2004,Mallorca,Barcelona,A,4.33,3.25,1.72,4.1,3.3,1.8,4.0,3.2,1.75,4.33,3.2,1.72,2004/5,€42.65m,€273.03m,23.0947,24.3902,23.0947,25.0,30.7692,30.303,31.25,31.25,58.1395,55.5556,58.1395,57.1429,A,23.8949,0.9569,30.893,0.454,57.2444,1.2199
SP1,26/09/2004,Numancia,Albacete,D,2.0,3.25,3.25,1.9,3.25,3.75,2.1,3.0,3.1,1.9,3.2,3.5,2004/5,€13.40m,€17.75m,50.0,52.6316,52.6316,47.619,30.7692,30.7692,31.25,33.3333,30.7692,26.6667,28.5714,32.2581,H,50.7205,2.4113,31.5304,1.2231,29.5664,2.4556
SP1,26/09/2004,Osasuna,Getafe,H,1.66,3.4,4.5,1.6,3.5,5.2,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€26.70m,€13.85m,60.241,62.5,62.1118,60.6061,29.4118,28.5714,30.303,30.303,22.2222,19.2308,20.0,22.7273,H,61.3647,1.1083,29.6473,0.8312,21.0451,1.6931
SP1,26/09/2004,Sevilla,Sociedad,H,1.8,3.25,4.0,1.85,3.25,3.95,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€70.55m,€53.55m,55.5556,54.0541,55.5556,54.0541,30.7692,30.7692,32.2581,32.2581,25.0,25.3165,25.0,27.7778,H,54.8048,0.8669,31.5136,0.8596,25.7736,1.3445
