Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
F1,14/08/2004,Nantes,Bastia,D,1.72,3.25,4.33,1.6,3.5,5.0,1.65,3.2,4.6,1.66,3.3,4.5,2004/5,€47.35m,€31.85m,58.1395,62.5,60.241,60.6061,30.7692,28.5714,30.303,31.25,23.0947,20.0,22.2222,21.7391,H,60.3716,1.7874,30.2234,1.1672,21.764,1.3029
F1,14/08/2004,Paris SG,Caen,D,1.33,4.33,7.5,1.3,4.5,9.0,1.3,4.0,8.5,1.3,4.33,8.0,2004/5,€81.75m,€22.70m,75.188,76.9231,76.9231,76.9231,23.0947,22.2222,23.0947,25.0,13.3333,11.1111,12.5,11.7647,H,76.4893,0.8676,23.3529,1.1726,12.1773,0.957
F1,14/08/2004,Strasbourg,Toulouse,A,2.1,3.0,3.25,2.0,3.05,3.5,2.1,2.8,3.3,2.05,3.1,3.2,2004/5,€35.10m,€37.10m,47.619,50.0,48.7805,47.619,33.3333,32.7869,32.2581,35.7143,30.7692,28.5714,31.25,30.303,H,48.5046,1.1374,33.5232,1.5253,30.2234,1.1672
F1,15/08/2004,Marseille,Lille,H,1.61,3.4,5.0,1.55,3.5,5.5,1.6,3.3,4.8,1.57,3.3,5.5,2004/5,€78.60m,€56.25m,62.1118,64.5161,63.6943,62.5,29.4118,28.5714,30.303,30.303,20.0,18.1818,18.1818,20.8333,H,63.2056,1.1031,29.6473,0.8312,19.2992,1.3344
F1,21/08/2004,Bastia,Ajaccio,H,1.9,3.1,3.75,1.95,3.0,3.75,1.9,3.0,3.6,1.9,3.0,3.75,2004/5,€31.85m,€24.55m,52.6316,51.2821,52.6316,52.6316,32.2581,33.3333,33.3333,33.3333,26.6667,26.6667,26.6667,27.7778,H,52.2942,0.6747,33.0645,0.5376,26.9445,0.5556
F1,21/08/2004,Caen,Monaco,H,3.25,3.25,2.0,3.6,3.0,2.0,3.2,2.9,2.1,3.5,3.1,1.95,2004/5,€22.70m,€103.80m,30.7692,27.7778,28.5714,31.25,30.7692,33.3333,32.2581,34.4828,50.0,50.0,51.2821,47.619,A,29.5921,1.6801,32.7108,1.5814,49.7253,1.5287
F1,21/08/2004,Istres,Lens,A,2.75,3.0,2.37,2.85,2.9,2.4,3.1,2.8,2.2,2.9,3.0,2.25,2004/5,€18.50m,€52.50m,36.3636,35.0877,34.4828,32.2581,33.3333,34.4828,33.3333,35.7143,42.1941,41.6667,44.4444,45.4545,A,34.5481,1.7162,34.2159,1.1364,43.4399,1.8041
F1,21/08/2004,Lille,Bordeaux,D,2.1,3.25,3.0,2.3,3.0,2.9,2.3,2.8,2.9,2.25,3.1,2.8,2004/5,€56.25m,€52.60m,47.619,43.4783,44.4444,43.4783,30.7692,33.3333,32.2581,35.7143,33.3333,34.4828,35.7143,34.4828,H,44.755,1.9629,33.0187,2.082,34.5033,0.9723
F1,21/08/2004,Nice,Marseille,D,2.75,3.0,2.37,2.9,3.0,2.3,2.9,2.8,2.3,2.75,2.9,2.4,2004/5,€34.45m,€78.60m,36.3636,34.4828,36.3636,34.4828,33.3333,33.3333,34.4828,35.7143,42.1941,43.4783,41.6667,43.4783,A,35.4232,1.0859,34.2159,1.1364,42.7044,0.9193
F1,21/08/2004,Stade Rennais FC,Nantes,H,2.1,3.25,3.0,2.0,3.25,3.25,2.1,2.9,3.2,2.0,3.1,3.3,2004/5,€61.30m,€47.35m,47.619,50.0,50.0,47.619,30.7692,30.7692,32.2581,34.4828,33.3333,30.7692,30.303,31.25,H,48.8095,1.3747,32.0698,1.7551,31.4139,1.3367
F1,21/08/2004,Sochaux,Auxerre,A,2.0,3.25,3.25,2.15,3.0,3.2,2.1,2.9,3.2,2.05,3.1,3.2,2004/5,€49.65m,€47.85m,50.0,46.5116,48.7805,47.619,30.7692,33.3333,32.2581,34.4828,30.7692,31.25,31.25,31.25,H,48.2278,1.5013,32.7108,1.5814,31.1298,0.2404
F1,21/08/2004,St Etienne,Strasbourg,D,2.0,3.25,3.25,2.1,3.0,3.3,2.1,2.9,3.2,1.9,3.1,3.6,2004/5,€37.50m,€35.10m,50.0,47.619,52.6316,47.619,30.7692,33.3333,32.2581,34.4828,30.7692,30.303,27.7778,31.25,H,49.4674,2.3895,32.7108,1.5814,30.025,1.5472
F1,21/08/2004,Toulouse,Paris SG,H,2.75,3.25,2.25,3.1,3.0,2.2,2.9,2.8,2.3,2.8,3.1,2.25,2004/5,€37.10m,€81.75m,36.3636,32.2581,35.7143,34.4828,30.7692,33.3333,32.2581,35.7143,44.4444,45.4545,44.4444,43.4783,A,34.7047,1.808,33.0187,2.082,44.4554,0.8069
F1,22/08/2004,Metz,Lyon,D,3.0,3.1,2.2,3.5,3.05,2.0,3.2,2.9,2.1,3.0,3.0,2.2,2004/5,€35.70m,€133.90m,33.3333,28.5714,33.3333,31.25,32.2581,32.7869,33.3333,34.4828,45.4545,50.0,45.4545,47.619,A,31.622,2.2584,33.2153,0.9522,47.132,2.1672
F1,27/08/2004,Nice,Bastia,D,1.83,3.25,3.75,2.0,3.05,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€34.45m,€31.85m,54.6448,50.0,52.6316,52.6316,30.7692,32.7869,32.2581,32.2581,26.6667,28.5714,27.7778,28.5714,H,52.477,1.9046,32.0181,0.8691,27.8968,0.9014
F1,28/08/2004,Ajaccio,Stade Rennais FC,D,2.37,3.0,2.75,2.25,3.0,3.0,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€24.55m,€61.30m,42.1941,44.4444,42.1941,41.6667,33.3333,33.3333,33.3333,34.4828,36.3636,33.3333,37.037,37.037,H,42.6248,1.2383,33.6207,0.5747,35.9427,1.7683
F1,28/08/2004,Auxerre,Caen,H,1.57,3.4,5.5,1.6,3.5,5.0,1.65,3.3,4.4,1.57,3.3,5.5,2004/5,€47.85m,€22.70m,63.6943,62.5,63.6943,60.6061,29.4118,28.5714,30.303,30.303,18.1818,20.0,18.1818,22.7273,H,62.6237,1.4581,29.6473,0.8312,19.7727,2.1481
F1,28/08/2004,Bordeaux,Sochaux,H,2.0,3.0,3.5,1.85,3.1,4.0,1.9,3.1,3.5,1.83,3.2,3.75,2004/5,€52.60m,€49.65m,50.0,54.0541,54.6448,52.6316,33.3333,32.2581,31.25,32.2581,28.5714,25.0,26.6667,28.5714,H,52.8326,2.0688,32.2749,0.8507,27.2024,1.721
F1,28/08/2004,Lens,Monaco,D,2.5,3.0,2.62,2.4,3.0,2.75,2.3,2.9,2.8,2.37,3.0,2.7,2004/5,€52.50m,€103.80m,40.0,41.6667,42.1941,43.4783,33.3333,33.3333,33.3333,34.4828,38.1679,36.3636,37.037,35.7143,H,41.8348,1.4405,33.6207,0.5747,36.8207,1.048
F1,28/08/2004,Lyon,Lille,H,1.53,3.4,6.0,1.55,3.5,5.5,1.55,3.5,4.8,1.5,3.4,6.0,2004/5,€133.90m,€56.25m,65.3595,64.5161,66.6667,64.5161,29.4118,28.5714,29.4118,28.5714,16.6667,18.1818,16.6667,20.8333,H,65.2646,1.0158,28.9916,0.4852,18.0871,1.9652
F1,28/08/2004,Marseille,Metz,A,1.53,3.4,6.0,1.5,3.4,6.5,1.45,3.6,5.8,1.5,3.4,6.0,2004/5,€78.60m,€35.70m,65.3595,66.6667,66.6667,68.9655,29.4118,29.4118,29.4118,27.7778,16.6667,15.3846,16.6667,17.2414,H,66.9146,1.4997,29.0033,0.817,16.4898,0.7851
F1,28/08/2004,Nantes,Toulouse,D,1.72,3.25,4.33,1.75,3.15,4.5,2.0,3.1,3.2,1.9,3.1,3.6,2004/5,€47.35m,€37.10m,58.1395,57.1429,52.6316,50.0,30.7692,31.746,32.2581,32.2581,23.0947,22.2222,27.7778,31.25,H,54.4785,3.8284,31.7578,0.7019,26.0862,4.2192
