Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
E0,20/08/2005,Blackburn,Fulham,2.0,1.0,H,1.0,0.0,H,H Webb,16.0,8.0,9.0,4.0,26.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,2.0,3.2,3.75,1.9,3.1,4.0,1.91,3.2,3.5,2005/6,€63.80m,€70.88m,1.9,3.3,4.0,50.0,52.63157894736842,52.35602094240838,52.63157894736842,31.25,32.25806451612903,31.25,30.303030303030305,26.666666666666668,25.0,28.57142857142857,25.0,H,51.9047947092863,1.2764898035148091,31.265273704789834,0.7983342097612395,26.30952380952381,1.7003401020340112
E0,20/08/2005,Charlton,Wigan,1.0,0.0,H,1.0,0.0,H,R Styles,21.0,4.0,10.0,0.0,10.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,1.8,3.4,4.33,1.7,3.2,5.0,1.62,3.5,4.5,2005/6,€82.43m,€51.92m,1.75,3.5,4.5,55.55555555555556,58.82352941176471,61.72839506172839,57.14285714285714,29.411764705882355,31.25,28.57142857142857,28.57142857142857,23.094688221709006,20.0,22.22222222222222,22.22222222222222,H,58.312584292976446,2.639336860338607,29.451155462184875,1.2629637244129261,21.884783166538362,1.3221205265274274
E0,20/08/2005,Liverpool,Sunderland,1.0,0.0,H,1.0,0.0,H,B Knight,15.0,2.0,6.0,0.0,8.0,20.0,5.0,5.0,2.0,3.0,0.0,1.0,1.28,5.0,10.0,1.3,4.5,9.0,1.22,5.0,10.0,2005/6,€216.35m,€34.35m,1.28,4.5,12.0,78.125,76.92307692307692,81.9672131147541,78.125,20.0,22.22222222222222,20.0,22.22222222222222,10.0,11.11111111111111,10.0,8.333333333333332,H,78.78507250945775,2.1957867102750233,21.11111111111111,1.283000598199168,9.86111111111111,1.1453071182271284
E0,20/08/2005,Man United,Aston Villa,1.0,0.0,H,0.0,0.0,D,P Dowd,18.0,3.0,12.0,3.0,13.0,21.0,11.0,7.0,2.0,1.0,0.0,0.0,1.22,5.5,13.0,1.25,5.0,10.0,1.25,4.5,10.0,2005/6,€254.58m,€89.00m,1.25,5.0,13.0,81.9672131147541,80.0,80.0,80.0,18.181818181818183,20.0,22.22222222222222,20.0,7.6923076923076925,10.0,10.0,7.6923076923076925,H,80.49180327868852,0.983606557377051,20.101010101010104,1.653606620580292,8.846153846153847,1.3323467750529825
E0,20/08/2005,Newcastle,West Ham,0.0,0.0,D,0.0,0.0,D,D Gallagher,14.0,6.0,6.0,1.0,9.0,11.0,10.0,2.0,1.0,1.0,0.0,1.0,1.61,3.6,5.5,1.6,3.5,5.25,1.57,3.5,5.0,2005/6,€150.48m,€62.55m,1.55,3.6,6.0,62.11180124223602,62.5,63.69426751592356,64.51612903225806,27.77777777777778,28.57142857142857,28.57142857142857,27.77777777777778,18.181818181818183,19.047619047619047,20.0,16.666666666666664,H,63.20554944760441,1.1031091450643815,28.17460317460317,0.4582144993568442,18.474025974025974,1.4153372744975665
E0,20/08/2005,Tottenham,Middlesbrough,2.0,0.0,H,0.0,0.0,D,M Atkinson,18.0,12.0,8.0,3.0,16.0,10.0,5.0,6.0,3.0,1.0,0.0,0.0,1.9,3.3,4.0,1.9,3.1,4.0,1.8,3.2,4.0,2005/6,€154.33m,€94.38m,1.9,3.25,4.0,52.63157894736842,52.63157894736842,55.55555555555556,52.63157894736842,30.303030303030305,32.25806451612903,31.25,30.76923076923077,25.0,25.0,25.0,25.0,H,53.3625730994152,1.4619883040935697,31.145081397097528,0.8366705994539201,25.0,0.0
E0,20/08/2005,West Brom,Portsmouth,2.0,1.0,H,1.0,0.0,H,M Riley,6.0,10.0,2.0,2.0,21.0,19.0,3.0,3.0,4.0,3.0,0.0,0.0,2.2,3.2,3.25,2.25,3.0,3.1,2.1,3.2,3.0,2005/6,€65.55m,€86.13m,2.1,3.25,3.4,45.45454545454545,44.44444444444444,47.61904761904761,47.61904761904761,31.25,33.33333333333333,31.25,30.76923076923077,30.76923076923077,32.25806451612903,33.33333333333333,29.411764705882355,H,46.284271284271284,1.5954793930372257,31.650641025641026,1.1444596840613517,31.443098331143872,1.714406800644492
E0,21/08/2005,Bolton,Everton,0.0,1.0,A,0.0,0.0,D,A Wiley,16.0,3.0,6.0,1.0,10.0,13.0,8.0,3.0,0.0,1.0,0.0,0.0,2.1,3.2,3.5,2.2,3.1,3.1,2.1,3.2,3.0,2005/6,€61.85m,€92.92m,2.1,3.25,3.4,47.61904761904761,45.45454545454545,47.61904761904761,47.61904761904761,31.25,32.25806451612903,31.25,30.76923076923077,28.57142857142857,32.25806451612903,33.33333333333333,29.411764705882355,H,47.077922077922075,1.08225108225108,31.38182382133995,0.6265841370590832,30.893647781693318,2.26586099360242
E0,21/08/2005,Chelsea,Arsenal,1.0,0.0,H,0.0,0.0,D,G Poll,9.0,9.0,6.0,3.0,17.0,21.0,3.0,7.0,2.0,3.0,0.0,0.0,2.0,3.2,3.75,1.8,3.2,4.3,1.83,3.2,3.75,2005/6,€363.43m,€232.33m,2.0,3.2,3.75,50.0,55.55555555555556,54.64480874316939,50.0,31.25,31.25,31.25,31.25,26.666666666666668,23.25581395348837,26.666666666666668,26.666666666666668,H,52.550091074681234,2.9679728118033366,31.25,0.0,25.813953488372096,1.7054263565891485
E0,23/08/2005,Birmingham,Middlesbrough,0.0,3.0,A,0.0,2.0,A,P Dowd,14.0,8.0,8.0,3.0,14.0,15.0,2.0,2.0,0.0,1.0,0.0,0.0,2.5,3.2,2.75,2.25,3.2,2.9,2.25,3.2,2.75,2005/6,€81.83m,€94.38m,2.35,3.25,2.8,40.0,44.44444444444444,44.44444444444444,42.5531914893617,31.25,31.25,31.25,30.76923076923077,36.36363636363637,34.48275862068966,36.36363636363637,35.714285714285715,H,42.860520094562645,2.1051253941486396,31.129807692307693,0.24038461538461497,35.73107926556203,0.8867249517987518
E0,23/08/2005,Portsmouth,Aston Villa,1.0,1.0,D,1.0,1.0,D,G Poll,20.0,7.0,11.0,3.0,12.0,10.0,13.0,4.0,3.0,1.0,0.0,1.0,2.5,3.2,2.75,2.4,3.25,2.65,2.38,3.2,2.6,2005/6,€86.13m,€89.00m,2.6,3.2,2.6,40.0,41.66666666666667,42.016806722689076,38.46153846153846,31.25,30.76923076923077,31.25,31.25,36.36363636363637,37.735849056603776,38.46153846153846,38.46153846153846,H,40.53625296272355,1.639296808560299,31.129807692307693,0.24038461538461495,37.75564058582926,0.9890485463470178
