Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,22/08/2004,Utrecht,Roosendaal,H,1.66,3.4,4.33,1.65,3.4,4.6,1.7,3.2,4.2,1.61,3.3,5.0,2004/5,€20.30m,€10.70m,60.241,60.6061,62.1118,58.8235,29.4118,29.4118,30.303,31.25,23.0947,21.7391,20.0,23.8095,H,60.4456,1.3509,30.0942,0.8777,22.1608,1.677
N1,22/08/2004,Willem II,Feyenoord,A,3.5,3.2,1.9,3.4,3.4,1.9,3.5,3.1,1.9,3.3,3.3,1.9,2004/5,€13.98m,€66.43m,28.5714,29.4118,30.303,28.5714,31.25,29.4118,30.303,32.2581,52.6316,52.6316,52.6316,52.6316,A,29.2144,0.8268,30.8057,1.2251,52.6316,0.0
N1,27/08/2004,Den Bosch,Willem II,A,2.5,3.1,2.5,2.3,3.25,2.7,2.3,3.0,2.7,2.5,3.3,2.37,2004/5,€8.35m,€13.98m,40.0,43.4783,40.0,43.4783,32.2581,30.7692,30.303,33.3333,40.0,37.037,42.1941,37.037,H,41.7391,2.0082,31.6659,1.3895,39.067,2.5094
N1,28/08/2004,NAC Breda,PSV Eindhoven,D,4.5,3.5,1.61,4.5,3.55,1.65,4.6,3.4,1.6,4.33,3.4,1.66,2004/5,€17.45m,€86.85m,22.2222,22.2222,23.0947,21.7391,28.5714,28.169,29.4118,29.4118,62.1118,60.6061,60.241,62.5,A,22.3196,0.5647,28.891,0.6234,61.3647,1.1083
N1,28/08/2004,Nijmegen,AZ Alkmaar,A,2.37,3.1,2.62,2.3,3.25,2.7,2.6,3.0,2.4,2.37,3.3,2.5,2004/5,€16.88m,€50.00m,42.1941,43.4783,42.1941,38.4615,32.2581,30.7692,30.303,33.3333,38.1679,37.037,40.0,41.6667,H,41.582,2.1666,31.6659,1.3895,39.2179,2.0386
N1,28/08/2004,Roda,Graafschap,H,1.44,3.75,6.0,1.45,3.8,6.2,1.4,3.9,6.0,1.4,3.75,7.0,2004/5,€20.93m,€12.28m,69.4444,68.9655,71.4286,71.4286,26.6667,26.3158,26.6667,25.641,16.6667,16.129,14.2857,16.6667,H,70.3168,1.2986,26.3226,0.4835,15.937,1.1297
N1,28/08/2004,Twente,Heerenveen,H,2.25,3.2,2.75,2.2,3.25,2.85,2.3,3.0,2.7,2.37,3.3,2.5,2004/5,€13.25m,€31.20m,44.4444,45.4545,42.1941,43.4783,31.25,30.7692,30.303,33.3333,36.3636,35.0877,40.0,37.037,H,43.8928,1.3905,31.4139,1.3367,37.1221,2.082
N1,29/08/2004,Ajax,Utrecht,D,1.25,5.0,8.0,1.2,6.0,9.0,1.25,4.5,9.0,1.28,4.5,8.0,2004/5,€114.50m,€20.30m,80.0,83.3333,78.125,80.0,20.0,16.6667,22.2222,22.2222,12.5,11.1111,12.5,11.1111,H,80.3646,2.1676,20.2778,2.6254,11.8056,0.8019
N1,29/08/2004,Roosendaal,Groningen,D,2.1,3.2,3.0,2.1,3.3,3.0,2.0,3.0,3.3,2.1,3.3,2.87,2004/5,€10.70m,€12.95m,47.619,47.619,47.619,50.0,31.25,30.303,30.303,33.3333,33.3333,33.3333,34.8432,30.303,H,48.2142,1.1905,31.2973,1.4288,32.9532,1.9048
N1,29/08/2004,Vitesse,Feyenoord,D,4.0,3.4,1.72,4.5,3.55,1.65,4.0,3.2,1.75,3.75,3.3,1.8,2004/5,€21.40m,€66.43m,25.0,22.2222,26.6667,25.0,29.4118,28.169,30.303,31.25,58.1395,60.6061,55.5556,57.1429,A,24.7222,1.8426,29.7834,1.3122,57.861,2.1169
