Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,21/08/2004,Rangers,Hibernian,H,1.16,5.5,13.0,1.2,5.5,10.0,1.2,5.0,10.0,1.14,6.0,12.0,2004/5,€80.78m,€13.25m,86.2069,83.3333,87.7193,83.3333,18.1818,18.1818,16.6667,20.0,7.6923,10.0,8.3333,10.0,H,85.1482,2.1847,18.2576,1.3636,9.0064,1.1768
SC0,28/08/2004,Aberdeen,Livingston,H,1.8,3.25,4.0,1.9,3.3,3.5,2.0,3.1,3.2,1.8,3.3,3.75,2004/5,€6.88m,€9.75m,55.5556,52.6316,55.5556,50.0,30.7692,30.303,30.303,32.2581,25.0,28.5714,26.6667,31.25,H,53.4357,2.6732,30.9083,0.9263,27.872,2.6834
SC0,28/08/2004,Dundee United,Inverness C,H,1.8,3.25,4.0,1.75,3.4,4.0,1.8,3.1,3.8,1.83,3.3,3.6,2004/5,€8.13m,€2.38m,55.5556,57.1429,54.6448,55.5556,30.7692,29.4118,30.303,32.2581,25.0,25.0,27.7778,26.3158,H,55.7247,1.0384,30.6855,1.1901,26.0234,1.3239
SC0,28/08/2004,Hibernian,Dundee,D,2.0,3.25,3.25,2.1,3.2,3.1,2.0,3.1,3.2,1.95,3.3,3.2,2004/5,€13.25m,€9.05m,50.0,47.619,51.2821,50.0,30.7692,31.25,30.303,32.2581,30.7692,32.2581,31.25,31.25,H,49.7253,1.5287,31.1451,0.8367,31.3818,0.6266
SC0,28/08/2004,Motherwell,Hearts,H,2.75,3.25,2.25,2.75,3.1,2.35,2.7,3.0,2.3,2.75,3.2,2.25,2004/5,€4.83m,€11.08m,36.3636,36.3636,36.3636,37.037,30.7692,32.2581,31.25,33.3333,44.4444,42.5532,44.4444,43.4783,A,36.532,0.3367,31.9026,1.1378,43.7301,0.9072
SC0,29/08/2004,Celtic,Rangers,H,2.0,3.2,3.75,1.85,3.25,3.75,2.0,3.1,3.2,2.0,3.2,3.2,2004/5,€77.55m,€80.78m,50.0,54.0541,50.0,50.0,31.25,30.7692,31.25,32.2581,26.6667,26.6667,31.25,31.25,H,51.0135,2.027,31.3818,0.6266,28.9584,2.6462
SC0,29/08/2004,Kilmarnock,Dunfermline,H,2.0,3.25,3.25,2.2,3.1,3.0,2.0,3.1,3.2,2.0,3.3,3.1,2004/5,€3.78m,€6.03m,50.0,45.4545,50.0,50.0,30.7692,32.2581,30.303,32.2581,30.7692,33.3333,32.2581,31.25,H,48.8636,2.2727,31.3971,1.0123,31.9026,1.1378
SC0,11/09/2004,Celtic,Dundee,H,1.125,7.0,12.0,1.15,6.5,11.0,1.15,6.0,12.0,1.1,7.0,13.0,2004/5,€77.55m,€9.05m,88.8889,86.9565,90.9091,86.9565,14.2857,15.3846,14.2857,16.6667,8.3333,9.0909,7.6923,8.3333,H,88.4278,1.8885,15.1557,1.1327,8.3624,0.572
SC0,11/09/2004,Dundee United,Aberdeen,D,2.25,3.25,2.75,2.25,3.3,2.75,2.4,2.9,2.7,2.5,3.1,2.5,2004/5,€8.13m,€6.88m,44.4444,44.4444,40.0,41.6667,30.7692,30.303,32.2581,34.4828,36.3636,36.3636,40.0,37.037,H,42.6389,2.1931,31.9533,1.8812,37.441,1.7353
SC0,11/09/2004,Dunfermline,Motherwell,D,2.3,3.2,2.7,2.35,3.15,2.7,2.1,3.1,3.0,2.2,3.2,2.8,2004/5,€6.03m,€4.83m,43.4783,42.5532,45.4545,47.619,31.25,31.746,31.25,32.2581,37.037,37.037,35.7143,33.3333,H,44.7762,2.2485,31.626,0.4819,35.7804,1.7465
