Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,27/10/2004,Celtic,Aberdeen,A,1.14,6.5,13.0,1.18,6.0,10.0,1.15,6.0,12.0,1.14,6.0,12.0,2004/5,€77.55m,€6.88m,87.7193,84.7458,87.7193,86.9565,15.3846,16.6667,16.6667,16.6667,7.6923,10.0,8.3333,8.3333,H,86.7852,1.4064,16.3462,0.641,8.5897,0.9875
SC0,27/10/2004,Dundee United,Hearts,D,2.6,3.2,2.4,2.5,3.2,2.5,2.9,3.0,2.2,2.75,3.2,2.25,2004/5,€8.13m,€11.08m,38.4615,40.0,36.3636,34.4828,31.25,31.25,31.25,33.3333,41.6667,40.0,44.4444,45.4545,A,37.327,2.4118,31.7708,1.0417,42.8914,2.5061
SC0,27/10/2004,Dunfermline,Rangers,A,7.5,4.0,1.36,9.0,5.0,1.25,6.0,3.9,1.4,8.0,4.0,1.33,2004/5,€6.03m,€80.78m,13.3333,11.1111,12.5,16.6667,25.0,20.0,25.0,25.641,73.5294,80.0,75.188,71.4286,A,13.4028,2.3611,23.9102,2.6243,75.0365,3.6491
SC0,27/10/2004,Hibernian,Livingston,H,1.72,3.5,4.0,1.7,3.3,4.5,1.75,3.2,4.0,1.72,3.25,4.2,2004/5,€13.25m,€9.75m,58.1395,58.8235,58.1395,57.1429,28.5714,30.303,30.7692,31.25,25.0,22.2222,23.8095,25.0,H,58.0614,0.692,30.2234,1.1672,24.0079,1.3161
SC0,27/10/2004,Inverness C,Dundee,H,2.4,3.2,2.6,2.8,3.2,2.25,2.7,2.9,2.4,2.62,3.2,2.3,2004/5,€2.38m,€9.05m,41.6667,35.7143,38.1679,37.037,31.25,31.25,31.25,34.4828,38.4615,44.4444,43.4783,41.6667,A,38.1465,2.552,32.0582,1.6164,42.0127,2.6326
SC0,27/10/2004,Motherwell,Kilmarnock,A,2.0,3.25,3.25,2.05,3.2,3.2,1.9,3.1,3.5,1.9,3.25,3.4,2004/5,€4.83m,€3.78m,50.0,48.7805,52.6316,52.6316,30.7692,31.25,30.7692,32.2581,30.7692,31.25,29.4118,28.5714,H,51.0109,1.9365,31.2616,0.7019,30.0006,1.2303
SC0,30/10/2004,Dundee United,Dunfermline,A,2.1,3.4,3.0,2.15,3.2,3.0,2.2,3.0,2.9,2.2,3.2,2.8,2004/5,€8.13m,€6.03m,47.619,46.5116,45.4545,45.4545,29.4118,31.25,31.25,33.3333,33.3333,33.3333,35.7143,34.4828,H,46.2599,1.0341,31.3113,1.6025,34.2159,1.1364
SC0,30/10/2004,Hearts,Dundee,H,1.66,3.5,4.5,1.6,3.5,5.0,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€11.08m,€9.05m,60.241,62.5,62.1118,60.6061,28.5714,28.5714,30.303,30.303,22.2222,20.0,20.0,22.7273,H,61.3647,1.1083,29.4372,0.9997,21.2374,1.4436
SC0,30/10/2004,Inverness C,Livingston,H,2.4,3.25,2.62,2.65,3.25,2.35,2.4,3.0,2.6,2.4,3.25,2.5,2004/5,€2.38m,€9.75m,41.6667,37.7358,41.6667,41.6667,30.7692,30.7692,30.7692,33.3333,38.1679,42.5532,40.0,38.4615,H,40.684,1.9655,31.4102,1.282,39.7956,2.0063
SC0,30/10/2004,Kilmarnock,Hibernian,H,2.3,3.25,2.75,2.4,3.2,2.6,2.3,3.0,2.7,2.37,3.1,2.62,2004/5,€3.78m,€13.25m,43.4783,41.6667,42.1941,43.4783,30.7692,31.25,32.2581,33.3333,36.3636,38.4615,38.1679,37.037,H,42.7044,0.9193,31.9026,1.1378,37.5075,0.9791
SC0,30/10/2004,Motherwell,Celtic,A,11.0,5.5,1.2,13.0,6.0,1.15,9.0,4.5,1.25,10.0,4.5,1.25,2004/5,€4.83m,€77.55m,9.0909,7.6923,10.0,11.1111,18.1818,16.6667,22.2222,22.2222,83.3333,86.9565,80.0,80.0,A,9.4736,1.4466,19.8232,2.8383,82.5724,3.3183
