Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
E0,31/08/2019,Southampton,Man United,D,3.8,3.3,2.05,3.7,3.4,2.05,2019/20,€210.75m,€670.45m,3.83,3.41,2.12,4.12,3.59,1.99,4.0,3.5,1.9
E0,31/08/2019,Chelsea,Sheffield United,D,1.36,4.75,9.0,1.34,5.0,9.5,2019/20,€705.85m,€138.60m,1.36,5.12,10.23,1.44,4.65,8.21,1.36,4.75,8.0
E0,31/08/2019,Crystal Palace,Aston Villa,H,2.15,3.3,3.5,2.2,3.3,3.4,2019/20,€189.33m,€231.70m,2.22,3.44,3.5,2.29,3.39,3.4,2.2,3.4,3.3
E0,31/08/2019,Leicester,Bournemouth,H,1.7,4.0,4.75,1.7,4.0,4.75,2019/20,€411.10m,€272.18m,1.71,4.12,4.95,1.68,4.03,5.4,1.61,4.0,5.25
E0,31/08/2019,Man City,Brighton,H,1.08,10.0,26.0,1.07,11.5,31.0,2019/20,€1.05bn,€200.78m,1.08,13.01,34.71,1.09,13.06,35.17,1.08,11.0,26.0
E0,31/08/2019,Newcastle,Watford,D,2.5,3.25,2.87,2.5,3.3,2.85,2019/20,€252.48m,€199.60m,2.73,3.22,2.86,2.53,3.21,3.13,2.55,3.1,2.9
E0,31/08/2019,West Ham,Norwich,H,1.85,3.9,3.9,1.87,3.8,4.0,2019/20,€303.60m,€145.33m,1.91,3.93,4.04,1.93,4.12,3.8,1.85,4.0,3.75
E0,31/08/2019,Burnley,Liverpool,A,9.5,5.5,1.3,9.75,5.5,1.3,2019/20,€163.88m,€1.00bn,10.24,5.37,1.34,9.22,5.77,1.34,8.5,5.25,1.33
E0,01/09/2019,Everton,Wolves,H,2.2,3.25,3.5,2.15,3.25,3.6,2019/20,€420.55m,€320.33m,2.17,3.36,3.71,2.08,3.29,4.19,2.0,3.25,4.0
E0,01/09/2019,Arsenal,Tottenham,D,2.37,3.6,2.8,2.4,3.6,2.8,2019/20,€607.65m,€806.80m,2.38,3.67,3.0,2.59,3.7,2.72,2.55,3.6,2.62
E0,14/09/2019,Liverpool,Newcastle,H,1.14,8.5,17.0,1.14,8.25,18.5,2019/20,€1.00bn,€252.48m,1.16,8.41,20.6,1.21,7.29,14.23,1.18,7.5,13.0
E0,14/09/2019,Brighton,Burnley,D,2.15,3.3,3.5,2.15,3.3,3.5,2019/20,€200.78m,€163.88m,2.17,3.35,3.75,2.15,3.44,3.68,2.05,3.4,3.7
E0,14/09/2019,Man United,Leicester,H,1.95,3.5,4.0,1.87,3.7,4.1,2019/20,€670.45m,€411.10m,1.99,3.53,4.17,2.19,3.37,3.66,2.1,3.25,3.75
E0,14/09/2019,Sheffield United,Southampton,A,2.45,3.2,3.0,2.45,3.1,3.1,2019/20,€138.60m,€210.75m,2.45,3.35,3.12,2.44,3.3,3.18,2.4,3.3,3.0
