Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
G1,17/01/2005,Xanthi,Ionikos,2.0,0.0,H,1.0,0.0,1.53,3.6,5.0,1.5,3.6,6.5,2004/5,€13.78m,€8.41m
G1,22/01/2005,Aris,Xanthi,2.0,1.0,H,1.0,0.0,2.5,2.87,2.62,2.45,2.75,3.05,2004/5,€12.16m,€13.78m
G1,22/01/2005,Panionios,Chalkidona,0.0,0.0,D,0.0,0.0,1.9,3.0,3.75,1.95,2.95,4.0,2004/5,€14.00m,€9.45m
G1,23/01/2005,AEK,Egaleo,1.0,0.0,H,0.0,0.0,1.5,3.4,6.0,1.5,3.6,6.4,2004/5,€31.63m,€15.06m
G1,23/01/2005,Ionikos,Panathinaikos,0.0,0.0,D,0.0,0.0,8.0,4.0,1.33,9.0,4.0,1.35,2004/5,€8.41m,€56.50m
G1,23/01/2005,Iraklis,Ergotelis,2.0,0.0,H,1.0,0.0,1.61,3.5,4.5,1.65,3.4,5.0,2004/5,€17.25m,€8.58m
G1,23/01/2005,Kallithea,Olympiakos,1.0,1.0,D,0.0,1.0,8.0,4.0,1.33,9.0,4.0,1.35,2004/5,€8.27m,€48.60m
G1,23/01/2005,Kerkyra,PAOK,0.0,1.0,A,0.0,0.0,2.7,3.0,2.37,3.05,2.9,2.35,2004/5,€8.16m,€19.95m
G1,23/01/2005,OFI Crete,Kalamaria,0.0,0.0,D,0.0,0.0,1.5,3.5,5.5,1.5,3.45,7.0,2004/5,€9.95m,€6.94m
G1,30/01/2005,Egaleo,OFI Crete,2.0,0.0,H,0.0,0.0,1.8,3.2,4.0,1.8,3.2,4.3,2004/5,€15.06m,€9.95m
G1,30/01/2005,Ergotelis,Kallithea,1.0,1.0,D,1.0,0.0,2.37,3.0,2.75,2.3,3.0,3.0,2004/5,€8.58m,€8.27m
G1,30/01/2005,Kerkyra,AEK,2.0,2.0,D,1.0,1.0,4.5,3.5,1.61,5.4,3.45,1.6,2004/5,€8.16m,€31.63m
G1,30/01/2005,Olympiakos,Aris,2.0,1.0,H,1.0,1.0,1.12,6.0,15.0,1.15,5.9,16.0,2004/5,€48.60m,€12.16m
G1,30/01/2005,Xanthi,Panathinaikos,3.0,1.0,H,2.0,1.0,4.33,3.39,1.66,5.35,3.25,1.65,2004/5,€13.78m,€56.50m
G1,05/02/2005,Panionios,Olympiakos,0.0,2.0,A,0.0,0.0,5.5,3.25,1.57,5.3,3.1,1.7,2004/5,€14.00m,€48.60m
G1,12/02/2005,Aris,Ergotelis,1.0,1.0,D,0.0,1.0,1.66,3.4,4.33,1.6,3.25,6.0,2004/5,€12.16m,€8.58m
G1,12/02/2005,Olympiakos,Xanthi,0.0,0.0,D,0.0,0.0,1.22,5.0,9.5,1.25,5.0,10.0,2004/5,€48.60m,€13.78m
G1,12/02/2005,Panathinaikos,Kalamaria,5.0,1.0,H,3.0,0.0,1.12,6.5,12.0,1.1,7.5,18.0,2004/5,€56.50m,€6.94m
G1,13/02/2005,Ionikos,Egaleo,1.0,1.0,D,0.0,1.0,2.62,2.9,2.5,2.7,2.85,2.65,2004/5,€8.41m,€15.06m
G1,13/02/2005,Iraklis,PAOK,1.0,0.0,H,0.0,0.0,2.62,3.1,2.37,2.75,3.0,2.5,2004/5,€17.25m,€19.95m
G1,13/02/2005,Kallithea,Chalkidona,3.0,1.0,H,2.0,1.0,2.2,3.0,3.0,2.35,2.95,3.0,2004/5,€8.27m,€9.45m
G1,13/02/2005,OFI Crete,Kerkyra,3.0,1.0,H,1.0,1.0,1.57,3.5,5.0,1.6,3.35,5.65,2004/5,€9.95m,€8.16m
G1,13/02/2005,Panionios,AEK,1.0,1.0,D,1.0,0.0,3.75,3.2,1.83,3.9,2.9,2.0,2004/5,€14.00m,€31.63m
G1,19/02/2005,AEK,Iraklis,2.0,1.0,H,0.0,0.0,1.36,4.0,7.0,1.35,4.25,8.0,2004/5,€31.63m,€17.25m
G1,19/02/2005,Kerkyra,Ionikos,2.0,2.0,D,0.0,1.0,2.1,3.0,3.2,2.05,2.95,3.65,2004/5,€8.16m,€8.41m
G1,19/02/2005,Xanthi,Kalamaria,4.0,1.0,H,2.0,1.0,1.36,4.0,7.0,1.4,4.0,7.5,2004/5,€13.78m,€6.94m
G1,20/02/2005,Chalkidona,Aris,1.0,0.0,H,0.0,0.0,2.0,3.0,3.4,1.95,2.95,4.0,2004/5,€9.45m,€12.16m
G1,20/02/2005,Egaleo,Panathinaikos,0.0,1.0,A,0.0,1.0,4.2,3.25,1.72,5.1,3.15,1.7,2004/5,€15.06m,€56.50m
G1,20/02/2005,Ergotelis,Olympiakos,2.0,1.0,H,1.0,1.0,7.0,4.0,1.36,9.0,4.55,1.3,2004/5,€8.58m,€48.60m
G1,20/02/2005,Panionios,OFI Crete,2.0,1.0,H,0.0,1.0,1.9,3.1,3.6,1.8,3.15,4.4,2004/5,€14.00m,€9.95m
G1,20/02/2005,PAOK,Kallithea,3.0,1.0,H,1.0,1.0,1.57,3.5,5.0,1.6,3.4,5.5,2004/5,€19.95m,€8.27m
G1,26/02/2005,Ionikos,Panionios,0.0,0.0,D,0.0,0.0,2.37,3.0,2.75,2.45,2.9,2.9,2004/5,€8.41m,€14.00m
G1,26/02/2005,Kalamaria,Egaleo,1.0,1.0,D,1.0,1.0,2.75,3.0,2.37,2.95,2.9,2.4,2004/5,€6.94m,€15.06m
G1,26/02/2005,Kallithea,AEK,1.0,2.0,A,0.0,2.0,3.75,3.2,1.83,4.1,3.15,1.85,2004/5,€8.27m,€31.63m
G1,27/02/2005,Aris,PAOK,1.0,3.0,A,0.0,3.0,2.5,3.1,2.5,2.5,2.95,2.75,2004/5,€12.16m,€19.95m
G1,27/02/2005,Ergotelis,Xanthi,0.0,2.0,A,0.0,1.0,2.75,3.0,2.37,2.7,3.0,2.5,2004/5,€8.58m,€13.78m
G1,27/02/2005,Iraklis,OFI Crete,1.0,0.0,H,0.0,0.0,1.83,3.2,3.75,1.95,3.1,3.75,2004/5,€17.25m,€9.95m
G1,27/02/2005,Olympiakos,Chalkidona,3.0,0.0,H,2.0,0.0,1.16,5.5,11.0,1.22,5.0,12.0,2004/5,€48.60m,€9.45m
G1,27/02/2005,Panathinaikos,Kerkyra,1.0,0.0,H,0.0,0.0,1.1,7.0,13.0,1.05,9.0,26.0,2004/5,€56.50m,€8.16m
G1,05/03/2005,OFI Crete,Kallithea,1.0,1.0,D,0.0,0.0,1.72,3.2,4.33,1.75,3.2,4.65,2004/5,€9.95m,€8.27m
G1,05/03/2005,Xanthi,Egaleo,2.0,0.0,H,1.0,0.0,1.66,3.25,4.5,1.7,3.3,4.8,2004/5,€13.78m,€15.06m
G1,06/03/2005,AEK,Aris,1.0,0.0,H,0.0,0.0,1.28,4.5,8.0,1.28,4.65,10.0,2004/5,€31.63m,€12.16m
G1,06/03/2005,Chalkidona,Ergotelis,2.0,0.0,H,1.0,0.0,1.61,3.25,5.0,1.6,3.35,5.75,2004/5,€9.45m,€8.58m
G1,06/03/2005,Iraklis,Ionikos,2.0,0.0,H,1.0,0.0,1.61,3.25,5.0,1.65,3.3,5.3,2004/5,€17.25m,€8.41m
G1,06/03/2005,Kerkyra,Kalamaria,0.0,2.0,A,0.0,1.0,1.83,3.0,4.0,1.7,3.2,5.0,2004/5,€8.16m,€6.94m
G1,06/03/2005,Panionios,Panathinaikos,0.0,1.0,A,0.0,1.0,4.33,3.2,1.72,5.5,3.2,1.65,2004/5,€14.00m,€56.50m
G1,06/03/2005,PAOK,Olympiakos,1.0,1.0,D,0.0,1.0,3.2,3.0,2.1,3.6,3.1,2.0,2004/5,€19.95m,€48.60m
G1,12/03/2005,Kalamaria,Panionios,3.0,3.0,D,0.0,3.0,2.5,3.1,2.5,2.6,2.95,2.65,2004/5,€6.94m,€14.00m
G1,12/03/2005,Panathinaikos,Iraklis,0.0,0.0,D,0.0,0.0,1.25,4.5,9.5,1.25,5.0,10.0,2004/5,€56.50m,€17.25m
G1,13/03/2005,Aris,OFI Crete,3.0,2.0,H,3.0,1.0,2.1,3.0,3.2,1.9,3.0,4.15,2004/5,€12.16m,€9.95m
G1,13/03/2005,Chalkidona,Xanthi,2.0,1.0,H,0.0,0.0,2.5,3.1,2.5,2.6,2.9,2.7,2004/5,€9.45m,€13.78m
G1,13/03/2005,Egaleo,Kerkyra,1.0,0.0,H,0.0,0.0,1.44,3.75,6.0,1.45,3.5,8.0,2004/5,€15.06m,€8.16m
G1,13/03/2005,Ergotelis,PAOK,0.0,1.0,A,0.0,0.0,2.7,3.1,2.3,3.0,3.0,2.3,2004/5,€8.58m,€19.95m
G1,13/03/2005,Kallithea,Ionikos,0.0,0.0,D,0.0,0.0,1.83,3.2,3.75,2.0,2.75,4.25,2004/5,€8.27m,€8.41m
G1,13/03/2005,Olympiakos,AEK,1.0,1.0,D,1.0,0.0,1.83,3.2,3.75,1.85,3.1,4.25,2004/5,€48.60m,€31.63m
G1,19/03/2005,Kallithea,Panathinaikos,0.0,2.0,A,0.0,1.0,7.0,3.75,1.4,7.5,3.95,1.4,2004/5,€8.27m,€56.50m
G1,19/03/2005,Xanthi,Kerkyra,1.0,1.0,D,0.0,0.0,1.3,4.33,8.0,1.3,4.5,9.5,2004/5,€13.78m,€8.16m
G1,20/03/2005,AEK,Ergotelis,3.0,0.0,H,1.0,0.0,1.2,5.5,11.0,1.18,6.0,12.0,2004/5,€31.63m,€8.58m
G1,20/03/2005,Ionikos,Aris,2.0,1.0,H,0.0,0.0,2.2,2.8,3.2,2.4,2.75,3.15,2004/5,€8.41m,€12.16m
G1,20/03/2005,Iraklis,Kalamaria,2.0,3.0,A,0.0,3.0,1.5,3.6,5.5,1.6,3.5,5.25,2004/5,€17.25m,€6.94m
G1,20/03/2005,OFI Crete,Olympiakos,1.0,1.0,D,0.0,0.0,5.5,3.75,1.5,5.5,3.4,1.6,2004/5,€9.95m,€48.60m
G1,20/03/2005,Panionios,Egaleo,0.0,0.0,D,0.0,0.0,2.2,2.8,3.2,2.1,2.8,3.75,2004/5,€14.00m,€15.06m
G1,20/03/2005,PAOK,Chalkidona,2.0,1.0,H,1.0,1.0,1.57,3.5,5.0,1.65,3.4,5.0,2004/5,€19.95m,€9.45m
G1,02/04/2005,Chalkidona,AEK,1.0,1.0,D,1.0,0.0,3.6,3.1,1.9,4.05,3.2,1.85,2004/5,€9.45m,€31.63m
G1,02/04/2005,PAOK,Xanthi,1.0,0.0,H,0.0,0.0,1.8,3.2,3.8,1.85,3.25,4.0,2004/5,€19.95m,€13.78m
G1,03/04/2005,Egaleo,Iraklis,1.0,0.0,H,1.0,0.0,1.9,3.1,3.6,1.9,3.05,4.1,2004/5,€15.06m,€17.25m
G1,03/04/2005,Ergotelis,OFI Crete,0.0,1.0,A,0.0,0.0,2.3,3.0,2.87,2.3,3.0,3.0,2004/5,€8.58m,€9.95m
G1,03/04/2005,Kalamaria,Kallithea,1.0,2.0,A,0.0,0.0,2.0,3.0,3.4,2.15,2.9,3.45,2004/5,€6.94m,€8.27m
G1,03/04/2005,Kerkyra,Panionios,1.0,3.0,A,0.0,0.0,2.62,2.87,2.5,2.95,2.8,2.5,2004/5,€8.16m,€14.00m
G1,03/04/2005,Olympiakos,Ionikos,2.0,1.0,H,0.0,1.0,1.12,6.5,12.0,1.1,8.0,15.0,2004/5,€48.60m,€8.41m
G1,03/04/2005,Panathinaikos,Aris,0.0,0.0,D,0.0,0.0,1.12,6.5,12.0,1.15,6.5,13.0,2004/5,€56.50m,€12.16m
G1,16/04/2005,Ergotelis,Panathinaikos,1.0,3.0,A,1.0,1.0,8.0,4.33,1.3,8.75,4.9,1.28,2004/5,€8.58m,€56.50m
G1,16/04/2005,Panionios,Iraklis,1.0,2.0,A,1.0,2.0,2.1,3.0,3.2,1.95,3.25,3.6,2004/5,€14.00m,€17.25m
G1,17/04/2005,AEK,Xanthi,2.0,1.0,H,1.0,1.0,1.36,3.75,8.0,1.5,3.55,6.7,2004/5,€31.63m,€13.78m
G1,17/04/2005,Chalkidona,Ionikos,0.0,1.0,A,0.0,1.0,1.72,3.2,4.33,1.8,2.95,4.85,2004/5,€9.45m,€8.41m
G1,17/04/2005,Egaleo,Aris,2.0,1.0,H,1.0,0.0,1.83,3.25,3.6,2.05,2.95,3.65,2004/5,€15.06m,€12.16m
G1,17/04/2005,Kalamaria,Olympiakos,0.0,2.0,A,0.0,0.0,8.0,4.0,1.33,8.5,4.15,1.35,2004/5,€6.94m,€48.60m
G1,17/04/2005,PAOK,OFI Crete,4.0,1.0,H,2.0,1.0,1.36,3.75,8.0,1.42,4.0,7.0,2004/5,€19.95m,€9.95m
G1,23/04/2005,Ionikos,PAOK,1.0,1.0,D,0.0,1.0,2.87,3.0,2.25,3.0,2.95,2.35,2004/5,€8.41m,€19.95m
G1,23/04/2005,Kalamaria,Ergotelis,1.0,0.0,H,0.0,0.0,1.66,3.4,4.33,1.7,3.25,4.8,2004/5,€6.94m,€8.58m
G1,24/04/2005,Aris,Kerkyra,2.0,0.0,H,1.0,0.0,1.25,5.0,8.0,1.2,5.75,11.0,2004/5,€12.16m,€8.16m
G1,24/04/2005,Kallithea,Panionios,1.0,1.0,D,1.0,1.0,2.0,3.0,3.4,2.05,2.95,3.7,2004/5,€8.27m,€14.00m
G1,24/04/2005,OFI Crete,AEK,2.0,3.0,A,0.0,0.0,4.2,3.25,1.72,4.45,3.0,1.85,2004/5,€9.95m,€31.63m
G1,24/04/2005,Olympiakos,Egaleo,3.0,1.0,H,1.0,0.0,1.14,6.0,12.0,1.1,8.0,15.0,2004/5,€48.60m,€15.06m
G1,24/04/2005,Panathinaikos,Chalkidona,6.0,3.0,H,3.0,2.0,1.12,6.5,12.0,1.1,8.0,15.0,2004/5,€56.50m,€9.45m
G1,24/04/2005,Xanthi,Iraklis,1.0,0.0,H,0.0,0.0,1.72,3.25,4.2,1.75,3.3,4.4,2004/5,€13.78m,€17.25m
G1,08/05/2005,AEK,Ionikos,0.0,1.0,A,0.0,0.0,1.1,7.0,13.0,1.1,7.5,17.0,2004/5,€31.63m,€8.41m
G1,08/05/2005,Chalkidona,Kalamaria,2.0,3.0,A,2.0,2.0,1.9,3.4,3.25,2.0,3.45,3.25,2004/5,€9.45m,€6.94m
G1,08/05/2005,Egaleo,Ergotelis,2.0,0.0,H,1.0,0.0,1.28,4.5,8.0,1.25,5.0,10.0,2004/5,€15.06m,€8.58m
G1,08/05/2005,Iraklis,Kallithea,5.0,1.0,H,1.0,0.0,1.83,3.2,3.75,1.9,3.15,3.85,2004/5,€17.25m,€8.27m
G1,08/05/2005,Kerkyra,Olympiakos,1.0,3.0,A,1.0,2.0,13.0,7.0,1.1,18.0,8.2,1.08,2004/5,€8.16m,€48.60m
G1,08/05/2005,PAOK,Panathinaikos,1.0,1.0,D,1.0,1.0,4.33,3.4,1.66,5.2,3.3,1.65,2004/5,€19.95m,€56.50m
G1,15/05/2005,Aris,Iraklis,1.0,2.0,A,1.0,2.0,1.28,4.33,8.5,1.3,4.5,7.5,2004/5,€12.16m,€17.25m
G1,15/05/2005,Egaleo,Chalkidona,2.0,1.0,H,1.0,1.0,1.57,3.5,5.0,1.6,3.45,5.5,2004/5,€15.06m,€9.45m
G1,15/05/2005,Ionikos,OFI Crete,0.0,0.0,D,0.0,0.0,4.33,3.6,1.61,6.0,3.7,1.5,2004/5,€8.41m,€9.95m
G1,15/05/2005,Kalamaria,PAOK,2.0,1.0,H,0.0,1.0,1.4,3.75,7.0,1.45,3.9,6.3,2004/5,€6.94m,€19.95m
G1,15/05/2005,Olympiakos,Panionios,3.0,0.0,H,0.0,0.0,1.1,7.0,13.0,1.09,8.3,16.0,2004/5,€48.60m,€14.00m
G1,15/05/2005,Panathinaikos,AEK,0.0,0.0,D,0.0,0.0,1.72,3.4,4.0,1.75,3.55,4.05,2004/5,€56.50m,€31.63m
G1,15/05/2005,Xanthi,Kallithea,1.0,0.0,H,0.0,0.0,1.72,3.2,4.33,1.8,2.65,6.0,2004/5,€13.78m,€8.27m
G1,27/08/2005,Kallithea,Egaleo,1.0,1.0,D,0.0,1.0,2.37,3.0,2.75,2.45,2.8,3.0,2005/6,€9.15m,€16.68m
G1,27/08/2005,Xanthi,PAOK,1.0,0.0,H,1.0,0.0,2.37,3.0,2.75,2.5,3.1,2.65,2005/6,€23.15m,€25.80m
G1,28/08/2005,Akratitos,Iraklis,3.0,1.0,H,1.0,0.0,2.75,3.0,2.37,3.0,2.9,2.35,2005/6,€9.95m,€17.15m
