Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HF,AF
B1,11/08/2019,Mouscron,Gent,2.0,1.0,H,2.0,1.0,H,3.5,3.75,2.0,3.4,3.75,1.95,2019/20,€26.15m,€95.10m,6.0,11.0,2.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,15.0,15.0
B1,16/08/2019,Club Brugge,Eupen,0.0,0.0,D,0.0,0.0,D,1.14,8.0,11.0,1.2,7.5,13.5,2019/20,€160.73m,€26.05m,11.0,7.0,1.0,3.0,7.0,3.0,3.0,4.0,0.0,0.0,12.0,19.0
B1,17/08/2019,Kortrijk,Anderlecht,4.0,2.0,H,0.0,1.0,A,3.0,3.5,2.1,3.0,3.7,2.3,2019/20,€19.90m,€137.28m,8.0,9.0,5.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,15.0,21.0
B1,17/08/2019,Mechelen,Cercle Brugge,3.0,1.0,H,0.0,1.0,A,1.4,4.33,9.0,1.42,5.0,7.25,2019/20,€23.63m,€31.93m,7.0,3.0,4.0,2.0,5.0,3.0,0.0,4.0,0.0,0.0,8.0,22.0
B1,17/08/2019,Waasland-Beveren,Genk,0.0,4.0,A,0.0,1.0,A,6.5,4.75,1.36,6.5,5.25,1.44,2019/20,€14.93m,€113.53m,7.0,16.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,14.0,4.0
B1,18/08/2019,Standard,Mouscron,4.0,1.0,H,2.0,0.0,H,1.45,4.5,5.25,1.53,4.33,6.25,2019/20,€76.68m,€26.15m,10.0,2.0,6.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,8.0,16.0
B1,18/08/2019,Antwerp,St Truiden,2.0,0.0,H,1.0,0.0,H,1.45,4.33,5.5,1.55,4.33,6.0,2019/20,€49.98m,€26.75m,15.0,6.0,4.0,3.0,5.0,4.0,0.0,4.0,0.0,1.0,14.0,13.0
B1,18/08/2019,Gent,Oostende,2.0,0.0,H,0.0,0.0,D,1.33,5.5,7.5,1.4,5.25,7.5,2019/20,€95.10m,€23.85m,11.0,5.0,4.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,6.0,15.0
B1,19/08/2019,Waregem,Charleroi,3.0,1.0,H,1.0,0.0,H,2.8,3.3,2.3,2.9,3.7,2.35,2019/20,€30.08m,€31.65m,5.0,4.0,3.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,13.0,15.0
B1,23/08/2019,Genk,Anderlecht,1.0,0.0,H,0.0,0.0,D,1.72,3.8,4.5,1.78,3.75,4.2,2019/20,€113.53m,€137.28m,6.0,8.0,4.0,2.0,5.0,10.0,0.0,1.0,0.0,0.0,8.0,16.0
